업소명,소재지도로명주소,소재지전화,객실수,한실수,양실수,데이터기준일자
렉스파크,경기도 김포시 통진읍 조강로80번길 16,031-981-4709,23,3,20,2021-06-29
석주파크,경기도 김포시 통진읍 김포대로2244번길 26-6,031-981-8454,34,0,34,2021-06-29
오아시스,경기도 김포시 통진읍 조강로 143,031-989-9246,26,1,25,2021-06-29
퀸,경기도 김포시 하성면 하성로 281,031-981-7270,24,4,20,2021-06-29
럭스호텔,경기도 김포시 고촌읍 인향로 2,031-986-6430,43,0,43,2021-06-29
M모텔,경기도 김포시 양촌읍 양곡로 522-6,031-996-0588,28,4,24,2021-06-29
라인호텔,경기도 김포시 통진읍 김포대로 2337,031-988-2234,40,1,39,2021-06-29
신라모텔,경기도 김포시 양촌읍 양곡로 512,031-981-7690,15,8,7,2021-06-29
목련장모텔,경기도 김포시 양촌읍 양곡1로 27,031-981-6638,18,10,8,2021-06-29
삼성장여관,경기도 김포시 통진읍 서암로84번길 5-2,031-988-5577,13,10,3,2021-06-29
뮤즈모텔,경기도 김포시 중구로 53 (북변동),031-984-1808,30,1,29,2021-06-29
타워모텔,경기도 김포시 북변중로 87-15 (북변동),031-984-1346,21,3,18,2021-06-29
백악관모텔,경기도 김포시 북변중로85번길 5 (북변동),031-982-9912,27,3,24,2021-06-29
호텔바스(Hotel Bath),경기도 김포시 대곶면 약암로 874,031-997-3500,40,2,38,2021-06-29
프리존호텔,경기도 김포시 대곶면 약암로 786-38,031-981-8835,36,0,36,2021-06-29
삼화여관,경기도 김포시 통진읍 서암로94번길 19,031-982-4608,6,1,5,2021-06-29
제이씨컴퍼니 1호점 코자자,경기도 김포시 통진읍 김포대로 2316,031-981-8252,24,0,24,2021-06-29
루브호텔,경기도 김포시 대곶면 약암로 879,031-996-7755,41,0,41,2021-06-29
모텔솔황토방,경기도 김포시 통진읍 절골로 38-23,031-987-7645,14,13,1,2021-06-29
라인플러스호텔,경기도 김포시 통진읍 김포대로 2337-1,031-996-8056,36,0,36,2021-06-29
드라이브인하비비 나동,"경기도 김포시 대곶면 대명항1로 40-7, 나동",031-985-5467,17,0,17,2021-06-29
드라이브인하비비 가동,"경기도 김포시 대곶면 대명항1로 40-7, 가동",031-985-8286,15,0,15,2021-06-29
아리수 호텔,경기도 김포시 태장로795번길 123 (장기동),031-996-8800,66,0,66,2021-06-29
벨루치,"경기도 김포시 하성면 금포로1915번길 27, 가,나,다동",031-989-8181,18,0,18,2021-06-29
레스트호텔(Rest Hotel),경기도 김포시 태장로795번길 151 (장기동),031-988-3534,70,0,70,2021-06-29
라붐,경기도 김포시 대곶면 대명항1로 40-9,031-988-1465,26,0,26,2021-06-29
마리호텔,"경기도 김포시 김포한강9로75번길 190, 이너매스한강 8층 (구래동)",031-986-5122,48,0,48,2021-06-29
도킹호텔,경기도 김포시 대곶면 대명항1로 50,031-985-8991,40,0,40,2021-06-29
호텔루이,경기도 김포시 대곶면 대명항1로 40-11,031-986-0474,28,0,28,2021-06-29
호텔마리나베이서울,"경기도 김포시 고촌읍 아라육로152번길 210-50, 호텔 마리나베이 서울",031-8048-7092,825,0,825,2021-06-29
리운모텔,"경기도 김포시 김포한강9로75번길 16, 드림스퀘어 6-7층 (구래동)",031-984-1114,29,0,29,2021-06-29
코자자,"경기도 김포시 대곶면 대명항1로 89-12, 코자자",031-998-5353,27,0,27,2021-06-29
펜타스타호텔,"경기도 김포시 태장로795번길 111, 펜타스타관광호텔 (장기동)",031-982-5555,69,0,69,2021-06-29
라마다앙코르김포한리버,경기도 김포시 고촌읍 아라육로152번길 169,02-582-0700,605,3,602,2021-06-29
저스트슬립호텔 김포구래1호점,"경기도 김포시 김포한강9로75번길 72, 401, 501호 (구래동)",031-8049-6020,33,0,33,2021-06-29
그레이호텔,"경기도 김포시 김포한강9로75번길 24, 6-7층 (구래동)",031-997-9014,42,0,42,2021-06-29
제이제이호텔,"경기도 김포시 김포한강9로 79, 연세프라자 5차 9-10층 (구래동)",031-981-6655,36,0,36,2021-06-29
저스트슬립호텔 김포구래2호점,"경기도 김포시 김포한강9로75번길 96, 동우프라자 7층 (구래동)", 031-8049-3550,29,0,29,2021-06-29
스타비아호텔,경기도 김포시 태장로795번길 147 (장기동),031-981-1189,69,0,69,2021-06-29
호텔M-Tower,"경기도 김포시 김포한강9로75번길 38, 9층~12층 (구래동)",031-984-1723,63,0,63,2021-06-29
오로라호텔,"경기도 김포시 김포한강9로75번길 56, 디에스프라자 7~9층 (구래동)",031-998-6714,49,0,49,2021-06-29
김포JK호텔,"경기도 김포시 김포한강9로75번길 100, 태경프라자 7~9층 (구래동)",031-982-6622,48,0,48,2021-06-29
호텔 캘리포니아,"경기도 김포시 김포한강9로 80, 다온프라자 7층 (구래동)",031-983-6699,43,0,43,2021-06-29
웨스트9 호텔,경기도 김포시 김포한강9로75번길 64 (구래동),031-982-5820,65,0,65,2021-06-29
아이메리츠호텔,경기도 김포시 대곶면 약암로 786-50,031-981-4482,35,0,35,2021-06-29
호텔 라르 김포,경기도 김포시 고촌읍 장차로5번길 5-9,031-982-1322,144,0,144,2021-06-29
아셈호텔,경기도 김포시 태장로795번길 145 (장기동),031-997-3230,73,0,73,2021-06-29
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
