연번,시설명,시설유형,입소정원수,주소,전화번호
38,지극정성요양원,노인의료복지시설,98,경기도 고양시 일산동구 성현로377번길 126 (문봉동),031-916-6090
39,에덴실버타운,노인의료복지시설,20,"경기도 고양시 덕양구 중앙로557번길 8-9, 2층 (행신동, M&G빌딩)",031-972-1691
40,(고양)참사랑요양원,노인의료복지시설,66,경기도 고양시 덕양구 보광로128번길 16 (벽제동),031-963-3100
41,고양노블요양원,노인의료복지시설,23,"경기도 고양시 덕양구 동헌로 127-3, 1층 (관산동)",031-962-3021
42,효사랑실버케어,노인의료복지시설,21,"경기도 고양시 덕양구 호국로789번길 7, 601호 (주교동)",031-969-8500
43,A+따뜻한요양원,노인의료복지시설,49,"경기도 고양시 덕양구 도래울로 110, 5층 (도내동, 테마시티)",031-965-7008
44,착한요양원,노인의료복지시설,24,"경기도 고양시 덕양구 충경로 44, 5층 (행신동, 대명프라자)",031-973-5111
45,선민요양원,노인의료복지시설,9,"경기도 고양시 일산서구 중앙로 1547, 206호 (대화동, 킨텍스존)",031-917-4733
46,실버공감요양원,노인의료복지시설,29,경기도 고양시 일산서구 홀트로 58 (탄현동),031-925-9166
47,제일요양원,노인의료복지시설,92,"경기도 고양시 덕양구 충장로 122, 7~8층 (행신동, 블레스타운)",031-969-7000
48,보아스 골든케어,노인의료복지시설,150,경기도 고양시 일산동구 견달산로 316 (문봉동),031-811-9001
49,동산 홈케어,노인의료복지시설,29,경기도 고양시 일산동구 문원길102번길 113 (설문동),031-976-1033
50,새생명요양원,노인의료복지시설,48,"경기도 고양시 덕양구 충장로 122, 6층 (행신동, 블레스타운)",031-938-0211
51,E.S.H엘림복지원,노인의료복지시설,9,"경기도 고양시 일산동구 지영로148번길 74-10 (지영동,, 4)",031-977-0207
52,정다운요양원1,노인의료복지시설,9,"경기도 고양시 덕양구 충장로 7, 804~806호 (행신동, 별제회관)",031-971-3097
53,행복의집,노인의료복지시설,17,경기도 고양시 일산동구 감내길 106-3 (성석동),031-977-7711
54,일산성심요양원,노인의료복지시설,98,경기도 고양시 일산동구 고봉로770번길 23 (설문동),070-4543-7610
55,효누림요양원,노인의료복지시설,98,경기도 고양시 일산동구 성현로377번길 128 (문봉동),031-975-3401
56,사랑의집,노인의료복지시설,5,경기도 고양시 덕양구 보광로 165 (벽제동),031-964-1178
57,효사랑요양원,노인의료복지시설,9,"경기도 고양시 일산동구 중산로 234, 2층 (중산동)",031-975-9575
58,우리들요양원,노인의료복지시설,29,"경기도 고양시 일산동구 애니골길 21 (풍동, 2층)",031-906-5151
59,고양카리스요양원,노인의료복지시설,14,"경기도 고양시 덕양구 호국로 773, 5층 504호 (주교동, 코스모프라자)",031-968-0606
60,일산VIP요양원2,노인의료복지시설,99,경기도 고양시 일산동구 고봉로770번길 27 (설문동),031-975-8833
61,일산차요양원,노인의료복지시설,22,"경기도 고양시 일산동구 탄중로 311-16, 3층 (중산동, 한진프라자)",031-977-2969
62,참행복한요양원,노인의료복지시설,65,"경기도 고양시 덕양구 명봉산로6번길 201-25, 가, 다동 (내유동)",031-964-4177
63,고운맘요양원,노인의료복지시설,9,"경기도 고양시 일산서구 일중로 17, 501호 (일산동, 포오스프라자)",031-975-0075
64,고양우리집,노인의료복지시설,9,경기도 고양시 덕양구 고골길264번길 3-13 (대자동),031-969-9345
65,하늘꿈요양원,노인의료복지시설,23,"경기도 고양시 일산동구 숲속마을로 38, 8층 (풍동, 아크리아빌딩)",031-908-1477
66,해바라기요양원,노인의료복지시설,29,"경기도 고양시 일산서구 산현로92번길 60 (일산동, 탄현이화프라자 301호)",031-912-3388
67,노블케어(중산점),노인의료복지시설,29,"경기도 고양시 일산동구 탄중로 325-7, 5층 (중산동, 올림피아빌딩)",031-975-5490
68,주식회사 일산시니어 행복한요양원,노인의료복지시설,168,경기도 고양시 일산동구 공릉천로 300-28 (지영동),031-969-5656
69,원당효은요양원,노인의료복지시설,47,"경기도 고양시 덕양구 고양대로 1387, 4층 (성사동, 성원코아)",031-966-3058
70,샬롬의집,노인의료복지시설,61,경기도 고양시 덕양구 보광로266번길 76 (벽제동),031-966-1422
71,사임당요양원,노인의료복지시설,26,"경기도 고양시 일산서구 하이파크2로 42, 7층 701호 (덕이동, 현해프라자)",031-918-1388
72,안나의집,노인의료복지시설,13,경기도 고양시 일산동구 고봉로678번길 143-9 (성석동),031-977-9182
73,한가족요양원,노인의료복지시설,43,"경기도 고양시 일산동구 숲속마을1로 71, 9층 901호 (풍동, 샘터17빌딩)",031-924-7375
74,우영헌,노인의료복지시설,49,경기도 고양시 일산서구 송포로447번길 111 (가좌동),031-915-1491
75,은성요양원,노인의료복지시설,16,경기도 고양시 덕양구 흥도로 367-53 (성사동),031-965-2192
76,파인밸리 전문요양원,노인의료복지시설,54,경기도 고양시 덕양구 고골길178번길 73 (관산동),031-962-8360
77,펠리스요양원,노인의료복지시설,42,경기도 고양시 일산동구 성현로138번길 99-13 (성석동),031-926-2301
78,한나의집,노인의료복지시설,61,경기도 고양시 일산동구 지영로229번길 31-18 (지영동),031-962-6938
79,따뜻한요양원,노인의료복지시설,28,"경기도 고양시 덕양구 백양로 51, 7층 704호 (화정동, 네이버타운)",031-974-2210
80,다정한요양원,노인의료복지시설,49,경기도 고양시 일산서구 탄중로471번길 56 (일산동),031-977-0887
81,(고양)화정요양원,노인의료복지시설,26,"경기도 고양시 덕양구 화중로 128, 7층 (화정동, 고양프라자)",031-968-8828
82,청운실버요양원,노인의료복지시설,84,경기도 고양시 일산동구 성현로138번길 99-9 (성석동),031-977-7515
83,복이든 요양원,노인의료복지시설,45,경기도 고양시 일산서구 일산로 690 (대화동),031-917-8500
84,영광실버홈,노인의료복지시설,9,"경기도 고양시 일산서구 일중로 92 (일산동,2층)",031-977-8271
85,숲속요양원,노인의료복지시설,16,"경기도 고양시 일산동구 숲속마을로 50-76, 3층 (풍동, 중앙프라자B동)",031-909-5525
86,우리홈요양원2,노인의료복지시설,7,"경기도 고양시 덕양구 중앙로557번길 7-20, 304호 (행신동, 주공프라자 3층)",031-972-1445
87,에덴요양원2,노인의료복지시설,9,"경기도 고양시 덕양구 충장로 118-31, 502호 (행신동, 원스톱라이프상가)",031-978-2929
88,새생명실버홈1노인요양공동생활가정2,노인의료복지시설,9,"경기도 고양시 덕양구 충장로 7, 704~706호 (행신동, 별제회관)",031-971-3091
89,다은요양원2,노인의료복지시설,9,"경기도 고양시 일산서구 고봉로 339 (일산동, 승민빌딩 4층)",031-975-7002
90,더소중한사람요양원,노인의료복지시설,29,"경기도 고양시 일산동구 중산로 241 (중산동, 해태쇼핑타운 401호,405호,406호)",031-976-6002
91,희망의마을 요양원,노인의료복지시설,49,경기도 고양시 덕양구 내유길 30 (내유동),031-962-8338
92,수레요양원,노인의료복지시설,27,"경기도 고양시 일산서구 일현로 48, 501호 (탄현동, 현해프라자)",031-911-1004
93,로뎀트리요양원,노인의료복지시설,75,경기도 고양시 일산동구 숲속마을로 14-9 (풍동),031-907-5900
94,아케아공동생활가정,노인의료복지시설,9,"경기도 고양시 일산동구 중산로 244, 3층 (중산동, 고은프라자)",031-975-3885
95,별궁요양원(1),노인의료복지시설,9,"경기도 고양시 덕양구 마상로154번길 68, 5층 (성사동)",031-968-3024
96,행복요양원,노인의료복지시설,29,경기도 고양시 일산동구 장대길105번길 156 (장항동),031-906-8077
97,(가장)다정한요양원,노인의료복지시설,25,"경기도 고양시 덕양구 중앙로558번길 16-12, 3층 (행신동, 엘지프라자)",031-979-9020
98,미소요양센터,노인의료복지시설,27,"경기도 고양시 일산동구 탄중로 326-10, 401호 (중산동, 한양타운)",031-975-1277
99,일산연세요양원,노인의료복지시설,29,"경기도 고양시 일산동구 탄중로 325-7, 3층 (중산동, 올림피아빌딩)",031-976-0391
100,코스모요양원,노인의료복지시설,34,"경기도 고양시 덕양구 호국로 773, 8~9층 (주교동, 코스모프라자)",031-967-6336
101,정다운요양원2,노인의료복지시설,9,"경기도 고양시 덕양구 충장로 7, 801~803호 (행신동, 별제회관)",031-971-3097
102,소중한사람 노인요양시설,노인의료복지시설,28,"경기도 고양시 일산서구 일청로 80 (일산동, 성동빌딩)",031-911-0886
103,(고양)참편한요양원,노인의료복지시설,26,"경기도 고양시 덕양구 무원로6번길 61, 303호 (행신동, GL리치빌2차)",031-973-0031
104,글로벌요양원,노인의료복지시설,96,경기도 고양시 일산동구 고봉로770번길 17 (설문동),031-977-8883
105,베스트요양원,노인의료복지시설,95,경기도 고양시 일산동구 하늘마을1로 70 (중산동),031-975-6622
106,효림요양원,노인의료복지시설,22,"경기도 고양시 일산동구 중산로 236, 3,5층 (중산동)",031-976-6235
107,카리스요양원,노인의료복지시설,29,경기도 고양시 일산동구 은마길 163-40 (설문동),031-976-9884
108,더조은 요양원,노인의료복지시설,85,경기도 고양시 일산동구 공릉천로 300-12 (지영동),031-963-2201
109,포도나무요양원,노인의료복지시설,27,"경기도 고양시 일산서구 일현로41번길 8-1, 301호 (탄현동, 대림프라자)",031-818-0222
110,부추꽃요양원,노인의료복지시설,28,"경기도 고양시 일산동구 성석로 30, 3,4층 (중산동, 프라임빌딩)",031-977-8200
111,마리스케어,노인의료복지시설,175,경기도 고양시 덕양구 내유길 146-4 (내유동),031-969-9640
112,지극정성 너싱홈,노인의료복지시설,9,경기도 고양시 일산서구 덕이로 209-30 (덕이동),031-915-6090
113,봄여성전문요양원,노인의료복지시설,28,"경기도 고양시 일산동구 탄중로 326-10, 3층 (중산동, 한양타운)",031-912-0577
114,한마음노인전문요양센터,노인의료복지시설,99,경기도 고양시 일산동구 성현로377번길 128-1 (문봉동),031-975-9533
115,은혜의집,노인의료복지시설,16,경기도 고양시 덕양구 고골길264번길 73-7 (대자동),031-967-8503
116,한마음노인요양원,노인의료복지시설,7,"경기도 고양시 일산서구 탄중로 482, 2층 (일산동)",031-818-5735
117,드림요양원,노인의료복지시설,99,경기도 고양시 일산동구 장진천길166번길 113-13 (설문동),031-976-2428
118,에벤에셀요양원,노인의료복지시설,25,"경기도 고양시 덕양구 충장로 118-31, 3층 (행신동, 원스톱라이프상가)",031-967-8170
119,(고양)하늘소리 요양원,노인의료복지시설,70,경기도 고양시 덕양구 동헌로 319-25 (대자동),031-969-1693
120,일산드림요양원,노인의료복지시설,25,"경기도 고양시 일산동구 숲속마을로 14-15, 4층 (풍동, 일산드림월드)",031-907-2426
121,경희요양원,노인의료복지시설,68,"경기도 고양시 덕양구 성신로 6-27, 3~5층 (화정동, 선우빌딩)",031-970-0911
122,별궁요양원,노인의료복지시설,9,"경기도 고양시 덕양구 마상로154번길 68, 4층 (성사동)",031-968-3024
123,온누리요양원1호,노인의료복지시설,29,"경기도 고양시 일산서구 원일로 69, 301호 (일산동, 씨티프라자)",031-975-2225
124,푸른솔요양원,노인의료복지시설,18,"경기도 고양시 일산동구 숲속마을로 42 (풍동, 에이스타워 4층, 401호,402호)",031-903-6262
125,참사랑요양원,노인의료복지시설,24,"경기도 고양시 일산서구 현중로36번길 31 (탄현동, 성호프라자 401,403호)",031-914-9788
126,참사랑 노인요양센터,노인의료복지시설,99,경기도 고양시 덕양구 통일로768번길 24-2 (관산동),031-962-3155
127,일산VIP요양원,노인의료복지시설,99,경기도 고양시 일산서구 탄중로275번길 72 (탄현동),031-915-8883
128,다사랑 요양원,노인의료복지시설,24,"경기도 고양시 덕양구 중앙로558번길 16-12, 4층 401,402호 (행신동, 엘지프라자)",031-938-7733
129,송진 노인요양공동생활가정,노인의료복지시설,9,경기도 고양시 일산서구 송파로202번길 43 (가좌동),031-923-4278
130,참편한장수요양원2,노인의료복지시설,5,"경기도 고양시 덕양구 흥도로 193, 2층 (도내동)",031-979-0059
131,참편한장수요양원1,노인의료복지시설,9,"경기도 고양시 덕양구 흥도로 193, 1층 (도내동)",031-979-0059
132,햇살요양원,노인의료복지시설,23,"경기도 고양시 덕양구 무원로 24, 7층 (행신동, 골드프라자)",031-974-0220
133,은빛누리요양원,노인의료복지시설,20,경기도 고양시 덕양구 고골길264번길 23 (대자동),031-962-4022
134,고양사랑방요양원,노인의료복지시설,29,"경기도 고양시 덕양구 호국로 773, 701호 (주교동, 코스모프라자)",031-923-7582
135,다은요양원,노인의료복지시설,9,"경기도 고양시 일산서구 산현로 11, 5층 (탄현동, 부건프라자)",031-919-1107
136,일산 수 요양원,노인의료복지시설,99,경기도 고양시 일산동구 성현로377번길 128-3 (문봉동),031-976-2580
137,나눔애요양원,노인의료복지시설,41,"경기도 고양시 일산동구 숲속마을1로 71, 8층 801호 (풍동, 샘터17빌딩)",031-921-7717
138,서오릉요양원,노인의료복지시설,25,경기도 고양시 덕양구 용두로35번길 18 (용두동),02-357-4189
139,백세케어요양원,노인의료복지시설,28,"경기도 고양시 일산동구 고봉로702번길 21-35 (설문동,외 1필지)",031-976-7865
140,고양은혜마을,노인의료복지시설,61,경기도 고양시 덕양구 고골길264번길 73-17 (대자동),031-963-7302
141,보람요양원,노인의료복지시설,99,경기도 고양시 덕양구 마상로57번길 87-70 (주교동),031-962-7100
142,제일수요양원,노인의료복지시설,61,"경기도 고양시 덕양구 동헌로 445, 지하층 101호 (고양동)",031-963-3755
143,행복한요양원,노인의료복지시설,78,"경기도 고양시 일산서구 일현로 47, 7~8층 (탄현동, 예일큰프라자)",031-923-1107
144,일산정다운요양원,노인의료복지시설,17,"경기도 고양시 일산동구 숲속마을로 22, 801호 (풍동, 진넥스 블루오션)",031-903-5557
145,행복한요양원화정점,노인의료복지시설,48,"경기도 고양시 덕양구 중앙로 628, 10층 (화정동, 예일프라자)",031-973-2220
146,일산 온누리,노인의료복지시설,76,경기도 고양시 덕양구 지도로92번길 3 (토당동),031-978-4777
147,푸름실버케어,노인의료복지시설,9,"경기도 고양시 덕양구 토당로 87, 1층 (토당동)",031-978-7732
148,탄현우리요양원,노인의료복지시설,9,"경기도 고양시 일산서구 산현로17번길 7-14, 2층 (탄현동, 파워1프라자)",031-919-1104
149,새생명실버홈1노인요양공동생활가정1,노인의료복지시설,9,"경기도 고양시 덕양구 충장로 7, 701~703호 (행신동, 별제회관)",031-971-3091
150,화정햇살요양원,노인의료복지시설,27,"경기도 고양시 덕양구 화중로 128, 601호 (화정동, 고양프라자)",031-967-9970
151,양지실버 요양원,노인의료복지시설,99,경기도 고양시 일산동구 성현로377번길 128-5 (문봉동),031-975-1111
152,가좌호수요양원,노인의료복지시설,78,"경기도 고양시 일산서구 송산로 390, 3~4층 (가좌동)",031-914-4860
153,하이탑요양원,노인의료복지시설,26,"경기도 고양시 일산동구 중산로 235 (중산동, 아카데미타운 301호)",031-924-6788
154,늘사랑 요양원,노인의료복지시설,21,경기도 고양시 덕양구 내유길 64-15 (내유동),031-962-8372
155,은나무요양원,노인의료복지시설,9,"경기도 고양시 일산서구 일중로 73 (일산동, 3층, 301호)",031-812-7732
156,우리홈요양원,노인의료복지시설,15,"경기도 고양시 덕양구 중앙로557번길 7-20, 301,302호 (행신동, 주공프라자)",031-972-1441
157,고양시소규모노인종합센터,노인의료복지시설,15,경기도 고양시 덕양구 호국로790번길 42-9 (성사동),031-967-3403
158,에덴요양원1,노인의료복지시설,9,"경기도 고양시 덕양구 충장로 118-31, 502호 (행신동, 원스톱라이프상가)",031-978-2929
159,중산요양복지센터,노인의료복지시설,26,"경기도 고양시 일산동구 중산로 235 (중산동, 아카데미타운 701호)",031-977-7995
160,고양삼송해바라기요양원,노인의료복지시설,26,경기도 고양시 덕양구 무민로27번길 10-8 (대자동),031-965-8985
161,일산휴요양원,노인의료복지시설,86,"경기도 고양시 일산동구 무궁화로 365, 2, 3층 (식사동)",031-964-7501
162,밝은아침요양원,노인의료복지시설,9,경기도 고양시 일산동구 성현로93번길 25-24 (성석동),031-977-0286
163,(고양)서울요양원,노인의료복지시설,75,경기도 고양시 덕양구 보광로128번길 16-2 (벽제동),031-963-3020
164,행신요양원,노인의료복지시설,20,"경기도 고양시 덕양구 중앙로 547, 7층 (행신동, 비금빌딩)",031-974-7700
165,누리요양원,노인의료복지시설,49,경기도 고양시 일산동구 성현로138번길 99-17 (성석동),031-976-9191
166,열린소망요양원,노인의료복지시설,9,"경기도 고양시 일산동구 동국로 16, 2층 (식사동)",031-966-0317
167,일산노인복지센터,노인의료복지시설,9,경기도 고양시 일산서구 성저로70번길 10-9 (대화동),031-912-1232
168,백마효요양원,노인의료복지시설,25,"경기도 고양시 일산동구 경의로 315, 5층 (마두동, 설촌상가)",031-906-1088
169,효누리요양원,노인의료복지시설,27,"경기도 고양시 일산서구 일현로41번길 8-1 (탄현동, 대림프라자 4층 401호)",031-922-3110
170,도담요양원,노인의료복지시설,18,"경기도 고양시 덕양구 서정마을1로 8, 6층 (행신동, 미래프라자)",070-7793-2235
171,효성요양원,노인의료복지시설,9,"경기도 고양시 일산서구 대화1로 74, 101호 (대화동)",031-914-9115
172,연세사랑요양원,노인의료복지시설,150,경기도 고양시 덕양구 내유길 311 (내유동),031-966-0888
173,사랑방요양센터,노인의료복지시설,7,"경기도 고양시 일산서구 일산로 808, 306동 1층 4호 (대화동, 장성마을)",031-919-6606
174,명지노인요양원,노인의료복지시설,9,"경기도 고양시 일산동구 탄중로 325-7, 801호 (중산동)",070-7562-3718
175,더지극정성요양원,노인의료복지시설,76,경기도 고양시 일산동구 장진천길166번길 113-17 (설문동),031-977-6090
176,참좋은집,노인의료복지시설,91,경기도 고양시 일산동구 고봉로770번길 211-1 (성석동),031-975-2842
177,나누리요양원,노인의료복지시설,24,"경기도 고양시 덕양구 중앙로558번길 16-12, 5층 (행신동, 엘지프라자)",031-971-3383
178,고양누리요양원,노인의료복지시설,49,경기도 고양시 일산동구 동국로 137-19 (식사동),031-966-1199
179,화정늘푸른요양원,노인의료복지시설,27,"경기도 고양시 덕양구 화중로 128, 501호 (화정동, 고양프라자)",031-969-0043
180,닥터케어요양센터,노인의료복지시설,49,경기도 고양시 덕양구 고양대로 1365 (성사동),031-964-4788
181,천사요양원,노인의료복지시설,29,"경기도 고양시 일산동구 탄중로 325-7, 4층 (중산동, 올림피아빌딩)",031-975-0391
182,아름다운 노년과 풍경,노인의료복지시설,9,경기도 고양시 덕양구 신평길 136-38 (신평동),031-972-9094
183,예사랑요양원,노인의료복지시설,25,"경기도 고양시 일산서구 일현로 29 (탄현동, 예일프라자 601호,602호)",031-912-6077
184,이화요양원,노인의료복지시설,80,경기도 고양시 덕양구 용두로47번안길 5-19 (용두동),02-353-0111
185,자인요양센터,노인의료복지시설,9,"경기도 고양시 덕양구 중앙로 555, 3층 (행신동, 자인상가타운)",031-979-3114
186,(행복)다인요양원,노인의료복지시설,47,"경기도 고양시 덕양구 화신로 267, 7층 (화정동, 이프라자)",031-971-5858
187,원당노블요양원,노인의료복지시설,9,"경기도 고양시 덕양구 고양대로 1399, 3층 (성사동, 대성빌딩)",031-966-8667
188,카네이션요양원 일산점,노인의료복지시설,53,"경기도 고양시 일산동구 중산로 241, 5층 (중산동, 해태쇼핑)",031-924-9545
189,공경의집,노인의료복지시설,80,경기도 고양시 일산동구 상지석길 441 (설문동),031-977-3945
190,일산레인보우요양원,노인의료복지시설,89,"경기도 고양시 일산동구 탄중로 326-10, 2,5,6,7층 (중산동, 한양타운)",031-977-4888
191,소망의집,노인의료복지시설,8,경기도 고양시 일산동구 문원길102번길 51 (설문동),031-977-8671
192,하은요양원,노인의료복지시설,16,"경기도 고양시 덕양구 중앙로557번길 7-20, 701, 702호 (행신동, 주공프라자)",031-938-9423
193,(고양)어울림요양원,노인의료복지시설,29,"경기도 고양시 덕양구 중앙로 628, 6층 (화정동, 예일프라자)",031-973-5955
194,하늘빛요양원,노인의료복지시설,9,"경기도 고양시 일산동구 탄중로 311-8, 3층 302호 (중산동, 삼성프라자)",031-977-0599
195,하얀마음중산 노인요양공동생활가정,노인의료복지시설,9,"경기도 고양시 일산동구 중산로 250, 4층 (중산동, 정원빌딩)",031-977-7782
196,일산요양원,노인의료복지시설,19,"경기도 고양시 일산동구 중산로 103, 6층 (중산동, 거풍프라자)",031-975-1007
197,미소래요양원,노인의료복지시설,25,경기도 고양시 덕양구 내유길 127 (내유동),031-968-7900
198,샬롬요양원,노인의료복지시설,9,"경기도 고양시 일산동구 중산로 250 (중산동, 5층)",031-976-6398
199,일산무지개마을,노인의료복지시설,5,경기도 고양시 일산서구 이산포길 548 (구산동),031-922-8954
200,(사)사랑채요양원,노인의료복지시설,44,경기도 고양시 덕양구 통일로 413-19 (대자동),031-969-0070
201,더행복한요양원,노인의료복지시설,86,경기도 고양시 일산동구 공릉천로 300-20 (지영동),031-965-2203
202,성지 노인요양원,노인의료복지시설,9,"경기도 고양시 일산동구 중산로 245, 4층 (중산동, 대성상가)",070-8627-3737
203,일산효노인전문요양원,노인의료복지시설,25,"경기도 고양시 일산동구 탄중로 326-16, 401호 (중산동)",031-975-1177
204,더편한요양원,노인의료복지시설,45,"경기도 고양시 일산서구 고양대로 618, 4층 (일산동, 풍원리빙프라자)",031-911-3110
205,마두은혜노인요양시설,재가노인복지시설,22,"경기도 고양시 일산동구 강석로 145, 4층 (마두동)",031-905-4123
206,기쁨재가노인복지센터,재가노인복지시설,0,"경기도 고양시 덕양구 무원로6번길 61, 7층 706-1호 (행신동, GL프라자)",031-979-8550
207,명성렌탈케어,재가노인복지시설,0,경기도 고양시 일산동구 장진천길 30-57 (설문동),031-977-3663
208,고양노인주야간보호센터,재가노인복지시설,55,"경기도 고양시 덕양구 호국로789번길 7, 4층 (주교동)",031-969-5858
209,하나요양보호센터,재가노인복지시설,0,"경기도 고양시 일산동구 중앙로 1130, 3층 311호 (마두동, 올리브상가)",031-903-8888
210,민들레 단기보호센터,재가노인복지시설,13,"경기도 고양시 덕양구 중앙로 628, 403,404호 (화정동, 예일프라자)",031-938-7373
211,조이방문요양센터,재가노인복지시설,0,경기도 고양시 덕양구 마상로57번길 87-9 (주교동),031-964-3337
212,고양어르신복지센터,재가노인복지시설,56,"경기도 고양시 일산서구 하이파크2로 42 (덕이동, 현해프라자 4층)",031-914-0360
213,대화 노인종합복지센터,재가노인복지시설,9,"경기도 고양시 일산서구 강성로 271, 205호 (대화동, 대화씨티빌)",031-923-9131
214,봄 재가노인복지센터,재가노인복지시설,24,"경기도 고양시 덕양구 무원로6번길 61, 201~202호 (행신동, GL리치빌2차)",031-972-4123
215,참좋은집,재가노인복지시설,,경기도 고양시 일산동구 고봉로770번길 211-1 (성석동),031-975-2842
216,원당노블주야간보호센터,재가노인복지시설,9,"경기도 고양시 덕양구 고양대로 1399, 3층 (성사동, 대성빌딩)",031-966-8667
217,한나방문요양,재가노인복지시설,,"경기도 고양시 덕양구 동헌로 5, 1층 (관산동)",031-812-1270
218,더굿피플주간보호센터,재가노인복지시설,40,"경기도 고양시 덕양구 은빛로 39, 2층 (화정동, 세은빌딩)",031-966-1200
219,늘사랑 재가복지센터,재가노인복지시설,,"경기도 고양시 일산동구 호수로 646-24, 3층 308호 (장항동)",031-907-5300
220,다은주야간보호센터2,재가노인복지시설,7,"경기도 고양시 일산서구 고봉로 339 (일산동, 승민빌딩 4층)",031-975-7002
221,효주야간보호센터,재가노인복지시설,26,경기도 고양시 일산서구 킨텍스로 283 (대화동),031-915-9106
