업종명,업소명,영업자,소재지(도로명),소재지(지번)
일반음식점,옛장터,강신옥,경기도 포천시 포천로1585번길 11-1 (신읍동),경기도 포천시 신읍동 173번지 16호  
일반음식점,번개맞은참새,이순희,경기도 포천시 호국로 995 (선단동),경기도 포천시 선단동 52번지 3호  
일반음식점,서울Food,신규진,경기도 포천시 유교로 6-1  1층 (자작동),경기도 포천시 자작동 19번지 2호 외1필지 
일반음식점,쭈노치킨,이정옥,경기도 포천시 원앙로31번길 11 (신읍동),경기도 포천시 신읍동 170번지 2호  
일반음식점,끼리끼리,김경희,경기도 포천시 중앙로119번길 5 (신읍동),경기도 포천시 신읍동 43번지 37호  
일반음식점,쫑길이포차,이종길,경기도 포천시 포천로 1580 (신읍동),경기도 포천시 신읍동 191번지 19호  
일반음식점,고기마루,김미현,경기도 포천시 포천로 1607 (신읍동),경기도 포천시 신읍동 167번지 3호  
일반음식점,안흥손만두,배은아,경기도 포천시 중앙로119번길 32 (신읍동),경기도 포천시 신읍동 46번지 7호  
일반음식점,1번지옛날통닭,주동호,경기도 포천시 호병골길 35 (신읍동),경기도 포천시 신읍동 300번지 2호  
일반음식점,계경목장,김춘화,경기도 포천시 호병골길 35 (신읍동),경기도 포천시 신읍동 300번지 2호  
일반음식점,이동뼈해장국,권택옥,경기도 포천시 이동면 장암1길 23-1,경기도 포천시 이동면 504번지 15호  
일반음식점,거시기실내포장마차,천인숙,경기도 포천시 일동면 화동로 1041,경기도 포천시 일동면 기산리 90번지 133호  
일반음식점,풍미식당,장옥자,경기도 포천시 내촌면 포천로 8-1,경기도 포천시 내촌면 내리 465번지 18호  
일반음식점,선진식당,김진숙,경기도 포천시 호국로 885  1층 (설운동),경기도 포천시 설운동 78번지 4호  
일반음식점,우미락,박순이,경기도 포천시 원모루로2길 55 (신읍동),경기도 포천시 신읍동 112번지 6호  
일반음식점,불티나왕만두,한예순,경기도 포천시 포천로 1583-1 (신읍동),경기도 포천시 신읍동 191번지 7호  
일반음식점,폭포식당,김순옥,경기도 포천시 영북면 산정호수로411번길 15,경기도 포천시 영북면 산정리 451번지 14호  
일반음식점,프라자,신옥순,경기도 포천시 호국로 1000 (선단동),경기도 포천시 선단동 49번지 2호  
일반음식점,뱅뱅식당,김순희,경기도 포천시 중앙로133번길 6 (신읍동),경기도 포천시 신읍동 175번지 35호  
일반음식점,도레미치킨,양원석,경기도 포천시 호국로 1238 (자작동),경기도 포천시 자작동 19번지 3호  
일반음식점,아지트,김인선,경기도 포천시 중앙로 113 (신읍동),경기도 포천시 신읍동 41번지 4호  
일반음식점,설악칡냉면,박인수,경기도 포천시 가산면 선마로 236,경기도 포천시 가산면 마산리 399번지 21호  
일반음식점,송영선 할머니 갈비집,송영선,경기도 포천시 이동면 성장로1289번길 57,경기도 포천시 이동면 장암리 477번지 1호  
일반음식점,홍콩반점,김창수,경기도 포천시 이동면 갈골안길 127,경기도 포천시 이동면 노곡리 280번지 50호  
일반음식점,이동느티나무갈비,박상길,경기도 포천시 이동면 화동로 2089,경기도 포천시 이동면 장암리 216번지 2호  
일반음식점,이동원주갈비,이경옥,경기도 포천시 이동면 화동로 2131,경기도 포천시 이동면 장암리 477번지 1호  
일반음식점,오리사냥,권순경,경기도 포천시 일동면 운악청계로 1793,경기도 포천시 일동면 기산리 289번지 12호  
일반음식점,가일집,최옥렬,경기도 포천시 일동면 화동로 1041,경기도 포천시 일동면 기산리 89번지 53호  
일반음식점,영양식당,주수용,경기도 포천시 소흘읍 솔모루로78번길 17,경기도 포천시 소흘읍 송우리 110번지 25호  
일반음식점,맛의전당45년짬뽕전문점,유명순,경기도 포천시 소흘읍 호국로5번길 3,경기도 포천시 소흘읍 이동교리 770번지 1호  
일반음식점,나주식당,이재길, ,경기도 포천시 자작동 19번지 8호  
일반음식점,청송식당,김종녀,경기도 포천시 삼육사로2111번길 3 (선단동),경기도 포천시 선단동 786번지 10호  
일반음식점,대포포차,이미녀,경기도 포천시 중앙로105번길 16 (신읍동),경기도 포천시 신읍동 51번지 15호  
일반음식점,주유소,이경숙,경기도 포천시 포천로1585번길 18 (신읍동),경기도 포천시 신읍동 171번지 11호  
일반음식점,행복스넥,임상금, ,경기도 포천시 신읍동 174번지 12호  
일반음식점,기사식당,최봉숙,경기도 포천시 화현면 금강로 3930  1층,경기도 포천시 화현면 화현리 606번지 5호   1층 
일반음식점,천호식당,정경애,경기도 포천시 신북면 중앙로 336,경기도 포천시 신북면 가채리 185번지  
일반음식점,화정식당,천복자,경기도 포천시 이동면 갈골안길 119,경기도 포천시 이동면 노곡리 285번지 6호  
일반음식점,이맛치킨,김준구, ,경기도 포천시 이동면 장암리 483번지 1호  
일반음식점,향유,이동채,경기도 포천시 이동면 성장로 1287-13,경기도 포천시 이동면 장암리 471번지 2호  
일반음식점,늘봄식당,조갑연, ,경기도 포천시 영중면 양문리 853번지  
일반음식점,서운동산,이해연,경기도 포천시 내촌면 내진로9번길 237,경기도 포천시 내촌면 마명리 126번지 5호  
일반음식점,(주)함병현 김치말이국수,최정원,경기도 포천시 내촌면 내촌로 175,경기도 포천시 내촌면 내리 248번지 7호  
일반음식점,참나무숲,김순남,경기도 포천시 내촌면 금강로 2999,경기도 포천시 내촌면 신팔리 374번지 8호  
일반음식점,은총관,최애자,경기도 포천시 유교로 2 (자작동),경기도 포천시 자작동 30번지 4호  
일반음식점,야인시대,김재섭,경기도 포천시 중앙로 122 (신읍동),경기도 포천시 신읍동 43번지 14호  
일반음식점,자매쌈밥,김영임,경기도 포천시 중앙로105번길 13-4 (신읍동),경기도 포천시 신읍동 54번지 12호  
일반음식점,맷돌빈대떡,김진순,경기도 포천시 선마로 5 (선단동  56-6),경기도 포천시 선단동 56번지 6호  
일반음식점,기발한치킨,신혜연, ,경기도 포천시 신읍동 43번지 25호  
일반음식점,만리향,김은미,경기도 포천시 화현면 화동로 597,경기도 포천시 화현면 화현리 105번지  
일반음식점,풀향기,황영일,경기도 포천시 화현면 달인동로 240,경기도 포천시 화현면 화현리 810번지 18호  
일반음식점,운악산장,박현옥,경기도 포천시 화현면 화동로 241,경기도 포천시 화현면 화현리 1140번지 2호  
일반음식점,방축리식당,엄정희,경기도 포천시 가산면 방산길 40,경기도 포천시 가산면 방축리 85번지 2호  
일반음식점,가산식당,함춘희,경기도 포천시 가산면 가산로 195,경기도 포천시 가산면 방축리 132번지 6호  
일반음식점,깊은산초가집,이현진,경기도 포천시 신북면 깊이울로 151,경기도 포천시 신북면 심곡리 762번지  
일반음식점,돼지네식당,우창근,경기도 포천시 군내면 마전길 25-16,경기도 포천시 군내면 유교리 206번지 5호  
일반음식점,자연의집,두병천,경기도 포천시 이동면 성장로 605,경기도 포천시 이동면 노곡리 1244번지 1호  
일반음식점,3.8교쉼터,김조왕례, ,경기도 포천시 이동면 노곡리 1244번지 1호  
일반음식점,이동부산갈비,남상윤,경기도 포천시 이동면 성장로1289번길 57,경기도 포천시 이동면 장암리 477번지 1호  
일반음식점,연리지,김상진,경기도 포천시 소흘읍 솔모루로78번길 6,경기도 포천시 소흘읍 송우리 130번지 5호  
일반음식점,페리카나,김영길,경기도 포천시 소흘읍 송우로21번길 10,경기도 포천시 소흘읍 송우리 142번지 5호  
일반음식점,페리카나(일동점),곽미순,경기도 포천시 일동면 화동로 1073-2,경기도 포천시 일동면 기산리 91번지 23호  
일반음식점,추억의포차,임성희,경기도 포천시 일동면 화동로1050번길 5,경기도 포천시 일동면 기산리 90번지 146호  
일반음식점,진미식당,함재석,경기도 포천시 내촌면 금강로2536번길 22-35,경기도 포천시 내촌면 소학리 332번지 4호  
일반음식점,내촌가든반점,배윤일, ,경기도 포천시 내촌면 내리 521번지  
일반음식점,화로랑,장희경,경기도 포천시 소흘읍 솔모루로 98-12,경기도 포천시 소흘읍 송우리 107번지 15호  
일반음식점,백운산갈비,강연화, ,경기도 포천시 이동면 도평리 720번지  
일반음식점,송씨네,이정이,경기도 포천시 이동면 포화로 258,경기도 포천시 이동면 도평리 33번지  
일반음식점,가산식당,최화숙,경기도 포천시 가산면 가산로 237-9,경기도 포천시 가산면 방축리 25번지  
일반음식점,토라,배경률,경기도 포천시 포천로1585번길 28 (신읍동),경기도 포천시 신읍동 47번지 21호  
일반음식점,홍콩반점,차희숙,경기도 포천시 호병골길 45 (신읍동 (지상1층)),경기도 포천시 신읍동 303번지 1호 (지상1층) 
일반음식점,흥부네숯불갈비,박옥자,경기도 포천시 중앙로119번길 6 (신읍동),경기도 포천시 신읍동 43번지 21호  
일반음식점,희나리,김순태, ,경기도 포천시 신읍동 190번지  
일반음식점,군내식당,이용애,경기도 포천시 구절초로 40 (신읍동),경기도 포천시 신읍동 47번지 11호  
일반음식점,하이델베르그,배영미,경기도 포천시 중앙로110번길 2 (신읍동),경기도 포천시 신읍동 26번지  
일반음식점,핑계있는날,강성태,경기도 포천시 중앙로110번길 2 (신읍동),경기도 포천시 신읍동 26번지  
일반음식점,수표,유성자,경기도 포천시 중앙로 57 (신읍동),경기도 포천시 신읍동 75번지 7호  
일반음식점,호병골밤나무집,조미순,경기도 포천시 호병골길 147 (신읍동),경기도 포천시 신읍동 667번지 5호  
일반음식점,동아리곱창구이,남옥례, ,경기도 포천시 신읍동 172번지 18호  
일반음식점,샛터식당,이순자,경기도 포천시 동교로 5 (동교동),경기도 포천시 동교동 423번지 1호  
일반음식점,진미닭갈비,조혜림,경기도 포천시 포천로1585번길 14 (신읍동),경기도 포천시 신읍동 172번지 7호  
일반음식점,하림멕시칸,김동옥,경기도 포천시 관인면 탄동길 6,경기도 포천시 관인면 탄동리 649번지 31호  
일반음식점,용해감자탕,홍순선, ,경기도 포천시 관인면 탄동리 664번지  
일반음식점,중국성,전희경,경기도 포천시 관인면 관인로35번길 6,경기도 포천시 관인면 초과리 1번지 32호  
일반음식점,초원식당,장정은,경기도 포천시 영북면 산정호수로 774,경기도 포천시 영북면 산정리 203번지  
일반음식점,태산식당,전원덕,경기도 포천시 영북면 호국로3421번길 8,경기도 포천시 영북면 야미리 480번지  
일반음식점,뼈다귀천국,박유빈,경기도 포천시 영북면 영북로 187-9,경기도 포천시 영북면 운천리 506번지 22호  
일반음식점,전주식당,안비호,경기도 포천시 영북면 산정호수로411번길 83-64,경기도 포천시 영북면 산정리 191번지 1호  
일반음식점,왕십리곱창구이,강야협,경기도 포천시 영북면 운천로33번길 1,경기도 포천시 영북면 운천리 517번지 8호  
일반음식점,산채가든,신정애,경기도 포천시 이동면 포화로 236-24,경기도 포천시 이동면 도평리 35번지  
일반음식점,소나무숲,유일종,경기도 포천시 이동면 포화로 176,경기도 포천시 이동면 도평리 720번지  
일반음식점,노들식당,홍성란, ,경기도 포천시 이동면 도평리 23번지 2호  
일반음식점,바위네식당,엄정근,경기도 포천시 이동면 포화로 90,경기도 포천시 이동면 도평리 58번지 2호  
일반음식점,열두개울,박을주,경기도 포천시 신북면 청신로 1100,경기도 포천시 신북면 갈월리 442번지 4호  
일반음식점,명가손왕만두,이동수,경기도 포천시 일동면 화동로 1062-1,경기도 포천시 일동면 기산리 83번지 111호  
일반음식점,몽분식,장순례,경기도 포천시 일동면 화동로1033번길 13,경기도 포천시 일동면 기산리 89번지 57호  
일반음식점,사명분식,김재광,경기도 포천시 일동면 소야길 16-9,경기도 포천시 일동면 기산리 88번지 12호  
일반음식점,소통,이한빛찬,경기도 포천시 일동면 기산서길 4-1,경기도 포천시 일동면 기산리 91번지 63호  
일반음식점,청해수산,정재영,경기도 포천시 영중면 사은다리길 62 (1층),경기도 포천시 영중면 양문리 858번지 10호 1층 
일반음식점,곰고개식당,박재서,경기도 포천시 영중면 호국로 2756-22,경기도 포천시 영중면 양문리 686번지 5호  
일반음식점,케미커피,임종미,경기도 포천시 소흘읍 광릉수목원로 493,경기도 포천시 소흘읍 직동리 54번지 4호  
일반음식점,장군왕족발,이준분,경기도 포천시 소흘읍 송우로21번길 11  가동,경기도 포천시 소흘읍 송우리 142번지 4호  
일반음식점,페리카나치킨,이운우,경기도 포천시 내촌면 내촌로 47,경기도 포천시 내촌면 내리 496번지 3호  
일반음식점,명가춘천닭갈비,고재매,경기도 포천시 내촌면 내촌로 169,경기도 포천시 내촌면 내리 273번지 5호  
일반음식점,본죽,최영길,경기도 포천시 포천로 1577 (신읍동),경기도 포천시 신읍동 191번지 40호  
일반음식점,푸떡맛떡,구옥자,경기도 포천시 호국로1025번길 8 (선단동),경기도 포천시 선단동 109번지 2호  
일반음식점,베이컨끼오,김윤자, ,경기도 포천시 신읍동 44번지 2호  
일반음식점,티판이,경경순,경기도 포천시 중앙로119번길 23 (신읍동),경기도 포천시 신읍동 46번지 23호  
일반음식점,가미,서명숙,경기도 포천시 중앙로88번길 3 (신읍동),경기도 포천시 신읍동 33번지 13호  
일반음식점,노다지닭강정,윤철,경기도 포천시 화현면 화동로 575,경기도 포천시 화현면 화현리 125번지 3호  
일반음식점,투바위고개식당,김명옥, ,경기도 포천시 동교동 산 25번지 5호  
일반음식점,버드나무집식당,홍성범,경기도 포천시 관인면 창동로 661,경기도 포천시 관인면 중리 614번지 1호  
일반음식점,태백생고기전문점,손명숙,경기도 포천시 영북면 영북로177번길 20-8,경기도 포천시 영북면 운천리 513번지 27호  
일반음식점,대신정육점식당,이광숙,경기도 포천시 영북면 운천로 21,경기도 포천시 영북면 운천리 513번지 8호  
일반음식점,장원숯불갈비,정해균,경기도 포천시 영북면 운천안길 28,경기도 포천시 영북면 운천리 510번지 5호  
일반음식점,예린호프,박경자,경기도 포천시 가산면 가산로 386,경기도 포천시 가산면 마산리 186번지 1호  
일반음식점,OK능이마을,조승연,경기도 포천시 가산면 방산길 27,경기도 포천시 가산면 방축리 141번지  
일반음식점,오누이포차,최규학,경기도 포천시 가산면 가산로 332,경기도 포천시 가산면 마산리 43번지 8호  
일반음식점,솔마루,이건호, ,경기도 포천시 이동면 도평리 산 75번지  
일반음식점,청원가든,윤수복,경기도 포천시 이동면 포화로 106,경기도 포천시 이동면 도평리 55번지 2호  
일반음식점,백운지당골식당,이민섭, ,경기도 포천시 이동면 도평리 76번지 9호  
일반음식점,상류촌,박종임,경기도 포천시 이동면 포화로 340,경기도 포천시 이동면 도평리 22번지 2호  
일반음식점,명당가,양갑순,경기도 포천시 이동면 포화로 82  1층,경기도 포천시 이동면 도평리 720번지  
일반음식점,백운계곡나드리쉼터,곽해문,경기도 포천시 이동면 포화로 304,경기도 포천시 이동면 도평리 27번지  
일반음식점,산천유원지식당,김기영, ,경기도 포천시 이동면 도평리 16번지  
일반음식점,약속갈비,최순식, ,경기도 포천시 이동면 도평리 28번지  
일반음식점,길손식당,이형숙, ,경기도 포천시 이동면 도평리 산 75번지  
일반음식점,산골유원지식당,김세심, ,경기도 포천시 이동면 도평리 720번지  
일반음식점,선유담식당,황광석,경기도 포천시 이동면 포화로 122,경기도 포천시 이동면 도평리 720번지  
일반음식점,우리마당,김은미,경기도 포천시 이동면 포화로 306,경기도 포천시 이동면 도평리 27번지  
일반음식점,정든식당,백남옥, ,경기도 포천시 이동면 도평리 720번지  
일반음식점,초원식당,송태식, ,경기도 포천시 이동면 도평리 22번지  
일반음식점,족발애,오덕호,경기도 포천시 이동면 장암2길 12-1,경기도 포천시 이동면 장암리 511번지 7호  
일반음식점,옛촌산장,임수봉,경기도 포천시 이동면 포화로 290,경기도 포천시 이동면 도평리 산 76번지 9호  
일반음식점,솔솔바람,이명학,경기도 포천시 이동면 포화로 274-2,경기도 포천시 이동면 도평리 26번지 6호  
일반음식점,자연식당,홍사순,경기도 포천시 이동면 포화로 272,경기도 포천시 이동면 도평리 산 76번지 9호  
일반음식점,가보세식당,김용현,경기도 포천시 이동면 포화로 272  1층,경기도 포천시 이동면 도평리 26번지 8호 1층 
일반음식점,원조포천이동갈비,정혁,경기도 포천시 이동면 화동로 2083,경기도 포천시 이동면 장암리 216번지 7호  
일반음식점,청계가든식당,손유덕,경기도 포천시 일동면 사리재길 249,경기도 포천시 일동면 기산리 24번지 3호  
일반음식점,다림정,박옥선,경기도 포천시 일동면 화동로1063번길 12-1,경기도 포천시 일동면 기산리 91번지 50호  
일반음식점,일동소머리국밥,송연춘,경기도 포천시 일동면 화동로1043번길 6,경기도 포천시 일동면 기산리 90번지 123호  
일반음식점,우리분식,강석주, ,경기도 포천시 일동면 기산리 91번지 35호  
일반음식점,신소래포구,김창훈,경기도 포천시 일동면 화동로1063번길 3,경기도 포천시 일동면 기산리 91번지 59호  
일반음식점,원조파주골순두부집,송하숙,경기도 포천시 영중면 성장로 179  1층,경기도 포천시 영중면 성동리 135번지 8호  
일반음식점,페리카나(양문체인점),박현순,경기도 포천시 영중면 양문로 98-1,경기도 포천시 영중면 양문리 770번지 10호  
일반음식점,호남식당,강행자,경기도 포천시 영중면 양문로 105,경기도 포천시 영중면 양문리 809번지 4호  
일반음식점,태능오리마을,김희숙,경기도 포천시 소흘읍 솔모루로 36,경기도 포천시 소흘읍 송우리 452번지 7호  
일반음식점,포천활어횟집,신영남,경기도 포천시 소흘읍 호국로 613,경기도 포천시 소흘읍 송우리 448번지 1호  
일반음식점,샤브잔치,이병순,경기도 포천시 소흘읍 솔모루로 154,경기도 포천시 소흘읍 송우리 58번지  
일반음식점,길동무포장마차,이현숙,경기도 포천시 소흘읍 송우로21번길 14-1,경기도 포천시 소흘읍 송우리 143번지 4호  
