시군명,컨텐츠제목,컨텐츠타입,대분류,중분류,소분류,도로명주소,지번주소,우편번호,전화번호,원본대표이미지,썸네일대표이미지,컨텐츠등록시간,컨텐츠수정시간,WGS84위도,WGS84경도
가평군,상천수련원,숙박,숙박,숙박시설,산,경기도 가평군 청평면 경춘로 1401,경기도 가평군 청평면 상천리 296-7번지,12449,031-581-7030,http://tong.visitkorea.or.kr/cms/resource/46/1786046_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/1786046_image3_1.jpg,2004-04-23 00:00:00,2020-01-28 16:47:30,37.7763703255,127.4614368495
가평군,수풀로 삼회리,관광지,자연,자연관광지,산,경기도 가평군 청평면 북한강로 2047,경기도 가평군 청평면 삼회리 178-2번지,12458,,,,2014-01-24 09:59:46,2021-04-22 15:40:15,37.6995978318,127.3929830970
가평군,아이리스 호텔,숙박,숙박,숙박시설,산,경기도 가평군 가평읍 북한강변로 1027-11,경기도 가평군 가평읍 달전리 134번지,12422,031-581-0058,http://tong.visitkorea.or.kr/cms/resource/41/1475441_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/1475441_image3_1.jpg,2011-12-07 16:59:21,2020-01-21 15:11:02,37.8041528545,127.5244234387
가평군,아침고요가족동물원,관광지,인문(문화/예술/역사),휴양관광지,산,경기도 가평군 상면 임초밤안골로 301,경기도 가평군 상면 임초리 622-13번지,12447,,http://tong.visitkorea.or.kr/cms/resource/93/2575893_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/93/2575893_image2_1.bmp,2018-12-10 14:41:30,2020-06-03 17:50:52,37.7475691372,127.3607791961
가평군,아침고요수목원,관광지,자연,자연관광지,산,경기도 가평군 상면 수목원로 432,경기도 가평군 상면 행현리 623-3번지,12448,,http://tong.visitkorea.or.kr/cms/resource/25/2651625_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/25/2651625_image2_1.bmp,2007-10-03 00:00:00,2021-07-01 17:22:31,37.7439537969,127.3525341486
가평군,에델바이스 스위스테마파크,관광지,인문(문화/예술/역사),체험관광지,산,경기도 가평군 설악면 다락재로 226-57,경기도 가평군 설악면 이천리 306-3번지,12468,,http://tong.visitkorea.or.kr/cms/resource/85/2658585_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2658585_image3_1.jpg,2015-06-24 11:15:09,2021-04-02 15:07:55,37.6675468497,127.4470361647
가평군,연인산도립공원,관광지,자연,자연관광지,산,,경기도 가평군 조종면,,,http://tong.visitkorea.or.kr/cms/resource/74/1591274_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1591274_image3_1.jpg,2003-03-31 00:00:00,2021-06-03 15:43:54,,
가평군,옛골75,음식점,음식,음식점,산,경기도 가평군 상면 수목원로 60,경기도 가평군 상면 행현리 949-5번지,12448,031-585-7503,,,2008-08-27 14:37:13,2020-08-19 15:16:44,37.7691566377,127.3692885673
가평군,오버더마운틴,숙박,숙박,숙박시설,산,경기도 가평군 상면 수목원로386번길 75,경기도 가평군 상면 행현리 636번지,12448,,,,2020-11-12 09:22:12,2020-11-17 15:49:48,37.7451004785,127.3470267923
가평군,음악역 1939,관광지,인문(문화/예술/역사),체험관광지,산,경기도 가평군 가평읍 석봉로 100,경기도 가평군 가평읍 대곡리 148-3번지,12416,,http://tong.visitkorea.or.kr/cms/resource/73/2690673_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2690673_image3_1.jpg,2019-06-12 15:17:54,2021-03-04 15:05:17,37.8252905893,127.5129765360
가평군,자라섬,관광지,자연,자연관광지,산,경기도 가평군 가평읍 자라섬로 60,경기도 가평군 가평읍 대곡리 27-14번지,12421,,http://tong.visitkorea.or.kr/cms/resource/81/2482681_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2482681_image2_1.jpg,2011-11-15 16:44:24,2021-04-05 14:06:20,37.8209000098,127.5210429935
가평군,자라섬오토캠핑장,레포츠,레포츠,육상 레포츠,산,경기도 가평군 가평읍 자라섬로 60,경기도 가평군 가평읍 대곡리 27-14번지,12421,,,,2009-07-06 16:28:32,2021-04-09 17:25:18,37.8209000098,127.5210429935
가평군,잣향기푸른숲,관광지,자연,자연관광지,산,경기도 가평군 상면 축령로 289-146,경기도 가평군 상면 행현리 산92-1번지,12448,,http://tong.visitkorea.or.kr/cms/resource/77/2022377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2022377_image3_1.jpg,2016-08-31 16:55:03,2021-01-20 16:20:13,37.7691476559,127.3335677739
가평군,카페더스틸,음식점,음식,음식점,산,경기도 가평군 가평읍 북한강변로 1044-11,경기도 가평군 가평읍 달전리 108-5번지,12422,031-581-7002,http://tong.visitkorea.or.kr/cms/resource/82/2680882_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2680882_image2_1.jpg,2020-11-06 13:40:52,2021-06-23 13:32:23,37.8058200232,127.5257076654
가평군,칼봉산자연휴양림,관광지,자연,자연관광지,산,경기도 가평군 가평읍 경반안로 454,경기도 가평군 가평읍 경반리 산136번지,12415,,http://tong.visitkorea.or.kr/cms/resource/62/1091662_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1091662_image3_1.jpg,2010-07-15 10:13:34,2021-03-25 16:34:13,37.8373816053,127.4644736105
가평군,피노키오와 다빈치,관광지,인문(문화/예술/역사),휴양관광지,산,경기도 가평군 청평면 호반로 1073-56,경기도 가평군 청평면 고성리 617번지,12456,,http://tong.visitkorea.or.kr/cms/resource/20/2721620_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/20/2721620_image2_1.JPG,2021-06-16 16:42:36,2021-06-25 13:30:06,37.7174203539,127.4907753526
가평군,호명호수공원,관광지,인문(문화/예술/역사),휴양관광지,산,,경기도 가평군 청평면 상천리 산371-2,12449,,,,2008-08-05 10:02:07,2021-04-09 17:38:42,,
고양시,고양 관광특구,관광지,인문(문화/예술/역사),휴양관광지,산,,고양시 일산동구와 서구 일대(고양관광정보센터-일산문화공원-라페스타와 웨스턴돔-일산호수공원-원마운트-아쿠아플라넷-킨텍스) (장항동),,,,,2016-12-14 14:30:59,2021-06-17 16:40:56,,
고양시,고양 서삼릉(장경왕후) [유네스코 세계문화유산],관광지,인문(문화/예술/역사),역사관광지,산,경기도 고양시 덕양구 서삼릉길 233-126,경기도 고양시 덕양구 원당동 201-99번지,10292,,http://tong.visitkorea.or.kr/cms/resource/85/1150385_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1150385_image3_1.jpg,2002-05-10 00:00:00,2021-06-30 16:03:14,37.6646430279,126.8686115058
고양시,고양 서오릉 [유네스코 세계문화유산],관광지,인문(문화/예술/역사),역사관광지,산,경기도 고양시 덕양구 서오릉로 334-32,경기도 고양시 덕양구 용두동 475-95번지,10548,,http://tong.visitkorea.or.kr/cms/resource/88/1589188_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1589188_image3_1.jpg,2002-10-14 00:00:00,2021-04-15 16:48:25,37.6235477447,126.9007569002
고양시,고양 선인장전시관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906번지,10400,,http://tong.visitkorea.or.kr/cms/resource/97/1149697_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/1149697_image3_1.jpg,2010-10-08 16:15:21,2021-04-22 16:32:22,37.6644650844,126.7604466371
고양시,고양 아람누리,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 일산동구 중앙로 1286,경기도 고양시 일산동구 마두동 816번지,10409,,,,2007-09-04 00:00:00,2021-03-29 14:14:08,37.6605540504,126.7736143451
고양시,고양 어린이박물관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 덕양구 화중로 26,경기도 고양시 덕양구 화정동 1003번지,10503,,http://tong.visitkorea.or.kr/cms/resource/01/2551401_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2551401_image2_1.jpg,2018-06-20 10:53:18,2021-03-19 13:16:00,37.6294819266,126.8309552119
고양시,고양 어울림누리,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 덕양구 어울림로 33,경기도 고양시 덕양구 성사동 826번지,10471,,http://tong.visitkorea.or.kr/cms/resource/79/1589179_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/1589179_image3_1.jpg,2005-03-17 00:00:00,2021-04-13 14:54:11,37.6490659292,126.8354045961
고양시,고양문화원,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 일산서구 한류월드로 280,경기도 고양시 일산서구 대화동 1050-176번지,10392,,http://tong.visitkorea.or.kr/cms/resource/72/2363372_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2363372_image3_1.jpg,2007-11-06 01:33:53,2021-04-19 14:57:48,37.6650157318,126.7562800382
고양시,고양시립 주엽어린이도서관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 일산서구 주엽로 104,경기도 고양시 일산서구 주엽동 122번지,10385,,http://tong.visitkorea.or.kr/cms/resource/63/2363363_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2363363_image3_1.jpg,2012-08-17 09:43:55,2021-01-07 13:27:14,37.6684602083,126.7565064574
고양시,고양시문예회관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600번지,10460,,http://tong.visitkorea.or.kr/cms/resource/44/700644_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/700644_image3_1.jpg,2007-11-06 01:47:26,2020-12-04 15:23:08,37.6584112959,126.8319654608
고양시,국립여성사전시관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 덕양구 화중로104번길 50,경기도 고양시 덕양구 화정동 964번지,10497,,http://tong.visitkorea.or.kr/cms/resource/20/1949920_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/1949920_image2_1.jpg,2007-08-16 00:00:00,2020-12-01 13:52:53,37.6358176949,126.8340378818
고양시,꽃과 호수의 집 [한국관광 품질인증/Korea Quality],숙박,숙박,숙박시설,산,경기도 고양시 일산동구 노루목로 79,경기도 고양시 일산동구 장항동 875번지 호수마을4단지아파트 403동 1401호,10413,***-****-****,http://tong.visitkorea.or.kr/cms/resource/52/2595152_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2595152_image2_1.jpg,2019-04-08 09:38:43,2020-11-26 15:07:38,37.6487736788,126.7736044056
고양시,덕이동 로데오거리,쇼핑,쇼핑,쇼핑,산,경기도 고양시 일산서구 탄중로101번길 13,경기도 고양시 일산서구 덕이동 384-1번지,10236,1899-6841,http://tong.visitkorea.or.kr/cms/resource/16/1787116_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/1787116_image3_1.jpg,2011-06-22 18:59:11,2021-03-08 09:32:53,37.6930371465,126.7561817224
고양시,라페스타 (Lafesta),쇼핑,쇼핑,쇼핑,산,경기도 고양시 일산동구 중앙로 1305-56,경기도 고양시 일산동구 장항동 765번지,10401,031-920-9600,http://tong.visitkorea.or.kr/cms/resource/21/1928921_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/1928921_image3_1.jpg,2010-12-10 16:28:08,2020-09-08 11:26:10,37.6610260381,126.7683150660
고양시,럭셔리호텔,숙박,숙박,숙박시설,산,경기도 고양시 일산서구 중앙로 1559-11,경기도 고양시 일산서구 대화동 2224-3번지,10381,031-917-1717,http://tong.visitkorea.or.kr/cms/resource/51/1475551_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/1475551_image3_1.jpg,2011-12-13 11:17:04,2020-11-13 09:22:49,37.6750940271,126.7479921344
고양시,로얄인디아,음식점,음식,음식점,산,경기도 고양시 일산동구 무궁화로 20-11,경기도 고양시 일산동구 장항동 761번지,10401,031-816-6692,http://tong.visitkorea.or.kr/cms/resource/53/816953_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/816953_image3_1.jpg,2009-10-13 12:50:39,2020-05-25 18:22:17,37.6618144398,126.7675476974
고양시,롯데갤러리(일산),문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 일산동구 중앙로 1283,경기도 고양시 일산동구 장항동 784번지,10401,,http://tong.visitkorea.or.kr/cms/resource/07/700707_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/700707_image3_1.jpg,2005-06-03 00:00:00,2020-11-26 11:13:15,37.6604725838,126.7720959057
고양시,리치호텔[한국관광 품질인증/Korea Quality],숙박,숙박,숙박시설,산,경기도 고양시 일산서구 강성로 249,경기도 고양시 일산서구 대화동 2202번지,10381,031-917-0803~4,http://tong.visitkorea.or.kr/cms/resource/34/1831134_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/34/1831134_image2_1.JPG,2013-07-26 17:29:02,2020-11-27 16:23:11,37.6762103818,126.7492055803
고양시,미도향,음식점,음식,음식점,산,경기도 고양시 일산서구 대산로223번길 8-4,경기도 고양시 일산서구 대화동 2141-9번지,10377,031-918-5333,http://tong.visitkorea.or.kr/cms/resource/12/401612_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/401612_image3_1.jpg,2008-01-19 22:12:31,2020-07-10 15:52:26,37.6786172114,126.7535133228
고양시,발렌타인호텔,숙박,숙박,숙박시설,산,경기도 고양시 일산서구 일현로41번길 8-24,경기도 고양시 일산서구 탄현동 1558-5번지,10343,031-919-2205,,,2014-11-17 10:28:28,2020-12-16 14:46:05,37.6920593932,126.7626679778
고양시,배다골테마파크,관광지,인문(문화/예술/역사),휴양관광지,산,경기도 고양시 덕양구 배다골길 131,경기도 고양시 덕양구 화정동 6-1번지,10482,,http://tong.visitkorea.or.kr/cms/resource/33/2550733_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2550733_image2_1.jpg,2014-04-30 10:54:53,2021-04-30 15:39:47,37.6301638058,126.8481072548
고양시,배다골테마파크 고양민속박물관,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 덕양구 배다골길 131,경기도 고양시 덕양구 화정동 6-1번지,10482,,http://tong.visitkorea.or.kr/cms/resource/31/2550731_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/31/2550731_image2_1.JPG,2018-06-12 17:05:32,2021-05-03 17:07:55,37.6301638058,126.8481072548
고양시,부숑,음식점,음식,음식점,산,경기도 고양시 일산동구 장백로 8,경기도 고양시 일산동구 백석동 1301-2번지,10449,031-811-2329,http://tong.visitkorea.or.kr/cms/resource/63/1785763_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/1785763_image3_1.jpg,2009-09-03 13:32:25,2020-02-04 15:38:36,37.6399816314,126.7907030339
고양시,선인장다육식물연구소(구 선인장연구소),관광지,자연,자연관광지,산,경기도 고양시 일산서구 송산로 464-52,경기도 고양시 일산서구 덕이동 1377-2번지,10224,,http://tong.visitkorea.or.kr/cms/resource/86/1855986_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1855986_image3_1.jpg,2008-03-21 11:22:38,2021-03-19 09:30:00,37.6852216003,126.7307191529
고양시,소노캄 고양,숙박,숙박,숙박시설,산,경기도 고양시 일산동구 태극로 20,경기도 고양시 일산동구 장항동 1756번지,10394,031-927-7700,http://tong.visitkorea.or.kr/cms/resource/60/2704260_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2704260_image2_1.jpg,2017-06-20 10:39:37,2021-06-01 14:34:06,37.6619073321,126.7507668836
고양시,스포츠몬스터 고양,관광지,인문(문화/예술/역사),체험관광지,산,경기도 고양시 덕양구 고양대로 1955,경기도 고양시 덕양구 동산동 370번지 스타필드 4층,10595,,http://tong.visitkorea.or.kr/cms/resource/86/2505386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2505386_image2_1.jpg,2017-09-04 13:36:04,2020-01-09 14:37:02,37.6470962619,126.8948092677
고양시,아바타호텔,숙박,숙박,숙박시설,산,경기도 고양시 일산서구 산현로17번길 7-30,경기도 고양시 일산서구 탄현동 1575-4번지,10343,031-919-6761,http://tong.visitkorea.or.kr/cms/resource/52/1741752_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/1741752_image3_1.jpg,2012-10-29 17:46:06,2021-06-30 16:08:39,37.6899509351,126.7627682492
고양시,아소산,음식점,음식,음식점,산,경기도 고양시 일산동구 정발산로 128,경기도 고양시 일산동구 마두동 967-1번지,10411,031-903-5333,http://tong.visitkorea.or.kr/cms/resource/72/1855872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1855872_image3_1.jpg,2009-09-03 10:46:17,2021-06-15 17:08:31,37.6592122388,126.7826406310
고양시,아시아아시아,음식점,음식,음식점,산,경기도 고양시 일산동구 정발산로 24,경기도 고양시 일산동구 장항동 868번지,10403,031-901-0086,http://tong.visitkorea.or.kr/cms/resource/89/816989_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/816989_image3_1.jpg,2009-10-13 13:13:43,2020-01-29 11:33:00,37.6558930852,126.7719705633
고양시,아쿠아플라넷 일산,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 일산서구 한류월드로 282,경기도 고양시 일산서구 대화동 2606-1번지,10392,,http://tong.visitkorea.or.kr/cms/resource/54/2363354_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2363354_image3_1.jpg,2014-04-30 11:38:28,2021-01-18 17:04:12,37.6638219135,126.7556343424
고양시,아쿠아필드 고양,관광지,인문(문화/예술/역사),휴양관광지,산,경기도 고양시 덕양구 고양대로 1955,경기도 고양시 덕양구 동산동 370번지,10595,,,,2019-01-30 13:54:29,2021-05-21 10:51:55,37.6470962619,126.8948092677
고양시,오가족보,음식점,음식,음식점,산,경기도 고양시 일산서구 일산로803번길 6-4,경기도 고양시 일산서구 대화동 2304번지,10383,031-919-3732,http://tong.visitkorea.or.kr/cms/resource/27/2663327_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2663327_image2_1.jpg,2020-07-13 12:20:52,2021-03-09 16:13:15,37.6719809115,126.7474339093
고양시,원마운트 스노우파크,레포츠,레포츠,육상 레포츠,산,경기도 고양시 일산서구 한류월드로 300,경기도 고양시 일산서구 대화동 2606번지,10392,,,,2013-09-16 15:21:08,2020-05-28 09:10:18,37.6645540055,126.7545272288
고양시,원마운트 워터파크,관광지,인문(문화/예술/역사),휴양관광지,산,경기도 고양시 일산서구 한류월드로 300,경기도 고양시 일산서구 대화동 2606번지,10392,,http://tong.visitkorea.or.kr/cms/resource/46/2363346_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2363346_image3_1.jpg,2013-09-16 15:22:20,2021-03-18 17:53:53,37.6645540055,126.7545272288
고양시,웨스턴돔 (WesternDom),쇼핑,쇼핑,쇼핑,산,경기도 고양시 일산동구 정발산로 24,경기도 고양시 일산동구 장항동 868번지,10403,031-931-5114,http://tong.visitkorea.or.kr/cms/resource/69/1072169_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/1072169_image3_1.jpg,2010-08-10 10:36:28,2020-09-08 11:27:28,37.6558930852,126.7719705633
고양시,일산 동물의 왕국,관광지,인문(문화/예술/역사),휴양관광지,산,경기도 고양시 일산서구 장수길 23,경기도 고양시 일산서구 대화동 1949-21번지,10396,,http://tong.visitkorea.or.kr/cms/resource/56/2003556_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/56/2003556_image2_1.JPG,2015-05-11 14:16:21,2020-08-21 14:03:22,37.6595351066,126.7434327514
고양시,일산호수공원,관광지,인문(문화/예술/역사),휴양관광지,산,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906번지,10400,,http://tong.visitkorea.or.kr/cms/resource/36/2364836_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2364836_image3_1.jpg,2003-11-07 00:00:00,2021-02-25 11:00:23,37.6537546960,126.7686925095
고양시,중남미문화원,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 덕양구 대양로285번길 33-15,경기도 고양시 덕양구 고양동 301번지,10273,,http://tong.visitkorea.or.kr/cms/resource/61/1150961_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1150961_image3_1.jpg,2007-11-06 01:34:44,2020-12-31 11:39:38,37.7039998399,126.8953565313
고양시,쥐눈이콩마을,음식점,음식,음식점,산,경기도 고양시 덕양구 신촌길 81-15,경기도 고양시 덕양구 원당동 293-1번지,10292,031-965-5990,http://tong.visitkorea.or.kr/cms/resource/19/1785719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1785719_image3_1.jpg,2008-08-26 15:14:20,2021-03-09 16:40:06,37.6699528060,126.8554585712
고양시,킨텍스,문화시설,인문(문화/예술/역사),문화시설,산,경기도 고양시 일산서구 킨텍스로 217-60,경기도 고양시 일산서구 대화동 2600번지,10390,,http://tong.visitkorea.or.kr/cms/resource/29/1589229_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1589229_image3_1.jpg,2007-10-19 00:00:00,2021-01-22 13:21:50,37.6690309166,126.7456041294
