어린이집,도로명 주소,위도,경도,전화번호,관리기관,연장 보육반 설치 현황,데이터기준일자
사랑우리어린이집,"경기도 화성시 동탄순환대로20길 69 2259동 102호(목동,엔에이치에프경남아너스빌)",37.18736025,127.1278622,031-376-5540,화성시 아동보육과,Y,2020-03-27
리틀엔젤어린이집,"경기도 화성시 동탄순환대로7길 21 3004동 103호(산척동, 더레이크시티부영4단지)",37.1675199,127.1081918,031-377-1710,화성시 아동보육과,N,2020-03-27
사랑누리어린이집,"경기도 화성시 동탄대로1길 96 2820동 101호(장지동, 엔에이치에프엘크루)",37.16141104,127.092951,031-372-7955,화성시 아동보육과,Y,2020-03-27
아이다움어린이집,"경기도 화성시 동탄순환대로19길 59 2022동 101호(목동, 힐스테이트 동탄)",37.18590402,127.1206138,031-373-3678,화성시 아동보육과,Y,2020-03-27
호수카라어린이집,"경기도 화성시 동탄순환대로7길 21 3004동 101호(산척동, 더레이크시티부영4단지)",37.1675199,127.1081918,031-8050-8808,화성시 아동보육과,N,2020-03-27
꿈누리터어린이집,"경기도 화성시 동탄순환대로19길 21 2008동 105호(목동, 동원로얄듀크2차)",37.18893021,127.122638,031-8058-2008,화성시 아동보육과,Y,2020-03-27
햇살나무어린이집,"경기도 화성시 동탄대로1길 32 2909동 102호(장지동, 금호어울림레이크2차)",37.16235583,127.1030826,031-8043-3464,화성시 아동보육과,N,2020-03-27
숲의요정수피아어린이집,"경기도 화성시 동탄산척로 93-17 2504동 101호(산척동, 동탄 더샵 레이크에듀타운)",37.17312384,127.1100666,031-375-1598,화성시 아동보육과,N,2020-03-27
동원다올어린이집,"경기도 화성시 동탄순환대로19길 21 2006동 101호(목동, 동탄동원로얄듀크2차)",37.18783115,127.1228463,031-373-2604,화성시 아동보육과,Y,2020-03-27
사랑별어린이집,"경기도 화성시 동탄산척로 93-17 2509동 103호(산척동, 동탄 더샵 레이크에듀타운)",37.17425954,127.1073122,031-8050-5419,화성시 아동보육과,Y,2020-03-27
노리어린이집,"경기도 화성시 동탄산척로 93-17 2510동 104호(산척동, 동탄 더샵 레이크에듀타운)",37.1748894,127.106971,031-8043-6923,화성시 아동보육과,N,2020-03-27
이든샘어린이집,"경기도 화성시 동탄순환대로19길 59 2032동 101호(목동, 힐스테이트 동탄)",37.18334831,127.121956,031-8043-5232,화성시 아동보육과,Y,2020-03-27
행복가득한어린이집,"경기도 화성시 동탄순환대로19길 59 2029동 101호(목동, 힐스테이트 동탄)",37.18437929,127.1201933,031-8043-2284,화성시 아동보육과,N,2020-03-27
노리숲어린이집,"경기도 화성시 동탄대로9길 19 2630동 103호(송동, 동탄2신도시 하우스디 더 레이크)",37.17407331,127.105522,070-7543-2356,화성시 아동보육과,Y,2020-03-27
청계어린이집,"경기도 화성시 동탄대로시범길 134 1503동 101호(청계동, 시범 반도유보라 아이비파크4.0)",37.19872873,127.114307,070-8977-6114,화성시 아동보육과,N,2020-03-27
중흥미소어린이집,"경기도 화성시 동부대로 951 1701동 101호(오산동, 중흥S-클래스)",37.18586631,127.0877387,031-8043-1355,화성시 아동보육과,Y,2020-03-27
반도오감놀이어린이집,"경기도 화성시 동탄순환대로10길 88 3604동 102호(산척동, 레이크힐 반도유보라 아이비파크 10.2)",37.1657342,127.1303561,031-8043-4438,화성시 아동보육과,Y,2020-03-27
영영아어린이집,"경기도 화성시 동탄순환대로10길 88 3606동 102호(산척동, 레이크힐 반도유보라 아이비파크 10.2)",37.16545017,127.1317767,031-8043-3471,화성시 아동보육과,N,2020-03-27
달콩어린이집,"경기도 화성시 동탄순환대로10길 88 3604동 101호(산척동, 레이크힐 반도유보라 아이비파크 10.2)",37.1657342,127.1303561,031-8043-1970,화성시 아동보육과,N,2020-03-27
동화나라어린이집,"경기도 화성시 동탄순환대로10길 88 3607동 103호(산척동, 레이크힐 반도유보라 아이비파크 10.2)",37.16528121,127.1325209,031-377-0026,화성시 아동보육과,N,2020-03-27
초록나무어린이집,"경기도 화성시 동탄순환대로10길 88 3603동 102호(산척동, 레이크힐 반도유보라 아이비파크 10.2)",37.1658942,127.1296345,031-8043-9921,화성시 아동보육과,Y,2020-03-27
아이러브어린이집,"경기도 화성시 동탄순환대로21길 15 1352동 103호(청계동, 동탄2신도시 신안인스빌)",37.19507551,127.1163087,031-8043-7097,화성시 아동보육과,N,2020-03-27
엄마맘어린이집,"경기도 화성시 동탄순환대로11길 20 2457동 101호(산척동, 더레이크시티부영1단지)",37.16986721,127.1175851,031-377-0259,화성시 아동보육과,N,2020-03-27
즐거운어린이집,"경기도 화성시 동탄순환대로7길 22 3036동 101호(산척동, 더레이크시티부영5단지)",37.16755321,127.1128435,031-8043-5942,화성시 아동보육과,Y,2020-03-27
알콩달콩어린이집,경기도 화성시 향남읍 상신하길로 295 608동 101호(서봉마을 사랑으로 부영6단지),37.1146717,126.9086178,031-8059-0747,화성시 아동보육과,Y,2020-03-27
호수이레어린이집,"경기도 화성시 동탄순환대로9길 12 3065동 103호(산척동, 더레이크시티부영6단지)",37.16781129,127.1145881,031-8043-3065,화성시 아동보육과,N,2020-03-27
호수리라어린이집,"경기도 화성시 동탄산척로 92 2562동 102호(산척동, 더레이크시티부영3단지)",37.1719133,127.1092618,031-8050-3873,화성시 아동보육과,N,2020-03-27
호수아이편한어린이집,"경기도 화성시 동탄순환대로9길 12 3069동 103호(산척동, 더레이크시티부영6단지)",37.16724835,127.1161115,031-8050-3942,화성시 아동보육과,N,2020-03-27
으뜸별어린이집,경기도 화성시 동탄대로4가길 26 3334동 102호,37.15765089,127.1113736,031-376-4659,화성시 아동보육과,N,2020-03-27
호수아이꿈어린이집,"경기도 화성시 동탄산척로 124 2483동 102호(산척동, 더레이크시티부영2단지)",37.17125569,127.1148973,031-375-5956,화성시 아동보육과,N,2020-03-27
사랑가득어린이집,"경기도 화성시 동탄신리천로1길 74 1911동 101호(목동, 호반베르디움 센트럴포레)",37.18126932,127.1173587,031-375-7568,화성시 아동보육과,Y,2020-03-27
송산수노을어린이집,경기도 화성시 수노을1로 147 104동 104호(요진와이시티),37.28780164,126.8209398,031-8077-2272,화성시 아동보육과,Y,2020-03-27
요진어린이집,경기도 화성시 수노을1로 147 요진와이시티 102동 101호,37.28776831,126.8198458,031-355-9958,화성시 아동보육과,Y,2020-03-27
향기나무어린이집,"경기도 화성시 동탄순환대로20길 70 2212동 101호(목동, 한신더휴)",37.18614486,127.1254797,031-378-9846,화성시 아동보육과,N,2020-03-27
연솔어린이집,"경기도 화성시 동탄대로9길 19 2624동 103호(송동, 동탄2신도시 하우스디 더 레이크)",37.17293776,127.1028921,031-8043-4788,화성시 아동보육과,Y,2020-03-27
휴사랑어린이집,"경기도 화성시 동탄순환대로20길 70 2217동 102호(목동, 한신더휴)",37.18749363,127.1244253,031-8043-5533,화성시 아동보육과,N,2020-03-27
수피아어린이집,경기도 화성시 동탄순환대로12길 85 3639동 101호,37.16707696,127.1302482,031-8050-4731,화성시 아동보육과,N,2020-03-27
향남꼬마숲어린이집,경기도 화성시 향남읍 상신하길로 295 부영사랑으로 607-104,37.11498286,126.9077487,031-352-5595,화성시 아동보육과,Y,2020-03-27
방글방글어린이집,"경기도 화성시 동탄순환대로20길 13 2142동 101호(목동, 21단지엘에이치)",37.19173766,127.1239198,031-376-2766,화성시 아동보육과,N,2020-03-27
키즈별어린이집,"경기도 화성시 동탄순환대로20길 13 2143동 103호(목동, 21단지엘에이치)",37.19128611,127.1236516,031-378-6780,화성시 아동보육과,N,2020-03-27
부영다솜어린이집,경기도 화성시 향남읍 상신하길로 295 부영사랑으로 604-104,37.11549782,126.907981,031-8043-5698,화성시 아동보육과,Y,2020-03-27
반도그린힐어린이집,경기도 화성시 동탄순환대로12길 85 3638동 103호,37.166944,127.1309697,031-8058-2907,화성시 아동보육과,Y,2020-03-27
동탄한신어린이집,경기도 화성시 동탄순환대로20길 70 2212동 103호,37.18614486,127.1254797,031-374-1044,화성시 아동보육과,N,2020-03-27
즐거운라라어린이집,"경기도 화성시 동탄대로24길 117 334동 102호(영천동, 동탄파크자이)",37.2127657,127.1121844,031-8043-5695,화성시 아동보육과,Y,2020-03-27
더샵꿈모아어린이집,경기도 화성시 동탄감배산로 19 1612동 103호,37.18813623,127.089867,031-372-2883,화성시 아동보육과,Y,2020-03-27
아이동산어린이집,경기도 화성시 수노을1로 148 대방노블랜드 107-102,37.28664222,126.8183894,031-355-9707,화성시 아동보육과,Y,2020-03-27
호반해바라기어린이집,"경기도 화성시 동탄대로4다길 78 3314동 103호(장지동, 호반베르디움33단지)",37.15790679,127.1124422,031-378-5279,화성시 아동보육과,Y,2020-03-27
도유어린이집,경기도 화성시 동부대로 952 1711동 101호,37.18624857,127.0887957,031-373-7581,화성시 아동보육과,Y,2020-03-27
동원아이린어린이집,경기도 화성시 동탄첨단산업2로 14 203동 101호,37.21099563,127.1030195,031-372-1125,화성시 아동보육과,Y,2020-03-27
동광별빛어린이집,경기도 화성시 남양읍 역골중앙로 118 106동 102호(동광뷰엘),37.20971916,126.8280978,031-355-2629,화성시 아동보육과,Y,2020-03-27
레몬트리어린이집,경기도 화성시 동탄대로4길 17 3107동 104호,37.16351755,127.1081674,031-373-2025,화성시 아동보육과,N,2020-03-27
반도사랑어린이집,"경기도 화성시 동탄순환대로12길 85 3636동 101호(산척동, 그린힐 반도유보라 아이비파크 10차)",37.16619029,127.1320885,031-8058-8928,화성시 아동보육과,Y,2020-03-27
보라요정어린이집,"경기도 화성시 동탄순환대로12길 85 3636동 102호(산척동, 그린힐 반도유보라 아이비파크 10차)",37.16619029,127.1320885,031-8050-4156,화성시 아동보육과,Y,2020-03-27
어울림키즈어린이집,경기도 화성시 동탄대로4길 17 3105동 102호,37.16286068,127.10852,031-377-7665,화성시 아동보육과,Y,2020-03-27
키즈라라어린이집,경기도 화성시 동탄순환대로20길 45 2132동 102호,37.18915809,127.1291491,031-373-3121,화성시 아동보육과,N,2020-03-27
자이맘어린이집,"경기도 화성시 동탄대로2길 19 3210동 101호(장지동, 동탄자이파밀리에)",37.15983092,127.1054947,031-8058-2758,화성시 아동보육과,N,2020-03-27
행복마을햇살어린이집,"경기도 화성시 동탄순환대로26길 81 453동 101호(영천동, 동탄행복마을푸르지오)",37.21123758,127.1190557,031-8043-7590,화성시 아동보육과,Y,2020-03-27
동탄행복나무어린이집,"경기도 화성시 동탄순환대로26길 81 455동 102호(영천동, 동탄 행복마을 푸르지오)",37.21154724,127.1200459,031-377-8831,화성시 아동보육과,Y,2020-03-27
한결어린이집,"경기도 화성시 동탄대로24가길 7 104동 105호(영천동, 동탄파크푸르지오)",37.21816484,127.1121004,031-377-1766,화성시 아동보육과,Y,2020-03-27
금강아이뜰어린이집,"경기도 화성시 동탄순환대로20길 45 2133동 104호(목동, 동탄금강펜테리움센트럴파크 4차)",37.18856236,127.1288929,031-377-5881,화성시 아동보육과,N,2020-03-27
아롱별어린이집,경기도 화성시 동탄순환대로20길 45 2135동 102호,37.18808193,127.128039,031-373-0670,화성시 아동보육과,N,2020-03-27
자이라라어린이집,"경기도 화성시 서동탄로 53 101동 105호(능동, 서동탄역파크자이)",37.20147609,127.0498812,031-232-2282,화성시 아동보육과,N,2020-03-27
자이숲어린이집,"경기도 화성시 서동탄로 53 111동 104호(능동, 서동탄역파크자이)",37.20377329,127.0495182,031-236-0505,화성시 아동보육과,Y,2020-03-27
새롬어린이집,"경기도 화성시 동탄순환대로20길 31 2110동 104호(목동, e편한세상 동탄)",37.19195662,127.1276031,070-4383-1114,화성시 아동보육과,N,2020-03-27
시티꼬마어린이집,경기도 화성시 남양읍 시청로102번길 51 시티프라디움 1차 104동 102호,37.19886174,126.8225374,031-357-5107,화성시 아동보육과,N,2020-03-27
청아어린이집,경기도 화성시 수노을1로 191 이지더원 202-104,37.28466515,126.8225699,070-8184-1007,화성시 아동보육과,Y,2020-03-27
아이키즈유어린이집,"경기도 화성시 동탄대로24가길 7 106동 106호(영천동, 동탄파크푸르지오)",37.21817713,127.1103533,031-376-7131,화성시 아동보육과,Y,2020-03-27
금빛어린이집,경기도 화성시 수노을1로 235 102동101호,37.28091006,126.8232127,031-355-7128,화성시 아동보육과,Y,2020-03-27
반도봄빛어린이집,"경기도 화성시 동탄대로4길 95 3413동 104호(장지동, 레이크 반도유보라 아이비파크 9.0)",37.16196518,127.1186273,031-8050-5668,화성시 아동보육과,Y,2020-03-27
산새소리어린이집,경기도 화성시 동탄순환대로20길 104 2203동 104호,37.18367293,127.1248272,031-8043-3459,화성시 아동보육과,N,2020-03-27
우리어린이집,경기도 화성시 향남읍 상신하길로 65 1709동 101호,37.0988308,126.8954957,031-353-0323,화성시 아동보육과,N,2020-03-27
아이조아어린이집,"경기도 화성시 동탄대로4길 95 3409동 103호(장지동, 반도유보라 9차)",37.1627112,127.1179591,031-8050-2382,화성시 아동보육과,Y,2020-03-27
호반아이사랑어린이집,"경기도 화성시 동탄순환대로20길 104 2206동 102호(목동, 호반베르디움)",37.18521328,127.1244929,031-376-0546,화성시 아동보육과,Y,2020-03-27
다몽어린이집,경기도 화성시 안녕남로 246-21 101동 101호,37.20378538,127.0051069,031-222-6966,화성시 아동보육과,N,2020-03-27
우방좋은어린이집,"경기도 화성시 안녕남로 246-21 102동 101호(안녕동, 우방아이유쉘)",37.20321193,127.0059333,031-222-0784,화성시 아동보육과,N,2020-03-27
참조은어린이집,경기도 화성시 향남읍 상신하길로 65 1710동 104호(언덕마을사랑으로부영17단지아파트),37.09910419,126.8960787,031-354-1050,화성시 아동보육과,N,2020-03-27
루비어린이집,경기도 화성시 향남읍 상신하길로 65 1703동103호,37.10045408,126.8956403,031-366-3546,화성시 아동보육과,Y,2020-03-27
호반아이꿈어린이집,"경기도 화성시 동탄면 동탄신리천로1길 74 1907동 101호(목리, 호반베르디움센트럴포레)",37.18051473,127.1181623,031-377-6292,화성시 아동보육과,Y,2020-03-27
양우해맑은어린이집,경기도 화성시 남양읍 시청로102번길 12 202동 101호(양우내안애 2차 아파트),37.20137844,126.822853,031-355-0540,화성시 아동보육과,Y,2020-03-27
신동탄빅스맘어린이집,"경기도 화성시 동탄지성로 256 205동 103호(기산동, SK VIEW PARK 2차)",37.21728878,127.0528079,031-308-1833,화성시 아동보육과,N,2020-03-27
피터팬어린이집,"경기도 화성시 동탄지성로 256 210동 103호(기산동, SK VIEW PARK 2차)",37.21665811,127.0528905,031-223-7942,화성시 아동보육과,N,2020-03-27
상록도담어린이집,"경기도 화성시 동탄대로22길 9 632동 102호(영천동, 센트럴상록아파트)",37.20867696,127.0997296,031-377-5700,화성시 아동보육과,N,2020-03-27
SK행복한어린이집,경기도 화성시 동탄지성로 256 209동 101호,37.21686811,127.0535993,031-225-1631,화성시 아동보육과,N,2020-03-27
도담도담어린이집,"경기도 화성시 동탄순환대로 881-10 707동 102호(영천동, 동탄역 푸르지오)",37.2088255,127.0904425,031-373-7978,화성시 아동보육과,N,2020-03-27
센트럴상록어린이집,"경기도 화성시 동탄대로22길 9 636동 102호(영천동, 센트럴 상록아파트)",37.20871444,127.1028286,031-372-7379,화성시 아동보육과,Y,2020-03-27
해닮어린이집,경기도 화성시 동탄순환대로 881-10 710동 102호,37.20686043,127.0904419,031-8058-5378,화성시 아동보육과,N,2020-03-27
아이누리상록어린이집,"경기도 화성시 동탄대로22길 9 635동 103호(영천동, 센트럴상록아파트)",37.20872095,127.1020848,031-372-5305,화성시 아동보육과,N,2020-03-27
빛나라어린이집,경기도 화성시 동탄신리천로1길 74 1912동 104호,37.18072812,127.1172488,031-372-7586,화성시 아동보육과,N,2020-03-27
호반다온어린이집,경기도 화성시 동탄면 동탄신리천로1길 74 1913동 103호,37.18018681,127.117105,031-378-1239,화성시 아동보육과,Y,2020-03-27
호반아이뜰어린이집,"경기도 화성시 동탄면 동탄신리천로1길 74 1906동 101호(목리, 호반베르디움 센트럴포레)",37.17997339,127.1180074,031-8050-4534,화성시 아동보육과,N,2020-03-27
파란하늘어린이집,"경기도 화성시 동탄대로24길 199 477동 102호(영천동, 에듀벨리 사랑으로 부영)",37.20652184,127.1158338,031-378-1178,화성시 아동보육과,N,2020-03-27
캔디어린이집,"경기도 화성시 동탄대로24길 199 472동 104호(영천동, 에듀벨리 사랑으로 부영)",37.2076592,127.1163239,031-372-8530,화성시 아동보육과,N,2020-03-27
꿈동이어린이집,"경기도 화성시 동탄순환대로22길 46 1254동 102호(청계동, 청계숲 사랑으로 부영)",37.19950179,127.1192161,031-377-7953,화성시 아동보육과,Y,2020-03-27
부영아이숲어린이집,"경기도 화성시 동탄대로24길 199 485동 102호(영천동, 에듀벨리 사랑으로 부영)",37.20549652,127.1165377,031-375-4312,화성시 아동보육과,N,2020-03-27
부영행복어린이집,"경기도 화성시 동탄대로24길 199 486동 102호(영천동, 에듀벨리 사랑으로 부영)",37.20522708,127.1168433,031-373-6191,화성시 아동보육과,N,2020-03-27
부영다소니어린이집,"경기도 화성시 동탄순환대로22길 46 1257동 103호(청계동, 청계숲 사랑으로 부영)",37.19800116,127.1206885,031-378-5504,화성시 아동보육과,N,2020-03-27
이편한어린이집,"경기도 화성시 효행로 1337-23 107동 101호(반월동, e편한세상화성)",37.22565622,127.0606829,031-222-3004,화성시 아동보육과,N,2020-03-27
푸른동산어린이집,"경기도 화성시 효행로 1337-23 111동 102호(반월동, e편한세상 신동탄아파트)",37.22496745,127.0596836,031-233-0070,화성시 아동보육과,Y,2020-03-27
그린어린이집,"경기도 화성시 효행로 1337-23 102동 101호(반월동, e편한세상)",37.22630781,127.061378,031-226-9600,화성시 아동보육과,N,2020-03-27
대림꿈나무어린이집,"경기도 화성시 효행로 1337-23 108동 104호(반월동, e편한세상)",37.22497339,127.0612843,031-226-3600,화성시 아동보육과,N,2020-03-27
누리봄어린이집,"경기도 화성시 병점중앙로21번길 32 104동 104호(병점동, 화성병점양우내안애)",37.20110978,127.0413304,031-8002-6211,화성시 아동보육과,N,2020-03-27
새론어린이집,"경기도 화성시 동탄기흥로353번길 77 1605동 102호(오산동, 에일린의 뜰)",37.18910163,127.0875296,031-377-9788,화성시 아동보육과,Y,2020-03-27
열린어린이집,"경기도 화성시 동탄면 동탄대로9길 19 2627동 105호(동탄면, LH26단지)",37.17306172,127.104919,031-8043-2765,화성시 아동보육과,Y,2020-03-27
은초롱어린이집,"경기도 화성시 동탄대로9길 19 2633동 102호(송동, 하우스디 더 레이크)",37.17424116,127.1044961,031-378-5228,화성시 아동보육과,N,2020-03-27
아이엘어린이집,"경기도 화성시 동탄면 동탄대로9길 19 2626동 101호(동탄면, LH26단지아파트)",37.17301334,127.103928,031-373-7911,화성시 아동보육과,Y,2020-03-27
별솔어린이집,"경기도 화성시 동탄청계로 303-13 1115동 102호(청계동, 신안인스빌 2차)",37.20036731,127.1164735,070-8615-5351,화성시 아동보육과,N,2020-03-27
꿈미어린이집,"경기도 화성시 동탄순환대로26길 55 403동 102호(영천동, 반도유보라2차)",37.20887024,127.1172983,031-8058-9254,화성시 아동보육과,N,2020-03-27
신안참좋은어린이집,"경기도 화성시 동탄청계로 303-13 1116동 104호(청계동, 신안인스빌 2차)",37.19998069,127.1167797,031-376-1002,화성시 아동보육과,N,2020-03-27
봄봄어린이집,경기도 화성시 향남읍 상신하길로274번길 21 711동 102호(서봉마을 사랑으로부영7단지아파트),37.11249603,126.9115836,031-352-9569,화성시 아동보육과,Y,2020-03-27
사랑어린이집,경기도 화성시 향남읍 상신하길로274번길 21 711동 104호,37.11249603,126.9115836,031-8058-4758,화성시 아동보육과,N,2020-03-27
아기둥지어린이집,경기도 화성시 향남읍 상신하길로274번길 21 708동 103호(서봉마을 사랑으로부영7단지아파트),37.11311937,126.9118602,031-366-4507,화성시 아동보육과,N,2020-03-27
금강꼬마별어린이집,"경기도 화성시 동탄대로12길 64 1822동 101호(오산동, 금강펜테리움)",37.18064322,127.1105574,031-8058-1335,화성시 아동보육과,N,2020-03-27
금강열매어린이집,"경기도 화성시 동탄대로12길 64 1827동 104호(오산동, 금강펜테리움)",37.18120974,127.1074114,031-613-4059,화성시 아동보육과,N,2020-03-27
청솔어린이집,"경기도 화성시 동탄대로12길 17 1804동 101호(오산동, 반도유보라3차)",37.18172585,127.1053921,031-8043-0332,화성시 아동보육과,N,2020-03-27
반도숲어린이집,"경기도 화성시 동탄대로12길 17 1813동 104호(오산동, 반도유보라3차)",37.1828847,127.1042032,031-378-0804,화성시 아동보육과,N,2020-03-27
에뜨왈어린이집,"경기도 화성시 동탄대로12길 17 1802동 101호(오산동, 반도유보라3차)",37.18182921,127.1039496,031-374-3121,화성시 아동보육과,N,2020-03-27
반도글로벌어린이집,"경기도 화성시 동탄순환대로26길 55 403동 101호(영천동, 반도유보라2차)",37.20887024,127.1172983,031-372-7094,화성시 아동보육과,Y,2020-03-27
꼬마숲아이누리어린이집,"경기도 화성시 동탄대로시범길 20 1411-102(청계동, 동탄역시범한화꿈에그린프레스티지)",37.19661895,127.1005595,031-8043-4455,화성시 아동보육과,Y,2020-03-27
아름숲어린이집,경기도 화성시 동탄대로시범길 168 1029-103,37.20133673,127.1124457,031-372-1813,화성시 아동보육과,N,2020-03-27
늘사랑어린이집,"경기도 화성시 동탄순환대로21길 15 1347동 103호(청계동, 동탄2신도시 신안인스빌)",37.19421422,127.1175638,031-8058-1514,화성시 아동보육과,N,2020-03-27
행복그린어린이집,"경기도 화성시 동탄대로시범길 20 1428동 104호(청계동, 한화꿈에그린프레스티지)",37.19723493,127.1014577,031-8050-2618,화성시 아동보육과,Y,2020-03-27
동탄하늘빛어린이집,"경기도 화성시 동탄대로시범길 19 1408동 103호(청계동, 동탄역시범더샾 센트럴시티)",37.19749938,127.0996873,031-374-5433,화성시 아동보육과,N,2020-03-27
신안숲속어린이집,"경기도 화성시 동탄순환대로21길 15 1341동 102호(청계동, 동탄2신도시 신안인스빌)",37.19470399,127.1184965,031-373-0306,화성시 아동보육과,N,2020-03-27
포스코다솜어린이집,"경기도 화성시 동탄대로시범길 19 1404동 103호(청계동, 동탄역 시범 더샾 센트럴시티)",37.19960225,127.1004537,031-376-6960,화성시 아동보육과,N,2020-03-27
숲속꿈에그린어린이집,"경기도 화성시 동탄대로시범길 20 1411동 101호(청계동, 동탄역시범한화꿈에그린)",37.19661895,127.1005595,031-373-1134,화성시 아동보육과,N,2020-03-27
소화어린이집,"경기도 화성시 동탄대로시범길 20 1412동 104호(청계동, 동탄역 시범한화꿈에그린프레스티지)",37.19636359,127.099682,031-375-0327,화성시 아동보육과,N,2020-03-27
대원아이사랑어린이집,"경기도 화성시 동탄순환대로22길 14 1227동 103호(청계동, 대원칸타빌 포레지움)",37.19503432,127.120309,031-377-7923,화성시 아동보육과,Y,2020-03-27
라라숲어린이집,"경기도 화성시 동탄순환대로22길 14 1224동 101호(청계동, 대원칸타빌 포레지움)",37.19588954,127.1227836,031-8050-5244,화성시 아동보육과,N,2020-03-27
엄마품호반어린이집,"경기도 화성시 동탄순환대로22길 45 1203동 102호(청계동, 호반베르디움더클래스)",37.19878751,127.1185436,031-373-6005,화성시 아동보육과,N,2020-03-27
캐슬아이숲어린이집,"경기도 화성시 동탄순환대로21길 53 1302동 103호(청계동, 롯데캐슬알바트로스)",37.19647797,127.1123916,031-8050-1090,화성시 아동보육과,N,2020-03-27
호반키즈어린이집,경기도 화성시 동탄순환대로22길 45 1202동 101호(청계동 호반베르디움 더클래스),37.19803212,127.1190995,031-375-5501,화성시 아동보육과,N,2020-03-27
꽃초롱어린이집,경기도 화성시 향남읍 상신하길로328번길 21 311동101호(사랑으로부영),37.11735303,126.9130769,031-8050-5101,화성시 아동보육과,N,2020-03-27
호반햇살어린이집,"경기도 화성시 동탄순환대로22길 45 1201동 104호(청계동, 호반베르디움더클레스)",37.19743858,127.1195307,031-374-2232,화성시 아동보육과,N,2020-03-27
사랑톡톡어린이집,경기도 화성시 향남읍 상신하길로328번길 21 306동 103호(서봉마을 사랑으로부영),37.11828,126.912777,031-359-8872,화성시 아동보육과,Y,2020-03-27
나래어린이집,"경기도 화성시 동탄순환대로21길 53 1301동 102호(청계동, 롯데캐슬알바트로스)",37.19679556,127.1130323,031-8043-1170,화성시 아동보육과,N,2020-03-27
예쁜토리어린이집,"경기도 화성시 동탄대로시범길 53 1452동 102호(청계동, 시범대원칸타빌)",37.19965958,127.1041043,031-377-3848,화성시 아동보육과,Y,2020-03-27
행복숲어린이집,"경기도 화성시 동탄순환대로21길 54 1326동 101호(청계동, 센트럴푸르지오)",37.19653898,127.1172929,031-375-5828,화성시 아동보육과,N,2020-03-27
사랑모아어린이집,경기도 화성시 향남읍 상신하길로274번길 61 806동 101호(서봉마을 모아엘가),37.11214429,126.9133647,031-8059-4657,화성시 아동보육과,Y,2020-03-27
햇살좋은어린이집,경기도 화성시 향남읍 상신하길로328번길 21 302동 101호 (서봉마을 사랑으로 부영3단지아파트),37.11902085,126.9131203,031-353-3099,화성시 아동보육과,Y,2020-03-27
