구분,업체명,주요사업,주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
음식점업,송림병,떡,경기도 고양시 일산서구 대화로 130 104호,0507-1358-8188,2021-02-23,37.6702771488,126.7347854162
음식점업,갯바위,회,경기도 군포시 산본로323번길 16-7 113호,031-396-3356,2021-02-23,37.3592251438,126.9317615676
도소매업,혼수타운,"한복맞춤, 침장",경기도 부천시 자유로 47,032-651-8198,2021-02-23,37.4838043163,126.7813803448
도소매업,정금주한복연구실,한복맞춤,"경기도 과천시 별양상가2로 20 2층 14호, 62호",02-503-0845,2021-02-23,37.4268251693,126.9925549060
도소매업,보안당안경,안경,경기도 고양시 일산서구 일청로 10,031-975-8448,2021-02-23,37.6851928416,126.7701531828
음식점업,털보회관,"흑염소전골, 코다리찜",경기도 화성시 풀무골로106번길 19,031-376-2479,2021-02-23,37.2034864155,127.1395141277
음식점업,대로식당,"닭볶음탕, 백반",경기도 화성시 병점중앙로170번길 12-7,031-234-2186,2021-02-23,37.2137086420,127.0383013161
도소매업,경기모타,모터 판매 및 수리,경기도 파주시 강천길 134,031-941-3302,2021-02-23,37.7642617596,126.7696152746
음식점업,고산떡갈비,떡갈비,경기도 의정부시 평화로562번길 13,031-842-3006,2021-02-23,37.7423043283,127.0477952861
도소매업,용인떡집,떡류,경기도 용인시 처인구 금령로93번길 12-1,031-335-5480,2021-02-23,37.2367528226,127.2064585030
음식점업,남한강송어횟집,"송어회, 매운탕",경기도 여주시 능서면 능서로 714,031-881-5792,2021-02-23,37.3535636320,127.5731574854
음식점업,마로니에,경양식 돈가스,경기도 안성시 장기로45번길 22-3,031-674-9993,2021-02-23,37.0061716380,127.2686833541
도소매업,이안경박사,안경,경기도 안산시 단원구 원곡로 36 1층동,031-492-0085,2021-02-23,37.3302009857,126.7929824028
수리 및 기타 개인 서비스업,맨스헤어몽스튜디오,"헤어컷트, 염색, 가발",경기도 시흥시 은행로 66,031-311-6623,2021-02-23,37.4378067805,126.7961198388
음식점업,진천식당,"식육, 한식",경기도 수원시 장안구 정조로934번길 25,031-256-3074,2021-02-23,37.2916722384,127.0139862107
수리 및 기타 개인 서비스업,대성이발관,이용,경기도 수원시 팔달구 인계로68번길 52 102호,031-235-1653,2021-02-23,37.2666814745,127.0240492891
도소매업,우드아트,"고가구, 공예, 원목가구",경기도 성남시 수정구 제일로 154,031-751-9130,2021-02-23,37.4403942117,127.1322650563
교육 서비스업,제궁태권도장,태권도 교육,경기도 군포시 산본로 296-1 401호,031-391-5442,2021-02-23,37.3584473561,126.9368714424
제조업,화성기름집,전통기름,경기도 성남시 중원구 둔촌대로69번길 8 166 화성기름집,031-754-1285,2021-02-23,37.4306354573,127.1274977308
수리 및 기타 개인 서비스업,할리바버샵,이미용,경기도 안산시 상록구 충장로 432 홈플러스 안산점 2층 X23YC호,031-411-5070,2021-02-23,37.3171248925,126.8500756669
음식점업,어부집,매운탕,경기도 파주시 파평면 장승배기로366번길 15 어부집,031-953-0787,2021-02-23,37.8967525623,126.8192395511
도소매업,성경기름집,전통기름,경기도 성남시 중원구 성남대로1139번길 6 성경기도름집,031-721-2173,2021-02-23,37.4316570868,127.1284760407
도소매업,가나북스,"도서,서적","경기도 시흥시 수인로 2323 409호,414호,415호 가나북스",031-408-8811,2021-02-23,37.3866531893,126.8626473949
음식점업,초리골초계탕,초계탕,경기도 파주시 법원읍 초리골길 110 초리골초계탕,031-958-5250,2021-02-23,37.8511003446,126.8896218477
제조업,㈜동방파스텍,방화문 부자재,경기도 양주시 백석읍 권율로1203번길 39-31 (주)동방파스텍,031-847-9872,2021-02-23,37.7969599486,126.9580026573
도소매업,제일안경원,"안경, 콘택트렌즈",경기도 안산시 단원구 선이로 14 1130호 제일안경원,031-411-8118,2021-02-23,37.3423606229,126.8036386680
음식점업,마포설렁탕,설렁탕,경기도 수원시 팔달구 인계로101번길 11 마포설렁탕,031-235-4455,2021-02-23,37.2687111995,127.0289540215
음식점업,인하찹쌀순대,"순대, 국밥",경기도 부천시 심곡로34번길 43 인하찹쌀순대,032-652-3834,2021-02-23,37.4810587221,126.7731161212
음식점업,대성민물매운탕,쏘잡매운탕,경기도 양주시 원학로147번길 82-3,031-840-1361,2021-02-23,37.7764304737,127.0675843458
음식점업,두꺼비부대찌개,부대찌개,경기도 안산시 단원구 원고잔로 15,031-483-2379,2021-02-23,37.3189003905,126.8274543496
음식점업,홍능갈비,갈비,경기도 고양시 덕양구 삼송로 158 1층,02-381-3023,2021-02-23,37.6526946405,126.8915216108
음식점업,백제장,산채정식,경기도 광주시 남한산성면 남한산성로780번길 3,031-746-6551,2021-02-23,37.4788340186,127.1840020960
도소매업,수덕신발,수제화,경기도 의정부시 태평로73번길 20,031-848-3660,2021-02-23,37.7394019398,127.0501169382
도소매업,양곡종묘농약사,농약,경기도 김포시 양촌읍 양곡리 415-6,031-981-2151,2021-02-23,37.6543449371,126.6238279390
제조업,에이큐양복점,양복,경기도 평택시 쇼핑로 6-2 1층,031-666-4786,2021-02-23,37.0803189607,127.0503846859
음식점업,홍두깨,"칼국수, 만두",경기도 포천시 호국로 1435,031-535-7973,2021-02-23,37.8863322735,127.1925492572
음식점업,양평명품한우,"솥뚜껑 삼겹살, 한우",경기도 양평군 양평읍 양평장터길 5,0507-1308-6282,2021-02-23,37.4900547831,127.4932241503
음식점업,쉐프부랑제,"빵, 과자","경기도 김포시 사우중로 82 사우프라자 108, 109호",031-998-1313,2021-02-23,37.6217149876,126.7211869140
음식점업,송월관,떡갈비,경기도 동두천시 큰시장로 28-10,031-865-2428,2021-02-23,37.9010075784,127.0550269771
음식점업,군포식당,설렁탕,경기도 군포시 군포로556번길 6,031-452-0025,2021-02-23,37.3555128996,126.9472816593
수리 및 기타 개인 서비스업,봉담디지털스튜디오,사진촬영,경기도 화성시 봉담읍 삼천병마로 1276,031-227-3570,2021-02-23,37.2196719348,126.9488266830
도소매업,진미정육점,식육,경기도 고양시 일산서구 일청로12번길 9,031-976-3101,2021-02-23,37.6856296581,126.7708293857
도소매업,용문마트,"나들가게, 마트",경기도 하남시 역말로 26 1층,031-792-7350,2021-02-23,37.5344199671,127.2009041313
도소매업,동아수산(유한),수산물 도매,경기도 안양시 동안구 흥안대로 313,031-425-0096,2021-02-23,37.3831019563,126.9704727553
수리 및 기타 개인 서비스업,태양이발관,이용,경기도 화성시 경기도대로 1024,031-234-3070,2021-02-23,,
음식점업,석정,"한우등심, 된장찌개",경기도 화성시 풀무골로77번길 20-9,031-376-4316,2021-02-23,37.2068111517,127.1390362640
제조업,청아원(주),"젓갈, 반찬류",경기도 포천시 군내면 용정경제로1길 48-39,031-554-0775,2021-02-23,37.8783747348,127.1999166798
도소매업,해성장식,"도배, 장판, 인테리어",경기도 이천시 중리천로 11,031-633-7887,2021-02-23,37.2806568274,127.4391977420
음식점업,경원식당,부대찌개,경기도 의정부시 둔야로49번길 21,031-878-5464,2021-02-23,37.7402755369,127.0382850919
음식점업,단골집,"사태찌개, 섞어찌개",경기도 여주시 대신면 여양로 1460,031-882-7607,2021-02-23,37.3742508040,127.5860533828
도소매업,안성땅콩상회,"땅콩, 농산물, 멸치, 식품 등",경기도 안성시 인지1길 6,031-674-8089,2021-02-23,37.0059882960,127.2671215728
음식점업,그때그집,순대국밥,경기도 안성시 안성맞춤대로 1052-1,031-675-5268,2021-02-23,37.0071561035,127.2696582516
음식점업,벼슬구지뼈다귀감자탕,감자탕,경기도 시흥시 연성로29번길 14-1,031-318-8199,2021-02-23,37.3919522278,126.8064111182
도소매업,깨?는부부,"참기름, 들기름, 고춧가루",경기도 시흥시 도일로 100-4,031-495-7282,2021-02-23,37.3393863872,126.7840569246
도소매업,대하건재약업사,한약재,"경기도 수원시 권선구 입북로 12 1층, 102호",031-292-1800,2021-02-23,37.2928457700,126.9602976126
도소매업,충주기름집,"참기름, 농산물",경기도 성남시 중원구 둔촌대로83번길 7,031-754-0751,2021-02-23,37.4309074665,127.1280050188
음식점업,행복한밥상,한식백반,경기도 부천시 장말로279번길 6-2,032-653-7272,2021-02-23,37.4916865332,126.7732620016
도소매업,이안경,안경,경기도 부천시 부천로 185,032-664-3030,2021-02-23,37.5004803568,126.7860174027
음식점업,삼미정,"청국장, 콩비지",경기도 부천시 부천로130번길 3 1층,032-651-9493,2021-02-23,37.4956862098,126.7861874868
도소매업,현경한약방,한약,경기도 김포시 양촌읍 양곡1로 23,031-981-4943,2021-02-23,37.6527510937,126.6240280479
수리 및 기타 개인 서비스업,한화하이안세탁,세탁,경기도 김포시 풍무로68번길 41 101호,031-989-7868,2021-02-23,37.6019246183,126.7284736768
도소매업,올림픽신발,신발,경기도 김포시 양촌읍 양곡1로 35,0507-1307-6402,2021-02-23,37.6536947830,126.6236655324
도소매업,김포쌀상회,곡물,경기도 김포시 양촌읍 양곡1로 28,031-981-2320,2021-02-23,37.6530048711,126.6242177841
도소매업,광명탈렌트,"피부관리, 화장품 소매",경기도 광명시 광명로 898 304호,02-2618-1616,2021-02-23,37.4790441522,126.8545910818
음식점업,할머니집,"소머리국밥,수육",경기도 오산시 오산로300번길 3 할머니집,031-374-4634,2021-02-23,37.1537459049,127.0691175269
수리 및 기타 개인 서비스업,정숙희미용실,미용,경기도 안양시 만안구 안양로 332 우성빌딩 2층 정숙희미용실,031-466-6904,2021-02-23,37.4014403176,126.9195682231
도소매업,쓰리에이안경,안경,"경기도 수원시 권선구 경수대로302번길 29 1층 104-1호,104-2호 쓰리에이안경",031-222-0001,2021-02-23,37.2541579686,127.0232710700
제조업,대성기름집,전통기름,경기도 성남시 중원구 둔촌대로83번길 7 대성기름집,031-754-2883,2021-02-23,37.4309074665,127.1280050188
음식점업,장흥회관,"곱창, 해물탕",경기도 이천시 중리천로 8-1 장흥회관,031-635-3710,2021-02-23,37.2802149731,127.4388709628
음식점업,㈜오뎅식당,부대찌개,경기도 의정부시 호국로1309번길 7 오뎅식당,031-842-0423,2021-02-23,37.7440954678,127.0494983066
음식점업,할매설렁탕,설렁탕,경기도 안성시 중앙로 480 할매설렁탕,031-675-6852,2021-02-23,37.0051378937,127.2796901617
음식점업,서울깍두기,"설렁탕, 수육","경기도 안산시 단원구 광덕서로 56 109호, 110호 서울깍두기",1989-11-15,2021-02-23,37.3096607032,126.8273561069
도소매업,산본시장정육점,식육,경기도 군포시 산본천로183번길 3 산본시장정육점,031-396-5665,2021-02-23,37.3698651896,126.9382204183
도소매업,새서울정육점,한우암소,경기도 광명시 광이로13번길 11 1층,02-2682-4643,2021-02-23,37.4799575531,126.8568000400
음식점업,폭포수식당,닭볶음탕,경기도 안양시 만안구 예술공원로 236,031-471-3360,2021-02-23,37.4188028466,126.9311421966
음식점업,부일곱창,"곱창전골, 곱창볶음",경기도 부천시 계남로 304,032-326-6066,2021-02-23,37.5035894960,126.7814735892
음식점업,영빈루,중식,경기도 평택시 탄현로 341,031-666-2258,2021-02-23,37.0828025412,127.0564118566
도소매업,풍년지물포,벽지,경기도 화성시 향남읍 3.1만세로 1097,031-352-4700,2021-02-23,37.1319469216,126.9076502436
도소매업,엘지슈퍼,소매,경기도 부천시 조종로 74,031-668-1570,2021-02-23,37.4923288594,126.7929614536
도소매업,영광종묘농약사,농약,경기도 고양시 덕양구 삼송로205번길 30-9,02-381-9440,2021-02-23,37.6550583796,126.8972274108

