업종,업소명,대표자,시도,시군구,새 주소,읍/면/동,연락처,품목1,가격1,품목2,가격2,품목3,가격3,위도,경도,기준일자
한식,삼겹살에 소주한잔,김창구,경기도,파주시,문산읍 문향로 79-4,문산읍,031-953-0068,대패삼겹살(180g),"6,000",생삼겹살(200g),"12,000",냉동삼겹살(180g),"6,000",37.8588524,126.7859802,2021-04-20
한식,복사리집,신화순,경기도,파주시,문산읍 사임당로 149,문산읍,031-954-1428,김치찌개,"5,000",육개장,"6,000",제육덮밥,"6,000",37.8668709,126.8073807,2021-04-20
한식,맘,손미자,경기도,파주시,월롱면 엘씨디로 16 LCD파크 A-127,월롱면,031-942-7880,제육덮밥,"6,000",오징어덮밥,"6,000",소불고기덮밥,"7,000",37.8103714,126.7763519,2021-04-20
한식,암소식당,임규태,경기도,파주시,월롱면 엘지로360번길 19,월롱면,031-945-1255,생등심(160g),"20,000",특수부위(160g),"23,000",육사시미(150g),"20,000",37.8763033,126.7621841,2021-04-20
한식,복드림한우,손미숙,경기도,파주시,탄현면 새오리로 48,탄현면,031-944-8060,설렁탕,"5,000",사골우거지탕,"6,000",뚝불고기,"7,000",37.7892418,126.6873779,2021-04-20
한식,고씨네해장국,서영숙,경기도,파주시,가람로116번길31(와동동),와동동,031-948-8220,선지해장국,"7,000",황태해장국,"7,000",뼈해장국,"8,000",37.7358704,126.7636108,2021-04-20
한식,산몰랭이국수,지영순,경기도,파주시,아동로 20 장안3차상가 E-107 (금촌동),금촌동,031-948-1457,칼국수,"5,000",손만두국,"6,000",비빔국수,"5,000",37.764482,126.7764053,2021-04-20
한식,원주네식당,유순월,경기도,파주시,파주읍 시장거리길 34,파주읍,031-952-5558,돼지주물럭,"4,000",육개장,"5,000",소머리국밥,"5,000",37.8309517,126.8170319,2021-04-20
중식,대운각,이보애,경기도,파주시,파주읍 우계로 62,파주읍,031-953-0174,짜장면,"5,000",돈까스,"7,000",탕수육(소),"10,000",37.8313103,126.8189774,2021-04-20
이미용업,엘로이미용실,김귀식,경기도,파주시,파주읍 술이홀로 432,파주읍,031-953-3237,파마,"12,000",컷트,"5,000",염색,"15,000",37.8294449,126.8348312,2021-04-20
한식,신촌갈비,박양녀,경기도,파주시,새꽃로 199 (금촌동),금촌동,031-941-7310,돼지갈비(200g),"10,000",육개장,"8,000",갈비탕,"8,000",37.7656097,126.7746887,2021-04-20
한식,김밥레스토랑,김혜영,경기도,파주시,청석로 256 교하1번가 106호,교하동,031-941-2904,기본김밥,"2,000",순두부찌개,"5,000",제육덮밥,"6,500",37.7247543,126.7175751,2021-04-20
한식,시래기국밥,하태분,경기도,파주시,경기도 파주시 금정8길 1번지 (금촌동),금촌동,031-942-8865,시래기국밥,"6,000",시래기돌솥밥,"7,000",시래기뼈해장국,"8,000",37.7581596,126.7759552,2021-04-20
한식,옛날집,박미수,경기도,파주시,문화로 74-3,아동동,031-945-6677,닭칼국수,"6,000",닭곰탕,"6,000",닭개장,"7,000",37.7609673,126.7759857,2021-04-20
한식,전주웰빙새알팥죽,김희정,경기도,파주시,문향로 17번길 21 1층 102호,문산읍,031-953-1888,새알팥죽,"7,000",팥칼국수,"6,000",보리비빔밥,"5,000",37.8536339,126.7848969,2021-04-20
한식,착한한식부페,신보경,경기도,파주시,명봉산로 62외 1필지,조리읍,031-941-0523,한식부페,"5,000",,,,,37.7335091,126.8419189,2021-04-20
한식,아리몽,안승모,경기도,파주시,금정로 98,금촌동,031-957-7100,한우불고기정식(+산채비빔밥)점심특선,"10,000",시래기국밥,"7,000",장단콩 차돌된장찌개,"8,000",37.7632866,126.7724609,2021-04-20
한식,콩순이네칼국수,김대규,경기도,파주시,송화로 11 팜스프링 지하상가 17호 (아동동),아동동,031-944-9788,칼국수,"5,000",잔치국수,"5,000",비빔국수,"5,000",37.7719879,126.7771454,2021-04-20
한식,참숯한우천국,장경자,경기도,파주시,한마음2길 47,금촌동,031-944-1592,왕갈비탕,"6,000",한우사골설렁탕,"6,000",한우차돌된장,"6,000",37.7574348,126.7720337,2021-04-20
한식,새말칼국수,김용숙,경기도,파주시,경의로 1805,금촌동,031-947-2569,엄마칼국수,"4,000",시골칼제비,"6,000",시골수제비,"6,000",37.7675133,126.7755814,2021-04-20
