회사명,사업자등록번호,개업년월,기업소개,주요작품,우편번호,주소,상세주소,대표전화,홈페이지주소,메이커스주요분야,콘텐츠주요분야,SNS주소1,SNS주소2,SNS주소3,공개여부
꿈꾸는 다락방,682-04-00964,2018-10-10,꿈꾸는 다락방 Dreaming Attic  한국양초공예협회 [KCCA] 강사 에벤캔들 강사  캔들 자격증반 - 창업반/취미반 - 원데이클래스 디퓨져/석고방향제 [개인주문 / 답례품 제작]  한국디자인아트센터 [KDAC] 강사  - 천연비누 - 창업반/취미반 - 원데이클래스 [개인주문 / 답례품 제작]  플로리스트 전문가과정  - 창업반/취미반 - 원데이클래스 - 돌잔치/프로포즈     *주문 및 클래스 상시모집,캔들  천연 비누,16514,경기도 수원시 영통구 법조로 38 광교 더샵 레이크파크,꿈꾸는 다락방,,https://blog.naver.com/ebbnjh81,,,,,,Y
꿈꾸는 분홍,701-20-00509,2017-11-20,"광명 앙금플라워 쌀베이킹안녕하세요 꿈꾸는분홍입니다 앙금으로 꽃을 피워내고 건강한 쌀베이킹을 운영하고있습니다 ""케이크데코레이션협회""의 자격증 발급가능합니다.",앙금플라워 쌀베이킹,14306,경기도 광명시 하안로288번길 12 하안주공12단지상가,꿈꾸는 분홍,,https://dreamingpink.modoo.at/,,,,,,Y
꿈블룸,229-90-12336,2017-10-16,경기도 성남시 중원구 금광동에 위치한 세라믹 & 아트 스튜디오 입니다. 소수정예의 도자기 수강과 미술 수업이 이루어지며  예술감성을 나누는 공간입니다. ;),도자기 종류(컵  접시 등),13179,경기도 성남시 중원구 금광동 4498,꿈블룸,,https://blog.naver.com/kkooomblooom,도예,,https://www.instagram.com/kkooomblooom/,,,Y
꿈을담은틀,111-20-50905,2016-10-25,동화속의 한장면을 담아내는 듯한 일러스트 자수를 수놓는 꿈을담은틀 공방입니다.소수정예로만 이루어지는 클래스로 프랑스자수에 대해서 깊게 배워볼 수 있는 커리큘럼으로 이루어져있습니다. 주로 아기자기한 이미지를 수놓아 다양한 소품과 액자를 만들고  클래스를 통해 즐거움을 공유하는 공간입니다.,"꿈을 펼쳐내는 고래의 모습을 담은 ""꿈꾸는 고래"" 액자는 저희 공방의 대표작품입니다.다양한 자수기초기법들로 이루어져있으며  고래위로 피어나는 꽃들의 모습을 표현했습니다.바라만봐도",10870,경기도 파주시 가람로21번길 26-25,1층 꿈을담은틀,031-949-2202,https://blog.naver.com/yunjung2235,기타,기타,인스타그램 ggumtle_embroidery,,,Y
나랑아트(한국실용아트교육협회),210-10-68339,2013-03-05,실용적인 물건이나 본래의 기능을 살리면서 다양한 도구와 재료를 이용하며 익히고 다른 공예와 융합하는 솜씨를 키우며 교육의 전문가로서 자질과 다양한 공예 이론과 공예기법을 습득하여 유치원 초중고등 방과 후 수업 진로직업체험  일반인  단체 기업체 출강  다양한 체험 학습운영 등 수행할 수 있는 능력을 키울 수 있는 곳나랑아트(한국실용아트교육협회)입니다.,우드버닝 ·생활목공 DIY 셀프인테리어  아트페인팅  팬시우드  냅킨아트  도우아트 세라믹아트  탄화코르크원예 빈티지가죽  레진아트  스트링아트  스탬프아트  새활용양말목공예등,11718,경기도 의정부시 장곡로 248 장암동아아파트,장암동아상가 304호,031-836-8004,https://blog.naver.com/orangenews,기타,기타,,,,Y
더테이블스튜디오,387-95-00354,2016-09-01,더 테이블스튜디오는 목공 기초  우드카빙기초 교육을 전문으로하며가구제작기능사 자격증반도 운영하고 있습니다.다양한 원목가구 주문 제작과 교육을 실시하고 있는 목공방입니다.,A-chair  Kitchen-shelf  Kitchen table  Bed  Day-bed  Stool,10524,경기도 고양시 덕양구 무원로36번길 55,1층 지하1층,,http://www.thetablestudio.com,목공,지식정보 기타,designkim73.blog.me,instargram.com/thetablestudio,,Y
도도한나무,438-88-00616,2017-05-12,용인 도도한 나무 공방,목공품,16866,경기도 용인시 수지구 탄천상로 1 치어스레스토랑,2층 도도한 나무,1600-5986,http://www.dodonamu.com/shop/00_main/main.php,,,,,,Y
도자공방 수오재,864-06-00819,2018-04-25,도자공방 수오재는 “나를 지키는 집” 이라는 뜻으로 항상 나를 잃지 말고 단정하고 생활에 어긋남이 없는 제품을 제작 하자는 슬로건 아래 오브제적 제품을 100% 판성형 기법으로 제작하여  친환경과 실용적이며  군더더기 없는 단백한 디자인을 하는 공방입니다.최대한 점토의 물성과 고유의 색으로 표현하도록 중점을 두었으며  점토와 가장 잘 어울리는 친환경 유약을 제작 사용해서 소성합니다.항상 처음과 같은 마음으로 모든 제품을 제작하며 나를 잃지 않는 정직한 도자공방 수오재를 운영합니다.,오브제 CUP  밥그릇  국그릇  접시시리즈  샐러드시리즈 및 기타 식기류,15537,경기도 안산시 상록구 본삼로 11 빛나프라자,105호 도자공방 수오재,,,도예,기타,,,,Y
나무랑캘리랑,744-47-00051,2015-07-21,캘리그라퍼*원목diy강사*캘리그라피 diy  출강* 캘리소품제작*원목소품제작*원목가구주문제작* 원데이클래스진행*목공체험수업,캘리그라피가 들어간 목공제품  편지 등,14093,경기도 안양시 만안구 안양로111번길 29,지층  나무랑캘리랑,,https://blog.naver.com/spaceinto,기타,,,,,Y
나무풍경,133-02-83945,2015-11-21,나무풍경은생활목공을 널리 보급하기위한생활목공클럽입니다.,목공예품,14354,경기도 광명시 자경로 71,나무풍경,02-2642-0945,https://woodscape.modoo.at/,,,,,,Y
넌나의꽃난너의빛,145-10-01091,2015-03-11,수원 페이퍼 플라워  캔들 공방입니다. 자격증과정  원데클래스  취미과정 레슨과 모든 상품 주문-제작 가능합니다.,페이퍼 플라워  캔들,16546,경기도 수원시 영통구 매탄로 55-7,1층 넌나의꽃난너의빛,,https://blog.naver.com/myfloweryourlight,,,,,,Y
다온공방,647-28-00671,2019-01-17,생활에 필요한 비누  캔들  디퓨저등 천연아로마오일을 이용하여 자신이 원하는 향과 색상으로 자신의 취향에 맞는 작품을 직접 만드는 재미와 설렘가 있는 공방입니다. 일상생활에 지친 피로를 풀고 갈 수 있는 곳~ 자신만의 개성을 살리고  마음의 안정을 찾아갈 수 있는 친근한 공방입니다^^,수제비누  캔들  소이p캔들  왁스타블렛  석고방향제  방향제,14745,경기도 부천시 성주로 100 송내 e-편한세상,상가동 109호 다온공방,,http://www.daonart.net,생활,기타,인스타 : daonart_workstop,,,Y
달당,558-45-00631,2020-06-04,친환경소재와 부자재를 사용하여 100%핸드메이드 상품으로 제작하고있습니다.다섯작가들이 반려가족과 견주를 위한 상품을 타피트스트리 / 직조 / 코바늘/ 대바늘을사용하여 제작합니다.,핸드메이드 반려이불 / 핸드메이드 베개 / 핸드메이드 오가닉장난감 / 핸드메이드 턱받이,10349,경기도 고양시 일산서구 탄중로 501 일산5차동문아파트,501-202,,,패션,캐릭터 지식정보,,,,Y
달라이프,109-16-97050,2011-03-16,캔들공방 달라이프 문의 ☞ 카톡 친구검색: 달라이프 (dallife)* 천연 소이왁스를 이용한 캔들 제작* 원데이클래스  디자인캔들 클래스 운영* 캔들 창업을 위한 캔들자격증 취득과정 운영 (한국양초공예협회 인증 기관),캔들,13996,경기도 안양시 만안구 만안로 169,달라이프,,https://blog.naver.com/dallife7,,,,,,Y
돌하우스월드,135-28-37035,2016-05-23,“ 멋진 꿈의 공간으로의 초대- 꿈이 있는 작은 세상 ”돌하우스는 잠깐 현실을 잊고 자신이 가고 싶은 멋진 공간으로 들어가 만들고 수집하고 장식하며 즐기는 취미활동입니다. 16세기 부터 시작된 돌하우스는 센스와 꿈이 소중한  고정적인 틀을 넘어서는 크리에이티브(Creative)한 활동입니다.자신만이 살고 싶은 집과 방  가지고 싶은  하고 싶은 가게  꿈의 이미지와 기억에 남는 여름휴가나 여행지  크리스마스 등 계절과 자기 정서에 맞는 분위기를 연출하는 등 자신만의 아이디어를 주변의 재료나 전문 재료를 이용하여 작은 형태로 축소하여 만듭니다. 그리고 완성된 작품을 책상 위나 장식장  TV위 등 생활 하는 가까운 장소에 두고 볼 때마다 향이 좋은 따뜻한 커피를 두 손에 감싼 행복감 처럼 마음의 안정을 찾고 생활 속의 작은 기쁨을 느끼게 해줍니다.가끔 “..아니면 돌하우스가 아닙니다.” 라고 말씀하는 분도 있지만 돌하우스는 이 것 이어야만 한다는 결정은 없습니다.“그런 것보다는…가 좋아,공예품,16357,경기도 수원시 장안구 서부로2181번길 7 홍삼빌,102호,031-269-7667,http://www.dollhouse.or.kr/,,,,,,Y
듀팜므 가죽공방,288-56-00271,2019-01-21,유럽 전통의 가죽 핸드백 제작 기술을 이어갈 메이커스와함께 공유하고 즐기는 가죽 공예 브랜드 Deux femmes [듀팜므],유럽 제작 방식으로 가죽소재의 고급 핸드백 및 소품 제작,13640,경기도 성남시 수정구 위례광장로 300 위례중앙역 중앙타워,3F 336,,http://www.deuxfemmes.co.kr/,가죽,기타,https://www.instagram.com/deuxfemmes_officiel/,,,Y
디어플로리,858-44-00500,2019-01-17,시들지않는 꽃 프리저브드 플라워 전문샵입니다.,프리저브드 플라워,16237,경기도 수원시 팔달구 팔달문로163번길 77,1층 디어플로리,,https://smartstore.naver.com/dear_flori,,,,,,Y
따따초,605-27-62619,2018-07-31,따따초(TTA TTA CHO)는 따뜻함이 따따블(더블)이 되는 초공방이라는 뜻입니다.정직한 재료로 수제 캔들을 만들고 교육하는 분당 정자동 카페거리에 위치한 캔들공방입니다.따따초만의 감성을 살려 향은 물론 시각적인 만족감까지 드릴 수 있도록 노력하고 있습니다.캔들창업을 준비하시는 분들을 위한 아로마캔들크래프트 전문강사 자격증과정  취미반  원데이클래스를 운영 중입니다.건강한 천연제품을 만드시고 싶으신 분들 언제나 환영합니다.,천연제료로 만든 캔들  석고방향제  디퓨저,13555,경기도 성남시 분당구 성남대로 393 두산위브파빌리온,A동 29층 4호,0507-1307-8318,https://ttattacho.modoo.at,생활,,https://blog.naver.com/ttattacho,,,Y
라엘공방,740-76-00011,2015-05-01,안녕하세요. 라엘입니다. 캔들공방을 시작으로 꽃을 모티브로 하여 여러가지 소품 및 악세사리를 제작하고 있습니다. 캔들  실크플라워 & 버블플라워  천연화장품 및 천연비누  레진아트  칠보공예  주얼리클레이를 원데이와 취미과정부터 전문가과정까지 진행하고 있습니다. 전통과 현대가 만나 각각의 장점이 융합된 작품들을 만들고자 합니다.,캔들  실크플라워 & 버블플라워  천연화장품 및 천연비누  레진아트  칠보공예  주얼리클레이,11673,경기도 의정부시 둔야로49번길 43 예일학원,4층 402호 라엘공방,070-8866-7958,https://blog.naver.com/candle_ral,기타,기타,https://blog.naver.com/candle_ral,,,Y
로라쏘잉,480-53-00288,2017-12-05,따뜻한 감성이 살아 있는 핸드메이드 패브릭 소품을 만날 수 있는 곳입니다.,패브릭 소품,16336,경기도 수원시 장안구 이목로 24 수원 SK SKY VIEW,110-1002 로라쏘잉,,https://smartstore.naver.com/laura-sewing,,,,,,Y
로사리움,122-31-20810,2013-06-03,프리저브드플라워 천일동안 시들지 않는 꽃 전문 교육강사반 (자격증반)  창업반  취미반 등 수강생 상시 모집시들지 않는 생화 프리저브드 플라워 로사리움기념일선물  답례품  부천  인천  부평  부천  송내 프리저브드 공방원데이 수강 모집부천 송내역 꽃집 로사리움 플로리스트입니다,프리저브드 플라워,14731,경기도 부천시 송내대로 14 송내역파인푸르지오 2단지,로사리움,,http://blog.naver.com/rosari_um,,,,,,Y
롤러팩토리,105-18-87307,2012-02-24,실크스크린 공방 롤러팩토리는 의류를 기반으로 창업하여 의류 제작  의류 날염[인쇄]  유통  판매 등 창업과정부터 제품 생산  판매까지 모든 경험을 축척하며  실질적인 과정과 어려움을 직접 경험을 바탕으로 수강생의 상담을 통해 맞춤식으로 진행하고 있으며  실크스크린 기법을 학원이나 학교가 아닌 동대문 날염업체 근무와 7년간의 다양한 프로젝트 진행 통해 실질적인 노하우를 전달해나가고 있습니다. 실크스크린의 기본 과정부터 장비와 재료  국내외 정보까지 다양하고 전달하고  의류  금속  목재  가죽  유리  비닐  플라스틱  곡면 인쇄 등 소재에 맞춰 그동안 연구해온 축적된 기술을 함께 전달합니다.,자체 그래픽을 기반으로 한 패션 브랜드  실크스크린을 기반으로 한 일반인  창업자  학생의 교육과 장비 및 재료 대여 및 판매  외부 출강  국내외 기업 브랜드와의 협업.,10881,경기도 파주시 회동길 37-39,말과창조사 1층 101호 롤러팩토리,,,패션,,,,,Y
루디테이블,102-06-61979,2017-10-02,카페 운영 중 (11:00~21:00)-안산앙금플라워떡케이크  정규반 자격증  취미반  원데이 클래스운영   * 안산 한대앞역 2번출구 안경나라 건물 3층 305-1호SFCA자격증 등록 교육기관  문의 및 상담   * 카카오톡 오픈채팅 : 루디테이블 검색,앙금플라워케이크,15495,경기도 안산시 상록구 중보로 57 한양대프라자,305-1호  루디테이블,,https://blog.naver.com/rudy_table,푸드,,https://open.kakao.com/o/sX9xYjB,https://www.instagram.com/rudytable/,,Y
리프드올로르,894-50-00297,2018-06-06,한국아로마테라피강사협회 정발산점입니다.아로마 관련 핸드메이드 생활용품 취미반 전문자격증반 운영 및 판매를 하고 있습니다.화학성분과 공해물질에 노출될 수 밖에 없는 요즘.잠시나마 조금이나마 천연성분과 친해지는 공간을 만들고 있습니다.,천연비누아로마테라피천연소이캔들아로마향수.디퓨져천연스킨케어,10357,경기도 고양시 일산동구 정발산동 1119-5,1층 리프드올로르,,,생활,기타,blog.naver.com/catms1004,www.instagram.com/chomyoungsuk78,,Y
Eat flowers,738-15-00773,2012-03-07,안녕하세요  Eat Flowers 입니다. 수원시 권선구에 위치한 앙금 플라워떡케이크 &디저트 공방 입니다. 클래스문의 주문제작은 연락주세요 ^^ 주문제작은 100%예약주문입니다.   창업반 (기본4회+심화4회)/ 취미반3회/ 원데이클래스 운영하고 있습니다.^^,앙금 플라워떡케이크 &디저트 공방,16667,경기도 수원시 권선구 동수원로146번길 36,잇트플라워,,https://gi5441.blog.me/,,,,,,Y
GreenDIY(쟁이),132-23-49255,2010-01-08,본 공방은 적정기술 목공 DIY를 추구하는 공방으로 남녀노소 누구나 간단한 공구를 이용하여 쉽고 빠르게 쓸모 있는 원목 생활 가구를 만들 수 있도록 교육하며 또한 (사)한국DIY가구공방협회(이하 협회)와 그린스퀘어협동조합(이하 조합)을 통해 지역사회의 네트워크를 만들고 이에 필요한 강사를 배출하여 지역 내 건전한 목공문화를 보급하는 것을 목표로 합니다.,원목가구 및 소품 제조  인테리어  목공 DIY 관련 교육  학교  단체  기업과의 업무 교류와 연계사업,12018,경기도 남양주시 진접읍 진벌로 17,쟁이 공방,,,목공,,,,,Y
KONGZUM(콩줌)/ 담다,829-51-00188,2017-08-28,함께 하는 선생님들은 향초지도사/ 아로마테라피/ 캘리그라피/ 니팅/ 가내수공업/ 천연비누와 화장품등입니다. 생활아이템으로 한아이템만으로는 성장하기 어려운 단점을 보완 콜라보 수업이 가능한 공방입니다.,생활아이템- 향초/ 아로마테라피/ 천연비누와 화장품/ 캘리그라피/ 니팅/ 가내수공업,11006,경기도 연천군 군남면 선곡리 523-51,콩줌 공방,,https://blog.naver.com/paster0820,생활,,,,,Y
mogiwood,110-11-94683,2006-02-15,경기 고양시 행신동에 위치한 목공방으로 2006년부터 현재까지 목가구 작가로써의 전시 활동과 목가구 주문제작  심도 깊은 1년 과정의 목공 교육과정을 중심으로  단기 과정의 취미반과 속성반등 다양한 교육과정을 운영하는 목공방입니다.,목가구및 오브제,10492,경기도 고양시 덕양구 행신로 297,유진빌딩 mogiwood,070-8864-9113,http//www.mogiwood.com,목공,기타,blog.naver.com/chan0713,www.instagram.com/woodstudio_mogi,,Y
studio 모루,110-11-41186,2012-03-26,15년 이상 금속공예를 연구한 공예가 한지윤의 공방입니다.장신구  테이블웨어  벽장식  오브제 제작하고있으며 원데이클래스  취미 클래스 진행합니다.주요경력<학력> 2012 서울대학교 미술대학 디자인학부 금속공예전공 석사 졸업               2005 홍익대학교 미술대학 금속조형디자인과. 경영학과 학사 졸업 <프로젝트> 2018 소공동 롯데면세점 Vip Lounge 리뉴얼 작업 참여(벽장식 및 외부조형물 제작)                       2016 화장품 브랜드 MAC 팔찌 제작                        2013 ‘경북 종가문장을 활용한 종가명품화 연구사업’ 장서각인 제작  안동 문화예술의 전당                        2011 SUNNING POINT c.c 야외 조형물 디자인  제작 및 설치 <수상> 2013 제 8회 청주 국제 공예 비엔날레 입선                          제 14회 익산 한국 공예대전 입선,2018 소공동 롯데면세점 Vip Lounge 리뉴얼 작업  - 연잎 벽장식  연잎 스탠드2013 제 8회 청주 국제 공예 비엔날레 입선작 流비대칭 반지  장미창 귀걸이  책갈피,13469,경기도 성남시 분당구 판교원로 68 산운마을11단지아파트,1107동 502호,031-701-4570,https://smartstore.naver.com/junemetal,,,https://www.instagram.com/hanjiyun9061/,https://www.youtube.com/channel/UCGaIjqRCa9EPjjHYkVYJ05Q,,Y
SUAVE(수아브),162-14-00891,2018-10-08,백현동 카페거리에 있는 캔들공방입니다. 캔들 / 디퓨져 / 석고오너먼트 / 방향제 / 향수 컬러플라스터  포토플라스터 석고공예전문지도자 과정양초공예전문지도자 과정원데이클래스 / 취미반 / 자격증 및 공방창업반 수업진행 - 사랑하는 아이와의 이색체험 - 향기롭고 색다른 연인들의 데이트코스 - 특별한날을 기념할 완벽한 HAND MADE 선물,캔들  디퓨저  방향제  향수,13536,경기도 성남시 분당구 백현동 561-3,1층  SUAVE(수아브),031-8016-5613,https://blog.naver.com/suave2016,생활,,,,,Y
가든인어바스켓,459-11-00381,2017-08-14,"단대오거리역 근처에 있는 바구니 안의 정원 ""가든인어바스켓""입니다.뿌리달린 식물로 나만의 정원을 만들수 있는 개더링&가드닝 클래스와  한달에 2번 이루어지는 개더링 전문가 과정  플라워 전문가 과정이 있어요. 국내 1호 프로 개더리스트와함께 식물과 함께 하는 삶을 즐겨보세요.",꽃 바구니  꽃 개더링  부케,13145,경기도 성남시 수정구 희망로506번길 13 희망아파트,상가동 101호,,http://www.gardeninabasket.com,기타,,https://blog.naver.com/gardeninabasket,https://www.instagram.com/gardeninabasket/,,Y
가비사랑,650-11-00908,2010-03-03,초보를 위한 성인 취미미술' -본점  -아주대 2호점★수업 커리큘럼★*기초 커리큘럼- 선긋기  기본석고  형태 및 구성*소묘- 그림그리기 기초. 드로잉  명암  구도 등 기초이론 및 자세까지 꼼꼼하게 지도* 감성수채화- 그림 붓터치 기초.물감 농도조절  붓터치 표현 기법 및 다양한 수채화 기법 지도*아크릴화- 아크릴 물감의 이해 및 기초 사용법. 아크릴 및 혼합 재료의 이용법 지도*유화- 유화의 재료 도구 사용법. 기초 정믈  인물  풍경 등 다양한 창작 작업 지도★정규반 수업시간★*월요일 - 오후 5:00   저녁 7:00*화요일 - 오전 10:30  오후 1:00 오후 5:00   저녁 7:00*수요일 - 오후 5:00   저녁 7:00*목요일 - 오전 10:30  오후 5:00   저녁 7:00*토요일 - 오전 11:00  오후 1:00★취미미술 수강료★※ 소규모 레슨만 진행합니다.※ 1회 수업시간은 2시간입니다. ※ 소묘  수채화  소묘  색연필 등 기초 재료비 모두 포함입니,성인 취미 미술,16501,경기도 수원시 영통구 월드컵로151번길 12,2층 가비사랑 그림공방 화실,,https://blog.naver.com/nanhhr,,,,,,Y
가우디의 다락방,352-77-00183,2019-01-10,가우디의 다락방-가죽 우드 디자인 많은 즐거움이 있는 곳~~광명시 가죽공방  언제든지 차 한잔 드시러 놀러오세요~~^^,가죽 우드 디자인,14327,경기도 광명시 오리로366번길 36 성화빌라,가동 지층 1호,,https://blog.naver.com/akzkdhdlalsr,,,,,,Y
가현판화공방,128-34-08697,2009-07-06,가현판화공방은 30여 년 경력의 마스터와 판화 전공자들이 제작에 참여하는 테크니션 집단입니다.쩡판츠  쩌춘야  에바 알머슨  히로시 고바야시  유병훈  김찬일 등 국제적인 작가들과 협업하고 다양한 실험을 통해 새롭고 혁신적인 판화 제작에 주력해왔으며  동판/석판/목판/실크스크린 등의 전통적 기법에서 응용 가능하고 확장 가능한 모든 종류의 판화 제작을 제안하고 컨설팅합니다.또한 유명작가들과 공동으로 기획해 제작한 판화 작품들을 on/off line gallery를 통해 선보이며  판법의 기술적 혁신을 통한 판화 부흥과 대중과의 소통을 실천하고 있습니다.가현판화공방은 1960년 비엔나에서 열린 제3회 국제미술인회에서 인준된 사항을 기초로 1963년 UNESCO지부의 국제화가  조각가  판화가협회 영국위원회가 세부원칙을 첨가하여 작성한 '오리지널 판화의 정의'를 바탕으로 작가들의 자유로운 창작을 위해 개방하고 판화기법의 지속적인 연구와 엄격한 작품 관리를 하는 워크샵을 목적으로 설립되었습,<국내외 유명 작가들의 판화>쩡판츠 에바알머슨 유병훈 김찬일 손진아 엄미금 장도현 이동재 외 다수의 판화,10213,경기도 고양시 일산서구 송포로 187,2층,070-8821-3350,https://www.gahyunart.com/,,,https://www.gahyunart.com/,https://blog.naver.com/gahyunart,https://www.instagram.com/gahyun_art_studio/,Y
고고공방,174-23-00294,2016-06-01,현대적인 도자기 식기와 오브제 작업을 하고 있는 부부가 운영하는 젊은 도자기공방 으로1년에 1 ~ 2회 정도 공예페어에 참여하고 있습니다. 도자기체험은 크게 공방에서와 출장수업으로 진행하고 있습니다.공방에서는 5세부터 시작하는 어린이 도자기 아카데미와 성인 판 작업 & 물레 작업 도자기 아카데미를 운영 중 입니다. 출장도자기체험은 기초부터 전통  현대를 아우르는 전문적인 커리큘럼으로 어린이  장애인  노인단체등에 방문해 진행하고 있습니다.,“ 도자기 출장체험 ”칼라클레이와 역사 속의 도자기체험 커리큘럼을 활용해다양한 연령대의 단체를 찾아가는 정성들여 수업하는 고고공방의 수익성높은 대표적인 사업아이템입니다.,11808,경기도 의정부시 민락동 709-5,1층 고고공방,,https://cafe.naver.com/gogoceramics,도예,,,,,Y
고백플레르,139-05-06312,2016-12-27,경기도 안양에 위치한 꽃집입니다. 생화 드라이플라워 인테리어식물 등 다양한 상품을 만나보실 수 있으며 플라워레슨 원데이클래스도 진행중입니다 :),생화 드라이플라워 인테리어식물,14030,경기도 안양시 만안구 안양로 213,1층 고백플레르,031-466-1195,https://blog.naver.com/gobackfleur,,,,,,Y
고범석가구,784-11-00778,2012-03-06,오래쓸 수 있는 가구를 디자인하고 만듭니다. 주문제작가구 / 짜맞춤 원목가구 / 목공클래스 - 경기도 광주 남한산성 목공방 www.kobeomsuk.com,목공예,12703,경기도 광주시 남한산성면 오전길 24-23,1층 고범석가구,,https://blog.naver.com/gobs9085,,,,,,Y
