연번,업소명,업태명,주음식,소재지(도로명),전화번호,행정동,관리기관명,데이터기준일자
36,김경자 소문난 대구왕뽈찜,한식,"대구뽈찜, 아구찜","경기도 양주시 외미로 99-8 (남방동, 주건축물제1동 1층(일부))",031-840-8671,양주1동,위생과,2021-03-19
37,대성민물매운탕,한식,매운탕,"경기도 양주시 원학로147번길 82-3, 1층 (광사동)",031-840-1361,양주2동,위생과,2021-03-19
38,궁전식당,한식,"갈비,등심",경기도 양주시 어하고개로 141,031-847-6330,양주2동,위생과,2021-03-19
39,별내옥설농탕,한식,설렁탕,"경기도 양주시 율정로 319, 제1동 1층 (삼숭동)",031-848-6582,양주2동,위생과,2021-03-19
40,피자성 효인방,경양식,"쑥피자,스파게티",경기도 양주시 장흥면 권율로 83-5,031-855-5220,장흥면,위생과,2021-03-19
41,최가네양구펀치볼시래기,한식,시래기비빔밥,경기도 양주시 백석읍 호명로 51,031-855-6002,백석읍,위생과,2021-03-19
42,등촌칼국수,한식,샤브샤브,경기도 양주시 백석읍 고릉말로150번길 28 (1층),031-879-6070,백석읍,위생과,2021-03-19
43,만두예찬,한식,"만두전골, 칼국수",경기도 양주시 화합로 1347 (덕정동),031-857-9284,회천1동,위생과,2021-03-19
44,동두천호수부대찌개,한식,부대찌개,"경기도 양주시 화합로 1414 (덕정동,주용프라자 가동 1층(102,103,104,105호))",031-858-3030,회천1동,위생과,2021-03-19
45,최고집 찜 칼국수,한식,칼국수,"경기도 양주시 부흥로 2122 (삼숭동,외1필지(669-13)1층)",031-846-4818,양주2동,위생과,2021-03-19
