 연번,읍면동,놀이터명,위치,설치일자,검사일,데이터 기준일,관리기관명,관리기관 전화번호
24,고읍동,우미린아파트 308동앞 놀이터,"경기도 양주시 고읍동 451, 우미린아파트",2009-07-16,2019-06-28,2021-05-06,양주시 안전건설과,031-8082-6742
25,고암동,덕정주공3단지아파트 어린이집 놀이터,경기도 양주시 고암동 122,2009-09-10,2020-12-17,2021-05-06,양주시 안전건설과,031-8082-6742
26,고암동,덕정주공3단지아파트 302동 놀이터,경기도 양주시 고암동 122,2009-09-10,2020-12-17,2021-05-06,양주시 안전건설과,031-8082-6742
27,고암동,덕정주공3단지아파트 303동 놀이터,경기도 양주시 고암동 122,2009-09-10,2020-12-17,2021-05-06,양주시 안전건설과,031-8082-6742
28,고암동,덕정주공3단지아파트 309동 놀이터,경기도 양주시 고암동 122,2009-09-10,2020-12-17,2021-05-06,양주시 안전건설과,031-8082-6742
29,고암동,덕정주공3단지아파트 313동 놀이터,경기도 양주시 고암동 122,2009-09-10,2020-12-17,2021-05-06,양주시 안전건설과,031-8082-6742
30,만송동,한양수자인2단지아파트202동앞놀이터,경기 양주시 만송동 696,2009-09-14,2019-09-19,2021-05-06,양주시 안전건설과,031-8082-6742
31,만송동,한양수자인2단지아파트어린이집앞놀이터,경기 양주시 만송동 696,2009-09-14,2019-09-19,2021-05-06,양주시 안전건설과,031-8082-6742
32,고읍동,양주 고읍 한양수자인아파트 산내들마을 104동 놀이터,"경기도 양주시 고읍동 440, 한양수자인아파트",2009-09-23,2019-09-24,2021-05-06,양주시 안전건설과,031-8082-6742
33,고읍동,양주 고읍 한양수자인아파트 산내들마을 111동 놀이터,"경기도 양주시 고읍동 440, 한양수자인아파트",2009-09-23,2019-09-24,2021-05-06,양주시 안전건설과,031-8082-6742
34,고읍동,해동마을신도브래뉴아파트 101동앞 놀이터,경기도 양주시 광사동 713,2009-10-08,2020-05-18,2021-05-06,양주시 안전건설과,031-8082-6742
35,고읍동,해동마을신도브래뉴아파트 105동앞 놀이터,경기도 양주시 광사동 713,2009-10-08,2020-05-18,2021-05-06,양주시 안전건설과,031-8082-6742
36,남방동,남방어린이공원 놀이터,경기도 양주시 남방동 84-3,2009-11-03,2021-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
37,백석읍,동화5차옥시존아파트 501동옆 놀이터,경기도 양주시 백석읍 가업리 103-1,2009-11-26,2019-11-08,2021-05-06,양주시 안전건설과,031-8082-6742
38,백석읍,동화5차옥시존아파트 505동옆 놀이터,경기도 양주시 백석읍 가업리 103-1,2009-11-26,2019-11-08,2021-05-06,양주시 안전건설과,031-8082-6742
39,백석읍,동화옥시죤6차아파트 601동옆놀이터,경기도 양주시 백석읍 복지리 567,2009-12-15,2019-11-21,2021-05-06,양주시 안전건설과,031-8082-6742
40,고읍동,양주 고읍 휴먼시아6단지아파트 604동앞 어린이놀이터,경기도 양주시 만송동 698,2009-12-15,2019-11-21,2021-05-06,양주시 안전건설과,031-8082-6742
41,고읍동,양주 고읍 휴먼시아6단지아파트 601동옆 어린이놀이터,경기도 양주시 만송동 698,2009-12-15,2019-12-09,2021-05-06,양주시 안전건설과,031-8082-6742
42,고읍동,양주 고읍 휴먼시아6단지아파트 604동옆 유아놀이터,경기도 양주시 만송동 698,2009-12-15,2019-11-21,2021-05-06,양주시 안전건설과,031-8082-6742
43,덕계동,이튼스쿨어린이집 놀이터,경기도 양주시 덕계동 671-6,2010-01-08,2020-11-25,2021-05-06,양주시 안전건설과,031-8082-6742
44,백석읍,양주 백석 휴먼시아아파트 104동앞 놀이터,경기도 양주시 백석읍 방성리 168,2010-03-30,2020-06-15,2021-05-06,양주시 안전건설과,031-8082-6742
45,고읍동,양주고읍 5블록 휴먼시아 5단지아파트 505동정면 놀이터1,"경기도 양주시 고읍북로 15, 휴먼시아5단지아파트",2010-04-01,2020-03-05,2021-05-06,양주시 안전건설과,031-8082-6742
46,고읍동,양주고읍 5블록 휴먼시아 5단지아파트 502동정면 놀이터2,"경기도 양주시 고읍북로 15, 휴먼시아5단지아파트",2010-04-01,2020-06-01,2021-05-06,양주시 안전건설과,031-8082-6742
47,고읍동,양주고읍 5블록 휴먼시아 5단지아파트 505동측면 유아놀이터,"경기도 양주시 고읍북로 15, 휴먼시아5단지아파트",2010-04-01,2020-03-05,2021-05-06,양주시 안전건설과,031-8082-6742
48,고읍동,양주고읍 7블록 휴먼시아 7단지아파트 701동측면 놀이터1,"경기도 양주시 고읍북로 78, 휴먼시아7단지아파트",2010-04-01,2020-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
49,고읍동,양주고읍 7블록 휴먼시아 7단지아파트 704동정면 놀이터2,"경기도 양주시 고읍북로 78, 휴먼시아7단지아파트",2010-04-01,2020-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
50,고읍동,양주고읍 7블록 휴먼시아 7단지아파트 703동측면 유아놀이터,"경기도 양주시 고읍북로 78, 휴먼시아7단지아파트",2010-04-01,2020-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
51,고읍동,양주 고읍 휴먼시아 8단지아파트 806동후면 놀이터1,"경기도 양주시 고읍북로 120, 휴먼시아8단지아파트",2010-04-13,2020-03-16,2021-05-06,양주시 안전건설과,031-8082-6742
52,고읍동,양주 고읍 휴먼시아 8단지아파트 809동후면 놀이터2,"경기도 양주시 고읍북로 120, 휴먼시아8단지아파트",2010-04-13,2020-03-16,2021-05-06,양주시 안전건설과,031-8082-6742
53,고읍동,양주 고읍 휴먼시아 8단지아파트 802동앞 놀이터3,"경기도 양주시 고읍북로 120, 휴먼시아8단지아파트",2010-04-13,2020-03-16,2021-05-06,양주시 안전건설과,031-8082-6742
54,회정동,회정 금용아파트 101동 놀이터,경기도 양주시 회정동 871,2010-05-18,2020-07-24,2021-05-06,양주시 안전건설과,031-8082-6742
55,회정동,회정 금용아파트 201동 놀이터,경기도 양주시 회정동 871,2010-05-18,2020-07-24,2021-05-06,양주시 안전건설과,031-8082-6742
56,고암동,덕정중흥S-클래스아파트 놀이터,경기도 양주시 고암동 582,2010-06-14,2020-06-17,2021-05-06,양주시 안전건설과,031-8082-6742
57,덕계동,덕계 윤중아파트 놀이터,경기도 양주시 덕계동 201,2010-09-03,2020-09-21,2021-05-06,양주시 안전건설과,031-8082-6742
58,덕정동,덕정주공5단지아파트 관리동뒤 놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
59,덕정동,덕정주공5단지아파트 관리동뒤 유아놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
60,덕정동,덕정주공5단지아파트 501동 유아놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
61,덕정동,덕정주공5단지아파트 502동옆 놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
62,덕정동,덕정주공5단지아파트 504동뒤 놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
63,덕정동,덕정주공5단지아파트 504동뒤 유아놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
64,덕정동,덕정주공5단지아파트 509동 놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
65,덕정동,덕정주공5단지아파트 509동좌측면 유아놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
66,덕정동,덕정주공5단지아파트 513동 놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
67,덕정동,덕정주공5단지아파트 516동좌측면 유아놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
68,덕정동,덕정주공5단지아파트 519동뒤 놀이터,경기도 양주시 덕정동 236,2010-11-25,2020-12-30,2021-05-06,양주시 안전건설과,031-8082-6742
69,고읍동,양주고읍 휴먼시아4단지아파트 어린이놀이터 (403동 건너편),"경기도 양주시 고읍로 62, (고읍동)",2010-04-01,2020-06-09,2021-05-06,양주시 안전건설과,031-8082-6742
70,회암동,옥정숲속어린이집,"경기도 양주시 천보산로 100번길 66-21, (회암동)",2008-06-02,2020-05-07,2021-05-06,양주시 안전건설과,031-8082-6742
71,회암동,예인프리스쿨어린이집 놀이터,경기도 양주시 회암동 552-1,2010-01-19,2021-01-04,2021-05-06,양주시 안전건설과,031-8082-6742
72,백석읍,예일유아스쿨어린이집 놀이터,경기도 양주시 백석읍 홍죽리 229-1,2010-01-21,2021-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
73,회암동,예인어린이집 놀이터,경기도 양주시 회암동 552-1,2010-01-19,2021-01-04,2021-05-06,양주시 안전건설과,031-8082-6742
74,덕정동,두언예들어린이집 놀이터,경기도 양주시 덕정동 118-1,2010-02-02,2020-12-18,2021-05-06,양주시 안전건설과,031-8082-6742
75,고읍동,양주열린숲어린이집 놀이터,"경기도 양주시 고덕로355번길 62-12, (고읍동)",2010-02-08,2021-02-02,2021-05-06,양주시 안전건설과,031-8082-6742
76,삼숭동,나래아파트 제1놀이터,"경기도 양주시 고삼로 111, (삼숭동)",2010-10-06,2020-12-10,2021-05-06,양주시 안전건설과,031-8082-6742
77,삼숭동,나래아파트 제2놀이터,"경기도 양주시 고삼로 111, (삼숭동)",2010-09-06,2020-12-10,2021-05-06,양주시 안전건설과,031-8082-6742
78,장흥면,우남송추마을아파트105동놀이터,경기도 양주시 장흥면 가마골로 40-8,2008-08-13,2020-07-06,2021-05-06,양주시 안전건설과,031-8082-6742
79,덕정동,덕정한국아파트 103동뒤 어린이놀이터,"경기도 양주시 회정로109번길 60, (덕정동, 한국아파트)",2010-03-18,2019-09-02,2021-05-06,양주시 안전건설과,031-8082-6742
80,산북동,양주한승아파트 103동 어린이놀이터,"경기도 양주시 고덕로 108-59, (산북동, 한승미르빌아파트)",2010-05-14,2020-04-23,2021-05-06,양주시 안전건설과,031-8082-6742
81,산북동,양주한승아파트 102동 어린이놀이터,"경기도 양주시 고덕로 108-59, (산북동, 한승미르빌아파트)",2010-05-14,2020-04-23,2021-05-06,양주시 안전건설과,031-8082-6742
82,덕계동,덕계현대아파트 실외놀이터,"경기도 양주시 고덕로139번길 361-21, (덕계동)",2010-05-31,2020-07-06,2021-05-06,양주시 안전건설과,031-8082-6742
83,고읍동,양주TS푸른솔1차아파트 104동 앞 어린이놀이터,"경기도 양주시 부흥로 2019, (고읍동)",2008-11-11,2020-09-02,2021-05-06,양주시 안전건설과,031-8082-6742
84,백석읍,양주 샘터마을 태영아파트 놀이터,경기도 양주시 백석읍 호명로 83,2008-12-10,2020-06-10,2021-05-06,양주시 안전건설과,031-8082-6742
85,광적면,광적어린이집 놀이터,경기도 양주시 광적면 권율로 1444-159,2008-11-07,2021-04-21,2021-05-06,양주시 안전건설과,031-8082-6742
86,고암동,덕정주공2단지아파트 실외놀이터(209동),"경기도 양주시 고암길 306-40, 주공2단지아파트 (고암동)",2009-02-23,2021-02-10,2021-05-06,양주시 안전건설과,031-8082-6742
87,고암동,덕정주공2단지아파트 실외놀이터(214동),"경기도 양주시 고암길 306-40, 주공2단지아파트 (고암동)",2009-02-20,2021-02-14,2021-05-06,양주시 안전건설과,031-8082-6742
88,고암동,덕정주공2단지아파트 실외놀이터(220동),"경기도 양주시 고암길 306-40, 주공2단지아파트 (고암동)",2009-02-20,2021-02-14,2021-05-06,양주시 안전건설과,031-8082-6742
89,고암동,덕정주공2단지아파트 실외놀이터(관리동),"경기도 양주시 고암길 306-40, 주공2단지아파트 (고암동)",2009-02-20,2021-02-14,2021-05-06,양주시 안전건설과,031-8082-6742
90,고읍동,TS푸른솔2차아파트 놀이터,경기도 양주시 부흥로 2021-12 (고읍동),2008-11-26,2020-11-12,2021-05-06,양주시 안전건설과,031-8082-6742
91,덕정동,덕정 제2어린이공원 놀이터,경기도 양주시 덕정동 118-4,2009-07-09,2021-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
92,남면,구암산업단지어린이집 놀이터,경기도 양주시 남면 구암리 152-1,2010-06-16,2019-07-25,2021-05-06,양주시 안전건설과,031-8082-6742
93,고암동,고암제2어린이공원 놀이터,경기도 양주시 고암동 121-4,2001-12-14,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
94,덕계동,중앙어린이집 실외놀이터,경기도 양주시 덕계동 425-1,2009-09-15,2019-09-02,2021-05-06,양주시 안전건설과,031-8082-6742
95,백석읍,동화2차아파트 204동 놀이터,"경기도 양주시 백석읍 꿈나무로 311, (동화은하수2단지초록마을아파트)",2010-06-24,2020-06-19,2021-05-06,양주시 안전건설과,031-8082-6742
96,덕정동,청담마을주공4단지아파트 제3놀이터,"경기도 양주시 고암길 305-40, (410동 뒤) (덕정동)",2009-06-29,2020-04-30,2021-05-06,양주시 안전건설과,031-8082-6742
97,백석읍,양주 세아2차 아파트 놀이터,"경기도 양주시 백석읍 꿈나무로 31-4, (백석2차세아아파트)",2008-12-10,2020-11-06,2021-05-06,양주시 안전건설과,031-8082-6742
98,덕정동,덕정 제4어린이공원 놀이터,경기도 양주시 덕정동 286-31,1999-12-31,2019-11-25,2021-05-06,양주시 안전건설과,031-8082-6742
99,고읍동,양주고읍 휴먼시아4단지아파트 유아놀이터 (404동 앞),"경기도 양주시 고읍로 62, (고읍동)",2010-04-01,2020-02-18,2021-05-06,양주시 안전건설과,031-8082-6742
100,덕정동,은동마을주공1단지아파트 (제1-2),"경기도 양주시 화합로1426번길 39, (덕정동)",2010-05-31,2020-04-27,2021-05-06,양주시 안전건설과,031-8082-6742
101,삼숭동,키즈웰 어린이집 놀이터,"경기도 양주시 부흥로 2090, (삼숭동)",2009-08-10,2021-05-03,2021-05-06,양주시 안전건설과,031-8082-6742
102,덕정동,덕정제6어린이공원 놀이터,경기도 양주시 덕정동 210-1,2001-12-14,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
103,덕계동,실외놀이터(양주삼희아파트),"경기도 양주시 고덕로139번길 248-30, (덕계동, 푸른마을삼희아파트)",2008-12-30,2020-11-26,2021-05-06,양주시 안전건설과,031-8082-6742
104,덕계동,"양주덕계금용1차아파트 놀이터(조합1, 흔들3, 그네1 만 검사)","경기도 양주시 평화로1429번길 43-10, (덕계동, 금용아파트)",2009-06-17,2020-07-14,2021-05-06,양주시 안전건설과,031-8082-6742
105,삼숭동,사랑나무어린이집 놀이터,"경기도 양주시 어하고개로132번길 139, (삼숭동)",2009-03-19,2020-09-09,2021-05-06,양주시 안전건설과,031-8082-6742
106,덕정동,융보아파트 앞 놀이터,"경기도 양주시 독바위로 55, (덕정동, 융보아파트)",2009-06-19,2020-02-27,2021-05-06,양주시 안전건설과,031-8082-6742
107,덕정동,덕정명지아파트 정문 옆 어린이놀이터,"경기도 양주시 덕정길 94, (덕정동)",2009-05-07,2021-02-24,2021-05-06,양주시 안전건설과,031-8082-6742
108,덕정동,덕정한국아파트 105동 어린이놀이터,"경기도 양주시 회정로109번길 35, (덕정동)",2009-05-07,2021-02-24,2021-05-06,양주시 안전건설과,031-8082-6742
109,덕정동,덕정한국아파트 107동 어린이놀이터,"경기도 양주시 회정로109번길 35, (덕정동)",2009-05-07,2021-02-24,2021-05-06,양주시 안전건설과,031-8082-6742
110,장흥면,푸른옥아파트 문화센터 앞 놀이터,경기도 양주시 장흥면 권율로 51,2009-05-07,2021-04-01,2021-05-06,양주시 안전건설과,031-8082-6742
111,광사동,고읍 제1호어린이공원 놀이터,경기도 양주시 만송동 699,2009-06-01,2021-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
112,광사동,고읍 제2호어린이공원 놀이터,경기도 양주시 고읍동 444,2009-06-01,2019-10-22,2021-05-06,양주시 안전건설과,031-8082-6742
113,광사동,고읍 제3호어린이공원 놀이터,경기도 양주시 만송동 682,2009-06-01,2021-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
114,광사동,고읍 제4호어린이공원 놀이터,경기도 양주시 광사동 671-4,2009-06-01,2021-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
115,광사동,고읍 제5호어린이공원 놀이터,경기도 양주시 광사동 682,2009-06-01,2021-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
116,광사동,고읍 제6호어린이공원 놀이터,경기도 양주시 광사동 707,2009-06-01,2021-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
117,광사동,고읍 문화공원 놀이터,경기도 양주시 광사동 697,2009-06-01,2021-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
118,백석읍,한승미메이드아파트 102동 앞 놀이터,"경기도 양주시 백석읍 권율로 1447, (백석 한승아파트)",2009-06-26,2019-05-16,2021-05-06,양주시 안전건설과,031-8082-6742
119,백석읍,한승미메이드아파트 106동 앞 놀이터,"경기도 양주시 백석읍 권율로 1447, (백석 한승아파트)",2009-06-26,2019-05-16,2021-05-06,양주시 안전건설과,031-8082-6742
120,백석읍,세아1차아파트 놀이터,경기도 양주시 백석읍 꿈나무로 136,2009-06-26,2020-05-13,2021-05-06,양주시 안전건설과,031-8082-6742
121,덕정동,청담마을주공4단지아파트 제1놀이터,"경기도 양주시 고암길 305-40, (407동 앞) (덕정동)",2009-06-29,2020-04-30,2021-05-06,양주시 안전건설과,031-8082-6742
122,덕정동,청담마을주공4단지아파트 제2놀이터,"경기도 양주시 고암길 305-40, (409동 앞) (덕정동)",2009-06-29,2020-04-30,2021-05-06,양주시 안전건설과,031-8082-6742
123,광사동,신도브래뉴8차아파트 801동 앞 놀이터,"경기도 양주시 부흥로 1899, (광사동, 신도8차푸른숲아파트)",1999-09-22,2020-05-22,2021-05-06,양주시 안전건설과,031-8082-6742
124,광사동,신도브래뉴8차아파트 807동 앞 놀이터,"경기도 양주시 부흥로 1899, (광사동, 신도8차푸른숲아파트)",1999-09-22,2020-05-22,2021-05-06,양주시 안전건설과,031-8082-6742
125,옥정동,자연사랑어린이집 놀이터,"경기도 양주시 청담로84번길 231-232, (옥정동)",2010-11-10,2020-12-16,2021-05-06,양주시 안전건설과,031-8082-6742
126,고암동,조은어린이공원 놀이터,경기도 양주시 고암동 580-2,2002-11-06,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
127,광적면,가납제1어린이공원 놀이터,경기도 양주시 광적면 석우리 712-1,2003-05-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
128,광적면,가납제2어린이공원 놀이터,경기도 양주시 광적면 가납리 838-2,2003-05-30,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
129,광적면,가납제3어린이공원 놀이터,경기도 양주시 광적면 가납리 853-4,2003-05-30,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
130,덕계동,금광어린이공원 놀이터,경기도 양주시 덕계동 425-9,1998-01-31,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
131,삼숭동,양주TS푸른솔3차아파트 303동 앞 어린이놀이터,경기도 양주시 삼숭동 632-2,2009-08-06,2019-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
132,덕정동,봉우근린공원 놀이터,경기도 양주시 덕정동 208-12,2001-12-14,2021-03-19,2021-05-06,양주시 안전건설과,031-8082-6742
133,덕계동,한주아파트 102동 앞 놀이터,"경기도 양주시 평화로1429번길 50, (덕계동)",2009-07-28,2020-05-25,2021-05-06,양주시 안전건설과,031-8082-6742
134,덕정동,덕정제1어린이공원 놀이터,경기도 양주시 덕정동 164-3,2001-12-14,2020-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
135,덕정동,덕정제5어린이공원 놀이터,"경기도 양주시 고암길 354, (덕정동, 봉우마을주공5단지아파트)",2001-12-14,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
136,백석읍,가야2차아파트 201-202동 놀이터,경기도 양주시 백석읍 호명로 75,2009-07-17,2019-07-22,2021-05-06,양주시 안전건설과,031-8082-6742
137,광사동,우남퍼스트빌아파트 실외 어린이놀이터,"경기도 양주시 고읍로 36-10, (고읍동, 산내들마을우남퍼스트빌아파트)",2009-08-18,2020-12-04,2021-05-06,양주시 안전건설과,031-8082-6742
138,백석읍,"백석세아청솔아파트301동앞놀이터(조합,그네,흔들,시소,모래만 검사)","경기도 양주시 백석읍 꿈나무로 298, (세아청솔아파트)",2009-08-20,2020-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
139,백석읍,백석세아청솔아파트303동앞어린이놀이터,"경기도 양주시 백석읍 꿈나무로 298, (세아청솔아파트)",2009-08-20,2020-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
140,광사동,우남퍼스트빌아파트 휘트니스센터 실내놀이터,"경기도 양주시 고읍로 36-10, (고읍동, 산내들마을우남퍼스트빌아파트)",2009-08-18,2020-12-04,2021-05-06,양주시 안전건설과,031-8082-6742
141,은현면,봉암어린이집,경기도 양주시 은현면 봉암12길 21,2010-07-28,2020-07-01,2021-05-06,양주시 안전건설과,031-8082-6742
142,백석읍,동화2차아파트 206동 놀이터,"경기도 양주시 백석읍 꿈나무로 311, (동화은하수2단지초록마을아파트)",2010-06-24,2020-06-19,2021-05-06,양주시 안전건설과,031-8082-6742
143,백석읍,동화1차아파트 놀이터,"경기도 양주시 백석읍 꿈나무로 299, (동화은하수1단지장미마을아파트)",2010-06-24,2020-04-30,2021-05-06,양주시 안전건설과,031-8082-6742
144,고읍동,해동마을 한양수자인아파트 305동 앞 놀이터,"경기도 양주시 고읍남로39번길 84, (광사동, 해동마을한양수자인아파트)",2010-06-28,2020-07-03,2021-05-06,양주시 안전건설과,031-8082-6742
145,고읍동,해동마을 한양수자인아파트 310동 앞 놀이터,"경기도 양주시 고읍남로39번길 84, (광사동, 해동마을한양수자인아파트)",2010-06-28,2020-07-03,2021-05-06,양주시 안전건설과,031-8082-6742
146,고읍동,해동마을 한양수자인아파트 307동 308동 사이 놀이터,"경기도 양주시 고읍남로39번길 84, (광사동, 해동마을한양수자인아파트)",2010-06-28,2020-07-03,2021-05-06,양주시 안전건설과,031-8082-6742
147,백석읍,샘터태영아파트 관리실 옆 놀이터,경기도 양주시 백석읍 호명로 83,2010-07-19,2020-06-16,2021-05-06,양주시 안전건설과,031-8082-6742
148,백석읍,백석어린이집 놀이터,경기도 양주시 백석읍 꿈나무로 193,2014-01-06,2020-04-07,2021-05-06,양주시 안전건설과,031-8082-6742
149,만송동,만송어린이집 놀이터,"경기도 양주시 고삼로 118-28, (만송동)",2009-10-23,2019-07-22,2021-05-06,양주시 안전건설과,031-8082-6742
150,장흥면,한국보육원 놀이터,경기도 양주시 장흥면 유원지로 286-84,1996-10-23,2020-04-03,2021-05-06,양주시 안전건설과,031-8082-6742
151,삼숭동,양주TS푸른솔3차아파트 301동 앞 어린이놀이터,"경기도 양주시 부흥로 2096, (삼숭동)",2009-08-06,2019-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
152,장흥면,장흥어린이집 놀이터,경기도 양주시 장흥면 일영로769번길 11-10,2009-12-03,2019-07-10,2021-05-06,양주시 안전건설과,031-8082-6742
153,만송동,캐슬아이어린이집 놀이터,"경기도 양주시 고삼로 90, (만송동)",2011-05-18,2021-03-31,2021-05-06,양주시 안전건설과,031-8082-6742
154,고암동,하늘빛어린이공원,"경기도 양주시 고암길 111, (고암동)",2006-11-24,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
155,고암동,행복어린이공원,경기도 양주시 고암동 581-5,2006-11-24,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
156,광적면,가래비어린이공원,경기도 양주시 광적면 가납리 732-18,2007-12-21,2019-11-25,2021-05-06,양주시 안전건설과,031-8082-6742
157,백석읍,예하랑어린이집 놀이터,경기도 양주시 백석읍 복지리 83-5,2011-02-10,2021-02-05,2021-05-06,양주시 안전건설과,031-8082-6742
