시군명,명칭,분류명,소개
가평군,자라섬,자연,"북한강에 떠 있는 하나의 섬으로 약 20여만평의 크기이며 섬 가장자리로는 큰돌과 잔자갈로 이루어져 있고 중앙 부위는 모래와 흙으로 뒤덮여 있따.,,중앙 부위에는 큰 미류나무들과 버들가지등 자연 수목원이 있으며 강가 수변도로와 해바라기 광장, 들꽃광장, 코스모스등 수 많은 꽃나무로 이루어진 자연 휴양지"
가평군,상수도사업소,위험물/분뇨쓰레기처리시설,산속에 둘러 쌓여있는 상하수도사업소
가평군,배수펌프장,위험물/분뇨쓰레기처리시설,"수해에 대비하여 설치한 배수시설로 2,000평 정도에 규모의 주차시설을 겸비하고 있어 폭파 장면 등 여러 장면 촬영이 가능하다"
가평군,배수펌프장 주차장,교통관련시설,"면적 5400m2, 우천시 및 자라섬 페스티벌 행사를 제외하고 항시 사용 가능 시멘트 주차장"
가평군,천안리 폐가,주거시설,사람이 거주하고 않는 폐가
가평군,복장리 75번국도,도로/교통시설,가평방면 구부러진 도로
가평군,청평스위트,숙박시설,"fraser place가 운영하는 청평 스위트는 청평호 앞에 위치한 현대적 감각의 인테리어와 경관이 아름다운 별장으로, 대지 900평 위에 BBQ를 즐길수 있는 야외 정원과 욕실을 갖춘 3개의 게스트 룸과 벽난로 야외수영장, 간이 선착장을 갖춘 65평형 고급 별장"
가평군,신청평대교,차량도로,"청평호 위에 세워진 북한강의 다리이며, 길이는 620m이다. 국도 제37호선이 통과하며, 청평댐 공도교가 노후가 되어 이를 대체하기 위하여 건설되었다,,"
가평군,에델바이스 스위스 테마파크,문화시설,"스위스의 어느 작은 마을을 모델로 하여 경기도 가평의 아름다운 자연환경 속에 테마공원로 재현해 놓은 곳. 총 32동 중 일부는 개방시설이지만, 일부는 거주민이 있는 사적 주택으로 비개방. 주소 : 경기 가평군 설악면 이천리 304"
가평군,가평 신천리 별장,숙박시설,가평군에 위치한 2층 양옥집인 개인별장임.
가평군,가평공설운동장,운동시설,운동장과 체육시설을 갖춘 공설운동장
가평군,가평문화예술회관,공공생활시설,문화공연 및 예술활동을 감상할 수 있는 문예회관
가평군,가평연수원,복지시설,청정계곡의 산에서 자연과 함께 교육받을 수 있는 수련원
가평군,녹수계곡,도시-자연-계곡,울창한 숲과 어우러진 계곡
가평군,동대문방송국,공장관련시설,북한강 강변도로에 공사중단된 방송국 건물
가평군,시외버스터미널,교통관련시설,가평읍내에 위치한 시외버스터미널
가평군,군립도서관,교육연구시설,가평군에서 운영하는 도서관
가평군,가평천,도시-자연-강,화악천에서부터 흘러 북한강으로 합류하는 하천
가평군,가평읍사무소,행정시설,가평읍내 위치한 새로지은 읍사무소
가평군,청평호반,도시-자연-호수,가평군 외서면 청평3리와 설악면 회곡1리사이에 위치하며 청평댐의 건설로 형성된 인공호수
가평군,청평자연휴양림,관광휴게시설,미스터피자에서 연수 목적으로 만든 메이슨아카데미와 함께 있는 자연휴양림
가평군,아침고요수목원,관광휴게시설,축령산에 위치한 수목원
가평군,가평 노랑다리미술관,문화 및 집회시설,"실내외 미술관, 야외테라스, 조형물로 구성, 주차 용이"
가평군,에델바이스 스위스 테마파크,문화시설,"스위스의 어느 작은 마을을 모델로 하여 경기도 가평의 아름다운 자연환경 속에 테마공원로 재현해 놓은 곳. 총 32동 중 일부는 개방시설이지만, 일부는 거주민이 있는 사적 주택으로 비개방. 주소 : 경기 가평군 설악면 이천리 304"
가평군,가평 신천리 별장,숙박시설,가평군에 위치한 2층 양옥집인 개인별장임.
가평군,가평공설운동장,운동시설,운동장과 체육시설을 갖춘 공설운동장
가평군,가평문화예술회관,공공생활시설,문화공연 및 예술활동을 감상할 수 있는 문예회관
가평군,가평연수원,복지시설,청정계곡의 산에서 자연과 함께 교육받을 수 있는 수련원
가평군,녹수계곡,도시-자연-계곡,울창한 숲과 어우러진 계곡
가평군,대성관광지,관광휴게시설,경춘가도의 대성리역을 중심으로 북한강변에 이루어진 국민관광
가평군,명지분교,교육연구시설,가평 목동초등학교 소속 분교
가평군,가평 청평댐,방송시설/발전/기타시설,북한강을 흘러드는 위쪽의 구비진 곳에 위치한 콘크리트 중력댐
가평군,가평 청평스포랜드,운동시설,"북한강 상류에 위치하여 수상레저 스포츠 및 서바이벌, 번지점프 등 지상레저도 즐길 수 있는 유원지"
가평군,가평 청심평화월드센터,문화시설,"2012년 3월 설립됐으며 지하 3층, 지상 4층 규모의 최대 25,000여명 수용이 가능한 국내 최대 실내 아레나 형태의 복합 문화센터. 다양한 용도로 사용할 수 있도록 설계되어 무빙스테이지, 슬라이딩체어 등의 첨단 설비."
가평군,자라섬,자연,"북한강에 떠 있는 하나의 섬으로 약 20여만평의 크기이며 섬 가장자리로는 큰돌과 잔자갈로 이루어져 있고 중앙 부위는 모래와 흙으로 뒤덮여 있따.,,중앙 부위에는 큰 미류나무들과 버들가지등 자연 수목원이 있으며 강가 수변도로와 해바라기 광장, 들꽃광장, 코스모스등 수 많은 꽃나무로 이루어진 자연 휴양지"
가평군,상수도사업소,위험물/분뇨쓰레기처리시설,산속에 둘러 쌓여있는 상하수도사업소
가평군,배수펌프장,위험물/분뇨쓰레기처리시설,"수해에 대비하여 설치한 배수시설로 2,000평 정도에 규모의 주차시설을 겸비하고 있어 폭파 장면 등 여러 장면 촬영이 가능하다"
가평군,배수펌프장 주차장,교통관련시설,"면적 5400m2, 우천시 및 자라섬 페스티벌 행사를 제외하고 항시 사용 가능 시멘트 주차장"
가평군,천안리 폐가,주거시설,사람이 거주하고 않는 폐가
가평군,복장리 75번국도,도로/교통시설,가평방면 구부러진 도로
가평군,청평스위트,숙박시설,"fraser place가 운영하는 청평 스위트는 청평호 앞에 위치한 현대적 감각의 인테리어와 경관이 아름다운 별장으로, 대지 900평 위에 BBQ를 즐길수 있는 야외 정원과 욕실을 갖춘 3개의 게스트 룸과 벽난로 야외수영장, 간이 선착장을 갖춘 65평형 고급 별장"
가평군,신청평대교,차량도로,"청평호 위에 세워진 북한강의 다리이며, 길이는 620m이다. 국도 제37호선이 통과하며, 청평댐 공도교가 노후가 되어 이를 대체하기 위하여 건설되었다,,"
가평군,리츠칼튼 CC(안난티클럽서울),운동시설,60만평 대지 위에 펼쳐진 넓은 골프클럽
가평군,호명호수,도시-자연-호수,"한국 최초의 양수발전소인 청평양수발전소의 상부에 양수발전을 위한 물을 저장하기 위하여 인공적으로 조성한 호수로서 면적은 47만 9000㎡이다. 호명산으로 올라가 장자터고개를 지나 300여m 정도 가면 볼 수 있는데, 수려한 산세와 드넓은 호수가 아름다운 경관을 빚어내 가평팔경의 제2경으로 꼽힌다. 능선을 따라 곳곳에 핀 야생화와 각양각색의 버섯을 관찰하는 재미도 색다르며, 팔각정에서 내려다보는 청평호반의 경관 또한 그림 같다. 호명산 아래로 길게 펼쳐진"
가평군,조종초교 운악분교,교육연구시설,연인산 입구에 자리 잡은 운악분교 수려한 산수에 둘려쌓여져 있다.
가평군,노체 리아드리 자애병원,복지시설,산으로 둘러쌓인 규모가큰 자애병원
가평군,중앙내수면연구소,교육연구시설,"가평에 위치한 중앙내수면연구소,,실내 사육동, 야외사육지, 저수지, 민물고기 전시실 등이 위치해 있다."
가평군,가평 현대도예문화원,교육연구시설,분교 느낌의 오래된 학교
가평군,그린스포수련원,교육연구시설,"초등학교를 리모델링한 수련원, 오래된 분교"
가평군,청평성당,종교시설,청평역 근처의 오래된 성당
가평군,상천리 등대마을,주거시설,가평 상천리의 동화같은 풍경의 등대마을
가평군,미원초 송산분교,교육연구시설,전형적인 농촌 시골 마을 내 분교
가평군,청평초삼회분교,교육연구시설,"청폄댐 하루료 북한강이 흐르고 산수가 화려함,,학교 앞으로 북한강 접하고 카페, 음식점과 인근에 레저시설 있음"
가평군,조종총상판분교,교육연구시설,"운악산 주변의 전형적인 농촌마을,,운동장 15m*15m의 2동짜리 작은학교로 방치된 폐교,,뒤뜰이 있으나 잡초가 무성하고 인근에 유원지 인접하여 잡음이 있을 것 같음"
가평군,구 설악면사무소,행정시설,"통일교 건물로 정문에서 볼 때 ㄷ 자형 건물로 구성 되어 있고,,본관안에 인테리어는 70년대 분위기에 어울린 장판구조로 되어있음,,앞 뜰 너비는 5m*10m 시멘트 바닥으로 되어 있으며 마을 사이에 존재하여 외진느낌이 나지 않음.,,앞 도로가 있어 다소 소음이 우려됨,,통일교 교당으로 섭외 불가능,,주위에 나무들이 적음"
가평군,리츠칼튼 CC(안난티클럽서울),운동시설,60만평 대지 위에 펼쳐진 넓은 골프클럽
가평군,호명호수,도시-자연-호수,"한국 최초의 양수발전소인 청평양수발전소의 상부에 양수발전을 위한 물을 저장하기 위하여 인공적으로 조성한 호수로서 면적은 47만 9000㎡이다. 호명산으로 올라가 장자터고개를 지나 300여m 정도 가면 볼 수 있는데, 수려한 산세와 드넓은 호수가 아름다운 경관을 빚어내 가평팔경의 제2경으로 꼽힌다. 능선을 따라 곳곳에 핀 야생화와 각양각색의 버섯을 관찰하는 재미도 색다르며, 팔각정에서 내려다보는 청평호반의 경관 또한 그림 같다. 호명산 아래로 길게 펼쳐진"
가평군,조종초교 운악분교,교육연구시설,연인산 입구에 자리 잡은 운악분교 수려한 산수에 둘려쌓여져 있다.
가평군,노체 리아드리 자애병원,복지시설,산으로 둘러쌓인 규모가큰 자애병원
가평군,중앙내수면연구소,교육연구시설,"가평에 위치한 중앙내수면연구소,,실내 사육동, 야외사육지, 저수지, 민물고기 전시실 등이 위치해 있다."
가평군,가평 현대도예문화원,교육연구시설,분교 느낌의 오래된 학교
가평군,그린스포수련원,교육연구시설,"초등학교를 리모델링한 수련원, 오래된 분교"
가평군,청평성당,종교시설,청평역 근처의 오래된 성당
가평군,상천리 등대마을,주거시설,가평 상천리의 동화같은 풍경의 등대마을
가평군,미원초 송산분교,교육연구시설,전형적인 농촌 시골 마을 내 분교
가평군,청평초삼회분교,교육연구시설,"청폄댐 하루료 북한강이 흐르고 산수가 화려함,,학교 앞으로 북한강 접하고 카페, 음식점과 인근에 레저시설 있음"
가평군,조종총상판분교,교육연구시설,"운악산 주변의 전형적인 농촌마을,,운동장 15m*15m의 2동짜리 작은학교로 방치된 폐교,,뒤뜰이 있으나 잡초가 무성하고 인근에 유원지 인접하여 잡음이 있을 것 같음"
가평군,구 설악면사무소,행정시설,"통일교 건물로 정문에서 볼 때 ㄷ 자형 건물로 구성 되어 있고,,본관안에 인테리어는 70년대 분위기에 어울린 장판구조로 되어있음,,앞 뜰 너비는 5m*10m 시멘트 바닥으로 되어 있으며 마을 사이에 존재하여 외진느낌이 나지 않음.,,앞 도로가 있어 다소 소음이 우려됨,,통일교 교당으로 섭외 불가능,,주위에 나무들이 적음"
가평군,유명산 계곡,도시-자연-계곡,864m 기암괴석과 계곡물이 끊임없이 흐르는 명소
가평군,개성푸른누리수련원,교육연구시설,가평에 위치한 수련원
가평군,장애인심부름센터,공공생활시설,가평군 가평읍 읍내리에 위치한 다용도 회관
가평군,읍내리 슈퍼마켓,위락/판매시설,가평군 가평읍 읍내리에 위치한 슈퍼마켓
가평군,맹가노니 스튜디오,,"영화, cf,뮤직비도오 스튜디오"
가평군,휴먼종합타운,주거시설,북한강변에 위치한 조성중단중인 종합레저단지
가평군,이화리폐콘도,공장관련시설,북한강 강변도로에 위치한 공사중단된 콘도
가평군,동대문방송국,공장관련시설,북한강 강변도로에 공사중단된 방송국 건물
가평군,시외버스터미널,교통관련시설,가평읍내에 위치한 시외버스터미널
가평군,군립도서관,교육연구시설,가평군에서 운영하는 도서관
가평군,가평천,도시-자연-강,화악천에서부터 흘러 북한강으로 합류하는 하천
가평군,가평읍사무소,행정시설,가평읍내 위치한 새로지은 읍사무소
가평군,청평호반,도시-자연-호수,가평군 외서면 청평3리와 설악면 회곡1리사이에 위치하며 청평댐의 건설로 형성된 인공호수
가평군,청평자연휴양림,관광휴게시설,미스터피자에서 연수 목적으로 만든 메이슨아카데미와 함께 있는 자연휴양림
가평군,아침고요수목원,관광휴게시설,축령산에 위치한 수목원
가평군,가평 노랑다리미술관,문화 및 집회시설,"실내외 미술관, 야외테라스, 조형물로 구성, 주차 용이"
가평군,대성관광지,관광휴게시설,경춘가도의 대성리역을 중심으로 북한강변에 이루어진 국민관광
가평군,명지분교,교육연구시설,가평 목동초등학교 소속 분교
가평군,가평 청평댐,방송시설/발전/기타시설,북한강을 흘러드는 위쪽의 구비진 곳에 위치한 콘크리트 중력댐
가평군,가평 청평스포랜드,운동시설,"북한강 상류에 위치하여 수상레저 스포츠 및 서바이벌, 번지점프 등 지상레저도 즐길 수 있는 유원지"
가평군,가평 청심평화월드센터,문화시설,"2012년 3월 설립됐으며 지하 3층, 지상 4층 규모의 최대 25,000여명 수용이 가능한 국내 최대 실내 아레나 형태의 복합 문화센터. 다양한 용도로 사용할 수 있도록 설계되어 무빙스테이지, 슬라이딩체어 등의 첨단 설비."
가평군,자라섬,자연,"북한강에 떠 있는 하나의 섬으로 약 20여만평의 크기이며 섬 가장자리로는 큰돌과 잔자갈로 이루어져 있고 중앙 부위는 모래와 흙으로 뒤덮여 있따.,,중앙 부위에는 큰 미류나무들과 버들가지등 자연 수목원이 있으며 강가 수변도로와 해바라기 광장, 들꽃광장, 코스모스등 수 많은 꽃나무로 이루어진 자연 휴양지"
가평군,상수도사업소,위험물/분뇨쓰레기처리시설,산속에 둘러 쌓여있는 상하수도사업소
가평군,배수펌프장,위험물/분뇨쓰레기처리시설,"수해에 대비하여 설치한 배수시설로 2,000평 정도에 규모의 주차시설을 겸비하고 있어 폭파 장면 등 여러 장면 촬영이 가능하다"
가평군,배수펌프장 주차장,교통관련시설,"면적 5400m2, 우천시 및 자라섬 페스티벌 행사를 제외하고 항시 사용 가능 시멘트 주차장"
가평군,천안리 폐가,주거시설,사람이 거주하고 않는 폐가
가평군,복장리 75번국도,도로/교통시설,가평방면 구부러진 도로
가평군,청평스위트,숙박시설,"fraser place가 운영하는 청평 스위트는 청평호 앞에 위치한 현대적 감각의 인테리어와 경관이 아름다운 별장으로, 대지 900평 위에 BBQ를 즐길수 있는 야외 정원과 욕실을 갖춘 3개의 게스트 룸과 벽난로 야외수영장, 간이 선착장을 갖춘 65평형 고급 별장"
가평군,신청평대교,차량도로,"청평호 위에 세워진 북한강의 다리이며, 길이는 620m이다. 국도 제37호선이 통과하며, 청평댐 공도교가 노후가 되어 이를 대체하기 위하여 건설되었다,,"
가평군,리츠칼튼 CC(안난티클럽서울),운동시설,60만평 대지 위에 펼쳐진 넓은 골프클럽
가평군,호명호수,도시-자연-호수,"한국 최초의 양수발전소인 청평양수발전소의 상부에 양수발전을 위한 물을 저장하기 위하여 인공적으로 조성한 호수로서 면적은 47만 9000㎡이다. 호명산으로 올라가 장자터고개를 지나 300여m 정도 가면 볼 수 있는데, 수려한 산세와 드넓은 호수가 아름다운 경관을 빚어내 가평팔경의 제2경으로 꼽힌다. 능선을 따라 곳곳에 핀 야생화와 각양각색의 버섯을 관찰하는 재미도 색다르며, 팔각정에서 내려다보는 청평호반의 경관 또한 그림 같다. 호명산 아래로 길게 펼쳐진"
가평군,조종초교 운악분교,교육연구시설,연인산 입구에 자리 잡은 운악분교 수려한 산수에 둘려쌓여져 있다.
가평군,노체 리아드리 자애병원,복지시설,산으로 둘러쌓인 규모가큰 자애병원
가평군,중앙내수면연구소,교육연구시설,"가평에 위치한 중앙내수면연구소,,실내 사육동, 야외사육지, 저수지, 민물고기 전시실 등이 위치해 있다."
가평군,가평 현대도예문화원,교육연구시설,분교 느낌의 오래된 학교
가평군,그린스포수련원,교육연구시설,"초등학교를 리모델링한 수련원, 오래된 분교"
가평군,청평성당,종교시설,청평역 근처의 오래된 성당
가평군,상천리 등대마을,주거시설,가평 상천리의 동화같은 풍경의 등대마을
가평군,미원초 송산분교,교육연구시설,전형적인 농촌 시골 마을 내 분교
가평군,청평초삼회분교,교육연구시설,"청폄댐 하루료 북한강이 흐르고 산수가 화려함,,학교 앞으로 북한강 접하고 카페, 음식점과 인근에 레저시설 있음"
가평군,조종총상판분교,교육연구시설,"운악산 주변의 전형적인 농촌마을,,운동장 15m*15m의 2동짜리 작은학교로 방치된 폐교,,뒤뜰이 있으나 잡초가 무성하고 인근에 유원지 인접하여 잡음이 있을 것 같음"
가평군,구 설악면사무소,행정시설,"통일교 건물로 정문에서 볼 때 ㄷ 자형 건물로 구성 되어 있고,,본관안에 인테리어는 70년대 분위기에 어울린 장판구조로 되어있음,,앞 뜰 너비는 5m*10m 시멘트 바닥으로 되어 있으며 마을 사이에 존재하여 외진느낌이 나지 않음.,,앞 도로가 있어 다소 소음이 우려됨,,통일교 교당으로 섭외 불가능,,주위에 나무들이 적음"
가평군,유명산 계곡,도시-자연-계곡,864m 기암괴석과 계곡물이 끊임없이 흐르는 명소
가평군,개성푸른누리수련원,교육연구시설,가평에 위치한 수련원
가평군,장애인심부름센터,공공생활시설,가평군 가평읍 읍내리에 위치한 다용도 회관
가평군,읍내리 슈퍼마켓,위락/판매시설,가평군 가평읍 읍내리에 위치한 슈퍼마켓
가평군,맹가노니 스튜디오,,"영화, cf,뮤직비도오 스튜디오"
가평군,휴먼종합타운,주거시설,북한강변에 위치한 조성중단중인 종합레저단지
가평군,이화리폐콘도,공장관련시설,북한강 강변도로에 위치한 공사중단된 콘도
가평군,에델바이스 스위스 테마파크,문화시설,"스위스의 어느 작은 마을을 모델로 하여 경기도 가평의 아름다운 자연환경 속에 테마공원로 재현해 놓은 곳. 총 32동 중 일부는 개방시설이지만, 일부는 거주민이 있는 사적 주택으로 비개방. 주소 : 경기 가평군 설악면 이천리 304"
가평군,가평 신천리 별장,숙박시설,가평군에 위치한 2층 양옥집인 개인별장임.
고양시,마두지구대,치안시설,지어진지 오래되지 않은 평범한 지구대
고양시,장항동 전경,도시,현 SK브로드 밴드 건물 옥상에서 촬영한 장항동 일산경찰서 부근 전경
고양시,SK M-City,주거시설,"사무동, 오피스동으로 구분된 15층 트윈타워. 상가 스케이트장과 연결이 되어 있고 영화 제작 및 후반 작업 업체 로 밀집 되어있다."
고양시,안곡고등학교,교육연구시설,경기도 고양시 일산에 위치한 새로 지은 고등학교
고양시,아람누리,문화시설,고양문화재단에서 운영하는 공연장 및 문화시설
고양시,의정부지방검찰청 고양지청 당직실,치안시설,의정부지방검찰청 고양지청 내부의 당직실
고양시,일산라페스타,위락/판매시설,독점적인 상권이 형성된 스트리트형 쇼핑몰 단지
고양시,일산병원,의료/장의시설,"지하 5층, 지상 13층의 첨단 의료시설을 갖춘 병원"
고양시,일산호수공원,관광휴게시설,총면적 약 30만평의 국내 최대 인공 호수
고양시,고양 KINTEX(킨텍스) 제2전시장,문화시설,"23만제곱미터, 건면적 11만제곱미터의 부지에 세워진 국제 규모의 전시, 컨벤션 공간"
고양시,고양 한류월드 부지,도시,경기도 사업 한류월드 공사부지
고양시,고양 가좌고등학교,교육연구시설,고양시 가좌지역에 최근에 설립된 고등학교
고양시,만리장성,일반생활시설,일산서구에 위치한 비어있는 중화요리집
고양시,휴게공원,관광휴게시설,비교적 소규모의 공원
고양시,고양 KINTEX(킨텍스),문화시설,"23만제곱미터, 건면적 11만제곱미터의 부지에 세워진 국제 규모의 전시, 컨벤션 공간"
고양시,금정굴 등산로,인도/산책로,금정굴 등산로
고양시,일산종합운동장,운동시설,한국적 조형미와 최첨단 기술력을 동원하여 설계된 국제 규격의 운동장?
고양시,북한산 백운산장,도시-자연-산,북한산 백운산장
고양시,한국스카우트연맹 중앙훈련장,교육시설,"총면적 32,135m ,,정원 실내 135명, 야영정원 650명 ,,숙박시설 및 연수시설 지원시설 등 야외시설 갖추어져 있는 훈련원"
고양시,몽상공간,,"다양한 컨셉으로 구성한 130평 규모의 세트촬영 스튜디오. 대통창 공간, 서재, 바, 거실, 부엌 등 여러 이미지를 가진 공간이 있음. 상암동 5분 거리, 20~30대 주차 가능."
고양시,고양경찰서,치안시설,고양시 화정동에 위치한 고양경찰서
고양시,아쿠아스튜디오,,"국내 유일의 7,700평형 영화, 드라마, 광고 등의 수중촬영 전문 스튜디오로 타이타닉과 같은 대작도 촬영이 가능하다"
고양시,행신2지구 지하차도,인도/산책로,자유로와 연결되는 2지구 미개통 넓은 지하차도
고양시,화정지구대,치안시설,08년 리모델링 된 평범한 지구대
고양시,덕은동 쌍굴터널,차량도로,으스스한 분위기를 풍기는 덕은동 지역 쌍굴터널
고양시,성사중학교,교육연구시설,"근래에 세워진 신식 중학교, 옆으로 고등학교와 붙어 있으며 잔디구장이 갖추어져 있다."
고양시,덕양구청 회의실,업무시설,구청 회의실(구청내 중회의실)
고양시,시청 회의실,행정시설,"주교동에 위치한 고양시청 (상황실, 소회의실)"
고양시,고양 중고등학교,교육연구시설,"전문계 고등학교, 학교내 잔디구장, 강당, 태권도장, 등 넓은규모의 중 고등학교"
고양시,서삼릉대천낚시터,도시-자연-강,골프장옆 작은 낚시터
고양시,삼송택지개발지구,업무시설,고양시 삼송지구 재개발
고양시,사랑의전원마을,주거시설,"언덕을 오르는 아늑한 전원마을,,오래된 풍경 후미진 골목길"
고양시,대장동 버스종점,민속/기타,오래되고 낡은마을
고양시,먹는물 수질검사기관,위험물/분뇨쓰레기처리시설,"폐 정수장, 현재 대형 중수조 리모델링중"
고양시,금정굴 등산로,인도/산책로,금정굴 등산로
고양시,일산종합운동장,운동시설,한국적 조형미와 최첨단 기술력을 동원하여 설계된 국제 규격의 운동장?
고양시,행주산성,문화재,덕양산 정상을 중심으로 산등성이를 따라 흙으로 쌓은 토성?
고양시,장항제2공영주차장,교통관련시설,고양시 시설관리 공단에서 관리하는 라페스타 먹자골목 시설 옆 공영주차장
고양시,디지털아이디어 회의실,업무시설,장항동 M-city 내 영화 시각효과 전문업체 회의실 최첨단 장비로 세팅 되어 있다.
고양시,브로멕스타원 회의실,업무시설,고양지식정보산업진흥원 내 6층 9층 브로멕스 회의실
고양시,드림하이 세트장,,"KBS드라마 드림하이 세트장 600평형 창고를 개조한 공간(방, 이사장실, 강당, 회의실, 카페테리아)"
고양시,의정부지방법원 고양지원,치안시설,"고양시 소재의 지역의 민사, 형사, 가사 재판업무를 담당하는 법원"
고양시,장항동 585-6,주거시설,장항동 공장지대 지역 조용한 단독주택
고양시,백마초 장항분교,교육연구시설,단층으로 설립된 분교
고양시,외환은행 마두점,인반생활시설,"마두역 출구 앞에 있는 외환은행, 1,2층 공간으로 이루어져 있다."
고양시,마두지구대,치안시설,지어진지 오래되지 않은 평범한 지구대
고양시,장항동 전경,도시,현 SK브로드 밴드 건물 옥상에서 촬영한 장항동 일산경찰서 부근 전경
고양시,SK M-City,주거시설,"사무동, 오피스동으로 구분된 15층 트윈타워. 상가 스케이트장과 연결이 되어 있고 영화 제작 및 후반 작업 업체 로 밀집 되어있다."
고양시,안곡고등학교,교육연구시설,경기도 고양시 일산에 위치한 새로 지은 고등학교
고양시,아람누리,문화시설,고양문화재단에서 운영하는 공연장 및 문화시설
고양시,북한산 백운산장,도시-자연-산,북한산 백운산장
고양시,한국스카우트연맹 중앙훈련장,교육시설,"총면적 32,135m ,,정원 실내 135명, 야영정원 650명 ,,숙박시설 및 연수시설 지원시설 등 야외시설 갖추어져 있는 훈련원"
고양시,몽상공간,,"다양한 컨셉으로 구성한 130평 규모의 세트촬영 스튜디오. 대통창 공간, 서재, 바, 거실, 부엌 등 여러 이미지를 가진 공간이 있음. 상암동 5분 거리, 20~30대 주차 가능."
고양시,고양경찰서,치안시설,고양시 화정동에 위치한 고양경찰서
고양시,아쿠아스튜디오,,"국내 유일의 7,700평형 영화, 드라마, 광고 등의 수중촬영 전문 스튜디오로 타이타닉과 같은 대작도 촬영이 가능하다"
고양시,행신2지구 지하차도,인도/산책로,자유로와 연결되는 2지구 미개통 넓은 지하차도
고양시,화정지구대,치안시설,08년 리모델링 된 평범한 지구대
고양시,덕은동 쌍굴터널,차량도로,으스스한 분위기를 풍기는 덕은동 지역 쌍굴터널
고양시,성사중학교,교육연구시설,"근래에 세워진 신식 중학교, 옆으로 고등학교와 붙어 있으며 잔디구장이 갖추어져 있다."
고양시,덕양구청 회의실,업무시설,구청 회의실(구청내 중회의실)
고양시,시청 회의실,행정시설,"주교동에 위치한 고양시청 (상황실, 소회의실)"
고양시,고양 중고등학교,교육연구시설,"전문계 고등학교, 학교내 잔디구장, 강당, 태권도장, 등 넓은규모의 중 고등학교"
고양시,서삼릉대천낚시터,도시-자연-강,골프장옆 작은 낚시터
고양시,삼송택지개발지구,업무시설,고양시 삼송지구 재개발
고양시,사랑의전원마을,주거시설,"언덕을 오르는 아늑한 전원마을,,오래된 풍경 후미진 골목길"
고양시,대장동 버스종점,민속/기타,오래되고 낡은마을
고양시,먹는물 수질검사기관,위험물/분뇨쓰레기처리시설,"폐 정수장, 현재 대형 중수조 리모델링중"
고양시,난지물재생센터,위험물/분뇨쓰레기처리시설,"난지물재셍센터는 다양한 공간적 매력을 갖고 있다.,,인공적으로 만들어 놓은 저수지와 함께 주변에 조성된 산책로가 한적한 수목원이나 공원을 연상시키는가 하면, 시설물의 모양이 부분적 핵 시설물 같은 느낌을 자아내기도 한다. 거대한 원형 모양의 시설물을 감싸고 있는 계단도 눈길을 끌고 센터 옆으로 건설되고 있는 고속철도의 모습도 이곳의 다양한 분위기에 한 몫을 한다"
고양시,지축차량기지,교통관련시설,3호선 종착역 대화역 방향의 차량기지
