시군명,업체명,업종,소재지도로명주소,소재지지번주소,담당자 연락처,데이터기준일
시흥시,원조닭탕,일반음식점,경기도 시흥시 신천로44번안길 23 (신천동),경기도 시흥시 신천동 773 ,031-310-2485,2021-06-01
시흥시,처가집양념통닭,일반음식점,"경기도 시흥시 시흥대로1074번길 28, 상가동 106호 (은행동, 녹원아파트)",경기도 시흥시 은행동 289-33 녹원아파트 상가동 106호,031-310-2485,2021-06-01
시흥시,이모네왕족발,일반음식점,경기도 시흥시 뱀내장터로 2 (신천동),경기도 시흥시 신천동 707-71 ,031-310-2485,2021-06-01
시흥시,무지내한식부페,일반음식점,경기도 시흥시 금오로 231 (무지내동),경기도 시흥시 무지내동 38-8 ,031-310-2485,2021-06-01
시흥시,고바우숯불갈비,일반음식점,"경기도 시흥시 배미골길 23, 401동 지1층 106호 (목감동, 호반베르디움 더 프라임)",경기도 시흥시 목감동 406 호반베르디움 더 프라임 ,031-310-2485,2021-06-01
시흥시,태호장,일반음식점,경기도 시흥시 복지로53번길 7 (대야동),경기도 시흥시 대야동 488-7 ,031-310-2485,2021-06-01
시흥시,창대죽이야기,일반음식점,"경기도 시흥시 대야로 7, 1층 (대야동)",경기도 시흥시 대야동 488-8 1층 ,031-310-2485,2021-06-01
시흥시,자스민,일반음식점,경기도 시흥시 삼미시장3길 30 (신천동),경기도 시흥시 신천동 742-7 ,031-310-2485,2021-06-01
시흥시,봉평막국수갈비찜,일반음식점,"경기도 시흥시 호현로 65, 1층 (대야동)",경기도 시흥시 대야동 477-15 ,031-310-2485,2021-06-01
시흥시,페리카나치킨 시화1체인점,일반음식점,경기도 시흥시 봉우재로7번길 20 (정왕동),경기도 시흥시 정왕동 1620-13 ,031-310-2485,2021-06-01
시흥시,신현회포차,일반음식점,경기도 시흥시 신현로12번길 8 (포동),경기도 시흥시 포동 1-75 ,031-310-2485,2021-06-01
시흥시,옛날손칼국수,일반음식점,경기도 시흥시 삼미시장3길 7 (신천동),경기도 시흥시 신천동 735-5 ,031-310-2485,2021-06-01
시흥시,은희네손칼국수,일반음식점,경기도 시흥시 복지로91번길 19-1 (대야동),경기도 시흥시 대야동 452-6 ,031-310-2485,2021-06-01
시흥시,돈까스앤스파게티,일반음식점,"경기도 시흥시 복지로53번길 22-1, 1층 (대야동)",경기도 시흥시 대야동 475-11 1층 ,031-310-2485,2021-06-01
시흥시,행복을주는식당,일반음식점,경기도 시흥시 복지로99번길 23 (대야동),경기도 시흥시 대야동 440-14 ,031-310-2485,2021-06-01
시흥시,박승광해물칼국수물왕점,일반음식점,"경기도 시흥시 동서로811번길 11, 1층 (물왕동)",경기도 시흥시 물왕동 166-9 1층 ,031-310-2485,2021-06-01
시흥시,천향오,일반음식점,"경기도 시흥시 정왕천로 407-1, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1196-1 ,031-310-2485,2021-06-01
시흥시,라이코스신천2호점,일반음식점,경기도 시흥시 신천천서로 22 (신천동),경기도 시흥시 신천동 734-4 ,031-310-2485,2021-06-01
시흥시,밥이랑탕이랑소주한잔,일반음식점,경기도 시흥시 수인로3335번길 16-1 (신천동),경기도 시흥시 신천동 772-16 ,031-310-2485,2021-06-01
시흥시,금문각,일반음식점,경기도 시흥시 수인로3287번길 23 (은행동),경기도 시흥시 은행동 105-4 ,031-310-2485,2021-06-01
시흥시,소소한이야기,일반음식점,"경기도 시흥시 정왕대로28번길 3, 106호 (정왕동)",경기도 시흥시 정왕동 1863 대림(아)상가106 ,031-310-2485,2021-06-01
시흥시,고바우통닭신천점,일반음식점,경기도 시흥시 수인로3335번길 20-1 (신천동),경기도 시흥시 신천동 772-13 ,031-310-2485,2021-06-01
시흥시,욜로,일반음식점,경기도 시흥시 대골안길 77-1 (대야동),경기도 시흥시 대야동 499-30 ,031-310-2485,2021-06-01
시흥시,무지식당,일반음식점,"경기도 시흥시 금오로 131-1, 1층 일부호 (무지내동)",경기도 시흥시 무지내동 282-2 ,031-310-2485,2021-06-01
시흥시,풍년숯불갈비,일반음식점,경기도 시흥시 복지로91번길 8 (대야동),경기도 시흥시 대야동 443-5 ,031-310-2485,2021-06-01
시흥시,정일갈비,일반음식점,경기도 시흥시 미산로143번안길 13 (미산동),경기도 시흥시 미산동 324-4 ,031-310-2485,2021-06-01
시흥시,풍돈가,일반음식점,"경기도 시흥시 옥구상가2길 24, 102호 (정왕동)",경기도 시흥시 정왕동 1855-6 102호 ,031-310-2485,2021-06-01
시흥시,푸른식당,일반음식점,경기도 시흥시 하우로 185 (대야동),경기도 시흥시 대야동 1-8 ,031-310-2485,2021-06-01
시흥시,드루와호프,일반음식점,"경기도 시흥시 시흥대로1074번길 11, 1층 (은행동)",경기도 시흥시 은행동 289-5 1층 ,031-310-2485,2021-06-01
시흥시,제주갈비,일반음식점,경기도 시흥시 호현로22번길 11 (신천동),경기도 시흥시 신천동 707-28 ,031-310-2485,2021-06-01
시흥시,금도각,일반음식점,경기도 시흥시 신천로80번길 7 (신천동),경기도 시흥시 신천동 772-3 ,031-310-2485,2021-06-01
시흥시,미미회관,일반음식점,"경기도 시흥시 시흥대로 1122, 1층 (신천동)",경기도 시흥시 신천동 83-11 1층 ,031-310-2485,2021-06-01
시흥시,옥천영양돌솥밥,일반음식점,"경기도 시흥시 호현로34번길 9-1, 1층 (대야동)",경기도 시흥시 대야동 497-11 1층 ,031-310-2485,2021-06-01
시흥시,영웅,일반음식점,경기도 시흥시 수인로3395번길 27 (신천동),경기도 시흥시 신천동 758-0 ,031-310-2485,2021-06-01
시흥시,광명생숯불구이,일반음식점,경기도 시흥시 수인로3335번길 16 (신천동),경기도 시흥시 신천동 772-18 ,031-310-2485,2021-06-01
시흥시,민속주점뜨락,일반음식점,경기도 시흥시 복지로53번길 22-1 (대야동),경기도 시흥시 대야동 475-11 ,031-310-2485,2021-06-01
시흥시,행복식당,일반음식점,경기도 시흥시 시흥대로 227-10 (군자동),경기도 시흥시 군자동 93 ,031-310-2485,2021-06-01
시흥시,호남가든,일반음식점,경기도 시흥시 금오로 402-1 (과림동),경기도 시흥시 과림동 434-7 ,031-310-2485,2021-06-01
시흥시,만복식당,일반음식점,경기도 시흥시 호현로10번길 25 (신천동),경기도 시흥시 신천동 709-9 ,031-310-2485,2021-06-01
시흥시,천정가든,일반음식점,경기도 시흥시 수인로 3501 (신천동),경기도 시흥시 신천동 594 ,031-310-2485,2021-06-01
시흥시,일미왕족발,일반음식점,경기도 시흥시 호현로85번길 8 (대야동),경기도 시흥시 대야동 461-2 ,031-310-2485,2021-06-01
시흥시,바로커치킨,일반음식점,경기도 시흥시 신현로38번길 15 (포동),경기도 시흥시 포동 13-3 태산@상가 102호,031-310-2485,2021-06-01
시흥시,김가네부대찌개,일반음식점,경기도 시흥시 봉우재로 58 (정왕동),경기도 시흥시 정왕동 1209-15 ,031-310-2485,2021-06-01
시흥시,목감페리카나점,일반음식점,경기도 시흥시 동서로 1095 (조남동),경기도 시흥시 조남동 산 6-10 ,031-310-2485,2021-06-01
시흥시,서천한우곱창전문점,일반음식점,경기도 시흥시 호현로22번길 22-1 (신천동),경기도 시흥시 신천동 709-2 ,031-310-2485,2021-06-01
시흥시,토종흑돼지,일반음식점,경기도 시흥시 신천3길 40-1 (신천동),경기도 시흥시 신천동 758-13 ,031-310-2485,2021-06-01
시흥시,장군집명태명가삼겹살,일반음식점,경기도 시흥시 삼미시장2길 46 (신천동),경기도 시흥시 신천동 736-2 ,031-310-2485,2021-06-01
시흥시,호다식탁,일반음식점,"경기도 시흥시 뱀내장터로 11, 1층 (대야동)",경기도 시흥시 대야동 498-13 1층 ,031-310-2485,2021-06-01
시흥시,굽네치킨 대야점,일반음식점,경기도 시흥시 복지로53번길 22-1 (대야동),경기도 시흥시 대야동 475-11 ,031-310-2485,2021-06-01
시흥시,네잎클로버,일반음식점,"경기도 시흥시 복지로43번길 19, 1층 (대야동)",경기도 시흥시 대야동 493 1층 ,031-310-2485,2021-06-01
시흥시,오서방닭개장,일반음식점,"경기도 시흥시 공단1대로 244, 공구상가 지원상가동 102-4,5,6호 (정왕동)",경기도 시흥시 정왕동 1367-1 공구상가 ,031-310-2485,2021-06-01
시흥시,영장어,일반음식점,경기도 시흥시 동서로 861 (물왕동),경기도 시흥시 물왕동 77-2 ,031-310-2485,2021-06-01
시흥시,푸른바다찜탕,일반음식점,경기도 시흥시 복지로53번길 22-1 (대야동),경기도 시흥시 대야동 475-11 ,031-310-2485,2021-06-01
시흥시,금원보77뽕수타면관,일반음식점,경기도 시흥시 하우로 41-1 (대야동),경기도 시흥시 대야동 54-7 ,031-310-2485,2021-06-01
시흥시,태국가든,일반음식점,"경기도 시흥시 은계로338번길 40, 1층 일부호 (대야동)",경기도 시흥시 대야동 657 ,031-310-2485,2021-06-01
시흥시,원조남원추어탕,일반음식점,경기도 시흥시 동서로10번길 3 (월곶동),경기도 시흥시 월곶동 643-8 ,031-310-2485,2021-06-01
시흥시,삼밧이야생촌,일반음식점,경기도 시흥시 동서로 84 (월곶동),경기도 시흥시 월곶동 543-1 ,031-310-2485,2021-06-01
시흥시,수타박사,일반음식점,경기도 시흥시 하중로 55-3 (하중동),경기도 시흥시 하중동 143 ,031-310-2485,2021-06-01
시흥시,용설리토종순대국,일반음식점,경기도 시흥시 시흥대로 925 (미산동),경기도 시흥시 미산동 274 ,031-310-2485,2021-06-01
시흥시,하우재,일반음식점,경기도 시흥시 하우로145번길 8 (대야동),경기도 시흥시 대야동 7-52 ,031-310-2485,2021-06-01
시흥시,진짬뽕,일반음식점,경기도 시흥시 시흥대로1074번길 11 (은행동),경기도 시흥시 은행동 289-5 ,031-310-2485,2021-06-01
시흥시,꼬꼬하우스,일반음식점,경기도 시흥시 중심상가로 224 (정왕동),경기도 시흥시 정왕동 1790 영남(아)상가 106호,031-310-2485,2021-06-01
시흥시,대박포차,일반음식점,"경기도 시흥시 호현로34번길 10-1, 1층 (대야동)",경기도 시흥시 대야동 498-8 1층 ,031-310-2485,2021-06-01
시흥시,짜장면아저씨,일반음식점,"경기도 시흥시 도일로112번길 5-5 (거모동, 동하시티107호)",경기도 시흥시 거모동 1656-5 동하시티107호 ,031-310-2485,2021-06-01
시흥시,동림관,일반음식점,"경기도 시흥시 삼미시장1길 55 (신천동,외1필지1층일부,3층전체)","경기도 시흥시 신천동 744 외1필지1층일부,3층전체 ",031-310-2485,2021-06-01
시흥시,군자봉국수와만두,일반음식점,경기도 시흥시 시흥대로 169 (군자동),경기도 시흥시 군자동 22-2 ,031-310-2485,2021-06-01
시흥시,빛마루,일반음식점,경기도 시흥시 호현로49번안길 1 (대야동),경기도 시흥시 대야동 483-5 ,031-310-2485,2021-06-01
시흥시,너랑나랑,일반음식점,경기도 시흥시 복지로53번길 24 (대야동),경기도 시흥시 대야동 475-16 ,031-310-2485,2021-06-01
시흥시,황토사랑채,일반음식점,"경기도 시흥시 뱀내장터로 9, 2층 (대야동)",경기도 시흥시 대야동 498-18 2층 ,031-310-2485,2021-06-01
시흥시,데일리,일반음식점,"경기도 시흥시 동서로 1091-4 (조남동, 지층)",경기도 시흥시 조남동 171-53 지층 ,031-310-2485,2021-06-01
시흥시,믿음밥집,일반음식점,"경기도 시흥시 복지로53번길 22-1 (대야동, 외1필지)",경기도 시흥시 대야동 475-11 외1필지 ,031-310-2485,2021-06-01
시흥시,교촌치킨신천1호점,일반음식점,"경기도 시흥시 대골안길 92 (신천동,1층)",경기도 시흥시 신천동 707-50 1층 ,031-310-2485,2021-06-01
시흥시,원주아줌마,일반음식점,경기도 시흥시 수인로3335번길 20 (신천동),경기도 시흥시 신천동 772-15 ,031-310-2485,2021-06-01
시흥시,딱한잔집,일반음식점,경기도 시흥시 호현로22번길 21 (신천동),경기도 시흥시 신천동 709-14 ,031-310-2485,2021-06-01
시흥시,신길복집,일반음식점,"경기도 시흥시 평안상가5길 23-6, 선경빌딩 1층 (정왕동)",경기도 시흥시 정왕동 1780-5 선경빌딩 ,031-310-2485,2021-06-01
시흥시,산수갑산,일반음식점,경기도 시흥시 도일로102번길 7 (거모동),경기도 시흥시 거모동 1659-21 ,031-310-2485,2021-06-01
시흥시,태양,일반음식점,경기도 시흥시 수인로 3111 (안현동),경기도 시흥시 안현동 180-3 ,031-310-2485,2021-06-01
시흥시,목감동설악추어탕,일반음식점,"경기도 시흥시 박달로 153, 1층 일부호 (목감동)",경기도 시흥시 목감동 27-5 ,031-310-2485,2021-06-01
시흥시,삼대째손두부,일반음식점,경기도 시흥시 군자로 572 (거모동),경기도 시흥시 거모동 1609-3 ,031-310-2485,2021-06-01
시흥시,오동동아구,일반음식점,"경기도 시흥시 동서로 1057 (조남동,1층)",경기도 시흥시 조남동 169-7 1층 ,031-310-2485,2021-06-01
시흥시,미스터보쌈앤미스터삼겹앤스탠딩스테이크,일반음식점,"경기도 시흥시 뱀내장터로 21 (대야동, 도면상1층5호)",경기도 시흥시 대야동 500-3 도면상1층5호 ,031-310-2485,2021-06-01
시흥시,봉순게장,일반음식점,경기도 시흥시 물왕수변로 22 (산현동),경기도 시흥시 산현동 232-2 ,031-310-2485,2021-06-01
시흥시,대운가든,일반음식점,"경기도 시흥시 하우로 114, 1층 (대야동)",경기도 시흥시 대야동 8-1 1층 ,031-310-2485,2021-06-01
시흥시,두산반점,일반음식점,"경기도 시흥시 중심상가로 288, 두산아파트 201호 (정왕동)",경기도 시흥시 정왕동 1786 두산아파트 ,031-310-2485,2021-06-01
시흥시,우리집밥상,일반음식점,"경기도 시흥시 금오로 120-1, 1층 (무지내동)",경기도 시흥시 무지내동 349-8 ,031-310-2485,2021-06-01
시흥시,하우국수,일반음식점,경기도 시흥시 하우로 169 (대야동),경기도 시흥시 대야동 3-41 ,031-310-2485,2021-06-01
시흥시,쭈홍,일반음식점,"경기도 시흥시 신천천서로 34 (신천동,1층)",경기도 시흥시 신천동 761-14 1층 ,031-310-2485,2021-06-01
시흥시,백반혁명,일반음식점,경기도 시흥시 은행로12번길 12 (은행동),경기도 시흥시 은행동 283-4 ,031-310-2485,2021-06-01
시흥시,남원추어탕물왕점,일반음식점,"경기도 시흥시 동서로 833, 1층 (물왕동)",경기도 시흥시 물왕동 95-9 1층 ,031-310-2485,2021-06-01
시흥시,병천순대국,일반음식점,경기도 시흥시 옥구천동로 402 (정왕동),경기도 시흥시 정왕동 1873-3 58-7-22월드상가 103호,031-310-2485,2021-06-01
시흥시,한신가든,일반음식점,"경기도 시흥시 가마길 40-22, 1층 (대야동)",경기도 시흥시 대야동 201-11 1층 ,031-310-2485,2021-06-01
시흥시,강원도할머니재래식순두부,일반음식점,"경기도 시흥시 하중로 254, 1층 (하중동)",경기도 시흥시 하중동 740-2 1층 ,031-310-2485,2021-06-01
시흥시,정아각,일반음식점,"경기도 시흥시 신천6길 2-1, 2층 (신천동)",경기도 시흥시 신천동 838-16 2층 ,031-310-2485,2021-06-01
시흥시,홍두깨칼국수,일반음식점,"경기도 시흥시 동서로 213 (월곶동, 1,2층)","경기도 시흥시 월곶동 81-2 1,2층 ",031-310-2485,2021-06-01
시흥시,엄마손해물칼국수,일반음식점,경기도 시흥시 동서로10번길 2 (월곶동),경기도 시흥시 월곶동 643-9 ,031-310-2485,2021-06-01
시흥시,지게골동태찜탕,일반음식점,경기도 시흥시 신천4길 1 (신천동),경기도 시흥시 신천동 839-8 ,031-310-2485,2021-06-01
시흥시,생방송호프신천점,일반음식점,"경기도 시흥시 신천2길 25 (신천동,1층)",경기도 시흥시 신천동 751-25 1층 ,031-310-2485,2021-06-01
시흥시,이모네돼지두루치기,일반음식점,"경기도 시흥시 호현로21번길 5 (신천동,1층)",경기도 시흥시 신천동 706-5 1층 ,031-310-2485,2021-06-01
시흥시,단비,일반음식점,경기도 시흥시 수인로3395번길 27 (신천동),경기도 시흥시 신천동 758-0 ,031-310-2485,2021-06-01
시흥시,천일반점,일반음식점,"경기도 시흥시 정왕신길로111번길 7, 분산상가동 1층 106호 (정왕동)",경기도 시흥시 정왕동 1873-3 월드아파트 ,031-310-2485,2021-06-01
시흥시,꼬꼬,일반음식점,"경기도 시흥시 정왕신길로111번길 7, 104호 (정왕동, 월드아파트 분산상가 )",경기도 시흥시 정왕동 1873-3 월드아파트 분산상가 104호,031-310-2485,2021-06-01
시흥시,처갓집양념치킨신천리점,일반음식점,경기도 시흥시 호현로49번안길 1 (대야동),경기도 시흥시 대야동 483-5 ,031-310-2485,2021-06-01
시흥시,페리카나은행택지점,일반음식점,"경기도 시흥시 은행로 107 (은행동, 대우3차상가1동1202호)",경기도 시흥시 은행동 549-1 대우3차상가1동1202호 ,031-310-2485,2021-06-01
시흥시,페리카나치킨시화3점,일반음식점,,경기도 시흥시 정왕동 1865 한일아파트 주상가동 108호,031-310-2485,2021-06-01
시흥시,굽네치킨(거모점),일반음식점,경기도 시흥시 도일로 143 (거모동),경기도 시흥시 거모동 1756-7 ,031-310-2485,2021-06-01
시흥시,펀비어킹목감사거리점,일반음식점,경기도 시흥시 동서로 1095 (조남동),경기도 시흥시 조남동 산 6-10 ,031-310-2485,2021-06-01
시흥시,정통국수집,일반음식점,경기도 시흥시 동서로 706-62 (물왕동),경기도 시흥시 물왕동 344-2 ,031-310-2485,2021-06-01
시흥시,여자말을잘듣자,일반음식점,"경기도 시흥시 군자로 528, 1층 (거모동, 1층전부)",경기도 시흥시 거모동 1770-13 1층전부 ,031-310-2485,2021-06-01
시흥시,하림맥시칸시화점,일반음식점,"경기도 시흥시 중심상가로 288, 111,112호 (정왕동)",경기도 시흥시 정왕동 1786 ,031-310-2485,2021-06-01
시흥시,옛날짜장우동,일반음식점,경기도 시흥시 호현로10번길 2 (신천동),경기도 시흥시 신천동 712-1 ,031-310-2485,2021-06-01
시흥시,비비큐시흥은행점,일반음식점,"경기도 시흥시 은행로 152, 104호 (은행동)",경기도 시흥시 은행동 529-5 104호,031-310-2485,2021-06-01
시흥시,포동맛집,일반음식점,"경기도 시흥시 신현로38번길 23-1, 상가동 1층 108,113호 (포동)",경기도 시흥시 포동 13-3 태산아파트 상가12동 ,031-310-2485,2021-06-01
시흥시,대추골숯불갈비,일반음식점,"경기도 시흥시 복지로91번길 4, 1층 (대야동, 태원탑스빌)",경기도 시흥시 대야동 443-8 태원탑스빌 ,031-310-2485,2021-06-01
시흥시,보미진 콩이랑 두부랑,일반음식점,경기도 시흥시 하우로 66 (대야동),경기도 시흥시 대야동 13-2 ,031-310-2485,2021-06-01
시흥시,돼지식당,일반음식점,"경기도 시흥시 삼미시장1길 27 (신천동,삼미상가16,17호)","경기도 시흥시 신천동 738 삼미상가16,17호 ",031-310-2485,2021-06-01
시흥시,용설리토종순대국(계수점),일반음식점,경기도 시흥시 계수로 167 (계수동),경기도 시흥시 계수동 176-5 ,031-310-2485,2021-06-01
시흥시,선우식당,일반음식점,"경기도 시흥시 공단1대로 204, 시화유통상가 지원상가동 지하1층 134호 (정왕동)",경기도 시흥시 정왕동 1364 시화유통상가 ,031-310-2485,2021-06-01
시흥시,추억의연탄포장마차,일반음식점,경기도 시흥시 수인로3381번길 22 (신천동),경기도 시흥시 신천동 757-14 ,031-310-2485,2021-06-01
시흥시,능래가든,일반음식점,경기도 시흥시 금오로 214 (무지내동),경기도 시흥시 무지내동 58-1 ,031-310-2485,2021-06-01
시흥시,포도나무집,일반음식점,경기도 시흥시 하중로 186 (하중동),경기도 시흥시 하중동 446-5 ,031-310-2485,2021-06-01
시흥시,소망식당,일반음식점,"경기도 시흥시 공단1대로 204, 시화유통상가 지원상가동 지하1층 135호 (정왕동)",경기도 시흥시 정왕동 1364 시화유통상가 ,031-310-2485,2021-06-01
시흥시,감자마루,일반음식점,경기도 시흥시 삼미시장2길 45 (신천동),경기도 시흥시 신천동 737-7 ,031-310-2485,2021-06-01
시흥시,이씨화로,일반음식점,"경기도 시흥시 평안상가4길 16-5 (정왕동,1,2호)","경기도 시흥시 정왕동 1626-4 1,2호 ",031-310-2485,2021-06-01
시흥시,금성가든,일반음식점,경기도 시흥시 하우로 53 (대야동),경기도 시흥시 대야동 16-5 ,031-310-2485,2021-06-01
시흥시,금정참치,일반음식점,경기도 시흥시 호현로22번길 18 (신천동),경기도 시흥시 신천동 708-6 ,031-310-2485,2021-06-01
시흥시,일미감자탕,일반음식점,경기도 시흥시 평안상가4길 24-6 (정왕동),경기도 시흥시 정왕동 1626-1 ,031-310-2485,2021-06-01
시흥시,우성숯불갈비,일반음식점,경기도 시흥시 월곶중앙로46번길 28-5 (월곶동),경기도 시흥시 월곶동 999-7 ,031-310-2485,2021-06-01
시흥시,하얀집,일반음식점,경기도 시흥시 군자로 401 (거모동),경기도 시흥시 거모동 1079-1 ,031-310-2485,2021-06-01
시흥시,신한우정육식당,일반음식점,"경기도 시흥시 신천4길 37 (신천동,(구지번6블럭4롯트))",경기도 시흥시 신천동 819-7 (구지번6블럭4롯트) ,031-310-2485,2021-06-01
시흥시,정다운식당,일반음식점,"경기도 시흥시 월곶중앙로30번안길 8, 1층 일부호 (월곶동)",경기도 시흥시 월곶동 997-6 1층일부 ,031-310-2485,2021-06-01
시흥시,은정촌,일반음식점,경기도 시흥시 동서로 172-5 (월곶동),경기도 시흥시 월곶동 160 ,031-310-2485,2021-06-01
시흥시,슬램,일반음식점,경기도 시흥시 대골길 72 (대야동),경기도 시흥시 대야동 476-13 ,031-310-2485,2021-06-01
시흥시,영화산장,일반음식점,경기도 시흥시 하우로 181-23 (대야동),경기도 시흥시 대야동 산 103 ,031-310-2485,2021-06-01
시흥시,하우농원오리마을,일반음식점,경기도 시흥시 하우로122번길 44 (대야동),경기도 시흥시 대야동 1-77 ,031-310-2485,2021-06-01
시흥시,넓은마당,일반음식점,"경기도 시흥시 함송로 16, 2층 (정왕동)",경기도 시흥시 정왕동 1882-1 2층 ,031-310-2485,2021-06-01
시흥시,엉터리생고기,일반음식점,"경기도 시흥시 중심상가3길 10 (정왕동, 한솔(프)204-206호)",경기도 시흥시 정왕동 1737-1 한솔(프)204-206호 ,031-310-2485,2021-06-01
