연번,상호명,영업소도로명소재지,영업소지번소재지,전화번호
42,쎄미노래연습장,"경기도 부천시 심곡로 13, 지층 (심곡본동)",경기도 부천시 심곡본동 593-19 ,
43,A플러스 노래연습장,"경기도 부천시 경인로 200-11, 지하층 (심곡본동)",경기도 부천시 심곡본동 590-4 지하 ,
44,300냥동전노래연습장,"경기도 부천시 심곡로 83, 지층 1,2호 (심곡본동, 아남아파트상가)",경기도 부천시 심곡본동 634 아남아파트 ,
45,훼미리노래연습장,"경기도 부천시 고강로92번길 41 (고강동, 고강제일시장)",,
46,무지개노래연습장,경기도 부천시 성곡로 65 (여월동),,032-678-9239
47,팡팡노래연습장,경기도 부천시 지양로158번길 12 (고강동),,032-682-9015
48,홈런노래연습장,경기도 부천시 고리울로51번길 60 (고강동),,032-679-8082
49,까치노래연습장,경기도 부천시 역곡로504번길 62 (고강동),,032-676-1631
50,24시노래연습장,경기도 부천시 역곡로481번길 9 (고강동),,032-672-2120
51,21세기노래연습장,경기도 부천시 고강로92번길 50 (고강동),,032-683-2910
52,우리노래연습장,"경기도 부천시 삼작로 382, 지하층 (원종동)",,
53,신물보라노래연습장,경기도 부천시 성곡로 86 (여월동),,032-681-8442
54,최신노래연습장,경기도 부천시 고리울로 51 (고강동),,032-684-1900
55,앵콜노래연습장,경기도 부천시 고리울로51번길 33 (고강동),,032-679-4937
56,메아리노래연습장,경기도 부천시 삼작로306번길 8 (여월동),,032-684-9195
57,도전노래연습장,경기도 부천시 역곡로490번길 108 (고강동),,032-672-4766
58,세종노래연습장,경기도 부천시 삼작로 332 (여월동),,032-681-5017
59,별 노래연습장,"경기도 부천시 역곡로 483 (고강동, 대영프라자약국)",,032-679-2559
60,동백노래연습장,경기도 부천시 삼작로 335 (여월동),,032-684-3729
61,준노래연습장,경기도 부천시 삼작로 394 (원종동),,032-681-1724
62,VIP노래연습장,경기도 부천시 역곡로472번길 12 (고강동),,032-673-2633
63,여월노래연습장,경기도 부천시 삼작로352번길 2 (여월동),,032-681-1087
64,인기노래연습장,경기도 부천시 삼작로 370 (원종동),,
65,떴다노래연습장,경기도 부천시 삼작로 304 (여월동),,
66,월드노래연습장,경기도 부천시 고리울로51번길 20 (고강동),,032-677-2114
67,원노래연습장,경기도 부천시 역곡로 480 (고강동),,032-674-5039
68,부영노래연습장,경기도 부천시 소사로699번길 35 (원종동),,032-697-3464
69,작동노래연습장,경기도 부천시 삼작로 490 (작동),,032-671-1671
70,로미오노래연습장,경기도 부천시 역곡로482번길 19 (고강동),,032-675-4130
71,쿨노래연습장,경기도 부천시 삼작로 397 (원종동),,032-674-8255
72,별노래연습장,경기도 부천시 삼작로 327 (여월동),,
73,필노래연습장,"경기도 부천시 고강로92번길 41, 5동 (고강동, 고강제일시장)",,032-675-0355
74,고래고래노래연습장,경기도 부천시 삼작로 323 (여월동),,032-683-5387
75,칸 노래연습장,경기도 부천시 역곡로504번길 104 (고강동),,032-684-9966
76,조아노래연습장,경기도 부천시 삼작로 383 (원종동),,032-675-0535
77,삼순이노래연습장,경기도 부천시 역곡로490번길 17 (고강동),,032-678-4999
78,웰빙노래연습장,경기도 부천시 역곡로481번길 15 (고강동),,
79,스타노래연습장,경기도 부천시 역곡로 481 (고강동),,032-679-8688
80,또와 노래연습장,경기도 부천시 삼작로379번길 5 (원종동),,
81,퍼니락노래연습장,"경기도 부천시 역곡로 473, 2층 (고강동)",,032-684-0600
82,SBS노래연습장,경기도 부천시 삼작로 329 (여월동),,
83,주주노래연습장,경기도 부천시 성곡로 80 (여월동),,
84,팝콘노래연습장,"경기도 부천시 고리울로8번길 10, 지층 (고강동)",,032-676-0560
85,샾노래연습장,"경기도 부천시 까치로 117, 지하1층 (작동)",,032-681-8489
86,별노래연습장,경기도 부천시 소사로 687 (원종동),,
87,칸 노래연습장,"경기도 부천시 삼작로 325, 2층 (여월동)",,
88,꽃지노래연습장,"경기도 부천시 까치로 104, 2층 (작동)",,
89,땡큐노래연습장,경기도 부천시 삼작로395번길 5 (원종동),,
90,큐 노래연습장,"경기도 부천시 고리울로 53, 2층 (고강동)",,
91,첼로노래연습장,"경기도 부천시 역곡로 487, 지하층 (고강동)",,
92,토마토 노래연습장,"경기도 부천시 역곡로 493, B01호 (고강동)",,
93,썬노래연습장,"경기도 부천시 성곡로 96, 2층 (여월동, 나성빌딩)",,
94,세븐스타 코인노래연습장 부천고강점,"경기도 부천시 역곡로 478, 3층 (고강동)",,
95,슈퍼스타코인노래연습장,"경기도 부천시 소사로 719, 2층 201호 (원종동, 관우프라자)",,
96,세븐스타 코인노래연습장 여월동점,"경기도 부천시 성곡로 88, 대향빌딩 3층 (여월동)",,
97,야후노래연습장,경기도 부천시 고리울로74번길 31-20 (고강동),,
98,왕코노래연습장,경기도 부천시 상일로94번길 21 (상동),,
99,애니콜노래연습장,경기도 부천시 상일로94번길 14 (상동),,
100,로데오노래연습장,경기도 부천시 상일로94번길 38 (상동),,
101,판테온노래연습장,"경기도 부천시 상일로94번길 13, 지층 (상동)",,
102,소리샘노래연습장,"경기도 부천시 송내대로265번길 59, 한솔프라자 301,302호 (상동)",,
103,108노래연습장,"경기도 부천시 상동로 108, 304호 (상동)",,
104,만원노래연습장,"경기도 부천시 소향로37번길 19, 3층 303호 (상동)",,
105,K팝 코인노래연습장,"경기도 부천시 상동로 83, 402호 (상동, 그랜드프라자)",,
106,에이원노래연습장,"경기도 부천시 소향로37번길 13-22, 502,503호 (상동, 에이원프라자)",,
107,친구 노래연습장,"경기도 부천시 상동로 109, 304호,305호,312호 (상동)",,
108,위너스노래연습장,"경기도 부천시 소향로13번길 14-23, 502~503호 (상동)",,
109,연예인노래연습장,"경기도 부천시 소향로37번길 31-7, 상동타운 (상동)",,
110,워킹 노래연습장,"경기도 부천시 상동로 112, 302호 (상동, 썬프라자)",,
111,제우스노래연습장,"경기도 부천시 길주로77번길 55-25, 302호 (상동, 대야복합타워)",,
112,질러존노래연습장,"경기도 부천시 상일로94번길 14, 2층 (상동)",,
113,광장노래연습장,"경기도 부천시 송내대로73번길 21, 2층 (상동)",,
114,뽀뽀노래연습장,"경기도 부천시 길주로121번길 18-7, 301호 (상동, 성원프라자)",,
115,G G 노래연습장,"경기도 부천시 길주로121번길 18-3, 반도프라자 (상동)",,
116,시드니노래연습장,"경기도 부천시 길주로77번길 55-9, 태평양프라자 502호 (상동)",,
117,썬 노래연습장,"경기도 부천시 길주로 115, 212호 (상동, 시그마타워)",,
118,별빛 노래연습장,"경기도 부천시 송내대로265번길 53, 305호 (상동, 보람씨티프라자)",,
119,프로포즈 노래연습장,"경기도 부천시 소향로37번길 13-20, 303,304,306호 (상동)",,
120,청화대노래연습장,"경기도 부천시 길주로77번길 55-25, 701호 일부 호 (상동)",,
121,큐 노래연습장,"경기도 부천시 송내대로73번길 45, 나진빌딩 지하1층 (상동)",,
122,두바이노래연습장,"경기도 부천시 길주로 115, 시그마타워 308호 (상동)",,
123,스캔들노래연습장,"경기도 부천시 부일로199번길 56, 대동PLAZA B01호 (상동)",,
124,인기노래연습장,"경기도 부천시 도약로 17, 그린프라자 5층 (상동)",,
125,악쓰는 하마 노래연습장,"경기도 부천시 상일로94번길 34, 201호 (상동)",,
126,락휴노래연습장,"경기도 부천시 상동로 79, 수석프라자 201호 (상동)",,
127,베스트노래연습장,"경기도 부천시 길주로 125, 402-1호 (상동, 다승프라자)",,
128,락휴노래연습장,"경기도 부천시 송내대로73번길 21, 정원빌딩 301호 (상동)",,
129,나인투나인노래연습장,"경기도 부천시 길주로 115, 304호,310호호 (상동, 시그마타워)",,
130,슈퍼파워 코인노래연습장,"경기도 부천시 상일로94번길 15, 지층 1호 (상동)",,
131,슈퍼스타인코인노래연습장상동역점,"경기도 부천시 길주로 125, 205호 (상동, 다승프라자)",,
132,올스타코인노래연습장,"경기도 부천시 상일로94번길 37, 203,204호 (상동, 금강플라자)",,
133,씨아이 코인노래연습장,"경기도 부천시 상동로 108, 다인타운 301호 (상동)",,
134,가족 노래연습장,"경기도 부천시 조마루로291번길 46, B102호 (중동)",,
135,준노래연습장,경기도 부천시 신흥로321번길 28-16 (약대동),,
136,티파니노래연습장,"경기도 부천시 도약로147번길 11, 지하1층 (중동)",,
137,장보고노래연습장,"경기도 부천시 신흥로 333, 부원빌딩 (도당동)",,
138,현대노래연습장,"경기도 부천시 석천로183번길 11, 지층 (중동)",,
139,달빛 노래연습장,경기도 부천시 중동로262번길 62 (중동),,
140,팰리스노래연습장,경기도 부천시 석천로268번길 24 (중동),,
141,돼지노래연습장,"경기도 부천시 중동로377번길 7, 지층 (약대동)",,
142,짱노래연습장,"경기도 부천시 조마루로297번길 43, 지하1층 102호 (중동)",,
143,도레미노래연습장,경기도 부천시 수도로74번길 7 (도당동),,
144,SBS노래연습장,"경기도 부천시 석천로178번길 21, 지층 102호 (중동)",,
145,고고노래연습장,"경기도 부천시 석천로184번길 16, B01호 (중동)",,
146,메카노래연습장,"경기도 부천시 조마루로291번길 10, 301호 (중동, 해중프라자)",,
147,킹노래연습장,경기도 부천시 중동로254번길 51 (중동),,
148,상록수노래연습장,"경기도 부천시 중동로248번길 105, 조이럭타운 201호 (중동)",,
149,콘티넨탈노래연습장,"경기도 부천시 중동로248번길 105, 303호 (중동, 조이럭타운)",,
150,썸 노래연습장,"경기도 부천시 중동로 391, 지층 (약대동)",,
151,사이버리아 인터넷 노래연습장,"경기도 부천시 중동로248번길 105, 508호 (중동)",,
152,광장노래연습장,"경기도 부천시 조마루로291번길 8, B01호 (중동)",,
153,용가리노래연습장,"경기도 부천시 중동로254번길 23, 302호 (중동)",,
154,은진노래연습장,"경기도 부천시 소향로 239, 대야하이빌 202호 (중동)",,
155,스타 노래연습장,"경기도 부천시 부흥로315번길 63, 202호 (중동, 은성프라자3차)",,
156,개구리노래연습장,"경기도 부천시 조마루로291번길 40, 301호 (중동, 우신프라자2차빌딩)",,
157,오즈노래연습장,"경기도 부천시 조마루로297번길 43, 서진빌딩 304호 (중동)",,
158,PDP노래연습장,"경기도 부천시 중동로 256, 301호 (중동, 삼성프라자)",,
159,헤라 노래연습장,"경기도 부천시 중동로248번길 31, 301호 (중동)",,032-681-9919
160,웰빙 노래연습장,"경기도 부천시 부흥로315번길 67, 302호 (중동)",,032-328-7563
161,짚불노래연습장,경기도 부천시 석천로169번길 30 (중동),,
162,딴따라 노래연습장,"경기도 부천시 중동로262번길 14, 2층 (중동)",,
163,빙고 노래연습장,경기도 부천시 석천로183번길 41 (중동),,
164,헤라 노래연습장,"경기도 부천시 석천로177번길 24, 지층 (중동)",,
165,샾 노래연습장,"경기도 부천시 석천로183번길 35, 지층 101호 (중동)",,
166,부킹노래연습장,"경기도 부천시 조마루로297번길 31, 205호 (중동)",,032-327-7211
167,짝노래연습장,"경기도 부천시 석천로183번길 43, 지층 B02호 (중동)",,
168,TOP 노래연습장,"경기도 부천시 석천로177번길 28, B101호 (중동)",,
169,꿈마을 노래연습장,경기도 부천시 길주로 342 (중동),,
170,K 노래연습장,"경기도 부천시 석천로177번길 36, 지1층 B101호 (중동)",,
171,큐 노래연습장,"경기도 부천시 석천로177번길 16, 301호 (중동)",,
172,샾 노래연습장,"경기도 부천시 중동로 384, 4층일부층 (약대동)",,
173,S 노래연습장,"경기도 부천시 석천로177번길 10, B02호 (중동)",,032-2691-4754
174,불러브러노래연습장,경기도 부천시 중동로 370 (약대동),,
175,골드 노래연습장,"경기도 부천시 중동로 387-6, 2층 (약대동)",,
176,달라스노래연습장,"경기도 부천시 중동로254번길 25, 301호 (중동, 삼성프라자)",,
177,에이플러스노래연습장,"경기도 부천시 중동로254번길 51, 지층1호 (중동)",,
178,락휴 노래연습장,"경기도 부천시 석천로177번길 12, 3층 (중동)",,
179,오케이 노래연습장,"경기도 부천시 석천로178번길 23, 지하1층 (중동)",,
180,앤 노래연습장,"경기도 부천시 석천로177번길 44, 3층 (중동, 만흥프라자)",,
181,악쓰는 하마 노래연습장,"경기도 부천시 소향로 248, 금강프라자 203호 (중동)",,032-329-9232
182,아리아노래연습장,"경기도 부천시 조마루로291번길 46, 303호 (중동)",,032-326-5588
183,비타민노래연습장,"경기도 부천시 부흥로307번길 52, 지하1층 (중동)",,
184,주몽노래연습장,"경기도 부천시 조마루로291번길 26, B02호 (중동)",,032-323-6973
185,헤라노래연습장,"경기도 부천시 조마루로291번길 24, B01호 (중동, 신영프라자)",,
186,야시노래연습장,"경기도 부천시 조마루로297번길 51, B08호 (중동)",,
187,에이스 노래연습장,"경기도 부천시 조마루로297번길 15, 지층 101호 (중동, 골든프라자)",,032-325-0085
188,힐링노래연습장,"경기도 부천시 석천로 180, 지층 지102,지103호 (중동, 강림프라자)",,032-328-4343
189,W 노래연습장,"경기도 부천시 중동로254번길 61, 지1층 (중동)",,
190,제이제이노래연습장,"경기도 부천시 조마루로297번길 21, 지하1층 101호 (중동)",,
191,마돈나노래연습장,"경기도 부천시 조마루로297번길 15, 105호 (중동, 골든프라자)",,
192,둥지노래연습장,"경기도 부천시 중동로 381, 3층 (약대동)",,
193,나인노래연습장,경기도 부천시 석천로177번길 31 (중동),,
194,태양노래연습장,"경기도 부천시 석천로184번길 18, 301,302호 (중동)",,032-326-9800
195,에쿠스노래연습장,"경기도 부천시 소향로 248, 지하1층 101호 (중동, 금강5차프라자)",,
196,상상 노래연습장,"경기도 부천시 조마루로291번길 52, B102호 (중동, 우신프라자4차빌딩)",,
197,탑노래연습장,"경기도 부천시 조마루로291번길 40, 204호 (중동, 우신프라자 2차빌딩)",,
198,슈퍼스타코인노래연습장,"경기도 부천시 석천로177번길 29, 502호 (중동, 뉴월드프라자)",,
199,뉴스타코인노래연습장,"경기도 부천시 석천로183번길 13, 302호 (중동, 동아빌딩)",,
200,더블유노래연습장,"경기도 부천시 석천로177번길 42, 지층 1호 (중동)",,
201,악동노래연습장,"경기도 부천시 석천로177번길 38, 지하1층일부층 (중동)",,
202,짬짬이코인노래24시연습장,"경기도 부천시 석천로 171, 지하층 B01,02,10호 (중동, 중동프라자)",,
203,히트코인노래연습장,"경기도 부천시 석천로177번길 42, 202호 (중동)",,
204,샾코인노래연습장,"경기도 부천시 조마루로297번길 61, 202호 (중동)",,
205,#나인노래연습장,"경기도 부천시 중동로262번길 62, 3층 301호 (중동, 황금프라자)",,
206,세븐스타코인노래연습장 중동점,"경기도 부천시 중동로254번길 63, 301호 (중동)",,
207,세븐스타코인노래연습장부천조마루점,"경기도 부천시 조마루로 295, 부천프라자 201~202호 (중동)",,
208,악쓰리코인노래연습장,"경기도 부천시 소향로 249, 동아빌딩 3층 일부호 (중동)",,
209,앤드코인노래연습장,"경기도 부천시 중동로248번길 55, 무광프라자 305호 (중동)",,
