시군명,명소명,소재주소,전화번호,부가정보,데이터기준일자,정제WGS84위도,정제WGS84경도
고양시,원마운트,경기도 고양시 일산서구 한류월드로 300,031-1566-2232,"기본 30분 무료, 이후 10분당 300원/스노우파크,워터파크 이용 시 기본?5시간 무료?추가시 당일 무료 주차권증정 (1층 매표소)",2021-03-05,37.6645540055,126.7545272288
과천시,국립현대미술관 과천,경기도 과천시 광명로 313,02-2188-6000,"2시간 2,000원 (이후 30분당 1,000원)",2021-03-05,37.4309778122,127.0199705127
광명시,광명동굴,경기도 광명시 가학로85번길 142,031-1688-3399,"1,2주차장 경차 1,500원, 중소형 3,000원, 대형 4,000원",2021-03-05,37.4246681011,126.8634441855
광주시,곤지암도자공원,경기도 광주시 곤지암읍 경충대로 727,031-799-1500,무료,2021-03-05,37.3502799730,127.3347904394
군포시,반월호수,경기도 군포시 청백리길 6,031-392-3000,,2021-03-05,37.3623695182,126.9352272862
김포시,문수산성,경기도 김포시 월곶면 문수산로 102-38,031-920-2965,,2021-03-05,37.7378268361,126.5308936298
남양주시,몽골문화촌,경기도 남양주시 수동면 비룡로 1635,031-559-8018,"소형 2,000원, 대형 5,000원(몽골문화촌 공연관람 방문고객기준)",2021-03-05,37.7577206981,127.2749798841
남양주시,실학박물관,경기도 남양주시 조안면 다산로 747번길 16,031-579-6000,무료,2021-03-05,37.5160172754,127.3006025720
남양주시,수종사,경기도 남양주시 조안면 북한강로 433번길 186,031-576-8411,무료,2021-03-05,37.5711477923,127.3026412617
부천시,로보파크,경기도 부천시 원미구 평천로 655,070-7094-5479,"평일, 토요일 1시간 무료 (이후 30분당 500원)/ 일요일, 공휴일 3시간 1,000원 (3시간이후부터는 평일요금적용*로보파크입장권제시)",2021-03-05,37.5164701132,126.7639691335
성남시,성남 모란장,경기도 성남시 중원구 둔촌대로 79,031-721-9905,주차불가,2021-03-05,37.4302492616,127.1279404584
시흥시,연꽃테마파크,경기도 시흥시 관곡지로 139,031-310-6222,무료,2021-03-05,37.4006890149,126.8083868960
안산시,안산갈대습지공원,경기도 안산시 상록구 해안로 820-116,031-481-3810,무료,2021-03-05,37.2737293219,126.8397560994
안산시,대부도,경기도 안산시 단원구 화랑로 387,031-481-3060,무료,2021-03-05,37.3226698940,126.8309421906
안성시,미리내성지,경기도 안성시 양성면 미리내 성지로 420,031-674-1256,무료,2021-03-05,37.1484251970,127.2591407612
안성시,칠장사,경기도 안성시 죽산면 칠장로 399-18,031-673-0776,무료,2021-03-05,37.0263280823,127.3967906373
안성시,안성맞춤랜드,경기도 안성시 보개면 남사당로 196-31 남사당전수관,031-678-2672,무료,2021-03-05,37.0312945714,127.3091402397
가평군,유명산,경기도 가평군 설악면 유명산길 79-53,031-589-5487,,2021-03-05,37.5932243492,127.4911984972
가평군,아침고요수목원,경기도 가평군 상면 수목원로 432,031-1544-6703,무료,2021-03-05,37.7439537969,127.3525341486
안성시,너리굴문화마을,경기도 안성시 보개면 너리굴길 100 (신장리 63-1),031-675-2171,무료,2021-03-05,37.0407249537,127.2787777421
안양시,안양예술공원,경기도 안양시 만안구 예술공원로 131,031-8045-5284,유료,2021-03-05,37.4190630619,126.9197712709
포천시,명성산,경기도 포천시 영북면 산정리 372,031-538-3342,"경차 1,000원, 소형 2,000원 중형 3,000원, 대형 5,000원",2021-03-05,38.0938634487,127.3208416203
가평군,쁘띠프랑스,경기도 가평군 청평면 호반로 1063,031-584-8200,무료,2021-03-05,37.7152481121,127.4904238916
고양시,중남미문화원,경기도 고양시 덕양구 대양로285번길 33-15,031-962-7171,무료,2021-03-05,37.7039998399,126.8953565313
가평군,청평호,경기도 가평군 설악면 회곡리 454-3 (가평군 청평면 / 설악면),031-582-0088,무료,2021-03-05,37.7071367904,127.4543907294
가평군,자라섬,경기도 가평군 가평읍 달전리 1-1,031-8078-8028,무료,2021-03-05,37.8102099271,127.5352125186
고양시,북한산,경기도 고양시 덕양구 대서문길 265,02-909-0497,"최초 1시간 경형 500원, 중·소형 1,100원, 대형 2,000원",2021-03-05,,
고양시,킨텍스,경기도 고양시 일산서구 한류월드로 408,031-810-8114,"소형차 30분 1,000원 이후 15분당 500원 대형차 30분 2,000원 이후 15분당 1,000원",2021-03-05,,
고양시,행주산성,경기도 고양시 덕양구 행주내동 산 26,031-8075-4642,"2,000원 (9:00 ~ 18:00)",2021-03-05,,
고양시,일산호수공원,경기도 고양시 일산동구 호수로 595,031-909-9000,"최초 30분 300원, 이후 10분마다 100원 (행사시-소형 1,000원/중형 2,000원/대형 3,000원)",2021-03-05,37.6537546960,126.7686925095
과천시,서울랜드,경기도 과천시 광명로 181,02-509-6000,"소형 10,000원 대형 30,000원 (25인승 이상)",2021-03-05,37.4365017609,127.0240724311
과천시,관악산,경기도 과천시 중앙동,02-3677-2343,,2021-03-05,,
과천시,국립과천과학관,경기도 과천시 상하벌로 110,02-3677-1500,"일반차량 5,000원, 대형(25인승이상) 10,000원",2021-03-05,37.4385349016,127.0055434050
광주시,곤지암리조트,경기도 광주시 도척면 도척윗로 278,02-1661-8787,주차등록필요,2021-03-05,37.3374923833,127.2963227839
광주시,남한산성,경기도 광주시 중부면 남한산성로 784-16,031-743-6610,동문 주차장 무료,2021-03-05,,
김포시,평화누리길,경기도 김포시 대곶면 / 경기도 연천군,031-956-8310,,2021-03-05,,
구리시,고구려대장간마을,경기도 구리시 우미내길 41,031-557-1010,무료,2021-03-05,37.5608108938,127.1109423293
남양주시,남양주종합촬영소[폐관],경기도 남양주시 조안면 북한강로 855번길 138,031-579-0605,[폐관],2021-03-05,37.6039975605,127.3225052354
남양주시,축령산자연휴양림,경기도 남양주시 수동면 축령산로 299,031-592-0681,"경차1,500원/중소형3,000원/대형5,000원",2021-03-05,37.7547771162,127.3132455526
동두천시,소요산,경기도 동두천시 평화로 2910번길 145,031-860-2065,"소형2,000원/중형3,000원/대형5,000원",2021-03-05,37.9465221720,127.0693437436
부천시,한국만화박물관,경기도 부천시 원미구 길주로1(상동 529-2),032-310-3090,무료,2021-03-05,37.5086718515,126.7437361036
성남시,한국잡월드,경기도 성남시 분당구 분당수서로 501,031-1644-1333,"승용차 : 4,000원. 버스 : 10,000원 (60분이내 무료)",2021-03-05,37.3784854065,127.1063402220
수원시,수원화성,경기도 수원시 팔달구 행궁로 11,031-228-4480,"3시간기준 소형 2,000원 대형버스 4,000원",2021-03-05,37.2807973662,127.0151841956
시흥시,갯골생태공원,경기도 시흥시 동서로 287,031-488-6900,무료,2021-03-05,37.3897919258,126.7812507272
시흥시,오이도,경기도 시흥시 정왕동 오이도,031-310-2903,공영주차장 이용,2021-03-05,,
안산시,다문화특구,"경기도 안산시 단원구 원곡동 다문화 1길, 2길",031-1666-1234,,2021-03-05,,
안산시,유리섬,경기도 안산시 단원구 부흥로 254,032-885-6262,무료,2021-03-05,37.2197885275,126.6023925616
양주시,장흥국민관광지,경기도 양주시 장흥면 권율로 193번지 일원,031-856-9570,무료,2021-03-05,37.7328178171,126.9492554212
양주시,회암사지,경기도 양주시 회암사길 11,031-8082-4170,무료,2021-03-05,37.8412152854,127.1029730840
양평군,두물머리,경기도 양평군 양서면 양수리 852,031-770-1001,무료,2021-03-05,37.5305486715,127.3110249274
양평군,민물고기 생태학습관,경기도 양평군 용문면 상광길 23-2,031-8008-6523,무료,2021-03-05,37.5119576576,127.6388838916
양평군,세미원,경기도 양평군 양서면 양수로 93,031-775-1835,무료,2021-03-05,37.5409409749,127.3239565831
양평군,소나기마을,경기도 양평군 서종면 소나기마을길 24,031-773-2299,무료,2021-03-05,37.5948830903,127.3778859750
여주시,명성황후생가,경기도 여주시 여주읍 명성로 71,031-881-9730,"중대형 2,000원/소형 1,000원",2021-03-05,37.2599030089,127.6541067136
여주시,목아박물관,경기도 여주시 강천면 이문안길 21,031-885-9952,무료,2021-03-05,37.2885092955,127.6881568938
여주시,여주도자세상,경기도 여주시 신륵사길 7 여주세계생활도자관,031-887-8232,무료,2021-03-05,37.3001409008,127.6545498438
여주시,여주프리미엄아울렛,경기도 여주시 명품로 360,031-1644-4001,,2021-03-05,37.2452107947,127.6136549141
연천군,허브빌리지,경기도 연천군 왕징면 북삼로 20번길 37,031-833-5100,무료,2021-03-05,38.0895926653,127.0055232501
오산시,물향기수목원,경기도 오산시 청학로 211,031-378-1261,"경차 1,500원, 소형중형 3,000원, 대형 5,000원",2021-03-05,37.1662479454,127.0543477507
용인시,경기도어린이박물관,경기도 용인시 기흥구 상갈로 6,031-270-8600,"승용차 기본1시간 1,000원(매 10분당 200원), 중대형차 기본1시간 2,000원(매 10분당 400원)",2021-03-05,37.2682000947,127.1089114049
용인시,백남준 아트센터,경기도 용인시 기흥구 백남준로 10,031-201-8500,"승용차 기본1시간 1,000원(매 10분당 200원)/ 중대형차 기본1시간 2,000원(매 10분당 400원)",2021-03-05,37.2691333146,127.1103615414
용인시,와우정사,경기도 용인시 해곡동 43 연화산 와우정사,031-332-2472,무료,2021-03-05,37.1790306971,127.2741054930
의정부시,원도봉산,경기도 의정부시 망월로28번길 51-97,031-828-4572,하단,2021-03-05,37.7054736427,127.0378430857
용인시,한국민속촌,경기도 용인시 기흥구 민속촌로 90,031-288-0000,"대형 3,000원 소형 2,000원",2021-03-05,37.2609194665,127.1208130464
이천시,이천세계도자센터(이천세라피아),경기도 이천시 경충대로 2697번길 167-29,031-645-0730,무료,2021-03-05,37.2740690436,127.4259269650
파주시,자운서원,경기도 파주시 법원읍 동문리 산 5-1,031-958-1749,무료,2021-03-05,37.8672973033,126.8720060780
파주시,판문점,경기도 파주시 군내면 대성동길 184-11,,,2021-03-05,37.9433116584,126.6779036739
파주시,파주출판도시,경기도 파주시 문발로 312,031-955-5959,무료,2021-03-05,37.7206155793,126.6928751660
파주시,헤이리예술마을,경기도 파주시 탄현면 법흥리,031-946-8551,헤이리예술마을 곳곳에 주차장 있음,2021-03-05,,
평택시,바람새마을,경기도 평택시 고덕면 궁리 496번지,031-663-5453,무료,2021-03-05,37.0168049528,127.0205986321
포천시,전통 술 박물관 산사원,경기도 포천시 화현면 화현리 512번지,031-531-9300,무료,2021-03-05,37.9059943775,127.3099064308

