시군명,시설명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
가평군,융프라우캠핑장,경기도 가평군 설악면 어비산길 201-29,***-****-****,2021-03-05,37.5925027744,127.5139214988
연천군,인디캠프,경기도 연천군 전곡읍 양원로 108-37,031-833-6900,2021-03-05,37.9874341920,127.0210480322
연천군,조선왕가 로얄카바나,경기도 연천군 연천읍 현문로 339-10,031-834-8383,2021-03-05,38.0635499501,127.1014782525
안성시,안성맞춤캠핑장,경기도 안성시 보개면 문화예술로195-34,031-677-8267,2021-03-05,,
안성시,두리캠핑장,경기도 안성시 서운면 청룡길 90-64,031-675-5595,2021-03-05,36.9048612852,127.2848616775
가평군,남이섬베스트캠핑장,경기도 가평군 가평읍 금대리 329,***-****-****,2021-03-05,37.7770458420,127.5313310438
가평군,솔다람숲힐링파크,경기도 가평군 가평읍 두밀리 144-7,***-****-****,2021-03-05,37.8222511811,127.4475052939
평택시,소풍정원 캠핑장,경기도 평택시 고덕면 궁리 424-25,031-668-4815,2021-03-05,37.0117678173,127.0205338483
가평군,가평 리즈밸리글램핑펜션,경기도 가평군 설악면 어비산길 201-34,031-584-2750,2021-03-05,37.5915114172,127.5127659270
화성시,카라반 캠프,경기도 화성시 서신면 해안길 72,***-****-****,2021-03-05,37.1691230960,126.6279185664
포천시,운악레저타운,경기도 포천시 화현면 화동로432번길 26,***-****-****,2021-03-05,37.9051753684,127.3106365518
연천군,사나래글램핑파크,경기도 연천군 왕징면 북삼리 209-2,031-833-1107,2021-03-05,38.0906170802,127.0005442871
포천시,포천우리캠핑장,경기도 포천시 이동면 금강로 6280,031-535-7614,2021-03-05,38.0884379605,127.3916090519
양평군,상상글램퍼스,경기도 양평군 옥천면 용천로 317,***-****-****,2021-03-05,37.5476611370,127.4999773895
남양주시,북한강뷰 카라반파크,경기도 남양주시 화도읍 북한강로 1546,02-566-0665,2021-03-05,37.6466245257,127.3650826797
가평군,자우림펜션,경기도 가평군 북면 가화로 2697-137,***-****-****,2021-03-05,37.9701573600,127.4519200968
안산시,씨엘관광농원 캠핑장,경기도 안산시 단원구 대부황금로 976,032-881-0750,2021-03-05,37.2494363200,126.5919493642
포천시,파인벨리펜션&글램핑,경기도 포천시 화현면 명덕리 193-4,***-****-****,2021-03-05,37.8750613384,127.2740662668
포천시,송가네 오가리캠핑장,경기도 포천시 창수면 전영로 1023번길 115,***-****-****,2021-03-05,38.0230646509,127.1650903982
포천시,한탄강 화적연캠핑장,경기도 포천시 관인면 뗏마루길 43-116,031-531-0575,2021-03-05,,
용인시,캠프레이크,경기도 용인시 기흥구 고매동 539-1,***-****-****,2021-03-05,37.2273552000,127.1000705731
용인시,카라반베이캠핑장,경기도 용인시 처인구 포곡읍 전대로 62,031-323-5511,2021-03-05,37.2842430150,127.2194391562
용인시,씨밀레자연관광농원,경기도 용인시 이동면 묵리 382-4,***-****-****,2021-03-05,37.1633312889,127.2488440634
용인시,송원글램핑파크,경기도 용인시 처인구 남사면 전궁로95번길 93,031-337-1200,2021-03-05,37.1074061436,127.1429862738
용인시,용인산수골캠핑장,경기도 용인시 처인구 이동면 원천로41번길 81,***-****-****,2021-03-05,37.1944473799,127.2165717428
용인시,봉봉캠핑장,경기도 용인시 처인구 이동읍 백자로184번길 17,***-****-****,2021-03-05,37.2071609888,127.1693271993
용인시,용인힐링캠핑장,경기도 용인시 처인구 원삼면 보개원삼로 1361,***-****-****,2021-03-05,37.1189389623,127.3081099811
용인시,에이스펜션카라반,경기도 용인시 처인구 이동읍 이원로 547,031-322-4221,2021-03-05,37.1650151366,127.2437925182
용인시,용인 미르힐,경기도 용인시 처인구 초부로 215-7,031-333-1222,2021-03-05,37.3154498021,127.2652110345
용인시,문수산오토캠핑장,경기도 용인시 처인구 이동면 이원로 637-3,***-****-****,2021-03-05,37.1622953735,127.2534765558
용인시,단풍숲캠핑장,경기도 용인시 처인구 원삼면 목신리 258-14,***-****-****,2021-03-05,37.1244387488,127.3144677487
용인시,양달농원캠핑장,경기도 용인시 처인구 원삼면 학일로 100-2,031-334-4567,2021-03-05,37.1491275949,127.2870207284
용인시,팡팡캠핑장,경기도 용인시 처인구 원삼면 동부로 1041,***-****-****,2021-03-05,37.1818119982,127.2915592561
가평군,명돈골캠핑장,경기도 가평군 북면 논남기길 19-36,031-582-1991,2021-03-05,37.9672400711,127.4596522817
가평군,알파고글램핑,경기도 가평군 상면 청군로 1559,***-****-****,2021-03-05,37.8213336722,127.3209748067
가평군,또올래캠핑장,경기도 가평군 북면 가화로 2745-70,***-****-****,2021-03-05,37.9746980790,127.4476929453
연천군,알멕스랜드캠핑장,경기도 연천군 왕징면 왕산로218번길 61,***-****-****,2021-03-05,38.0731056970,127.0070138012
가평군,오카나간오토캠핑장펜션,경기도 가평군 설악면 유명산길 61-12,***-****-****,2021-03-05,37.5964512630,127.4922403000
포천시,키즈글램핑GEO,경기도 포천시 이동면 금강로 6561,***-****-****,2021-03-05,38.1104969084,127.3969035319
포천시,깊이울 달빛 캠핑장,경기도 포천시 신북면 심곡리 734-2,***-****-****,2021-03-05,37.9217076944,127.1690435435
안성시,율곡관광농원 캠핑장,경기도 안성시 삼죽면 율곡리 356,***-****-****,2021-03-05,37.1021334518,127.3816524878
동두천시,온새미 오토캠핑장,경기도 동두천시 탑동동 647,***-****-****,2021-03-05,37.8797099801,127.0976380999
고양시,킨텍스캠핑장,경기도 고양시 킨텍스 야외전시장(일산서구 대화동 2720번지),031-913-1700,2021-03-05,,
구리시,늘푸른캠핑장,경기도 구리시 동구릉로459번길 181,031-572-4511,2021-03-05,37.6359673639,127.1312806909
동두천시,산촌 캠핑장,경기도 동두천시 탑동동 286,***-****-****,2021-03-05,37.9009159600,127.1206736836
가평군,향기로운 추억 캠핑장,경기도 가평군 가평읍 북한강변로 272-1,070-4882-2892,2021-03-05,37.7528645875,127.5358833191
연천군,힐링카라반,경기도 연천군 장남면 장백로330번길 46-97,031-835-6000,2021-03-05,37.9924712649,126.8903313536
가평군,화야캠핑장,경기도 가평군 설악면 유명로 1970-41,***-****-****,2021-03-05,,
파주시,호수캠핑장,경기도 파주시 광탄면 기산리 387-11,031-942-7718,2021-03-05,37.7752822055,126.9335524663
안산시,해솔길 캠핑장,경기도 안산시 단원구 대부북동 1865-211,***-****-****,2021-03-05,37.2678407122,126.5605481228
연천군,한탄강관광지 오토캠핑장,경기도 연천군 전곡읍 전곡리 640,031-833-0030,2021-03-05,38.0087565373,127.0598713156
파주시,학교안 풍경캠핑장,경기도 파주시 법원읍 웅담리 43-1,,2021-03-05,37.9150546064,126.9087183918
가평군,가평설악 하늘계곡 캠핑장,경기도 가평군 설악면 봉미산안길 190-27,031-584-6423,2021-03-05,37.6162747480,127.5391035912
포천시,포천자연마을 서울캠핑장,경기도 포천시 관인면 사정리 136-1 (구) 사정분교,,2021-03-05,38.1237556519,127.2525945795
가평군,포시즌 레저타운 캠핑장,경기도 가평군 상면 태봉리 535,,2021-03-05,37.8271751617,127.3202050910
여주시,팜스퀘어 하늘타리,경기도 여주시 금사면 도곡리 241-1,,2021-03-05,37.3840621379,127.5004179842
파주시,파주힐링캠프,경기도 파주시 광탄면 보광로 877,031-942-7719,2021-03-05,37.7728497989,126.8828624076
가평군,별빛오토캠핑장,경기도 가평군 설악면 묵안로 219-15,***-****-****,2021-03-05,37.6476210425,127.5005214798
안성시,별밤락 캠핑장,경기도 안성시 삼죽면 개나리길 138-20,***-****-****,2021-03-05,37.0484546322,127.3742459711
가평군,별드림캠핑장,경기도 가평군 가평읍 당목가일길 515,***-****-****,2021-03-05,37.8726729851,127.5657882214
가평군,가평 별다리글램핑,경기도 가평군 북면 꽃넘이길 23-7,***-****-****,2021-03-05,37.8947338417,127.5287639410
동두천시,벨라,경기도 동두천시 탑동동 322-6,,2021-03-05,37.8984884288,127.1178728594
평택시,백운산캠핑체험농장,경기도 평택시 월곡길 124-272,031-653-3454,2021-03-05,37.0247706296,127.1484887169
파주시,밤골캠핑장,경기도 파주시 파평면 장승배기로268번길 141,***-****-****,2021-03-05,37.8875403714,126.8221902037
파주시,박석 캠핑장,경기도 파주시 탄현면 낙하리 252,,2021-03-05,37.8348248322,126.7397255169
연천군,물새롬랜드 오토캠핑장,경기도 연천군 미산면 우정리 임진물새롬랜드,,2021-03-05,,
양평군,와이글램핑,경기도 양평군 용문면 강이대길38번길 26-37,031-772-5772,2021-03-05,37.5268625158,127.6261000697
파주시,명학산 캠핑장,경기도 파주시 파주읍 향양리 4-1 명학산 캠프(캠핑장),,2021-03-05,37.8509649437,126.8311992769
동두천시,온세미로,경기도 동두천시 천보산로 537,,2021-03-05,37.8797099801,127.0976380999
여주시,오름새관광농원,경기도 여주시 산북면 송현리 99,031-885-2820,2021-03-05,37.3808178727,127.4549901518
연천군,로하스 캠핑장,경기도 연천군 중면 삼곶리 185,,2021-03-05,38.1324480214,127.0252365437
여주시,여주산촌오토캠핑장,경기도 여주시 금사면 금품1로 552,***-****-****,2021-03-05,37.4037840779,127.4913223943
동두천시,에코유 캠핑장,경기도 동두천시 탑동동 495-3,,2021-03-05,37.8638921147,127.1056368162
가평군,가평 둥지글램핑,경기도 가평군 설악면 묵안로 976-62,***-****-****,2021-03-05,37.6011163534,127.5313580984
김포시,동막골캠핑장,경기도 김포시 월곶면 문수산로 252번길 19,***-****-****,2021-03-05,37.7511505540,126.5367019599
포천시,도리돌 캠핑장,경기도 포천시 이동면 도평리 110-5,031-536-9003,2021-03-05,38.0613410227,127.3868157046
김포시,덕포진누리마을캠핑장,경기도 김포시 대곶면 신안리 228-2,031-988-5952,2021-03-05,37.6509530092,126.5378504246
양평군,양평베이스캠프,경기도 양평군 경강로 2277-21,,2021-03-05,37.4942241937,127.5311889133
양평군,양평꿈의마을오토캠핑장,경기도 양평군 청운면 황정2길 98-9,***-****-****,2021-03-05,37.5579168500,127.7221874905
양평군,양평 휴 캠핑 워크샵,경기도 양평군 청운면 갈운리 514-5,,2021-03-05,37.5403868308,127.7691795520
양평군,양평 파인힐 야영장,경기도 양평군 지평면 옥현리 1504-5,,2021-03-05,37.4484753702,127.6113043522
양평군,양평 스파앤캠핑,경기도 양평군 단월면 고북길 228,,2021-03-05,37.5926612110,127.5864628295
양주시,양주산막골캠핑장,경기도 양주시 백석읍 기산로 414-20,031-871-0058,2021-03-05,37.7748462978,126.9378157882
양주시,양주미술관옆 캠핑장,경기도 양주시 장흥면 석현리 394,031-828-9881,2021-03-05,37.7310619458,126.9496202274
양주시,양주 감악산 캠핑장,경기도 양주시 남면 감악산로 632-32,,2021-03-05,37.9141857855,126.9565862229
포천시,닥박골 휴양림,경기도 포천시 신북면 깊이울로1길 48-17,***-****-****,2021-03-05,37.9296975434,127.1770981764
연천군,다솔관광농원,경기도 연천군 청정로918번길 123 다솔관광농원,,2021-03-05,38.0368060618,126.9567183990
파주시,느티나무그늘아래 캠핑장,경기도 파주시 문산읍 사목리 산87-2,,2021-03-05,37.8730265495,126.7545916802
안성시,안성맞춤 자동차야영장,경기도 안성시 보개면 복평리 34-3,031-677-8267,2021-03-05,37.0312945714,127.3091402397
포천시,아이에프에이 캠프운악,경기도 포천시 화현면 금강로 3806-80,***-****-****,2021-03-05,37.8946673253,127.3058183177
남양주시,남양주 휴림캠핑장,경기도 남양주시 수동면 지둔로 344,***-****-****,2021-03-05,37.7137719261,127.2999943999
포천시,깊이울달빛캠핑장,경기도 포천시 신북면 심곡리 734-2,***-****-****,2021-03-05,37.9217076944,127.1690435435
양평군,스톤힐,경기도 양평군 양평읍 양근골안길17번길 2-24,***-****-****,2021-03-05,37.5005732307,127.4871025564
김포시,김포예당캠핑장,경기도 김포시 월곶면 문수산로 104-107,,2021-03-05,37.7405399899,126.5353186441
김포시,김포 황토테마파크,경기도 김포시 하성면 전류리 114번지,031-984-7428,2021-03-05,37.7008491588,126.6554141240
양평군,글램핑코리아 양평점,경기도 양평군 양평읍 충신로189번길 41-36 글램핑코리아(주),070-4809-9099,2021-03-05,37.4568750952,127.5100293290
양평군,글램핑앤카라반,경기도 양평군 단월면 단월로 600,031-773-3709,2021-03-05,37.5860243280,127.6776899975
양평군,글램퍼스 양평점,경기도 양평군 단월면 대부록길 38-3,***-****-****,2021-03-05,37.5793388058,127.6819551349
포천시,국망봉자연휴양림,경기도 포천시 이동면 늠바위길 207-28,031-532-0014,2021-03-05,38.0289215902,127.3962659321
포천시,이야기오토캠핑,경기도 포천시 소흘읍 직동리 75-1,***-****-****,2021-03-05,37.7662359054,127.1712474744
연천군,관광농원 숲속의 보물나라,경기도 연천군 신서면 내산리 150-1,,2021-03-05,38.1545220160,127.1429065805
파주시,공릉관광지 캠핑장,경기도 파주시 조리읍 장곡로 218 420-7,,2021-03-05,37.7501689514,126.8357386608
가평군,솔밭펜션캠핑장,경기도 가평군 조종면 운악청계로371번길 58-34,031-584-3944,2021-03-05,37.8532095363,127.3507140127
가평군,소풍캠핑장,경기도 가평군 설악면 가일리 108,***-****-****,2021-03-05,37.5949008379,127.5084700120
김포시,솔내음캠핑장,경기도 김포시 통진읍 절골로127번길 32-90,031-997-3775,2021-03-05,37.6895496449,126.5811200740
가평군,가평뜰캠핑장(구 가평뜰),경기도 가평군 설악면 뇌암길 49,***-****-****,2021-03-05,37.6312431984,127.4902760139
여주시,파인 관광농원,경기도 여주시 가남읍 신해리 649-10,,2021-03-05,37.2148836294,127.5317723397
포천시,캠핑라운지,경기도 포천시 이동면 성장로1289번길 155-76,***-****-****,2021-03-05,38.0474252333,127.3694222022
포천시,캠프오후4시,경기도 포천시 군내면 청군로2864번길 22,***-****-****,2021-03-05,37.8693457651,127.2510828143
양주시,캠프리카캠핑장,경기도 양주시 백석읍 기산로440번길 127,***-****-****,2021-03-05,37.7712716211,126.9385581916
파주시,캠프 예그리나,경기도 파주시 광탄면 쇠장이길 56,***-****-****,2021-03-05,37.7770057593,126.9094222299
파주시,청풍명월 캠핑장,경기도 파주시 탄현면 문지리 264-2,031-947-1021,2021-03-05,37.8321328937,126.7258742453
양평군,천사봉오토캠핑장,경기도 양평군 단월면 고북길 11,***-****-****,2021-03-05,,
파주시,하마캠핑장,경기도 파주시 적성면 국사로 297,***-****-****,2021-03-05,37.9611597654,126.8696215322
여주시,호수산장관광농원&캠핑,경기도 여주시 가남읍 신해리 222-2,031-882-9779,2021-03-05,37.2321661203,127.5416803692
군포시,초막골생태공원가족캠핑장,경기도 군포시 산본동 919,,2021-03-05,37.3472782626,126.9185991962
가평군,새연리조트 가평현리1호점,경기도 가평군 조종면 운악청계로333번길 86,***-****-****,2021-03-05,37.8467507954,127.3465556222
가평군,산으로간니모,경기도 가평군 조종면 연인산로 670-321,031-584-5550,2021-03-05,37.8545121108,127.3971928504
포천시,포천준글램핑,경기도 포천시 이동면 금강로 6217-16,031-533-5966,2021-03-05,38.0835604185,127.3898488169
파주시,임진강리조트,경기도 파주시 파평면 청송로 550,031-959-1318,2021-03-05,37.9377754310,126.8703675585
연천군,임진강글램핑,경기도 연천군 미산면 어삼로 391-79,031-835-3550,2021-03-05,,
양주시,일영무두리캠핑장,경기도 양주시 장흥면 유원지로 176-77,031-855-6102,2021-03-05,37.7005951424,126.9472478388
여주시,이포보오토캠핑장,경기도 여주시 대신면 여양로 1935-177,031-881-6384,2021-03-05,37.3856113994,127.5489580981
가평군,은하캠프,경기도 가평군 가평읍 읍내리 967-18,***-***-****,2021-03-05,37.8427057694,127.5088276211
포천시,산마루글램핑&오토캠핑장,경기도 포천시 이동면 금강로 6584-20,***-****-****,2021-03-05,38.1118059175,127.3993998697
파주시,비학농원캠프장,경기도 파주시 법웝읍 만월로 613번길 217,***-****-****,2021-03-05,37.8910725225,126.9143919961
김포시,봉바위체험농원,경기도 김포시 하성면 평화공원로70번길 290-97,031-983-5095,2021-03-05,37.7406328485,126.6113259394
가평군,유명산라온캠핑장,경기도 가평군 설악면 유명산길 124-34,031-585-5340,2021-03-05,37.5920069721,127.4855915772
포천시,위크온 글램핑,경기도 포천시 이동면 늠바위길 201-3,***-****-****,2021-03-05,38.0293375392,127.3879246417
용인시,우리들 캠핑장,경기도 용인시 처인구 원삼면 좌항리 224-1,070-8832-4442,2021-03-05,37.2076953062,127.3098802151
연천군,한탄강오토캠핑장,경기도 연천군 전곡읍 선사로 76,031-833-0030,2021-03-05,38.0088794383,127.0588638619
용인시,싱글벙글캠핑장,경기도 용인시 처인구 이동읍 상덕로 95-62,***-****-****,2021-03-05,37.2120794730,127.1586665696
가평군,에뜨유명산 오토캠핑장,경기도 가평군 설악면 유명산길 124-17,***-****-****,2021-03-05,37.5919710016,127.4862938827
안산시,고래숲관광농원,"경기도 안산시 단원구 장불길 14, 고래숲(대부남동)",***-****-****,2021-03-05,37.2003634400,126.5616401202
포천시,달빛글램핑,경기도 포천시 일동면 사기막길 67-6,***-****-****,2021-03-05,37.9650439877,127.3376689775
가평군,올덴 펜션,경기도 가평군 청평면 고재길 262-64,***-****-****,2021-03-05,37.7019976755,127.5168573891
가평군,캠플레이 캠핑장,경기도 가평군 상면 상동리 250-2,***-****-****,2021-03-05,37.7807479760,127.2887532065
안성시,집보다 캠핑장,경기도 안성시 양성면 도라지길 29-28,***-****-****,2021-03-05,37.0599871530,127.1828119673
가평군,가평 칼봉산카라반펜션,경기도 가평군 가평읍 경반안로 229,***-****-****,2021-03-05,37.8273269696,127.4824324069
양주시,전원일기마을캠핑장,경기도 양주시 장흥면 삼하리 210-2,031-871-9253,2021-03-05,37.6727702455,126.9098524516
포천시,아버지의숲 산정캠프,경기도 포천시 영북면 산정호수로 558-1,***-****-****,2021-03-05,38.0547816630,127.3227443190
포천시,파피루스 캠핑장,경기도 포천시 영중면 성동리 75,***-****-****,2021-03-05,38.0268819897,127.2822260881
여주시,흙의 사랑 캠핑장,경기도 여주시 능서면 중부대로 2545-74 흙의 사랑 캠핑장,070-4633-2899,2021-03-05,37.3035039201,127.5813914084
가평군,홀리데이캠프캠핑장,경기도 가평군 설악면 유명로 654-82,***-****-****,2021-03-05,37.6036351611,127.4945167158
연천군,한탕강소나무캠핑,경기도 연천군 전곡읍 전곡리 58-8,***-****-****,2021-03-05,38.0162604896,127.0771977519
가평군,한송오토캠핑장,경기도 가평군 설악면 묵안로 1016,***-****-****,2021-03-05,37.6006915983,127.5353229711
가평군,하늘숲글램핑파크,경기도 가평군 북면 화악산로 254-38,***-****-****,2021-03-05,37.9044911448,127.5620627454
가평군,플로렌스글램핑&캠핑,경기도 가평군 북면 보안벚꽃길 54,***-****-****,2021-03-05,37.8928067862,127.5503952698
양평군,플라워카라반펜션,경기도 양평군 석산로 1543-9,***-****-****,2021-03-05,37.6462200293,127.6169950331
포천시,비둘기낭캠핑장,경기도 포천시 영북면 비둘기낭길 116,031-540-6501,2021-03-05,38.0772268577,127.2220805552
연천군,평화강변수목캠핑장,경기도 연천군 미산면 어삼로 137-11,031-835-7394,2021-03-05,38.0189304960,126.9778812759
안성시,샤토안오토캠핑장,경기도 안성시 서운면 인리 330-7,031-675-6675,2021-03-05,36.9371974770,127.2681308855
안성시,캠핑코리아,경기도 안성시 금광면 진안로 165-16,***-****-****,2021-03-05,36.9612835722,127.3726932465
안성시,안성잔디팜캠핑장,경기도 안성시 금광면 연내동길 138-37,031-675-7433,2021-03-05,36.9714618382,127.3823269671
파주시,캠프예그리나,경기도 파주시 광탄면 쇠장이길 56,***-****-****,2021-03-05,37.7770057593,126.9094222299
파주시,하늘연캠핑장,경기도 파주시 적성면 마지초교길 22-61,***-****-****,2021-03-05,37.9511884736,126.9216549826
양주시,양주감악산캠핑장,경기도 양주시 남면 감악산로 632-32,***-****-****,2021-03-05,37.9141857855,126.9565862229
용인시,용인 미르힐,경기도 용인시 처인구 모현면 초부로 215-7,***-****-****,2021-03-05,37.3154498021,127.2652110345
양주시,양주산막골캠핑장,경기도 양주시 백석읍 기산로 414-20,031-871-0058,2021-03-05,37.7748462978,126.9378157882
수원시,광교호수공원 가족캠핑장,경기도 수원시 영통구 광교호수로 57,031-548-0075,2021-03-05,37.2749886195,127.0652691673
파주시,임진강리조트,경기도 파주시 파평면 청송로550,031-959-1318,2021-03-05,37.9377754310,126.8703675585
김포시,김포한강오토캠핑장,경기도 김포시 하성면 월하로912번길 64,031-989-1000,2021-03-05,37.7025963788,126.6527656974
이천시,이천캠핑랜드,경기도 이천시 율현동 이섭대천로941번길 49-44,031-633-0700,2021-03-05,37.2524612260,127.4397052910
양평군,용문산 자연휴양림,경기도 양평군 양평읍 약수사길 78-14,031-775-4005,2021-03-05,37.5160487826,127.5194181320
양평군,대명레저산업 양평,경기도 양평군 개군면 신내길7번길 55,031-1588-4888,2021-03-05,37.4692648893,127.5326147650
부천시,야인시대캠핑장,경기도 부천시 원미구 길주로 1,031-1899-5584,2021-03-05,37.5086718515,126.7437361036
여주시,이포보 오토&웰빙캠핑장,경기도 여주시 대신면 천서리,031-881-6384,2021-03-05,,
포천시,명성산글램핑,경기도 포천시 영북면 산정호수로 1017,031-536-4066,2021-03-05,38.0901792329,127.3197052807
포천시,천보산자연휴양림오토캠핑장,경기도 포천시 원동교길 303,031-544-6678,2021-03-05,37.8533355553,127.1214252649
광명시,광명도덕산캠핑장,경기도 광명시 밤일안로42번길 69,02-2610-7370,2021-03-05,37.4595987125,126.8606379990
가평군,이지캠핑장,경기도 가평군 설악면 유명로 2110,031-585-3103,2021-03-05,37.6955566413,127.4602536848
가평군,동물카라반펜션,경기도 가평군 상면 임초밤안골로 313,***-****-****,2021-03-05,37.7471355730,127.3599967897
양평군,스톤힐,경기도 양평군 양평읍 양근골안길17번길 2-24,***-****-****,2021-03-05,37.5005732307,127.4871025564
양평군,산음자연휴양림,경기도 양평군 단월면 고북길 347,031-774-8133,2021-03-05,37.5961391250,127.5752067975
연천군,나린오토캠핑장,경기도 연천군 미산면 어삼로 391-81,***-****-****,2021-03-05,38.0186338210,126.9719933886
양평군,용문산야영장,경기도 양평군 용문면 용문산로 684,***-****-****,2021-03-05,37.5472916411,127.5798217935
파주시,율곡 캠핑장,경기도 파주시 파평면 장승배기로 390-217,***-****-****,2021-03-05,37.8917691476,126.8287818797
파주시,명학산 캠핑장,경기도 파주시 파주읍 향양리 4-1 명학산 캠프(캠핑장),***-****-****,2021-03-05,37.8509649437,126.8311992769
여주시,팜스퀘어,경기도 여주시 능현2길 59-46,***-****-****,2021-03-05,37.2676763923,127.6515510268
여주시,여주 인디언 캠핑장,경기도 여주시 현암동 평장길 74 인디언 캠핑장,***-****-****,2021-03-05,,
여주시,해여림빌리지,경기도 여주시 산북면 해여림로 78,031-882-1700,2021-03-05,37.3917168391,127.4383399480
여주시,여주 카라반 체험장,경기도 여주시 점동면 선사길 321,02-2002-9843,2021-03-05,37.2380731068,127.6841869567
부천시,아인스월드캠핑,경기도 부천시 도약로1,032-320-6000,2021-03-05,37.5131520747,126.7452297663
양주시,안태울캠핑장,경기도 양주시 광적면 화합로81번길 375-66,031-871-1388,2021-03-05,37.8720229149,126.9507107851
양주시,비타민 캠핑장,경기도 양주시 백석읍 기산로440번길 110-43,031-876-3377,2021-03-05,37.7703357168,126.9369756507
연천군,힐링카라반,경기도 연천군 장남면 장백로330번길 46-97,031-835-6000,2021-03-05,37.9924712649,126.8903313536
이천시,테르메덴숲속카라반,경기도 이천시 모가면 사실로 984,031-645-2000,2021-03-05,37.1947290075,127.4459485076
용인시,나인힐스 구봉산오토캠핑장,경기도 용인시 처인구 원삼면 목산리 83,***-****-****,2021-03-05,37.1172057107,127.3116147361
가평군,가평카라반캠핑농원,경기도 가평군 가평읍 문화로 291-25,***-****-****,2021-03-05,37.8387118177,127.5043073749
포천시,자일랜드 글램핑펜션,경기도 포천시 영북면 호국로4350번길 154-187,070-7760-0393,2021-03-05,38.1055030788,127.3096643774
김포시,솔내음캠핑장,경기도 김포시 통진읍 절골로127번길 32-90,031-997-3775,2021-03-05,37.6895496449,126.5811200740
포천시,깊이울 캠핑장,경기도 포천시 신북면 깊이울로 141,,2021-03-05,37.9237260466,127.1753151801
가평군,산장관광지,경기도 가평군 상면 덕현상장길 74,031-8078-8057,2021-03-05,,
가평군,아리움캠핑장,경기도 가평군 상면 왕대벌길 147,031-584-1279,2021-03-05,37.7691428544,127.3731717825
가평군,유명산 자연휴양림,경기도 가평군 설악면 유명산길 79-53,031-589-5487,2021-03-05,37.5932243492,127.4911984972
양평군,산음캠핑,경기도 양평군 단월면 고북길 76-23,031-772-3054,2021-03-05,37.5998998645,127.5970294548
가평군,캠핑어클락,경기도 가평군 조종면 연인산로474번길 27,031-585-3509,2021-03-05,37.8472647983,127.3775505297
양평군,별자리캠핑장,경기도 양평군 서종면 서정로 361-3,***-****-****,2021-03-05,37.5977170989,127.4257545787
양평군,꿈의 마을 캠핑장,경기도 양평군 청운면 황정2길 98-9,***-****-****,2021-03-05,37.5579168500,127.7221874905
포천시,353캠핑,경기도 포천시 영북면 산정호수로 1004,031-535-2250,2021-03-05,38.0892074643,127.3207568064
가평군,리스캐빈,경기도 가평군 설악면 유명산길 61-19,***-****-****,2021-03-05,37.5969199493,127.4919910321
양평군,중미산자연휴양림,경기도 양평군 옥천면 중미산로 11,031-771-7166,2021-03-05,37.6041299886,127.3532977598
가평군,포시즌캠핑장,경기도 가평군 상면 청군로 1640,***-****-****,2021-03-05,37.8272723531,127.3203241182
여주시,예터캠핑&엘리스숲미술관,경기도 여주시 점동면 오갑산길 148-124,***-****-****,2021-03-05,37.1645971550,127.6911043808
