시설명,사업분류,프로그램명,프로그램내용,대상지역,서비스 이용자격,이용가능인원,신청방법,요금구분,이용료,운영기간(일시),연락처,기준일
연무사회복지관,서비스제공사업,차량이송,병원진료 및 외부업무 등 바깥출입이 필요할 시에 차량지원을 통한 편의제공,연무동,"(수급자,차상위,저소득)노인, 장애인",20,"전화,내방접수 상담후 대상자 선정",무료,0,연중,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,이미용서비스,독거노인의 청결한 위생관리를 위한 이미용서비스 제공,연무동,"(수급자,차상위,저소득)노인",33,"전화,내방접수 상담후 대상자 선정",무료,0,월1회,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,후원물품지급,후원물품지급,연무동,"(수급자,차상위,저소득)노인, 장애인",115,"전화,내방접수 상담후 대상자 선정",무료,0,수시,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,노년기 건강교육,노년기 건강관리 및 음식물 섭취에 관한 건강관리 지도,연무동,"(수급자,차상위,저소득)노인",40,"전화,내방접수 상담후 대상자 선정",무료,0,연 2회,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,무료건강검진,수원시보건소및지역의료기관과연계하여무료건강검진실시,연무동,"(수급자,차상위,저소득)노인",40,"전화,내방접수 상담후 대상자 선정",무료,0,연 2회,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,안부전화,"독거노인및건강,정서적이유로안부전화가필요한 대상자들에게월3~4회안부전화를실시하여생활의 변화를파악하고정서적지지를제공",연무동,"(수급자,차상위,저소득)노인, 장애인",140,"전화,내방접수 상담후 대상자 선정",무료,0,수시,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,방문서비스,욕구 및 문제가 발생한 대상자 가정을 직접 방문하여 신속하게 욕구나 문제해결에 대처,연무동,"(수급자,차상위,저소득)노인, 장애인",140,"전화,내방접수 상담후 대상자 선정",무료,0,수시,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,찾아가는 이동목욕서비스,장애인의 청결한 위생관리를 위한 이동목욕서비스 제공,수원시,"장애인(장애인활동지원,노인장기요양서비스이용자 제외)",80,"전화,내방접수 상담후 대상자 선정",무료,0,연중(월~금),031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,어깨동무교실,저소득가정 초등학생 방과후공부방,연무동,8-13세,15,"전화,내방접수",유료,50000,연중(월~금),031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,문해교실,성인문해교육,연무동,지역주민 누구나,40,"전화,내방접수",유료,5000,"주2회(월,수)",031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,장안상춘노인대학,"노래교실, 건강체조, 장구교실, 건강 및 안전교육, 식사서비스 등",연무동,65세 이상 지역어르신,60,"전화,내방접수",무료,0,주4회(화~금),031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,가요교실,가요 및 노래 강습,수원시,지역주민 누구나,25,"전화,내방접수 상담후 대상자 선정",유료,10000,매주 월 13시30분~15시,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,요가교실,웰빙요가,수원시,지역주민 누구나,15,"전화,내방접수 상담후 대상자 선정",유료,10000,"매주 월,목 15시~16시",031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,라인댄스교실,라인댄스 강습,수원시,지역주민 누구나,20,"전화,내방접수 상담후 대상자 선정",유료,15000,"매주 화,목 10시~11시",031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,서예교실,"한문서예, 사군자",수원시,지역주민 누구나,20,"전화,내방접수 상담후 대상자 선정",유료,20000,매주 월 10시~12시,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,탁구교실,자유탁구,수원시,지역주민 누구나,20,"전화,내방접수 상담후 대상자 선정",무료,0,월~토,031-245-7576,2020-12-31
연무사회복지관,특수시책사업,찾아가는 사회복지 나눔교육,"사회복지, 장애인복지, 노인복지, 다문화복지, 나눔과 봉사 등",연무동,협약초등학교 4곳,72,학교 복지실,무료,0,"주3회(화,금)",031-245-7576,2020-12-31
연무사회복지관,특수시책사업,드림하이교실,저소득가정 중학생 방과후 공부방,수원시,저소득가정 청소년 14-16세,15,"전화,내방접수 상담후 대상자 선정",유료,30000,"주3회(월,수,금)",031-245-7576,2020-12-31
우만종합사회복지관,사례관리사업,사례관리 사업,"초기발굴, 자원 및 서비스 연계, 사례회의 등 지역 주민의 욕구해결 및 역량강화를 위한 사례개입 진행","우만1동, 우만2동, 지동, 행궁동, 매교동, 인계동, 고등동, 매산동, 화서1동, 화서2동",지역 주민 누구나,999,"전화, 내방 접수",무료,0,연중,031-254-1992,2020-12-31
우만종합사회복지관,사례관리사업,사례관리 사업,"초기발굴, 자원 및 서비스 연계, 사례회의 등 지역 주민의 욕구해결 및 역량강화를 위한 사례개입 진행","우만1동, 우만2동, 지동, 행궁동, 매교동, 인계동",지역 주민 누구나,999,"전화, 내방 접수",무료,0,연중,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,꿈디자이너사업,"청소년 꿈지원금 연계, 비전원정대, 캠프, 부모 교육, 부모자조모임, 국토대장정 참가 등",수원시,"(수급자,차상위,저소득)청소년",10,"전화, 내방접수",무료,0,연중,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,"결연후원(정기,일시)",지역 내 경제적 어려움을 겪고 있는 저소득 계층에게 결연후원을 통한 경제적 부담 감소 및 정서적 지지,수원시,"(수급자,차상위,저소득) 아동,청소년,노인, 장애인등",56,"전화,내방접수 상담후 대상자 선정",무료,0,연중,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,물품후원,"물품 후원이 필요한 대상자 발굴, 신규 물품 후원이 필요한 가정에 대한 물품 지원(식료품,생필품등)및 지속적 관리",수원시,"(수급자,차상위,저소득) 아동,청소년,노인, 장애인등",500,"전화,내방접수 상담후 대상자 선정",무료,0,연중,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,"경로식당,절기행사",식사 제공을 통한 어르신 및 장애인의 결식 예방 및 건강한 삶 유지,수원시,"60세이상 수급자-차상위(무료),일반(유료)",246,"전화, 내방 접수",무료,0,월~금,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,식사배달,식사 제공을 통한 어르신 및 장애인의 결식 예방 및 건강한 삶 유지(거동불편한 어르신 가정에 직접 서비스 배달),우만동(우만3단지내),"60세이상 수급자,차상위",80,"전화,내방접수 상담후 대상자 선정",무료,0,월~토,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,일시식사지원,스스로 식사를 해결하지 못하는 취약한 상황에 처한 지역 주민에 대한 지원체계 마련,수원시,"60세이상 수급자-차상위(무료),일반(유료)",15,"전화,내방접수 상담후 대상자 선정",무료,0,월~금,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,이웃사의,"기초건강조사, 의료사례개입(2020년 종결)",우만동(우만3단지내),지역주민(3단지),270,"전화, 내방접수",무료,0,수시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,실버파티,가정방문을 통해 축하인사 및 생신선물 전달,수원시,지역 내 60세 이상 월 별 생신을 맞으신 어르신,350,"전화, 내방접수",무료,0,월 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,어버이날행사,카네이션 전달 ,수원시,지역 내 60세 이상 어르신,400,,무료,0,연 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,행복나들이,"지역주민 나들이(코로나19로 잠정중단, 소그룹형태로 활동 조정 예정)",수원시,지역주민,0,"전화, 내방접수",무료,0,연 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,효도사진촬영,영정사진 무상 제공,수원시,지역주민,10,"전화, 내방접수",무료,0,연 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,홈클리닝서비스,가사지원 및 홈클리닝 서비스 제공,수원시,지역주민,2,"전화, 내방접수",무료,0,수시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,이동세탁서비스,이불세탁 서비스,수원시,지역주민,60,"전화, 내방접수",유료,1000,"월,수,금",031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,무료이미용,무료 커트 및 파마(코로나19로 잠정중단),수원시,지역주민,50,"전화, 내방접수",무료,0,월 6회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,한방진료,한의학 진료 및 침 치료,수원시,지역주민,10,"전화, 내방접수",무료,0,월 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,지역의료연계,보건의료서비스 및 건강교육,수원시,지역주민,20,"전화, 내방접수",무료,0,연 4회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,"결연후원(정기,일시)",지역 내 경제적 어려움을 겪고 있는 저소득 계층에게 결연후원을 통한 경제적 부담 감소 및 정서적 지지,수원시,"(수급자,차상위,저소득) 아동,청소년,노인, 장애인등",0,"전화,내방접수 상담후 대상자 선정",무료,0,연중,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,물품후원,"물품 후원이 필요한 대상자 발굴, 신규 물품 후원이 필요한 가정에 대한 물품 지원(식료품,생필품등)및 지속적 관리",수원시,"(수급자,차상위,저소득) 아동,청소년,노인, 장애인등",0,"전화,내방접수 상담후 대상자 선정",무료,0,연중,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,"경로식당,절기행사",식사 제공을 통한 어르신 및 장애인의 결식 예방 및 건강한 삶 유지,수원시,"60세이상 수급자-차상위(무료),일반(유료)",246,"전화, 내방 접수",무료,0,월~금,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,식사배달,식사 제공을 통한 어르신 및 장애인의 결식 예방 및 건강한 삶 유지(거동불편한 어르신 가정에 직접 서비스 배달),우만동(우만3단지내),"60세이상 수급자,차상위",80,"전화,내방접수 상담후 대상자 선정",무료,0,월~토,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,생계위기자 지원 경로식당 활용 급식지원사업,코로나19로 실직등 경제적 어려움이 있는 대상에게 급식서비스 지원을 통한 경제적 부담 감소,수원시,"긴급지원대상 또는 생계급여, 차상위 탈락자",30,"전화,내방접수 상담후 대상자 선정",무료,0,월~금,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,일시식사지원,스스로 식사를 해결하지 못하는 취약한 상황에 처한 지역 주민에 대한 지원체계 마련,수원시,"60세이상 수급자-차상위(무료),일반(유료)",5,"전화,내방접수 상담후 대상자 선정",무료,0,월~금,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,실버파티,가정방문을 통해 축하인사 및 생신선물 전달,수원시,지역 내 60세 이상 월 별 생신을 맞으신 어르신,480,"전화, 내방접수",무료,0,월 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,어버이날행사,카네이션 전달 ,수원시,지역 내 60세 이상 어르신,300,,무료,0,연 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,행복나들이,"지역주민 나들이(코로나19로 잠정중단, 소그룹형태로 활동 조정 예정)",수원시,지역주민,0,"전화, 내방접수",무료,0,연 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,효도사진촬영,영정사진 무상 제공,수원시,지역주민,10,"전화, 내방접수",무료,0,연 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,홈클리닝서비스,가사지원 및 홈클리닝 서비스 제공,수원시,지역주민,2,"전화, 내방접수",무료,0,수시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,이동세탁서비스,이불세탁 서비스,수원시,지역주민,1일 2명,"전화, 내방접수",유료,1000,"월,수,금",031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,무료이미용,무료 커트 및 파마(코로나19로 잠정중단),수원시,지역주민,40,"전화, 내방접수",무료,0,월 6회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,한방진료,한의학 진료 및 침 치료,수원시,지역주민,10,"전화, 내방접수",무료,0,월 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,지역의료연계,보건의료서비스 및 건강교육,수원시,지역주민,20,"전화, 내방접수",무료,0,연 4회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,온동네돌봄사업,주민돌봄단을 조직하여 돌봄이 필요한 주민에게 돌봄서비스(단순생활도움) 제공,수원시,지역주민,30,"전화, 내방접수",무료,0,수시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,작은도서관 (파랑새도서관),도서관 도서 열람 및 대출,수원시,지역주민 누구나,999,,무료,0,상시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,작은 문학회 백일장 낭독회,백일장&낭독회 실시 및 시상,수원시,지역주민 누구나,30,"전화,내방접수",무료,0,연1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,심리정서지원 청소년pg,"지역사회 위기 청소년을 위한 교육, 문화 프로그램 진행",수원시,청소년,45,"전화,내방접수",무료,0,연4회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,요리조리 요리교실,지역 아동청소년 대상 요리교실,수원시,아동청소년,15,"전화,내방접수",무료,0,연3회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,방학을 부탁해,"지역아동 대상 방학 돌봄, 여가문화 체험 프로그램 진행",수원시,아동청소년,15,"전화,내방접수, 요금감면문의",문의,,"연2회(1월,8월)",031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,"진로, 직업탐색 띠앗사이 멘토링","청소년 대상 진로탐색 멘토링 프로그램(매칭, 교육, 간담회, 평가회 등)",수원시,청소년,10,"전화,내방접수",무료,0,상시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,노래교실,대중가요 이론 및 실기,수원시,지역주민 누구나,30,"전화,내방접수, 요금감면문의",유료,10000,주 1회 (화),031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,한국무용,한국무용 강습,수원시,지역주민 누구나,20,"전화,내방접수, 요금감면문의",유료,10000,주 1회 (목),031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,피아노교실,피아노 이론 및 실기,수원시,지역주민 누구나,25,"전화,내방접수, 요금감면문의",유료,60000,주 5회 (월~금),031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,서예교실,서예 강습,수원시,지역주민 누구나,15,"전화,내방접수, 요금감면문의",유료,10000,주 1회 (월),031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,성인문해교육,교육의 기회를 놓친 비문해자를 대상으로  학습에 대한 지지 및 한글학습 기회제공,수원시,비문해 학습자,30,전화.내방접수,무료,0,주4회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,지역축제참여,"지역 내 축제 참여, 교류의 장 형성",수원시,프로그램 수강생,100,전화.내방접수,무료,0,연4회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,나들이,문화활동 기회 제공,수원시,프로그램 수강생,45,전화.내방접수,무료,0,연1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,강사간담회,강사 간 소통 기회 마련,수원시,프로그램 강사,20,,무료,0,연1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,회원간담회,회원 간 소통 기회 마련,수원시,프로그램 수강생,100,,무료,0,연1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,시민정보화교육,지역 내 취약계층의 컴퓨터 활용능력향상 및 정보 소외감 해소,수원시,수원시민 누구나,20,전화. 홈페이지접수,무료,0,2월~12월,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,시각장애인정보화교육,시각장애인 컴퓨터 활용능력향상 및 정보 소외감 해소,수원시,수원시민 누구나,20,전화. 홈페이지접수,무료,0,2월~12월,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,평생교육바우처-원예,원예 이론 및 실기 수업,수원시,평생교육바우처 학습자,40,전화.내방접수,문의,,상시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,평생교육바우처-요리,요리 이론 및 실기 수업,수원시,평생교육바우처 학습자,40,전화.내방접수,문의,,상시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,평생교육바우처-수지뜸,수지뜸 이론 및 실기 수업,수원시,평생교육바우처 학습자,40,전화.내방접수,문의,,상시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,평생교육바우처-목공예,목공 DIY 수업 ,수원시,평생교육바우처 학습자,25,전화.내방접수,문의,,상시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,평생교육바우처-피아노,음악 이론 및 실기 수업,수원시,평생교육바우처 학습자,10,전화.내방접수,문의,,상시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,평생교육바우처-건강운동,"건강, 치매예방 웃음치료",수원시,평생교육바우처 학습자,40,전화.내방접수,문의,,상시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,한가위행사,한가위 맞이 절기 행사 진행,수원시,지역주민,1250,,무료,0,연 1회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,밥드림(밥드림의 특별한 하루),지역주민 반찬지원서비스(인근 지역 학교 잉여 급식 수거) -> 코로나로인해 대체식품 지원(급시사업 미진행),수원시,지역주민 누구나,90,내방,무료,0,상시(연 11회기 진행),031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 기탁,기탁품 확보,수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",25,"전화,방문",무료,0,주 5회 (월~금),031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 배분,식품지원 및 이용율 상승,수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",1244,"전화,내방접수",무료,0,주 5회 (월~금),031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 방문홍보,방문홍보를 통한 기탁처 확보,수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",25,방문,무료,0,상시,031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 기부함,기부함 관리를 통한 기탁물품 확보,수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",1,상시 수거,무료,0,월 1회,031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 CMS,후원금 확보,수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",30,,무료,0,월 1회,031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 저금통,사업비 확보,수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",10,방문 수거,무료,0,연1회,031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 기탁처 설문조사,기탁처 의견수렴(코로나로인해 미진행),수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",40,방문,무료,0,연2회,031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 이용자 만족도 조사,이용자 욕구조사(코로나로인해 미진행),수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",300,마켓내 실시,무료,0,연1회,031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 생각중 도시락,지역아동센터를 통한 도시락 지원(코로나로인해 미진행),수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",15,,무료,0,월2회,031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,해누리푸드마켓 또한번 생각중 포장반찬,저소득 계층에게 포장반찬 지원(코로나로인해 미진행),수원시,"긴급지원대상자, 차상위계층, 수급탈락자, 기초생활수급자",10,,무료,0,월2회,031-238-1378,2020-12-31
우만종합사회복지관,서비스제공사업,수원푸드뱅크 기탁,기탁품 확보,수원시,사회복지시설,70,"전화, 방문",무료,0,주 5회 (월~금),031-257-1378,2020-12-31
우만종합사회복지관,서비스제공사업,수원푸드뱅크 배분,식품지원 및 이용율 상승,수원시,사회복지시설,32,"전화, 방문 접수",무료,0,주 5회 (월~금),031-257-1378,2020-12-31
우만종합사회복지관,서비스제공사업,수원푸드뱅크 방문홍보,방문홍보를 통한 기탁처 확보,수원시,사회복지시설,12,상시 수거,무료,0,월 1회,031-257-1378,2020-12-31
우만종합사회복지관,서비스제공사업,수원푸드뱅크 기부함,기부함 관리를 통한 기탁물품 확보,수원시,사회복지시설,1,,무료,0,월1회,031-257-1378,2020-12-31
우만종합사회복지관,서비스제공사업,수원푸드뱅크 CMS,후원금 확보,수원시,사회복지시설,20,,무료,0,월1회,031-257-1378,2020-12-31
우만종합사회복지관,서비스제공사업,수원푸드뱅크 기탁처 설문조사,기탁처 의견수렴(코로나로인해 미진행),수원시,사회복지시설,40,,무료,0,연2회,031-257-1378,2020-12-31
우만종합사회복지관,서비스제공사업,수원푸드뱅크 이용자 만족도 조사,수혜기관 욕구조사(코로나로인해 미진행),수원시,사회복지시설,30,,무료,0,연1회,031-257-1378,2020-12-31
우만종합사회복지관,서비스제공사업,밥드림 기탁,급식류 기탁 (코로나로인해 미진행),수원시,인근학교,10,,무료,0,주2회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,밥드림 배분,급식류 지원 (코로나로인해 미진행),수원시,지역주민 누구나,90,,무료,0,주2회,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,밥드림 특별한 하루,대체식품 지원,수원시,지역주민 누구나,90,내방,무료,0,상시,031-254-1992,2020-12-31
우만종합사회복지관,서비스제공사업,밥드림 만족도,이용자 욕구조사(코로나로인해 미진행),수원시,지역주민 누구나,30,,무료,0,연1회,031-254-1992,2020-12-31
우만종합사회복지관,지역조직사업,칠팔구순 잔치,"칠순, 팔순, 구순을 맞이핸 주민을 대상으로 잔치 진행",수원시,우만3단지 거주자 및 복지관 이용자,60,행사 참여,무료,0,연 1회,031-254-1992,2020-12-31
우만종합사회복지관,지역조직사업,설맞이 행사,설을 맞이해 주민을 대상으로 식사나눔과 다채로운 행사 진행,수원시,지역주민 누구나,500,행사 참여,무료,0,연 1회,031-254-1992,2020-12-31
