업종,상호명,영업소도로명소재지,영업소지번소재지,위도,경도,전화번호,관리기관명,관리기관전화번호,데이터기준일자
노래연습장업,아리랑 노래연습장,경기도 동두천시 장고갯로 48,경기도 동두천시 생연동 387-1,37.89974579 ,127.06124256 ,031-862-9887,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,아지트 노래연습장,경기도 동두천시 지행로 60,경기도 동두천시 지행동 721,37.89207336 ,127.05381928 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,애플 노래연습장,경기도 동두천시 중앙로 220,경기도 동두천시 생연동 689-28,37.90108672 ,127.05316183 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,에이스노래연습장,경기도 동두천시 행선로 97,경기도 동두천시 생연동 351,37.89700647 ,127.06210437 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,열정노래연습장,경기도 동두천시 생연로 157-2,경기도 동두천시 생연동 825-31,37.90663341 ,127.05208331 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,울랄라 노래연습장,경기도 동두천시 평화로2261번길 9-2,경기도 동두천시 지행동 738-8,37.88963263 ,127.05590018 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,으뜸 노래연습장,경기도 동두천시 중앙로295번길 25-3,경기도 동두천시 생연동 586-59,37.90800236 ,127.05318501 ,031-864-0292,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,제우스 노래연습장,경기도 동두천시 중앙로 302,경기도 동두천시 생연동 612-2,37.90830428 ,127.05491819 ,031-861-6410,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,주주 노래연습장,경기도 동두천시 중앙로 277-1,경기도 동두천시 생연동 602-12,37.90635865 ,127.05403891 ,031-868-5367,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,질러코인노래연습장,경기도 동두천시 동광로 76,경기도 동두천시 생연동 620-2,37.90866025 ,127.05661504 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,채플린 노래연습장,경기도 동두천시 지행로 50,경기도 동두천시 지행동 718-2,37.89209193 ,127.05260512 ,031-859-6365,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,천국 노래연습장,경기도 동두천시 지행로 60,경기도 동두천시 지행동 721,37.89207336 ,127.05381928 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,초콜릿 노래연습장,경기도 동두천시 중앙로 116,경기도 동두천시 지행동 718-1,37.89176764 ,127.05250485 ,031-858-7772,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,태양 노래연습장,경기도 동두천시 강변로454번길 24,경기도 동두천시 생연동 578-31,37.90891807 ,127.05239422 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,괘흐엉 노래연습장 ,경기도 동두천시 중앙로 259,경기도 동두천시 생연동 658-4,37.90467587 ,127.05361924 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,피터팬 노래연습장,경기도 동두천시 중앙로 237,경기도 동두천시 생연동 688-52,37.90277331 ,127.05310847 ,031-858-4140,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,홍길동전 노래연습장 지행점,경기도 동두천시 지행로 50,경기도 동두천시 지행동 718-2,37.89209193 ,127.05260512 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
복합유통게임제공업,본스PC방,경기도 동두천시 지행로 61,경기도 동두천시 지행동 695-1,37.89266789 ,127.05402435 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
복합유통게임제공업,엠존(M-ZONE),경기도 동두천시 중앙로 110-23,경기도 동두천시 지행동 719-2,37.89162671 ,127.05336876 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
비디오물감상실업,씨네24DVD,경기도 동두천시 지행로 60,경기도 동두천시 지행동 721,37.89207336 ,127.05381928 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
비디오물제작업,굿 미디어,경기도 동두천시 동두천로 63,경기도 동두천시 송내동 665-6,37.88688741 ,127.05407469 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
비디오물제작업,미디어 21,경기도 동두천시 방죽로 10,경기도 동두천시 생연동 427-18,37.90266584 ,127.05930293 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
비디오물제작업,티제이드론주식회사,경기도 동두천시 평화로3030번길 10,경기도 동두천시 하봉암동 316-19,37.95698698 ,127.06305148 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
비디오물제작업,미디어프랜즈,경기도 동두천시 평화로 2736 (동두천동),경기도 동두천시 동두천동 282-9 ,37.93218158 ,127.05641979 ,031-863-0206,동두천시청 문화체육과,031-860-2103,2021-06-30
비디오물제작업,올바른 생각,"경기도 동두천시 중앙로 112, 메인프라자 7층 701호 (지행동)",경기도 동두천시 지행동 718 메인프라자 ,37.89147105 ,127.05249065 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
비디오물제작업,러닝메이트,"경기도 동두천시 동두천로 115, 중앙프라자 804호 (지행동)",경기도 동두천시 지행동 721-3 중앙프라자 ,37.89170549 ,127.05463733 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
음반.음악영상물제작업,뮤직스테이션,경기도 동두천시 동광로 68,경기도 동두천시 생연동 617-2,37.90850202 ,127.05590081 ,031-864-7727,동두천시청 문화체육과,031-860-2103,2021-06-30
음반.음악영상물제작업,미디어 21,경기도 동두천시 방죽로 10,경기도 동두천시 생연동 427-18,37.90266584 ,127.05930293 ,031-865-2500,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,3 POP PC CAFE,경기도 동두천시 동두천로 119,경기도 동두천시 지행동 721-2,37.89206578 ,127.05462873 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,7프로PC,경기도 동두천시 중앙로 298,경기도 동두천시 생연동 612-12,37.90801239 ,127.05487248 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,ABC PC카페,경기도 동두천시 생연로 132-1,경기도 동두천시 생연동 823-48,37.90429115 ,127.05166323 ,031-868-7750,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,E-SPORTS PC CAFE,경기도 동두천시 동두천로 119,경기도 동두천시 지행동 721-2,37.89206578 ,127.05462873 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,고고씽 pc방,경기도 동두천시 중앙로 110-9,경기도 동두천시 지행동 719,37.89163406 ,127.05304135 ,031-862-9944,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,골드PC방,경기도 동두천시 동두천로 9,경기도 동두천시 송내동 695-4,37.88229263 ,127.05395312 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,깡패고양이 PC방,경기도 동두천시 지행로 60,경기도 동두천시 지행동 721,37.89207336 ,127.05381928 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,딴다PC,경기도 동두천시 중앙로 253,경기도 동두천시 생연동 665-32,37.90418944 ,127.05344606 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,라떼 PC방,경기도 동두천시 중앙로 275-1,경기도 동두천시 생연동 601-22,37.90616766 ,127.05400238 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,라이온 pc,경기도 동두천시 중앙로 220,경기도 동두천시 생연동 689-28,37.90108672 ,127.05316183 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,랭커 PC방,경기도 동두천시 동두천로 129,경기도 동두천시 지행동 695-5,37.89307477 ,127.05478864 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,무한도전 pc,경기도 동두천시 동두천로 129,경기도 동두천시 지행동 695-5,37.89307477 ,127.05478864 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,방가방가 PC,경기도 동두천시 동두천로 347-1,경기도 동두천시 생연동 567-63,37.91270744 ,127.05628153 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,보물 PC,경기도 동두천시 중앙로 336-1,경기도 동두천시 생연동 559-12,37.91142477 ,127.05572107 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,복PC,경기도 동두천시 중앙로 252-1,경기도 동두천시 생연동 665-23,37.90401271 ,127.05379159 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,샹떼 PC방,경기도 동두천시 지행로 50,경기도 동두천시 지행동 718-2,37.89209193 ,127.05260512 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,세븐PC,경기도 동두천시 평화로 2513,경기도 동두천시 생연동 545-3,37.91231756 ,127.05768224 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,센스쟁이PC방,경기도 동두천시 중앙로 126,경기도 동두천시 지행동 693-2,37.89275146 ,127.05251919 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,시즌아이PC(지행점),경기도 동두천시 중앙로 132,경기도 동두천시 지행동 693,37.89320912 ,127.05257408 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,알파플러스PC방,경기도 동두천시 중앙로 272,경기도 동두천시 생연동 601-63,37.90577104 ,127.05444783 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,여왕PC,경기도 동두천시 중앙로 282,경기도 동두천시 생연동 601-72,37.90652062 ,127.05446202 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,여우와 늑대 PC라운지,경기도 동두천시 지행로 64,경기도 동두천시 지행동 721-1,37.89206961 ,127.05416489 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,올인PC,경기도 동두천시 생연로 170,경기도 동두천시 생연동 589-38,37.90748726 ,127.05263427 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,윙게임,경기도 동두천시 생연로 122,경기도 동두천시 생연동 823-56,37.90325703 ,127.05127591 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,진PC방,경기도 동두천시 삼육사로 1016,경기도 동두천시 생연동 396-5,37.89943866 ,127.06278861 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,카이로스 PC방,경기도 동두천시 정장로 37,경기도 동두천시 생연동 649-9,37.90429684 ,127.05500617 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,캠프PC방,경기도 동두천시 행선로 98,경기도 동두천시 생연동 342-4,37.89686571 ,127.06249081 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,탑PC,경기도 동두천시 중앙로 235,경기도 동두천시 생연동 688-53,37.90269404 ,127.05308567 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,테블리 PC방,경기도 동두천시 어수로83번길 36,경기도 동두천시 생연동 664-59,37.90407448 ,127.05265004 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,파크PC,경기도 동두천시 어수로83번길 36,경기도 동두천시 생연동 664-59,37.90407448 ,127.05265004 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,팡팡PC,경기도 동두천시 생연로 149,경기도 동두천시 생연동 825-93,37.90582627 ,127.05185533 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,팡팡PC방,경기도 동두천시 정장로 21,경기도 동두천시 생연동 665-14,37.90460406 ,127.05303701 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,플러스 PC방,경기도 동두천시 중앙로 276,경기도 동두천시 생연동 601-29,37.90610623 ,127.05436166 ,031-535-1914,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,헤라 PC,경기도 동두천시 지행로 56,경기도 동두천시 지행동 718-4,37.89206996 ,127.05337363 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,황제PC방,경기도 동두천시 동두천로 129,경기도 동두천시 지행동 695-5,37.89307477 ,127.05478864 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,히든PC,경기도 동두천시 중앙로 259,경기도 동두천시 생연동 658-4,37.90467587 ,127.05361924 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,OK PC,"경기도 동두천시 중앙로265번길 26, 1층 (생연동)",경기도 동두천시 생연동 659-18 ,37.90546402 ,127.05241144 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,놀이터PC,"경기도 동두천시 중앙로295번길 3, 1층 (생연동)",경기도 동두천시 생연동 611-110 ,37.90792022 ,127.05430216 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,대박PC,경기도 동두천시 중앙로 242-1 (생연동),경기도 동두천시 생연동 669-14 ,37.90308637 ,127.05353997 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,명품PC,경기도 동두천시 상패로 90 (상패동),경기도 동두천시 상패동 40-3 ,37.90936776 ,127.04876754 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,세븐PC,경기도 동두천시 정장로17번길 9 (생연동),경기도 동두천시 생연동 659-28 ,37.90502848 ,127.05268017 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,황금PC,경기도 동두천시 동광로 68 (생연동),경기도 동두천시 생연동 617-2 ,37.90850256 ,127.05590251 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
인터넷컴퓨터게임시설제공업,황제PC,"경기도 동두천시 삼육사로 1072, 1층 (생연동)",경기도 동두천시 생연동 317-7 ,37.89792512 ,127.06819195 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,광장게임랜드,경기도 동두천시 중앙로285번길 8,경기도 동두천시 생연동 607-14,37.90715519 ,127.05380752 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,무사게임랜드,경기도 동두천시 중앙로 302,경기도 동두천시 생연동 612-2,37.90830428 ,127.05491819 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,세븐게임장,경기도 동두천시 어수로83번길 38,경기도 동두천시 생연동 660-50,37.90437359 ,127.05265025 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,스타게임랜드,경기도 동두천시 정장로17번길 24,경기도 동두천시 생연동 659-1,37.90559148 ,127.05306956 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,시장 게임장,경기도 동두천시 동광로52번길 3,경기도 동두천시 생연동 611-47,37.90831545 ,127.05412676 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,점프게임랜드,경기도 동두천시 중앙로 263,경기도 동두천시 생연동 657-1,37.90503993 ,127.05344667 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,중앙로게임랜드,경기도 동두천시 중앙로 220,경기도 동두천시 생연동 689-28,37.90108672 ,127.05316183 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,지행 게임랜드,경기도 동두천시 중앙로 110-9,경기도 동두천시 지행동 719,37.89163406 ,127.05304135 ,070-4114-6516,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,태양게임장,경기도 동두천시 어수로83번길 38,경기도 동두천시 생연동 660-50,37.90437359 ,127.05265025 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
일반게임제공업,7080게임랜드,"경기도 동두천시 생연로 144, 1층 (생연동)",경기도 동두천시 생연동 588-11 ,37.90532053 ,127.05195231 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,가즈아,경기도 동두천시 중앙로353번길 11-1,경기도 동두천시 생연동 542-21,37.91349674 ,127.05613657 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,게임박스 멀티샵,경기도 동두천시 지행로 60,경기도 동두천시 지행동 721,37.89207336 ,127.05381928 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,게임박스2호점,경기도 동두천시 중앙로 134-20,경기도 동두천시 지행동 694-5,37.89300315 ,127.05380632 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,게임파크,경기도 동두천시 동두천로 119,경기도 동두천시 지행동 721-2,37.89206578 ,127.05462873 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,겔럭시 게임장,경기도 동두천시 동광로52번길 3,경기도 동두천시 생연동 611-47,37.90831545 ,127.05412676 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,돌아이 뽑기방,경기도 동두천시 중앙로 320,경기도 동두천시 생연동 555-4,37.90996541 ,127.05538338 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,뽀끼뽀끼,경기도 동두천시 중앙로 302,경기도 동두천시 생연동 612-2,37.90830428 ,127.05491819 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,뽀끼오,경기도 동두천시 중앙로 244-1,경기도 동두천시 생연동 669-7,37.90329564 ,127.05358641 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,뽀바뽀바,경기도 동두천시 어수로 98,경기도 동두천시 생연동 687-20,37.90228306 ,127.05341739 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,뽀바뽀바,경기도 동두천시 원터강변로41번길 63,경기도 동두천시 동두천동 229-4,37.92755967 ,127.05392248 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,뽑기마니아,경기도 동두천시 중앙로265번길 8,경기도 동두천시 생연동 592-3,37.90530662 ,127.05343322 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,뽑기천국,경기도 동두천시 생연로 156-1,경기도 동두천시 생연동 589-62,37.90632701 ,127.05226958 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,월드게임박스,경기도 동두천시 상패로216번길 50-1,경기도 동두천시 보산동 429-40,37.91550739 ,127.05666122 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,인형뽑기나라,경기도 동두천시 정장로 10,경기도 동두천시 생연동 823-145,37.90463347 ,127.05173169 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,인형뽑기랜드 보산점,경기도 동두천시 평화로 2546,경기도 동두천시 보산동 365-4,37.91505999 ,127.05776171 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,인형뽑기마을,경기도 동두천시 중앙로265번길 23,경기도 동두천시 생연동 659-33,37.90527099 ,127.05253718 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,인형뽑기마을 1호점,경기도 동두천시 중앙로353번길 24,경기도 동두천시 생연동 541-9,37.91402273 ,127.05645994 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,짱게임장2호점,경기도 동두천시 지행로 64,경기도 동두천시 지행동 721-1,37.89206961 ,127.05416489 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,터미널오락실,경기도 동두천시 중앙로265번길 9,경기도 동두천시 생연동 592-4,37.90512653 ,127.05321932 ,031-848-1393,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,팡팡인형뽑기,경기도 동두천시 지행로 56,경기도 동두천시 지행동 718-4,37.89206996 ,127.05337363 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,픽미업인형뽑기,경기도 동두천시 중앙로 300,경기도 동두천시 생연동 612-11,37.90811691 ,127.05486347 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,하나뽑아바,경기도 동두천시 장고갯로281번길 16,경기도 동두천시 보산동 362-14,37.91577349 ,127.05785781 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
청소년게임제공업,화이팅게임장,경기도 동두천시 중앙로265번길 26,경기도 동두천시 생연동 659-18,37.90546565 ,127.05240997 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
