시설명1,시설명2,주소,주소(도로명),전화번호,관리자,준공일,부지면적,경기장면적,시설2,시설3,시설4,시설5,시설6,시설7,협약기간,데이터기준일자,
상대원 유소년 축구장,,경기도 성남시 중원구 상대원동 407,,031-739-6772,성남도시개발공사,2017-11-04,9967㎡,,인조잔디축구장 1면(75m~45m),인조잔디풋살장 1면(40m~22m),관리사 : 지상2층 1동,조명탑 : 8개,야외운동기구 6개,,2021-01-01~2023-12-31,2021-01-01,
탄천변 제1체육공원내 체육시설,인조잔디축구장,경기도 성남시 중원구 여수동 2-5(탄천변제1체육공원내),,031-751-8277,성남도시개발공사,2011-11-21,17.940㎡(5.436평),,인조잔디구장 2면(105m*68m 2면),관리사 : 1동,음 수 대 : 1개소,이동화장실1개소,,,2021-01-01~2023-12-31,2021-01-01,
탄천변 제1체육공원내 체육시설,모란야구장,경기도 성남시 중원구 여수동 2-5(탄천변제1체육공원내),,031-751-8277,성남도시개발공사,2004-11-01,10.178㎡ (3.084평),,인조잔디구장 : 1개소,화장실 1동,간이덕아웃,기록실,,,2021-01-01~2023-12-31,2021-01-01,
은행동다목적체육관,,경기도 성남시 중원구 은행동 200(은행공원내),경기도 성남시 중원구 순환로 357. (은행공원내) (은행동),031-748-2007,성남도시개발공사,2008-06-02,3.468㎡(1.144평),,규모 : 지하1층 지상2층,운동시설 : 배드민턴등,사무실,선수대기실,,주차장,2021-01-01~2023-12-31,2021-01-01,
파크골프장,,경기도 성남시 분당구 수내동 47번지(탄천변),,031-715-4141,성남도시개발공사,2005-12-05,11.505㎡,,규 모 : 9홀,관리사: 1동,화장실 1동,,,,2021-01-01~2023-12-31,2021-01-01,
운중체육공원,체육공원1호,경기도 성남시 분당구 운중동 113일원(1.2.3호 체육공원),,031-727-9941,성남도시개발공사,2009-12-31,11.988㎡,,배트민턴장 3면,농구장 2면,족구장 1면,게이트볼장 1면,,,2021-01-01~2023-12-31,2021-01-01,
운중체육공원,체육공원2호,경기도 성남시 분당구 운중동 113일원(1.2.3호 체육공원),,031-727-9941,성남도시개발공사,2009-12-31,10.609㎡,,인라인 하키장 : 3면,풋살장 : 2면,,,,,2021-01-01~2023-12-31,2021-01-01,
운중체육공원,체육공원3호,경기도 성남시 분당구 운중동 113일원(1.2.3호 체육공원),,031-727-9941,성남도시개발공사,2009-12-31,12.622㎡,,X-GAME장 : 1면,,,,,,2021-01-01~2023-12-31,2021-01-01,
배드민턴장,산성실내배드민턴장,경기도 성남시 수정구 산성동 산6번지,경기도 성남시 수정로456번길 19,031-731-6152,성남도시개발공사,2014-09-26,9.057㎡,,배드민턴 12면,어린이집(85명),샤워실,락카품,귀빈실,용품점,2020-10-01~2023-09-30,2021-01-01,
야탑동 임시 풋살장,풋살장,경기도 성남시 분당구 야탑동 4-2,경기도 성남시 분당구 새나리로 58,031-727-9941,성남도시개발공사,2019-08-02,,"1,104㎡",풋살장 1면+다목적구장 1면,,,,,,2021-01-01~2023-12-31,2021-01-01,
금토동 다목적 구장,다목적구장,경기도 성남시 수정구 금토동 495-2,,031-727-9941,성남도시개발공사,2019-11-21,,"3,814㎡",풋살장 1면+다목적구장 1면,,,,,,2021-01-01~2023-12-31,2021-01-01,
배뫼산 체육시설,축구장,경기도 성남시 수정구 둔전동 225-2,,031-727-9941,성남도시개발공사,2020-05-27,"35,000㎡",,축구장 : 2면,화장실 : 1동,,,,,2021-01-01~2023-12-31,2021-01-01,
여수유소년축구장,축구장,경기도 성남시 중원구 여수동 413번지 일원,,031-729-3626,,2020-07-30,6825㎡,,축구장 : 1면,화장실,샤워실(남 여),(관리실)휴게실,조명탑:4개,주차장,미협약,2021-01-01,
판교체육시설(구 자연장지),테니스+배드민턴+족구+농구+그라운드골프,경기도 성남시 분당구 백현동 524번지 일원,,031-729-3626,,2020-12-15,16464㎡,,테니스4면+그라운드골프1면+배드민턴 3면+족구1면+농구1/2,화장실,샤워실(남 여),관리동,조명탑:9개+cctv7개,주차장,미협약,2021-01-01,
여수지하차도상부그라운드골프장,그라운드골프,경기도 성남시 중원구 여수동 271-2외 10필지,,031-729-3626,,2020-12-22,2129.5㎡,,그라운드골프 1면,,,,,,미협약,2021-01-01,
