 모범업소명 , 주소 , 연락처 ,지정일자,최신지정일자,업태, 대표메뉴 ,기준일
 추오정남원추어탕 , 경기도 수원시 장안구 천천로 240 (이목동) , 031-268-0789 ,2019-06-05,2020-06-02,한식, 추어탕 ,2021-03-29
 춘양골남원추어탕 , 경기도 수원시 장안구 수성로245번길 48 (정자동) , 031-243-2873 ,2008-06-27,2020-06-02,한식, 추어탕 ,2021-03-29
 콩마당 , 경기도 수원시 장안구 파장천로 92 (파장동) , 031-254-2827 ,2002-03-27,2020-06-02,한식, 두부정식+두부전+전골 ,2021-03-29
 토기장이유황오리 , 경기도 수원시 장안구 서부로 2178 (천천동) , 031-271-1118 ,2003-08-11,2020-06-02,한식, 유황오리 ,2021-03-29
 토끼마을 , 경기도 수원시 장안구 광교산로 154-19 (연무동) , 031-245-0001 ,2013-07-04,2020-06-02,한식, 토끼구이+옻닭 ,2021-03-29
 풍미락갈비 ," 경기도 수원시 장안구 만석로19번길 25-6 (천천동,광장프라자 지층101호) ", 031-269-0706 ,2020-06-02,,한식, 돼지갈비 ,2021-03-29
 한마당(생고기전문점) , 경기도 수원시 장안구 장안로75번길 61 (정자동) , 031-246-0288 ,2011-07-08,2020-06-02,식육(숯불구이), 생갈비 ,2021-03-29
 할머니네청국장 ," 경기도 수원시 장안구 광교산로 506, 1층 (상광교동) ", 031-241-4693 ,2019-06-05,2020-06-02,한식, 청국장+보리밥 ,2021-03-29
 해송정 , 경기도 수원시 장안구 정자로 164 (정자동) , 031-243-9594 ,2018-06-01,2020-06-02,한식, 해물찜+탕 ,2021-03-29
 화통집 수원북문점 ," 경기도 수원시 장안구 팔달로259번길 10 (영화동,월드프라자 104호) ", 031-252-9280 ,2018-06-01,2020-06-02,한식, 삼겹살 ,2021-03-29
 화홍추어탕 , 경기도 수원시 장안구 송원로41번길 9 (송죽동) , 031-245-3660 ,2007-07-02,2020-06-02,한식, 추어탕 ,2021-03-29
 황봉삼계탕&간고등어 , 경기도 수원시 장안구 경수대로 896 (조원동) , 031-246-2997 ,2008-06-27,2020-06-02,한식, 삼계탕+고등어구이 ,2021-03-29
 황소화로구이 , 경기도 수원시 장안구 정자로 16-1 (천천동) , 031-269-8592 ,2008-06-27,2020-06-02,한식, 돼지갈비 ,2021-03-29
 후아닝 ," 경기도 수원시 장안구 송원로 39, 108호 (송죽동) ", 031-243-2288 ,2008-06-27,2020-06-02,중국식, 손짜장 ,2021-03-29
 2005진돈가스 , 경기도 수원시 권선구 세권로316번길 12-16 (권선동) , 031-221-9507 ,2017-05-30,2020-06-05,경양식, 돈까스 ,2021-03-29
 강촌추어탕 , 경기도 수원시 권선구 세권로212번길 33 (권선동) , 031-235-3665 ,2001-12-29,2020-06-05,한식, 추어탕 ,2021-03-29
 고반더가든 서수원점 ," 경기도 수원시 권선구 일월천로4번길 22 (구운동,외 1필지 2,3층) ", 031-227-8952 ,2020-06-05,,한식, 삼겹살+소고기 ,2021-03-29
 고색소머리국밥냉면 ," 경기도 수원시 권선구 고색로 24, 1층 (고색동) ", 031-278-2129 ,2019-06-28,2020-06-05,한식, 소머리국밥+냉면 ,2021-03-29
 교동두부 ," 경기도 수원시 권선구 산업로156번길 142-10, 수원벤처밸리∥ 1층 A-112,113호 (고색동) ", 031-8182-8133 ,2019-06-28,2020-06-05,한식, 수제두부정식 ,2021-03-29
 남원추어탕 , 경기도 수원시 권선구 수인로 11 (서둔동) , 031-278-2522 ,2008-12-22,2020-06-05,한식, 추어탕 ,2021-03-29
 넓은뜰 ," 경기도 수원시 권선구 세화로 104 (평동,외 1필지) ", 031-296-5292 ,2008-06-27,2020-06-05,한식, 쌈밥 ,2021-03-29
 놋그릇 , 경기도 수원시 권선구 당수로 59 (당수동) , 031-296-6111 ,2015-06-30,2020-06-05,한식, 육개장+메밀국수 ,2021-03-29
 달려라소돼지 ," 경기도 수원시 권선구 정조로 445, 1층 (세류동) ", 031-224-7484 ,2016-06-30,2020-06-05,한식, 소고기+돼지고기 ,2021-03-29
 돈까스여행 ," 경기도 수원시 권선구 서부로 1640, 1,2층 (고색동) ", 031-297-6655 ,2014-06-27,2020-06-05,경양식, 돈까스 ,2021-03-29
 등촌샤브칼국수 , 경기도 수원시 권선구 금호로 196 (탑동) , 031-298-4101 ,2002-12-30,2020-06-05,한식, 칼국수 ,2021-03-29
 등촌샤브칼국수 , 경기도 수원시 권선구 효원로230번길 10 (권선동) , 031-235-2005 ,2013-07-10,2020-06-05,한식, 칼국수 ,2021-03-29
 마이어스 수원점 ," 경기도 수원시 권선구 경수대로 270, 터미널동 3층 (권선동) ", 031-267-5500 ,2019-06-28,2020-06-05,뷔페식, 뷔페 ,2021-03-29
 마포집손칼국수 , 경기도 수원시 권선구 서부로 1780-24 (탑동) , 031-296-6686 ,2015-06-30,2020-06-05,한식, 칼국수+손만두 ,2021-03-29
 명금애한상차림 , 경기도 수원시 권선구 권선로 643 (권선동) , 031-226-3578 ,2004-08-03,2020-06-05,한식, 버섯전골 ,2021-03-29
 목향 , 경기도 수원시 권선구 서둔로39번길 18 (고색동) , 031-227-5279 ,2012-07-10,2020-06-05,한식, 능이백숙 ,2021-03-29
 미락 , 경기도 수원시 권선구 경수대로338번길 20 (권선동) , 031-237-0204 ,2017-05-30,2020-06-05,한식, 모듬회 ,2021-03-29
 백년갈비 수원권선점 ," 경기도 수원시 권선구 율전로 17-9, 1층 (입북동) ", 031-226-6111 ,2018-06-25,2020-06-05,한식, 갈비 ,2021-03-29
 병만네닭갈비 ," 경기도 수원시 권선구 금호로 196 (탑동,2층) ", 031-296-0280 ,2003-08-26,2020-06-05,한식, 닭갈비 ,2021-03-29
 북경오리구이 ," 경기도 수원시 권선구 장다리로 131, 그랜드스위트 1층 101,102,103,104,105호 (권선동) ", 031-236-5292 ,2020-06-05,,한식, 오리구이 ,2021-03-29
 샤브채 , 경기도 수원시 권선구 세권로316번길 12-14 (권선동) , 031-235-0166 ,2015-06-30,2020-06-05,한식, 샤브샤브 ,2021-03-29
 석산정 , 경기도 수원시 권선구 정조로388번길 7-7 (세류동) , 031-232-5589 ,2002-07-30,2020-06-05,한식, 돼지갈비 ,2021-03-29
 솔잎향기 , 경기도 수원시 권선구 수인로 317 (구운동) , 031-293-4321 ,2008-12-22,2020-06-05,한식, 꽃게 ,2021-03-29
 송가네 , 경기도 수원시 권선구 탑동로11번길 6-1 (탑동) , 031-296-6670 ,2005-08-08,2020-06-05,한식, 돼지갈비 ,2021-03-29
 송담추어탕 ," 경기도 수원시 권선구 구운로86번길 23 (구운동,2층) ", 031-292-7888 ,2004-08-03,2020-06-05,한식, 추어탕 ,2021-03-29
 송이낙지마당 , 경기도 수원시 권선구 하탑로 7 (탑동) , 031-291-8488 ,2010-06-30,2020-06-05,한식, 낙지볶음 ,2021-03-29
 송탄참작부대찌개 , 경기도 수원시 권선구 동수원로146번길 201 (곡반정동) , 031-251-9291 ,2012-07-10,2020-06-05,한식, 부대찌개 ,2021-03-29
 양촌리 ," 경기도 수원시 권선구 권선로 724 (권선동,1,2층) ", 031-235-9254 ,2016-06-30,2020-06-05,한식, 돼지갈비 ,2021-03-29
 오정설렁탕(수원본점) ," 경기도 수원시 권선구 호매실로 21-26, 1층 (고색동) ", 031-227-3188 ,2018-06-25,2020-06-05,한식, 설렁탕 ,2021-03-29
 외식중학교 ," 경기도 수원시 권선구 매송고색로 634-17, 1~2층 (고색동) ", 031-227-3988 ,2017-05-30,2020-06-05,한식, 소고기+돼지고기 ,2021-03-29
 용우각 , 경기도 수원시 권선구 호매실로 22-56 (탑동) , 031-227-8287 ,2010-06-30,2020-06-05,중국식, 자장면 ,2021-03-29
 육미옥(고색점) ," 경기도 수원시 권선구 오목천로 143-1, 1,2층 (고색동) ", 031-227-8040 ,2019-06-28,2020-06-05,한식, 돼지갈비+한우불고기 ,2021-03-29
 육콩(벤처밸리점) ," 경기도 수원시 권선구 산업로156번길 142-10, 수원벤처밸리∥ B동 102호 (고색동) ", 031-5182-8108 ,2019-06-28,2020-06-05,한식, 육개장+전주콩나물국밥 ,2021-03-29
 의령메밀소바 , 경기도 수원시 권선구 삼천병마로 1559 (오목천동) , 031-294-5977 ,2015-06-30,2020-06-05,한식, 메밀소바 ,2021-03-29
 이서방 왕 족발보쌈 수원본점 , 경기도 수원시 권선구 세권로 134 (세류동) , 031-233-5515 ,2012-07-10,2020-06-05,한식, 족발 ,2021-03-29
 인계쭈꾸미 , 경기도 수원시 권선구 권선로 667 (권선동) , 031-234-1130 ,2011-06-30,2020-06-05,한식, 쭈꾸미볶음 ,2021-03-29
 장터설렁탕 ," 경기도 수원시 권선구 수인로 257, 1,2층층 (구운동) ", 031-293-1006 ,2013-07-10,2020-06-05,한식, 설렁탕 ,2021-03-29
 정담명가남원추어탕 , 경기도 수원시 권선구 권광로 125 (권선동) , 031-224-2522 ,2013-07-10,2020-06-05,한식, 추어탕 ,2021-03-29
 정선애곤드레오리구이 ," 경기도 수원시 권선구 칠보로 138, 2층 (호매실동) ", 031-256-5521 ,2017-05-30,2020-06-05,한식, 곤드레정식 ,2021-03-29
 제주청정돼지 ," 경기도 수원시 권선구 세권로316번길 12-9 (권선동,(온수골1길5)) ", 031-224-1106 ,2017-05-30,2020-06-05,한식, 돼지고기 ,2021-03-29
 종가집추어탕 , 경기도 수원시 권선구 동수원로146번길 233-25 (곡반정동) , 031-234-3454 ,2006-06-30,2020-06-05,한식, 추어탕 ,2021-03-29
 차이 , 경기도 수원시 권선구 하탑로 7 (탑동) , 031-278-2491 ,2013-07-10,2020-06-05,중국식, 자장면 ,2021-03-29
 초암골 ," 경기도 수원시 권선구 권선로713번길 20 (권선동,가동) ", 031-222-2662 ,2020-06-05,,한식, 백숙+삼계탕 ,2021-03-29
 최상무 , 경기도 수원시 권선구 탑동로57번길 29 (탑동) , 031-255-9916 ,2013-07-10,2020-06-05,한식, 소갈비 ,2021-03-29
 한상 ," 경기도 수원시 권선구 칠보로88번길 50, 1층 (호매실동) ", 031-296-5550 ,2019-06-28,2020-06-05,한식, 한정식 ,2021-03-29
 한우이야기 ," 경기도 수원시 권선구 서수원로594번길 139, 1층 (입북동) ", 031-291-5024 ,2016-06-30,2020-06-10,한식, 소고기 ,2021-03-29
 할매순대국 수원세류점 ," 경기도 수원시 권선구 정조로482번길 2, 1층 (세류동) ", 031-213-0413 ,2017-05-30,2020-06-05,한식, 아구찜 ,2021-03-29
 해담맛집코다리마을 ," 경기도 수원시 권선구 일월천로4번길 10 (구운동,1층, 2층) ", 031-292-1191 ,2005-08-08,2020-06-05,한식, 코다리찜 ,2021-03-29
 화성궁 ," 경기도 수원시 권선구 덕영대로1368번길 84 (곡반정동,번지 외 1필지) ", 031-221-8855 ,2004-01-05,2020-06-05,한식, 소갈비 ,2021-03-29
 화성왕갈비탕 ," 경기도 수원시 권선구 호매실로 22-58 (탑동,1층) ", 031-278-3383 ,2011-06-30,2020-06-05,한식, 갈비탕+부대찌개 ,2021-03-29
 가보정 1관 , 경기도 수원시 팔달구 장다리로 282 (인계동) , 1600-3883 ,2009-06-30,2020-05-29,한식, 갈비 ,2021-03-29
 가보정 2관 , 경기도 수원시 팔달구 장다리로 281 (인계동) , 1600-3883 ,2008-07-10,2020-05-29,한식, 갈비 ,2021-03-29
 강원도막국수 , 경기도 수원시 팔달구 갓매산로 70 (고등동) , 031-252-6677 ,2013-12-31,2020-05-29,한식, 막국수 ,2021-03-29
 개성집 , 경기도 수원시 팔달구 인계로166번길 26 (인계동) , 031-232-8780 ,2016-05-24,,한식, 한정식 ,2021-03-29
 고기랑 , 경기도 수원시 팔달구 권광로196번길 49 (인계동) , 031-221-6780 ,2006-04-19,2020-05-29,한식, 육류 ,2021-03-29
 고등반점 , 경기도 수원시 팔달구 팔달로52번길 43 (고등동) , 031-251-3291 ,2001-07-23,2020-05-29,중국식, 중화요리 ,2021-03-29
 곤드레밥집 ," 경기도 수원시 팔달구 권광로134번길 12, 2,3층 (인계동) ", 031-238-2522 ,2016-06-30,2020-05-29,한식, 곤드레비빔밥 ,2021-03-29
 구봉산식당 , 경기도 수원시 팔달구 중부대로128번길 18 (인계동) , 031-233-4221 ,1997-09-01,2020-05-29,한식, 양곱창 ,2021-03-29
 궁궐삼계탕 , 경기도 수원시 팔달구 향교로 53 (매산로2가) , 031-243-4471 ,2001-07-23,2020-05-29,한식, 삼계탕 ,2021-03-29
 긴자 , 경기도 수원시 팔달구 경수대로 494 (인계동) , 031-236-7771 ,2012-11-22,2020-05-29,일식, 모듬회 ,2021-03-29
 길림성인계점 , 경기도 수원시 팔달구 권광로 277 (인계동) , 031-111-1122 ,2016-06-30,2020-05-29,중국식, 돈까스+피자 ,2021-03-29
 나고야스시덕 ," 경기도 수원시 팔달구 권광로175번길 31-12, 2층 (인계동) ", 031-237-8888 ,2001-08-07,2020-05-29,한식, 산채정식 ,2021-03-29
 낙지대감 , 경기도 수원시 팔달구 수성로157번길 27-21 (화서동) , 031-269-0227 ,2006-07-28,2020-05-29,한식, 낚지철판볶음 ,2021-03-29
 노마세야매운갈비찜수원역점 , 경기도 수원시 팔달구 향교로 12-1 (매산로1가) , 031-254-4277 ,2016-06-30,2020-05-29,한식, 매운갈비찜 ,2021-03-29
 다림 ," 경기도 수원시 팔달구 정조로800번길 24, 2층 (남수동) ", 031-255-2847 ,2005-07-22,2020-05-29,한식, 아구탕 ,2021-03-29
 담평추어탕감자탕 ," 경기도 수원시 팔달구 향교로 117-1, 1층 (교동) ", 031-255-7261 ,2013-12-31,2020-05-29,한식, 추어탕+감자탕 ,2021-03-29
 대가수사 , 경기도 수원시 팔달구 권광로180번길 27 (인계동) , 031-237-9335 ,2007-04-11,2020-05-29,일식, 생선회 ,2021-03-29
 대성농장생오리 , 경기도 수원시 팔달구 인계로 53 (인계동) , 031-235-0009 ,2012-11-22,2020-05-29,한식, 오리로스 ,2021-03-29
 동천홍 , 경기도 수원시 팔달구 매산로130번길 12 (매교동) , 031-224-2888 ,2007-04-11,2020-05-29,중국식, 자장면 ,2021-03-29
 두꺼비집 , 경기도 수원시 팔달구 향교로 100 (매산로3가) , 031-242-4267 ,2001-07-23,2020-05-29,한식, 부대찌개 ,2021-03-29
 명동보리밥 , 경기도 수원시 팔달구 효원로249번길 18-5 (인계동) , 031-224-8959 ,2014-07-02,2020-05-29,한식, 비빔밥 ,2021-03-29
 밥순삭꽃게야 , 경기도 수원시 팔달구 팔달문로150번길 16 (우만동) ,,2020-05-25,,한식, 게장 ,2021-03-29
 백청우칼국수 , 경기도 수원시 팔달구 수성로157번길 43 (화서동) , 031-269-8686 ,2020-05-25,,한식, 칼국수 ,2021-03-29
 백청우칼국수 ," 경기도 수원시 팔달구 장다리로 253, 2층 (인계동) ", 031-239-2009 ,2020-05-25,,한식, 칼국수 ,2021-03-29
 본수원갈비 , 경기도 수원시 팔달구 중부대로223번길 41 (우만동) , 031-211-8434 ,1999-12-28,2020-05-29,한식, 소갈비 ,2021-03-29
 석산민물매운탕 ," 경기도 수원시 팔달구 세지로198번길 41, 1층 (인계동) ", 031-233-8145 ,2020-05-25,,한식, 매운탕 ,2021-03-29
 선창민물장어전문점 ," 경기도 수원시 팔달구 팔달로 123-4 (화서동, 1,2층) ", 031-242-5088 ,2007-08-08,2020-05-29,한식, 장어 ,2021-03-29
 씨제이푸드빌(주)빕스수원역사점 ," 경기도 수원시 팔달구 덕영대로 924, 3층 (매산로1가) ", 031-241-1997 ,2013-12-31,2020-05-29,경양식, 스테이크 ,2021-03-29
 씨제이푸드빌(주)빕스아주대점 , 경기도 수원시 팔달구 중부대로 233 (우만동) , 031-216-1997 ,2006-04-19,2020-05-29,경양식, 스테이크 ,2021-03-29
 양평해장국 ," 경기도 수원시 팔달구 경수대로466번길 51, 101호 (인계동) ", 031-221-0236 ,2005-12-29,2020-05-29,한식, 해장국 ,2021-03-29
 연포갈비 , 경기도 수원시 팔달구 정조로906번길 56-5 (북수동) , 031-255-1337 ,2010-03-31,2020-05-29,한식,,2021-03-29
 영천두툼이숯불갈비냉면 , 경기도 수원시 팔달구 경수대로480번길 3 (인계동) , 031-225-3300 ,2013-12-31,2020-05-29,한식, 감자탕 ,2021-03-29
 영화루 , 경기도 수원시 팔달구 정조로791번길 3 (팔달로2가) , 031-255-6925 ,2007-01-24,2020-05-29,중국식, 중화요리 ,2021-03-29
 왕꼼장어 , 경기도 수원시 팔달구 향교로 49-1 (매산로2가) , 031-246-6996 ,2006-04-19,2020-05-29,일식, 꼼장어 ,2021-03-29
 원도토리마을 , 경기도 수원시 팔달구 덕영대로757번길 7 (화서동) , 031-241-7900 ,2001-07-10,2020-05-29,한식, 도토리묵밥 ,2021-03-29
 유치회관 , 경기도 수원시 팔달구 효원로292번길 67 (인계동) , 031-234-6275 ,2009-06-30,2020-05-29,한식, 선지해장국 ,2021-03-29
 육대장 , 경기도 수원시 팔달구 효원로291번길 14-5 (인계동) , 031-221-6399 ,2015-07-03,2020-05-29,한식, 육대장 ,2021-03-29
 정통춘천닭갈비 , 경기도 수원시 팔달구 수성로157번길 5-9 (화서동) , 031-269-5949 ,2020-05-25,,한식, 닭갈비 ,2021-03-29
 조선삼계탕 ," 경기도 수원시 팔달구 인계로166번길 48-21 (인계동, 샤르망오피스텔 201호) ", 031-232-3341 ,2005-07-22,2020-05-29,한식, 삼계탕 ,2021-03-29
 채상궁 ," 경기도 수원시 팔달구 수성로157번길 5-7, 1층 (화서동) ", 031-269-8600 ,2012-11-22,2020-05-29,한식, 보쌈 샤브샤브 ,2021-03-29
 청우생고기 , 경기도 수원시 팔달구 인계로166번길 30 (인계동) , 031-234-6896 ,2007-04-11,2020-05-29,한식, 소갈비 ,2021-03-29
