구별,동별,시설구분,시설명,상세위치,소재지도로명주소,소재지지번주소,이용대상,수유시설 면적(㎡),비치 물품,수유시설 관리기관,관리부서 전화번호,비고,데이터기준일자
수정구,단대동,가족수유실,서울교통공사8호선남한산성입구역,지하2층 고객상담실 내 아기사랑방,"경기도 성남시 수정구 산성대로 지하 445 (단대동, 남한산성입구역)",경기도 성남시 수정구 단대동 남한산성입구역,외부인,10,소파+테이블+기저귀교환대+전자레인지+세면대+기타,고객지원실,02-6311-8221,,2021-06-20
수정구,수진동,가족수유실,서울교통공사8호선모란역,지하2층 고객상담실 내 아기사랑방,"경기도 성남시 수정구 산성대로 지하 100 (수진동, 모란역)",경기도 성남시 수정구 수진동 4518,외부인,10,소파+테이블+기저귀교환대+전자레인지+세면대+기타,고객지원실,02-6311-8261,,2021-06-20
수정구,창곡동,모유수유실,모유사랑위례점,2층 2234호,"경기도 성남시 수정구 위례광장로 104 (창곡동, 위례 한화 오벨리스크 센트럴스퀘어)",경기도 성남시 수정구 창곡동 505 위례오벨리스크 2234호,외부인,3,소파+테이블+기저귀교환대+아기침대+세면대+기타,모유사랑위례점,1600-5675,,2021-06-20
수정구,신흥동,모유수유실,국민건강보험공단 성남북부지사,우체국 내 5층,경기도 성남시 수정구 산성대로 301 성남우체국,경기도 성남시 수정구 신흥동 2482,직원+외부인,32.2,소파+테이블+전자레인지,행정지원팀,031-729-0112,수유시설 검색사이트 미등록,2021-06-20
중원구,중앙동,가족수유실,중앙동행정복지센터2층,2층 엘리베이터 내려서 왼쪽,"경기도 성남시 중원구 광명로264번길 1 (중앙동, 중앙동 행정복지센터)",경기도 성남시 중원구 중앙동 708,외부인,4,소파+테이블+기타,행정팀,031-729-6622,,2021-06-20
중원구,중앙동,가족수유실,중앙동행정복지센터3층,3층 엘리베이터 내려서 왼쪽,"경기도 성남시 중원구 광명로264번길 1 (중앙동, 중앙동 행정복지센터)",경기도 성남시 중원구 중앙동 708,외부인,4,소파+온도계+기타,행정팀,031-729-6622,,2021-06-20
중원구,상대원동,가족수유실,성남중원구보건소,2층 예방접종실 내,"경기도 성남시 중원구 금상로 137 (상대원동, 중원구보건소)",경기도 성남시 중원구 상대원동 269-10,외부인,6.6,소파+테이블+아기침대+기타,지역보건팀,031-729-3908,,2021-06-20
중원구,여수동,모유수유실,성남시청,1층 장애인복지과 앞,경기도 성남시 중원구 성남대로 997,경기도 성남시 중원구 여수동 200,직원+외부인,10,소파+아기침대+기타,행정지원과,031-729-2186,수유시설 검색사이트 미등록,2021-06-20
중원구,상대원동,가족수유실,중원구보건소,2층 예방접종실 내,"경기도 성남시 중원구 금상로 137(상대원동, 중원구보건소)",,직원+외부인,6.6,"소파, 테이블, 아기침대, 손소독제",중원구보건소,031-729-3907,,2021-06-20
중원구,중앙동,가족수유실,중앙동행정복지센터,2층,"경기도 성남시 중원구 광명로 264번길 1(중앙동, 중앙동 행정복지센터)",,직원+외부인,4,소파,중앙동행정복지센터,031-729-6622,,2021-06-20
분당구,백현동,모유수유실,신분당선판교역,지하2층(4번출입구근처),경기도 성남시 분당구 판교역로 160,경기도 성남시 분당구 백현동 19-2,외부인,,소파+기저귀교환대+유아용침대+전자레인지+간이세면대,신분당선,031-8018-7750,,2021-06-20
분당구,정자동,모유수유실,신분당선정자역,지하2층(5번출구와 6번출구 사이),,경기도 성남시 분당구 정자동 100-3,외부인,,소파+유아용침대+전자레인지+간이세면대,신분당선,031-8018-7760,,2021-06-20
분당구,구미동,모유수유실,신분당선미금역,지하3층(2/3번 출입구 엘리베이터를 이용하여 지하 3층),경기도 성남시 분당구 구미동 222,경기도 성남시 분당구 성남대로 156,외부인,,소파+전자레인지+간이세면대,신분당선,031-8018-7770,,2021-06-20
