연번,묘지구분,묘지명,소재지,면적,총매장가능기수,기매장기수,향후매장가능기수,경도,위도,관리기관,기관전화번호,데이터기준일자
18,공설(공동) 묘지,덕도리공설묘지,경기도 양주시 광적면 덕도리 산37,6454,744,201,543,126.97861,37.84706,양주시 사회복지과,031-8082-5791,2021-07-15
19,공설(공동) 묘지,석우리공설묘지,경기도 양주시 광적면 석우리 산27,6446,645,152,493,126.97913,37.83276,양주시 사회복지과,031-8082-5791,2021-07-15
20,공설(공동) 묘지,비암리공설묘지,"경기도 양주시 광적면 비암리 산68, 산18",7835,850,750,100,126.93656,37.81533,양주시 사회복지과,031-8082-5791,2021-07-15
21,공설(공동) 묘지,삼상리공설묘지,경기도 양주시 장흥면 삼상리 산34-1,37289,521,434,87,126.95269,37.71252,양주시 사회복지과,031-8082-5791,2021-07-15
22,공설(공동) 묘지,삼하리공설묘지,경기도 양주시 장흥면 삼하리 산35외1,10172,128,78,50,126.91976,37.68123,양주시 사회복지과,031-8082-5791,2021-07-15
23,공설(공동) 묘지,유양동공설묘지,경기도 양주시 유양동 산99,4264,50,50,0,127.01328,37.78652,양주시 사회복지과,031-8082-5791,2021-07-15
24,공설(공동) 묘지,어둔동공설묘지,경기도 양주시 어둔동 산102,2083,60,60,0,127.00894,37.78303,양주시 사회복지과,031-8082-5791,2021-07-15
25,공설(공동) 묘지,마전동공설묘지,경기도 양주시 마전동 산3외4,13318,570,570,0,127.06264,37.7867,양주시 사회복지과,031-8082-5791,2021-07-15
26,공설(공동) 묘지,광사동공설묘지,경기도 양주시 광사동 산137-1,5157,57,53,4,127.07339,37.77345,양주시 사회복지과,031-8082-5791,2021-07-15
27,공설(공동) 묘지,봉양동공설묘지,경기도 양주시 봉양동 산87,12893,392,392,0,127.07329,37.85527,양주시 사회복지과,031-8082-5791,2021-07-15
28,공설(공동) 묘지,회정동공설묘지,경기도 양주시 회정동 산13,9818,247,247,0,127.05305,37.84894,양주시 사회복지과,031-8082-5791,2021-07-15
29,법인묘지(공원묘지),신세계공원,경기도 양주시 장흥면 일영리 산33-1,467671,8944,8553,391,126.93926,37.72675,양주시 사회복지과,031-8082-5791,2021-07-15
30,법인묘지(공원묘지),운경공원,경기도 양주시 장흥면 울대리 산6-1,184265,5067,3896,1171,126.98752,37.73225,양주시 사회복지과,031-8082-5791,2021-07-15
31,법인묘지(공원묘지),삼성개발공원,경기도 양주시 산북동 산76-1,101157,3850,3412,438,127.02809,37.80954,양주시 사회복지과,031-8082-5791,2021-07-15
32,종교단체 묘지,청량리 천주교묘지,경기도 양주시 산북동 산73,192428,8267,7328,939,127.0302,37.81233,양주시 사회복지과,031-8082-5791,2021-07-15
33,종교단체 묘지,길음동 천주교묘지,경기도 양주시 장흥면 울대리 산16,122100,5373,4855,518,126.99457,37.73703,양주시 사회복지과,031-8082-5791,2021-07-15
34,종교단체 묘지,청파동 천주교묘지,경기도 양주시 장흥면 일영리 산78-1,66639,1924,1550,374,126.9242,37.71713,양주시 사회복지과,031-8082-5791,2021-07-15
