시설유형,쉼터명,소재지도로명주소,소재지지번주소,설치일자,지정 공간,시설면적,수용규모,운영시간(평일),운영시간(주말),운영시간(공휴일),공기청정 설비,환기시설 설비,위도,경도,관리부서,전화번호,데이터기준일자
노인시설,벌말경로당,경기도 성남시 분당구 미금일로86번길 24-9,경기도 성남시 분당구 구미동  51,2020-01-20,시설전체 / 벌말경로당,258.1,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.347636,127.110856,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,대원경로당,경기도 성남시 중원구 희망로 367번길 32-10,경기도 성남시 중원구 상대원동 3386,2020-03-11,시설전체 / 대원경로당,161.7,60,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.439025,127.154947,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,안마을경로당,경기도 성남시 중원구 희망로 360번길 7,경기도 성남시 중원구 상대원동 2996-30,2020-03-11,시설전체 / 안마을경로당,166.4,65,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.438047,127.158955,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,시흥동 동산마을 경로당,경기도 성남시 수정구 대왕판교로 915번길 13,경기도 성남시 수정구 시흥동 211-50,2020-03-11,시설전체 / 시흥동 동산마을 경로당,139.7,8,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.421715,127.10033,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,금토 경로당,경기도 성남시 수정구 둔토로 5번길 6-5,경기도 성남시 수정구 금토동 319-14,2020-03-11,시설전체 / 금토 경로당,245.1,11,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.40901,127.087323,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,둔투리 경로당,경기도 성남시 수정구 금토로 95,경기도 성남시 수정구 금토동 452-1,2020-03-11,시설전체 / 둔투리 경로당,303.1,15,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.406259,127.081266,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,달래내 경로당,경기도 성남시 수정구 달래내로 207번길 19,경기도 성남시 수정구 금토동 94-1,2020-03-11,시설전체 / 달래내 경로당,86.6,13,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.417335,127.080552,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,남산마을 경로당,경기도 성남시 수정구 달래내로 32번길 3,경기도 성남시 수정구 금토동 270-14,2020-03-11,시설전체 / 남산마을 경로당,81.27,9,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.409066,127.096751,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,사송 경로당,"경기도 성남시 수정구 사송로 46번길 3,102호",경기도 성남시 수정구 사송동 575-1,2020-03-11,시설전체 / 사송 경로당,73.25,12,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.41541,127.113933,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,은행경로당,경기도 성남시 수정구 은행로 25번길 14,경기도 성남시 수정구 은행동 1417-1,2020-03-11,시설전체 / 은행경로당,140,33,09:00~18:00,미운영,미운영,Y(공기청정기 3대),Y(자연환기),37.45575,127.165693,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,사회복지회관경로당,경기도 성남시 수정구 순환로379번길 21,경기도 성남시 수정구 은행동 959-1,2020-03-11,시설전체 / 사회복지회관경로당,203,45,09:00~18:00,미운영,미운영,Y(공기청정기 4대),Y(자연환기),37.456626,127.17127,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,가인경로당,"경기도 성남시 수정구 산성대로 546-1, 3층",경기도 성남시 수정구 은행동 722-4,2020-03-11,시설전체 / 가인경로당,148.5,63,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.459246,127.165716,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,제3복지회관경로당,경기도 성남시 수정구 산성대로 516번길 16-4,경기도 성남시 수정구 은행동 1722-4,2020-03-11,시설전체 / 제3복지회관경로당,146,37,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.455977,127.164617,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,제일경로당,경기도 성남시 수정구 수정로251번길 12,경기도 성남시 수정구 신흥동 107,2020-03-11,시설전체 / 제일경로당,155.7,35,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.447753,127.144664,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,대추나무경로당,경기도 성남시 수정구 수정남로 142,경기도 성남시 수정구 신흥동 3444,2020-03-11,시설전체 / 대추나무경로당,352.8,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.448269,127.142175,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,만수경로당,경기도 성남시 수정구 수정로35번길 31,경기도 성남시 수정구 태평동 7191,2020-03-11,시설전체 / 만수경로당,161.24,40,09:00~18:00,미운영,미운영,Y(공기청정기 4대),Y(자연환기),37.441612,127.125324,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,궁마을경로당,경기도 성남시 수정구 수정로73번길 16-2,경기도 성남시 수정구 태평동 6497,2020-03-11,시설전체 / 궁마을경로당,185.28,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.441124,127.128459,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,성진경로당,경기도 성남시 수정구 제일로124번길 3 (1층),경기도 성남시 수정구 수진동 1279-1,2020-03-11,시설전체 / 성진경로당,339.56,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.437896,127.133661,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,한마음경로당,경기도 성남시 수정구 제일로124번길 3 (2층),경기도 성남시 수정구 수진동 1279-1,2020-03-11,시설전체 / 한마음경로당,157.91,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.437896,127.133661,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,논골경로당,경기도 성남시 수정구 논골로 45-4,경기도 성남시 수정구 단대동 51-6,2020-03-11,시설전체 / 논골경로당,297.6,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.457782,127.158439,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,백세건강경로당,경기도 성남시 수정구 수정로456번길 46,경기도 성남시 수정구 산성동 42,2020-03-11,시설전체 / 백세건강경로당,179.22,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.458127,127.155064,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,복우물경로당,경기도 성남시 수정구 복정로20번길 20,경기도 성남시 수정구 복정동 705,2020-03-11,시설전체 / 복우물경로당,288.16,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.454874,127.129773,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,중앙경로당,경기도 성남시 중원구 원터로93번길 10,경기도 성남시 중원구 성남동 2566,2020-03-11,시설전체 / 중앙경로당,246,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.434888,127.142233,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,금광제일경로당,경기도 성남시 중원구 광명로300번길 5-13,경기도 성남시 중원구 금광동 344,2020-03-11,시설전체 / 금광제일경로당,132.13,45,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.444358,127.160369,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,우정경로당,경기도 성남시 중원구 금상로96번길 35-1,경기도 성남시 중원구 상대원동 154-1,2020-03-11,시설전체 / 우정경로당,178.2,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.439598,127.167762,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,사기막골경로당,경기도 성남시 중원구 사기막골로199번길 9,경기도 성남시 중원구 상대원동 88-4,2020-03-11,시설전체 / 사기막골경로당,229.6,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.445495,127.18026,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,정든경로당,경기도 성남시 중원구 둔촌대로389번길 21-3,경기도 성남시 중원구 상대원동 1800,2020-03-11,시설전체 / 정든경로당,120.06,35,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.435337,127.160415,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,청산경로당,경기도 성남시 중원구 금상로30번길 5-6,경기도 성남시 중원구 상대원동 2975,2020-03-11,시설전체 / 청산경로당,243.72,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.438299,127.161091,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,호야경로당,경기도 성남시 중원구 둔촌대로363번길 9,경기도 성남시 중원구 하대원동 220-6,2020-03-11,시설전체 / 호야경로당,212.4,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.432259,127.156502,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,갈현경로당,경기도 성남시 중원구 갈현로 32-3,경기도 성남시 중원구 갈현동 207-11,2020-03-11,시설전체 / 갈현경로당,464.16,60,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.423233,127.17593,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,양지경로당,경기도 성남시 분당구 서현로421번길 9,경기도 성남시 분당구 분당동 101,2020-03-11,시설전체 / 양지경로당,205.9,30,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.375118,127.144203,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,장안경로당,경기도 성남시 분당구 분당로311번길 10-3,경기도 성남시 분당구 분당동 163,2020-03-11,시설전체 / 장안경로당,195.7,30,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.367668,127.142321,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,정자경로당,경기도 성남시 분당구 황새울로116번길 19-8 ,경기도 성남시 분당구 정자동  72,2020-03-11,시설전체 / 정자경로당,241.8,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.371044,127.112197,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,정자3동전원마을경로당,경기도 성남시 분당구 불곡로13번길6,경기도 성남시 분당구 정자동  239 ,2020-03-11,시설전체 / 정자3동전원마을경로당,299.9,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.359172,127.124487,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,이매1통경로당,경기도 성남시 분당구 이매로89번길 50,경기도 성남시 분당구 이매동  282,2020-03-11,시설전체 / 이매1통경로당,254.5,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.393397,127.133171,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,이매2통경로당,경기도 성남시 분당구 성남대로772번길 4,경기도 성남시 분당구 이매동  90-1,2020-03-11,시설전체 / 이매2통경로당,73.2,20,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.398405,127.129394,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,야탑동경로당,경기도 성남시 분당구 야탑로111번길 12-14 ,경기도 성남시 분당구 야탑동  385,2020-03-11,시설전체 / 야탑동경로당,154.5,30,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.411629,127.131754,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,중탑경로당,경기도 성남시 분당구 매화로48번길 17-4 ,경기도 성남시 분당구 야탑동  301,2020-03-11,시설전체 / 중탑경로당,300.9,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.412009,127.136,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,궁내동경로당,경기도 성남시 분당구 궁내로40번길 9,경기도 성남시 분당구 궁내동 352-6,2020-03-11,시설전체 / 궁내동경로당,263.6,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.370327,127.097642,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,금곡경로당,경기도 성남시 분당구 쇳골로 35-1,경기도 성남시 분당구 금곡동  46-6,2020-03-11,시설전체 / 금곡경로당,197,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.362718,127.097244,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,오리경로당,경기도 성남시 분당구 금곡로23번길 15-5 ,경기도 성남시 분당구 구미동 138,2020-03-11,시설전체 / 오리경로당,307.4,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.344879,127.111006,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,동원1통경로당,경기도 성남시 분당구 동원북로 26 ,경기도 성남시 분당구 동원동  110-4,2020-03-11,시설전체 / 동원1통경로당,296.2,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.346158,127.098652,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,동원2통경로당,경기도 성남시 분당구 고기로 228,경기도 성남시 분당구 동원동  284-6,2020-03-11,시설전체 / 동원2통경로당,752.3,60,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.352613,127.081348,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,판교동경로당,경기도 성남시 분당구 운중로267번길 8-4,경기도 성남시 분당구 판교동 599-1,2020-03-11,시설전체 / 판교동경로당,132.1,20,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.389569,127.093127,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,낙생경로당,경기도 성남시 분당구 서판교로44번길 3-7,경기도 성남시 분당구 판교동 565-7,2020-03-11,시설전체 / 낙생경로당,110.1,20,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.391176,127.098841,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,"백현마을25,26통",경기도 성남시 분당구 동판교로52번길 22-7,경기도 성남시 분당구 백현동 596-4,2020-03-11,"시설전체 / 백현마을25,26통",126.2,20,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.387038,127.113775,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,운중1통 경로당,경기도 성남시 분당구 하오개로 361,경기도 성남시 분당구 운중동  348-10,2020-03-11,시설전체 / 운중1통 경로당,141,25,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.391711,127.059292,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,산운경로당,경기도 성남시 분당구 판교로25번길 22-7 ,경기도 성남시 분당구 운중동 1028-1,2020-03-11,시설전체 / 산운경로당,131.2,25,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.39043,127.082869,성남시 기후에너지과,031-729-3643,2021-04-30
금융기관,동부새마을금고 상대원2동지점,경기도 성남시 중원구 금상로 7,경기도 성남시 중원구 상대원동 2999-18,2020-03-11,시설일부(1층) / 동부새마을금고 상대원2동지점,280,60,09:00~16:00,미운영,미운영,Y(공기청정기 3대),Y(자연환기),37.43713,127.15865,성남시 기후에너지과,031-729-3643,2021-04-30
금융기관,NH농협은행 성남공단지점,경기도 성남시 중원구 둔촌대로 388,경기도 성남시 중원구 상대원동 5442-1,2020-03-11,시설일부(1층) / NH농협은행 성남공단지점,330,100,09:00~16:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.433134,127.159575,성남시 기후에너지과,031-729-3643,2021-04-30
금융기관,NH농협은행 상대원지점,경기도 성남시 중원구 희망로 333,경기도 성남시 중원구 상대원동 4755-1,2020-03-11,시설일부(1층) / NH농협은행 상대원지점,330,200,09:00~16:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.435451,127.157933,성남시 기후에너지과,031-729-3643,2021-04-30
금융기관,새마을금고 은행1동지점,경기도 성남시 수정구 은행로82,경기도 성남시 수정구 은행동 2241,2020-03-11,시설일부(1층) / 새마을금고 은행1동지점,199.6,49,09:00~16:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.452056,127.16861,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,도촌동 행정복지센터,경기도 성남시 중원구 도촌북로 28,경기도 성남시 중원구 도촌동 633,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,200,30,09:00~18:00,미운영,미운영,Y(공기청정기 3대),Y(자연환기),37.416522,127.152755,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,태평4동 행정복지센터,경기도 성남시 수정구 남문로 134,경기도 성남시 수정구 태평동 7292,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,438.5,50,09:00~18:00,미운영,미운영,Y(공조기),Y(공조기),37.447927,127.141371,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,성남동행정복지센터,경기도 성남시 중원구 광명로 89,경기도 성남동 1404(광명로 89),2020-03-11,시설일부(1층) / 동행정복지센터 민원실,1200.7,28,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.435118,127.139064,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,금광2동행정복지센터,경기도 성남시 중원구 광명로 345,경기도 성남시 중원구 금광동 3657,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,292.6,40,09:00~18:00,미운영,미운영,Y(공기청정기 7대),Y(자연환기),37.446272,127.164034,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,분당동 행정복지센터,경기도 성남시 분당구 장안로 37,경기도 성남시 분당구 분당동 90-2,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,296,15,09:00~18:00,미운영,미운영,Y(공기청정기 3대),Y(공조기),37.370216,127.143325,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,위례동행정복지센터,경기도 성남시 수정구 위례순환로 125,경기도 성남시 수정구 창곡동 508-1,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,450,5,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.471047,127.142271,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,서현2동행정복지센터,경기도 성남시 분당구 돌마로476번길 17,경기도 성남시 분당구 서현동296,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,1042,30,09:00~18:00,미운영,미운영,Y(공기청정기 4대),Y(자연환기),37.376002,127.134572,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,수내1동행정복지센터,경기도 성남시 분당구 내정로173번길 21,경기도 성남시 분당구 수내동 30,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,300,10,09:00~18:00,미운영,미운영,Y(공기청정기 1대),Y(자연환기),37.375435,127.118045,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,백현동행정복지센터,경기도 성남시 분당구 동판교로21,경기도 성남시 분당구 백현동557,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,300,50,09:00~18:00,미운영,미운영,Y(공기청정기 10대),Y(자연환기),37.388494,127.110822,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,중앙동 행정복지센터,경기도 성남시 중원구 광명로264번길 1,경기도 성남시 중원구 중앙동708번지,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,680,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.442873,127.156133,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,운중동 행정복지센터,경기도 성남시 분당구 운중로138번길 10,경기도 성남시 분당구 운중동 935,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,272,20,09:00~18:00,미운영,미운영,Y(공기청정기 1대),Y(자연환기),37.390548,127.077746,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,금광1동행정복지센터,경기도 성남시 중원구 광명로328,경기도 성남시 중원구 금광1동 1348,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,467.9,15,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.445017,127.162425,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,은행1동행정복지센터,경기도 성남시 중원구 은행로85,경기도 성남시 중원구 은행동 2192,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,108.2,15,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.45212,127.168925,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,판교동행정복지센터,경기도 성남시 분당구 서판교로32번길 9,경기도 성남시 분당구 판교동 575,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,788,60,09:00~18:00,미운영,미운영,Y(공기청정기 8대),Y(자연환기),37.389853,127.098576,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,구미동 행정복지센터,경기도 성남시 분당구 구미로 130번지,경기도 성남시 분당구 구미동 227,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,300,40,09:00~18:00,미운영,미운영,Y(에어컨겸용 2대),Y(자연환기),37.340185,127.122689,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,야탑1동 행정복지센터,경기도 성남시 분당구 장미로86번길 18,경기도 성남시 분당구 야탑1동 363,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,441.1,20,09:00~18:00,미운영,미운영,Y(공기청정기 1대),Y(자연환기),37.411961,127.130236,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,상대원2동 행정복지센터,경기도 성남시 중원구 희망로 371,경기도 성남시 중원구 상대원동 3159,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,590.8,200,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.438918,127.158325,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,은행2동 행정복지센터,경기도 성남시 중원구 은이로 21,경기도 성남시 중원구 은행동 2476,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,1392,50,09:00~18:00,미운영,미운영,Y(공기청정기 4대),Y(자연환기),37.456999,127.166638,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,야탑2동 행정복지센터,경기도 성남시 분당구 야탑동 76번길 5,경기도 성남시 분당구 야탑동 508,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,162.4,10,09:00~18:00,미운영,미운영,Y(공기청정기 3대),Y(자연환기),37.409433,127.127398,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,금곡동행정복지센터,경기도 성남시 분당구 성남대로171번길 14,경기도 성남시 분당구 금곡동 174,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,132.2,10,09:00~18:00,미운영,미운영,Y(공기청정기 3대),Y(자연환기),37.351583,127.107081,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,정자동행정복지센터,경기도 성남시 분당구 황새울로18번길 14,경기도 성남시 분당구 정자동 137,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,270.4,12,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.361591,127.111465,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,정자2동 행정복지센터,경기도 성남시 분당구 내정로 66,경기도 성남시 분당구 정자동 118,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,259.95,10,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.365979,127.115237,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,하대원동 행정복지센터,경기도 성남시 중원구 둔촌대로 252,경기도 성남시 중원구 하대원동 145-1,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,539.4,50,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.428268,127.146343,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,수내2동행정복지센터,경기도 성남시 분당구 내정로166번길 17,경기도 성남시 분당구 수내동 59,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,862.4,8,09:00~18:00,미운영,미운영,Y(공기청정기 1대),Y(자연환기),37.3724,127.120843,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,상대원3동 행정복지센터,경기도 성남시 중원구 박석로 78,경기도 성남시 중원구 상대원동 856,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,520.7,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.439625,127.165544,성남시 기후에너지과,031-729-3643,2021-04-30
동행정복지센터,상대원1동 행정복지센터,경기도 성남시 중원구 둔촌대로 425,경기도 성남시 중원구 상대원동 1451,2020-03-11,시설일부(1층) / 동행정복지센터 민원실,383.7,20,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.433063,127.164372,성남시 기후에너지과,031-729-3643,2021-04-30
