시설번호,시설유형,실내/실외,구,동,시설명,소재지주소,면적(㎡),설치일자,민간/공공구분,놀이기구종류,안전검사일(최종),안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,관리자 연락처,데이터기준일자
810,도시공원,실외,분당구,정자동,철쭉(48호),경기도 성남시 분당구 정자동108,,2009-07-03,공공,그네(1)+미끄럼틀(1)+흔들놀이기구(9)+조합놀이대(1)+충격흡수용표면재(1),2021-06-18,Y,Y,N,031-729-7462,2021-06-30
874,주택단지,실외,분당구,삼평동,봇들마을7단지 701동 전면놀이터,"경기도 성남시 분당구 동판교로 155 (삼평동, 봇들마을7단지아파트)",,2009-07-15,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(2),2019-08-13,Y,Y,N,,2021-06-30
875,주택단지,실외,분당구,삼평동,봇들마을7단지 702동 후면놀이터,"경기도 성남시 분당구 동판교로 155 (삼평동, 봇들마을7단지아파트)",,2009-07-15,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(2),2019-08-13,Y,Y,N,,2021-06-30
896,주택단지,실외,분당구,운중동,산운마을11단지 휴먼시아 1103동앞 놀이터,"경기도 성남시 분당구 판교원로 68 (운중동, 산운마을11단지아파트)",,2009-07-17,민간,흔들놀이기구(6)+조합놀이대(1)+충격흡수용표면재(1)+기타(1),2019-08-22,Y,Y,N,,2021-06-30
897,주택단지,실외,분당구,운중동,산운마을11단지 휴먼시아 1105동앞 놀이터,"경기도 성남시 분당구 판교원로 68 (운중동, 산운마을11단지아파트)",,2009-07-17,민간,흔들놀이기구(6)+조합놀이대(1)+충격흡수용표면재(1)+기타(1),2019-08-22,Y,Y,N,,2021-06-30
898,주택단지,실외,분당구,운중동,산운마을12단지 휴먼시아 1206동앞 놀이터,"경기도 성남시 분당구 판교원로 46 (운중동, 산운마을12단지아파트)",,2009-07-17,민간,흔들놀이기구(3)+건너는기구(1)+조합놀이대(2)+충격흡수용표면재(1),2019-08-19,Y,Y,N,,2021-06-30
899,주택단지,실외,분당구,운중동,산운마을12단지 휴먼시아 1207동앞 놀이터,"경기도 성남시 분당구 판교원로 46 (운중동, 산운마을12단지아파트)",,2009-07-17,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1)+기타(1),2019-08-19,Y,Y,N,,2021-06-30
915,도시공원,실외,분당구,이매동,과수원(20호),경기도 성남시 분당구 이매동 103,,2009-07-24,공공,그네(1)+흔들놀이기구(9)+조합놀이대(2)+충격흡수용표면재(1),2021-06-10,Y,Y,N,031-729-7386,2021-06-30
941,주택단지,실외,분당구,판교동,판교원마을2단지푸르지오 놀이터,"경기도 성남시 분당구 판교로 30 (판교동, 판교원마을2단지아파트)",,2009-07-31,민간,그네(1)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1)+기타(1),2019-09-02,Y,Y,N,,2021-06-30
988,도시공원,실외,분당구,분당동,선지봉(42호),경기도 성남시 분당구 분당동 179,,2009-08-13,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-12-30,Y,Y,N,031-729-7462,2021-06-30
1028,도시공원,실외,분당구,정자동,정자공원 놀이터,경기도 성남시 분당구 정자동 252, 95 ,2009-08-21,공공,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2019-08-22,Y,Y,N,031-729-4384,2021-06-30
1115,주택단지,실외,분당구,판교동,판교원마을3단지 유아놀이터,"경기도 성남시 분당구 판교로 20 (판교동, 판교원마을3단지아파트)",,2009-09-03,민간,흔들놀이기구(2)+건너는기구(2)+조합놀이대(1)+충격흡수용표면재(1),2021-05-27,Y,Y,N,,2021-06-30
1116,주택단지,실외,분당구,판교동,판교원마을3단지 산오름놀이터,"경기도 성남시 분당구 판교로 20 (판교동, 판교원마을3단지아파트)",,2009-09-03,민간,그네(1)+공중놀이기구(1)+흔들놀이기구(1)+건너는기구(2)+조합놀이대(3)+충격흡수용표면재(1),2019-08-05,Y,Y,N,,2021-06-30
1162,주택단지,실외,분당구,구미동,무지개마을 주공4단지아파트 404동,"경기도 성남시 분당구 미금로 66 (구미동, 무지개마을주공4단지아파트)",,1995-05-31,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2021-05-18,Y,Y,N,031-717-1467,2021-06-30
1168,주택단지,실외,분당구,백현동,백현마을 6단지 휴먼시아 놀이터(1),"경기도 성남시 분당구 판교역로 100 (백현동, 백현마을6단지아파트)",,2009-09-17,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2019-10-02,Y,Y,N,,2021-06-30
1169,주택단지,실외,분당구,백현동,백현마을 6단지 휴먼시아 놀이터(2),"경기도 성남시 분당구 판교역로 100 (백현동, 백현마을6단지아파트)",,2009-09-17,민간,회전놀이기구(1)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(2)+충격흡수용표면재(1),2019-10-02,Y,Y,N,,2021-06-30
1221,도시공원,실외,중원구,도촌동,이왕이공원 놀이터,경기도 성남시 중원구 도촌동 648,,2009-10-09,공공,흔들놀이기구(3)+조합놀이대(3)+충격흡수용표면재(1),2019-07-29,Y,Y,N,031-729-4272,2021-06-30
1265,주택단지,실외,분당구,이매동,이매촌동신3단지아파트 309동 앞,"경기도 성남시 분당구 양현로94번길 28 (이매동, 이매촌동신3단지아파트)",,2009-11-23,민간,그네(1)+흔들놀이기구(3)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2019-12-16,Y,Y,N,,2021-06-30
1270,주택단지,실외,분당구,구미동,무지개마을 12단지아파트 1202동 놀이터,"경기도 성남시 분당구 미금로22번길 10 (구미동, 무지개마을주공12단지아파트)",,1995-11-03,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-11-01,Y,Y,N,031-715-2283,2021-06-30
1271,주택단지,실외,분당구,구미동,무지개마을 12단지아파트 1207동 놀이터,"경기도 성남시 분당구 미금로22번길 10 (구미동, 무지개마을주공12단지아파트)", 430 ,1995-11-03,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-11-01,Y,Y,N,031-715-2283,2021-06-30
1272,주택단지,실외,분당구,구미동,무지개마을 12단지아파트 1208동 놀이터,"경기도 성남시 분당구 미금로22번길 10 (구미동, 무지개마을주공12단지아파트)", 300 ,1995-11-03,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2019-11-01,Y,Y,N,031-715-2283,2021-06-30
1341,주택단지,실외,분당구,삼평동,봇들마을8단지 801동 놀이터,"경기도 성남시 분당구 동판교로 153 (삼평동, 봇들마을8단지아파트)",,2009-11-03,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(1),2019-10-25,Y,Y,N,,2021-06-30
1342,주택단지,실외,분당구,삼평동,봇들마을8단지 805동 놀이터,"경기도 성남시 분당구 동판교로 153 (삼평동, 봇들마을8단지아파트)",,2009-11-03,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-10-25,Y,Y,N,,2021-06-30
1343,주택단지,실외,분당구,삼평동,봇들마을8단지 802동 놀이터,"경기도 성남시 분당구 동판교로 153 (삼평동, 봇들마을8단지아파트)",,2009-11-03,민간,회전놀이기구(1)+흔들놀이기구(1)+오르는기구(1)+건너는기구(1)+충격흡수용표면재(1),2019-10-25,Y,Y,N,,2021-06-30
1351,주택단지,실외,분당구,백현동,백현마을3단지 휴먼시아 놀이터(1),"경기도 성남시 분당구 동판교로 92 (백현동, 백현마을3단지)",,2009-11-04,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2020-04-10,Y,Y,N,,2021-06-30
1352,주택단지,실외,분당구,백현동,백현마을3단지 휴먼시아 놀이터(2),"경기도 성남시 분당구 동판교로 92 (백현동, 백현마을3단지)",,2009-11-04,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2020-04-10,Y,Y,N,,2021-06-30
1353,주택단지,실외,분당구,백현동,백현마을3단지 휴먼시아 놀이터(3),"경기도 성남시 분당구 동판교로 92 (백현동, 백현마을3단지)",,2009-11-04,민간,흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-04-10,Y,Y,N,,2021-06-30
1354,주택단지,실외,분당구,백현동,백현마을3단지 휴먼시아 유아놀이터,"경기도 성남시 분당구 동판교로 92 (백현동, 백현마을3단지)",,2009-11-04,민간,오르는기구(1)+충격흡수용표면재(1),2020-04-10,Y,Y,N,,2021-06-30
1355,주택단지,실외,수정구,단대동,단대 진로아파트 (106동옆),"경기도 성남시 수정구 단대로23번길 32 (단대동, 진로아파트)", 239 ,2009-11-06,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2019-10-04,Y,Y,N,031-732-0208,2021-06-30
1356,주택단지,실외,분당구,야탑동,목련마을 두원빌리지 놀이터,"경기도 성남시 분당구 야탑로231번길 35 (야탑동, 목련마을두원빌리지)", 328 ,2009-11-06,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2020-12-16,Y,Y,N,031-704-1861,2021-06-30
1382,도시공원,실외,중원구,여수동,시청공원 놀이터,경기도 성남시 중원구 여수동200,,2009-11-16,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2021-03-11,Y,Y,N,031-729-4272,2021-06-30
1401,주택단지,실외,분당구,판교동,판교원마을13단지 휴먼시아 313동우측 놀이터,"경기도 성남시 분당구 서판교로 193 (판교동, 판교원마을13단지아파트)", 466 ,2009-11-18,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2021-02-01,Y,Y,N,031-8016-2225,2021-06-30
1402,주택단지,실외,분당구,판교동,판교원마을13단지 휴먼시아 313동좌측 놀이터,"경기도 성남시 분당구 서판교로 193 (판교동, 판교원마을13단지아파트)", 92 ,2009-11-18,민간,그네(1)+흔들놀이기구(2)+충격흡수용표면재(1),2021-02-01,Y,Y,N,031-8016-2225,2021-06-30
1460,주택단지,실외,분당구,야탑동,탑마을타워빌아파트 303동 놀이터,"경기도 성남시 분당구 양현로 272 (야탑동, 탑마을경향아파트)",,2009-12-04,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-11-25,Y,Y,N,,2021-06-30
1461,주택단지,실외,분당구,야탑동,탑마을타워빌아파트 309동 놀이터,"경기도 성남시 분당구 양현로 272 (야탑동, 탑마을경향아파트)",,2009-12-04,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1)+철봉(2),2019-11-25,Y,Y,N,,2021-06-30
1462,주택단지,실외,분당구,야탑동,탑마을타워빌아파트 503동 놀이터,"경기도 성남시 분당구 양현로 272 (야탑동, 탑마을경향아파트)",,2009-12-04,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2019-11-25,Y,Y,N,,2021-06-30
1463,주택단지,실외,분당구,야탑동,탑마을타워빌아파트 508동 놀이터,"경기도 성남시 분당구 양현로 272 (야탑동, 탑마을경향아파트)",,2009-12-04,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-11-25,Y,Y,N,,2021-06-30
1471,도시공원,실외,분당구,서현동,수련(36호),경기도 성남시 분당구 서현동 314-1,,2009-12-09,공공,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1),2019-12-30,Y,Y,N,031-729-7462,2021-06-30
1487,주택단지,실외,분당구,백현동,백현마을2단지 휴먼시아 207동뒤 놀이터,"경기도 성남시 분당구 동판교로 122 (백현동, 백현마을2단지아파트)",,2009-12-14,민간,회전놀이기구(2)+흔들놀이기구(2)+충격흡수용표면재(1)+기타(4),2020-01-06,Y,Y,N,031-8016-7009,2021-06-30
1488,주택단지,실외,분당구,백현동,백현마을2단지 휴먼시아 209동뒤 놀이터,"경기도 성남시 분당구 동판교로 122 (백현동, 백현마을2단지아파트)",,2009-12-14,민간,오르는기구(1)+충격흡수용표면재(1),2020-01-06,Y,Y,N,031-8016-7009,2021-06-30
1489,주택단지,실외,분당구,백현동,백현마을2단지 휴먼시아 유아놀이터,"경기도 성남시 분당구 동판교로 122 (백현동, 백현마을2단지아파트)",,2009-12-14,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2020-01-06,Y,Y,N,031-8016-7009,2021-06-30
1490,주택단지,실외,분당구,백현동,백현마을2단지 휴먼시아 211동앞 놀이터,"경기도 성남시 분당구 동판교로 122 (백현동, 백현마을2단지아파트)",,2009-12-14,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2020-01-06,Y,Y,N,031-8016-7009,2021-06-30
1491,주택단지,실외,분당구,백현동,백현마을2단지 휴먼시아 207동옆 놀이터,"경기도 성남시 분당구 동판교로 122 (백현동, 백현마을2단지아파트)",,2009-12-14,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-05-18,Y,Y,N,031-8016-7009,2021-06-30
1510,도시공원,실외,분당구,삼평동,봇들(판교17호),경기도 성남시 분당구 삼평동 729, 250 ,2009-12-04,공공,흔들놀이기구(4)+오르는기구(1)+조합놀이대(3)+충격흡수용표면재(1),2021-06-04,Y,Y,N,031-729-7386,2021-06-30
1511,도시공원,실외,분당구,삼평동,송현(판교10호),경기 성남시 분당구 삼평동707, 387 ,2009-12-04,공공,미끄럼틀(3)+충격흡수용표면재(1),2021-06-04,Y,Y,N,031-729-7386,2021-06-30
1512,도시공원,실외,분당구,삼평동,삼평(판교11호),경기 성남시 분당구 삼평동731, 380 ,2009-12-04,공공,흔들놀이기구(2)+오르는기구(2)+조합놀이대(1)+충격흡수용표면재(1),2021-06-04,Y,Y,N,031-729-7386,2021-06-30
1520,도시공원,실외,분당구,정자동,불정(54호),경기 성남시 분당구 정자동204번지, 452 ,2009-12-24,공공,그네(1)+흔들놀이기구(6)+조합놀이대(1)+충격흡수용표면재(1),2021-06-18,Y,Y,N,031-729-7462,2021-06-30
1658,도시공원,실외,분당구,야탑동,오야소(12호),경기도 성남시 분당구 야탑동 509, 319 ,2010-03-23,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2020-08-27,Y,Y,N,031-729-7386,2021-06-30
1659,도시공원,실외,분당구,야탑동,매향(5호),경기 성남시 분당구 야탑동214-1, 420 ,2010-03-23,공공,그네(1)+흔들놀이기구(7)+조합놀이대(1)+충격흡수용표면재(1),2020-08-28,Y,Y,N,031-729-7386,2021-06-30
2131,어린이집,실외,수정구,신흥동,신흥제2어린이집 놀이터(공공),경기도 성남시 수정구 수정로257번길 18 (신흥동), 140 ,2010-11-08,민간,흔들놀이기구(4)+조합놀이대(2)+충격흡수용표면재(1),2020-09-23,Y,Y,N,031-745-4200,2021-06-30
2154,주택단지,실외,분당구,서현동,효자촌 대명연립아파트 놀이터,"경기도 성남시 분당구 분당로263번길 67 (서현동, 효자촌대명연립)",,2010-06-21,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2020-09-23,Y,Y,N,,2021-06-30
2205,도시공원,실외,분당구,야탑동,양촌(분당8호),경기도 성남시 분당구 야탑동 178, 313 ,2010-06-29,공공,그네(1)+흔들놀이기구(2)+건너는기구(2)+조합놀이대(1)+충격흡수용표면재(1)+기타(1),2020-10-21,Y,Y,N,031-729-7386,2021-06-30
2207,도시공원,실외,분당구,야탑동,무잡모퉁이(13호),경기도 성남시 분당구 야탑동 529, 331 ,2010-06-29,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2020-08-28,Y,Y,N,031-729-7386,2021-06-30
2208,도시공원,실외,분당구,야탑동,장승백이(14호),경기도 성남시 분당구 야탑동 516, 336 ,2010-06-29,공공,그네(1)+흔들놀이기구(4)+조합놀이대(2)+충격흡수용표면재(1),2020-03-06,Y,Y,N,031-729-7386,2021-06-30
2209,도시공원,실외,분당구,야탑동,신일(18호),경기도 성남시 분당구 야탑동 164, 237 ,2010-06-29,공공,조합놀이대(1)+충격흡수용표면재(1),2021-01-13,Y,Y,N,031-729-7386,2021-06-30
2211,도시공원,실외,분당구,이매동,매송(22호),경기도 성남시 분당구 이매동 144, 542 ,2010-06-29,공공,그네(1)+회전놀이기구(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2020-08-28,Y,Y,N,031-729-7386,2021-06-30
2212,도시공원,실외,분당구,이매동,방아다리(23호),경기도 성남시 분당구 이매동 114, 429 ,2010-06-29,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2020-08-27,Y,Y,N,031-729-7386,2021-06-30
2213,도시공원,실외,분당구,이매동,구렛들(25호),경기도 성남시 분당구 이매동 119, 365 ,2010-06-29,공공,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-10-21,Y,Y,N,031-729-7386,2021-06-30
2214,도시공원,실외,분당구,서현동,솔밭 (27호),경기도 성남시 분당구 서현동78-4, 213 ,2010-06-29,공공,조합놀이대(1)+충격흡수용표면재(1),2021-06-18,Y,Y,N,031-729-7462,2021-06-30
2226,도시공원,실외,분당구,금곡동,앞구미(57호),경기도 성남시 분당구 금곡동 135, 179 ,2010-07-01,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1)+기타(1),2021-01-25,Y,Y,N,031-729-7462,2021-06-30
2282,도시공원,실외,중원구,하대원동,대원공원 놀이터(1),경기 성남시 중원구 하대원동204-2, 314 ,2010-07-14,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1)+기타(1),2019-07-29,Y,Y,N,031-729-4272,2021-06-30
2540,어린이집,실외,수정구,복정동,복정어린이집 놀이터(공공),경기도 성남시 수정구 복정로96번길 30-1 (복정동), 256 ,2010-09-09,민간,흔들놀이기구(2)+조합놀이대(2)+충격흡수용표면재(1),2021-04-16,Y,Y,N,031-753-5510,2021-06-30
2571,주택단지,실외,분당구,구미동,하얀마을 주공5단지 관리동옆 유아놀이터,"경기도 성남시 분당구 미금일로 21 (구미동, 하얀마을아파트)",,2010-09-15,민간,흔들놀이기구(2)+충격흡수용표면재(1),2019-10-13,Y,Y,N,031-717-3403,2021-06-30
2572,주택단지,실외,분당구,구미동,하얀마을 주공5단지 501동옆 놀이터,"경기도 성남시 분당구 미금일로 21 (구미동, 하얀마을아파트)",,2010-09-15,민간,조합놀이대(1)+충격흡수용표면재(1),2019-10-13,Y,Y,N,031-717-3403,2021-06-30
2573,주택단지,실외,분당구,구미동,하얀마을 주공5단지 504동옆 놀이터,"경기도 성남시 분당구 미금일로 21 (구미동, 하얀마을아파트)",,2010-09-15,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2019-10-13,Y,Y,N,031-717-3403,2021-06-30
2625,주택단지,실외,분당구,운중동,산운마을 판교윌든힐스3단지 놀이터,"경기도 성남시 분당구 산운로 55 (운중동, 산운마을판교월든힐스3단지아파트)",,2010-10-05,민간,미끄럼틀(2)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-08-18,Y,Y,N,,2021-06-30
2832,주택단지,실외,분당구,서현동,서현 포스파크빌라 103동 놀이터,"경기도 성남시 분당구 새마을로83번길 15 (서현동, 서현포스파크)",,2010-11-16,민간,회전놀이기구(1)+흔들놀이기구(3)+충격흡수용표면재(1),2020-08-31,Y,Y,N,02-6210-2317,2021-06-30
2833,주택단지,실외,분당구,서현동,서현 포스파크빌라 102동 놀이터,"경기도 성남시 분당구 새마을로83번길 15 (서현동, 서현포스파크)",,2010-11-16,민간,그네(1)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2020-08-31,Y,Y,N,02-6210-2317,2021-06-30
2834,주택단지,실외,중원구,상대원동,상대원 산성아파트 놀이터,"경기도 성남시 중원구 사기막골로150번길 10 (상대원동, 산성아파트)", 243 ,1997-09-20,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2021-01-20,Y,Y,N,031-733-1024,2021-06-30
