업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일
유흥주점영업,1989-10-23,팡팡노래바,"경기도 부천시 경인로216번길 10, 2층 (심곡본동)","경기도 부천시 심곡본동 666-3 ,2층 ",98.68,032-655-5150,2018-07-10
유흥주점영업,1995-09-20,리더걸,경기도 부천시 원종로 77 (원종동),경기도 부천시 원종동 271-7 ,79.99,032-684-4669,2003-04-29
유흥주점영업,1996-03-11,준코뮤직타운 송내점,"경기도 부천시 송내대로73번길 22, 지하101호 (상동, 장미상가)",경기도 부천시 상동 404-3 장미상가 자하101호,342.12,032-324-1331,2017-09-07
유흥주점영업,1996-03-21,헤라노래클럽,경기도 부천시 부일로233번길 21 (상동),경기도 부천시 상동 458 ,83.17,032-322-5343,2015-03-23
유흥주점영업,1996-03-21,수노래클럽,경기도 부천시 상일로122번길 15 (상동),경기도 부천시 상동 451 ,146.7,032-322-8872,2020-06-26
유흥주점영업,1996-04-12,월드,"경기도 부천시 부일로233번길 45 (상동, 지하1층)",경기도 부천시 상동 450-1 지하1층 ,194.57,032-321-8485,2011-11-22
유흥주점영업,1996-07-03,부천카바레,"경기도 부천시 부일로 512, 3층 (심곡동)",경기도 부천시 심곡동 139-11 외1필지 3층 ,464.52,032-612-1946,2016-07-01
유흥주점영업,1996-08-24,세븐노래클럽,"경기도 부천시 조마루로291번길 6 (중동,금강프라자 지하 101호)",경기도 부천시 중동 1130-8 금강프라자 지하 101호 ,104.02,032-326-9864,2020-06-15
유흥주점영업,1996-10-19,제우스,"경기도 부천시 부일로233번길 21 (상동, 지하1층)",경기도 부천시 상동 458 지하1층 ,87.12,032-322-5343,2015-03-23
유흥주점영업,1997-01-04,베트남다국적노래클럽,"경기도 부천시 조마루로297번길 61, 지101호 (중동)",경기도 부천시 중동 1133 외1필지 지101호,99.84,032-329-6220,2020-03-18
유흥주점영업,1997-05-06,아마죤,경기도 부천시 부천로 36 (심곡동),경기도 부천시 심곡동 164-2 ,381.7,032-656-6354,2012-06-04
유흥주점영업,1997-05-15,토지노래클럽,"경기도 부천시 소향로 248 (중동,,14)","경기도 부천시 중동 1133-13 ,14 ",253.86,032-326-6966,2013-12-26
유흥주점영업,1997-07-01,팡팡,경기도 부천시 부일로469번길 30 (심곡동),경기도 부천시 심곡동 190-17 ,93.8,032-612-0600,2013-07-29
유흥주점영업,1997-08-29,세븐노래장,경기도 부천시 부일로 748 (역곡동),경기도 부천시 역곡동 81-1 ,94.58,032-342-2283,2019-06-10
유흥주점영업,1997-09-08,동광,"경기도 부천시 부일로432번길 12 (심곡동,지하1층)",경기도 부천시 심곡동 459-7 지하1층 ,32.64,032-611-1156,2020-07-10
유흥주점영업,1997-11-12,준코뮤직타운 중동2호점,"경기도 부천시 중동로254번길 81, 지하1층  B01~B03호 (중동, 월드코아)",경기도 부천시 중동 1142-14 외1필지 월드코아 지하1층 B01~B03호,440.81,032-328-0410,2018-04-11
유흥주점영업,1997-11-15,더킹노래클럽,"경기도 부천시 상일로122번길 지하 26 (상동, 지하1층)",경기도 부천시 상동 452-3 지하1층 ,102.25,032-325-5131,2021-02-03
유흥주점영업,1997-12-04,에스비에스(SBS)노래바,"경기도 부천시 상일로122번길 24, 지하1층 (상동)",경기도 부천시 상동 452-2 지하1층 ,72.04,032-325-6628,2020-07-17
유흥주점영업,1997-12-02,샤넬,"경기도 부천시 호현로497번길 6, 지하1층 (소사본동)","경기도 부천시 소사본동 91-1 ,지하1층 ",44.46,032-344-9796,2019-05-08
유흥주점영업,1997-06-03,스캔들클럽,경기도 부천시 원종로 51 (원종동),경기도 부천시 원종동 277-10 ,46.38,032-673-1142,2015-05-11
유흥주점영업,1998-01-07,명품노래바,경기도 부천시 부천로10번길 26 (심곡동),경기도 부천시 심곡동 171-1 ,101.29,032-611-6209,2018-01-15
유흥주점영업,1998-01-08,준,경기도 부천시 부천로10번길 42 (심곡동),경기도 부천시 심곡동 144-6 ,56.18,032-657-7966,2009-08-03
유흥주점영업,1998-01-23,휴,"경기도 부천시 조마루로291번길 38, 지하1층 B101호 (중동, 삼익프라자)",경기도 부천시 중동 1130 삼익프라자 B101호,119.23,032-321-9399,2018-12-06
유흥주점영업,1998-03-09,보스,경기도 부천시 상일로122번길 27 (상동),경기도 부천시 상동 451-3 ,114.44,032-324-4393,2011-08-22
유흥주점영업,1998-03-28,멜론노래클럽2,"경기도 부천시 조마루로297번길 25, 지하층 B01호 (중동, 삼화빌딩)",경기도 부천시 중동 1130-15 삼화빌딩 ,68.3,032-325-6784,2020-02-13
유흥주점영업,1998-08-22,초콜렛,경기도 부천시 중동로262번길 92 (중동),경기도 부천시 중동 1142-8 ,118.83,032-324-7174,2018-01-10
유흥주점영업,1998-10-21,오케이노래클럽,"경기도 부천시 부일로233번길 19 (상동, 금강빌딩 지하1층)","경기도 부천시 상동 458-1 ,금강빌딩 지하1층 ",205.12,032-666-3838,2014-09-05
유흥주점영업,1998-12-30,오케이노래주점,경기도 부천시 부천로10번길 16 (심곡동),경기도 부천시 심곡동 171-8 ,36.5,032-651-1803,2010-12-06
유흥주점영업,1998-08-31,대박노래바,경기도 부천시 경인로 155 (송내동),경기도 부천시 송내동 564-4 ,95.72,032-656-7202,2019-04-30
유흥주점영업,1999-03-03,랄랄라,경기도 부천시 부천로9번길 42 (심곡동),경기도 부천시 심곡동 383-6 ,39.09,032-656-8590,2018-10-01
유흥주점영업,1999-03-19,멜론노래타운1,경기도 부천시 부일로 459 (심곡동),경기도 부천시 심곡동 382-3 ,152.95,032-653-7438,2019-10-17
유흥주점영업,1999-04-07,미코,"경기도 부천시 소향로253번길 17, 지하1층 (중동, 충도프라자)",경기도 부천시 중동 1137-2 충도프라자 지하1층 ,113.18,032-324-5240,2012-06-04
유흥주점영업,1999-04-07,에이플러스노래클럽,"경기도 부천시 중동로254번길 51 (중동,,B01호 일부)","경기도 부천시 중동 1147-8 ,B01호 일부 ",54.54,032-327-6167,2018-08-03
유흥주점영업,1999-04-27,루미,"경기도 부천시 조마루로291번길 40 (중동,(지하 101,102호))","경기도 부천시 중동 1133-8 (지하 101,102호) ",291.18,032-323-3357,2008-05-07
유흥주점영업,1999-04-29,단풍,경기도 부천시 중동로254번길 11 (중동),경기도 부천시 중동 1150-13 ,250.88,032-326-1511,2018-08-28
유흥주점영업,1999-06-02,준코뮤직타운 중동3호점,"경기도 부천시 조마루로291번길 16 (중동,대진빌딩)",경기도 부천시 중동 1130-5 대진빌딩 ,210.86,032-328-2492,2018-04-11
유흥주점영업,1999-07-15,에쿠스,경기도 부천시 상일로122번길 16 (상동),경기도 부천시 상동 452 ,173.52,032-326-6341,2020-03-12
유흥주점영업,1999-07-29,따봉노래바,경기도 부천시 부일로496번길 13 (심곡동),경기도 부천시 심곡동 145-9 ,45.65,032-666-6644,2010-04-23
유흥주점영업,1999-08-17,로또노래바,경기도 부천시 중동로254번길 53 (중동),경기도 부천시 중동 1147-7 ,149.76,032-323-0885,2018-05-08
유흥주점영업,1999-10-07,언니노래바,경기도 부천시 중동로 258 (중동),경기도 부천시 중동 1150 ,232.03,032-323-0040,2015-08-06
유흥주점영업,1999-10-12,킹스맨,"경기도 부천시 부일로233번길 49 (상동, 지하1층 일부)",경기도 부천시 상동 450 지하1층 일부 ,107.24,032-322-6777,2019-03-25
유흥주점영업,1999-11-30,별노래바,경기도 부천시 부일로 482-2 (심곡동),경기도 부천시 심곡동 170-5 ,56.09,032-664-6694,2011-07-01
유흥주점영업,1999-12-13,리치노래빠,경기도 부천시 역곡로1번길 12 (역곡동),경기도 부천시 역곡동 80-9 ,78.05,032-341-5603,2020-06-08
유흥주점영업,1999-12-29,보물섬노래바,경기도 부천시 신흥로22번길 55 (심곡동),경기도 부천시 심곡동 393-1 ,93.19,032-655-4646,2015-04-24
유흥주점영업,1999-03-13,파티노래바,경기도 부천시 경인로216번길 10 (심곡본동),경기도 부천시 심곡본동 666-3 ,57.66,032-664-5152,2018-02-21
유흥주점영업,1999-05-01,스타노래클럽 ,경기도 부천시 경인로 328-1 (소사본동),경기도 부천시 소사본동 91-17 ,109.89,032-346-7006,2012-05-18
유흥주점영업,1999-07-29,보스노래바,"경기도 부천시 자유로 75-1, 2층 (심곡본동)","경기도 부천시 심곡본동 553-14 ,15 (2층) ",29.26,032-662-1070,2009-11-30
유흥주점영업,1999-11-02,골드,"경기도 부천시 경인로 194, 지하1층 (심곡본동)","경기도 부천시 심곡본동 589 ,589-1, 지하1층 ",58.72,032-657-4242,2018-07-13
유흥주점영업,1999-12-14,NBC노래바,경기도 부천시 성주로269번길 38 (심곡본동),경기도 부천시 심곡본동 669-6 ,107.17,032-662-4658,2004-03-05
유흥주점영업,1999-12-24,우리노래뱅크,경기도 부천시 심곡로10번길 12 (심곡본동),경기도 부천시 심곡본동 560-11 ,67.1,032-667-0085,2016-11-02
유흥주점영업,1999-12-27,호박,경기도 부천시 경인로206번길 9 (심곡본동),경기도 부천시 심곡본동 666-1 ,75.29,032-656-5554,2009-09-03
유흥주점영업,1999-11-18,일박이일,경기도 부천시 원종로 61 (원종동),경기도 부천시 원종동 276-3 ,112.23,032-676-1259,2017-11-23
유흥주점영업,2000-01-07,낙원노래클럽,경기도 부천시 신흥로22번길 58 (심곡동),경기도 부천시 심곡동 388-14 ,67.83,032-657-3426,2015-02-05
유흥주점영업,2000-01-27,로즈노래크럽,"경기도 부천시 조마루로291번길 56 (중동,지하)",경기도 부천시 중동 1133-12 지하 ,89.49,032-321-1613,2014-06-10
유흥주점영업,2000-01-28,에스(S),경기도 부천시 부천로9번길 54 (심곡동),경기도 부천시 심곡동 383-14 ,100.31,032-667-7980,2016-04-11
유흥주점영업,2000-02-26,여우,경기도 부천시 부일로 438 (심곡동),경기도 부천시 심곡동 398-6 ,58.79,032-666-7269,2017-12-07
유흥주점영업,2000-03-10,황금노래바,경기도 부천시 부일로 437 (심곡동),"경기도 부천시 심곡동 400-16 ,17 ",78.62,032-663-7866,2012-11-01
유흥주점영업,2000-04-06,황진이노래바,"경기도 부천시 부일로432번길 17 (심곡동,,지하1층)","경기도 부천시 심곡동 391-9 ,지하1층 ",56.05,032-611-3657,2015-06-30
유흥주점영업,2000-04-07,신화,경기도 부천시 부일로495번길 7 (심곡동),경기도 부천시 심곡동 169-9 ,97.52,032-663-6674,2017-11-08
유흥주점영업,2000-05-27,뮤즈,경기도 부천시 부일로 438-1 (심곡동),경기도 부천시 심곡동 398-4 ,66.46,032-666-0776,2010-03-26
유흥주점영업,2000-06-21,제이제이(JJ),"경기도 부천시 조마루로297번길 21, 지하1층 102호 (중동)",경기도 부천시 중동 1130-14 지하102호 ,97.68,032-321-1719,2017-11-01
유흥주점영업,2000-08-11,비엠더블유(BMW),경기도 부천시 상일로122번길 19 (상동),경기도 부천시 상동 451-1 ,200.69,032-653-1228,2021-02-05
유흥주점영업,2000-09-06,킹콩노래호프,경기도 부천시 부일로460번길 5 (심곡동),경기도 부천시 심곡동 175-16 ,162.21,032-611-0010,2017-05-10
유흥주점영업,2000-09-19,탑3노(NO)크럽,경기도 부천시 송내대로73번길 46 (상동),경기도 부천시 상동 407-1 ,144.65,032-325-3546,2016-08-23
유흥주점영업,2000-10-11,헤라노래클럽,"경기도 부천시 조마루로291번길 24, 지하1층 B02호 (중동, 신영프라자)",경기도 부천시 중동 1130-3 신영프라자 지하B02호,76.55,032-321-9811,2015-12-17
유흥주점영업,2000-10-21,카라,"경기도 부천시 석천로178번길 7, 지하1층 (중동, 우곡프라자)",경기도 부천시 중동 1158-13 우곡프라자 지하1층 ,135.83,032-324-5006,2012-03-16
유흥주점영업,2000-11-23,샴푸노래클럽,"경기도 부천시 부흥로315번길 69, 지하1층 (중동)",경기도 부천시 중동 1127 지하1층일부 ,98.18,032-828-3999,2018-07-06
유흥주점영업,2000-12-16,에쿠스노래바,"경기도 부천시 부일로 439, 지하 1층 (심곡동)",경기도 부천시 심곡동 400-15 지하1층 ,115.14,032-664-5443,2017-12-13
유흥주점영업,2000-12-18,카카오노래타운,"경기도 부천시 부일로237번길 37, 지하1층 (상동)",경기도 부천시 상동 449-1 지하1층 ,203.37,032-321-8289,2018-11-12
유흥주점영업,2000-12-23,보보노래바,"경기도 부천시 조마루로297번길 33, B01호 (중동, 엔터프라이즈빌딩 (지하1층 일부))",경기도 부천시 중동 1130-18 엔터프라이즈빌딩 (지하1층 일부) B01호,137.93,032-323-1562,2018-05-23
유흥주점영업,2001-02-24,터치노래바,"경기도 부천시 조마루로291번길 22 (중동,초석빌딩 2층)",경기도 부천시 중동 1130-4 초석빌딩 2층 ,94.95,032-321-7703,2020-02-20
유흥주점영업,2001-04-17,월드,"경기도 부천시 석천로184번길 28, 지하1층 (중동, 씨티원프라자자)",경기도 부천시 중동 1158-6 ,150.36,032-328-8150,2012-01-30
유흥주점영업,2001-05-24,위너스노래클럽,"경기도 부천시 조마루로297번길 51 (중동,,3,4 유진빌딩 301호일부)","경기도 부천시 중동 1133-2 ,3,4 유진빌딩 301호일부 ",41.71,032-326-2984,2019-10-17
유흥주점영업,2001-06-21,쇼부,"경기도 부천시 조마루로291번길 22, 지하1층 (중동)",경기도 부천시 중동 1130-4 초석빌딩 지하1층 ,260.45,032-327-4100,2018-09-13
유흥주점영업,2001-06-29,오렌지노래크럽,"경기도 부천시 석천로184번길 18 (중동, 우암프라자 지하102호일부)",경기도 부천시 중동 1158-3 우암프라자 지하102호일부 ,98.4,032-322-1377,2016-01-18
유흥주점영업,2001-08-06,고래관광나이트,"경기도 부천시 중동로248번길 105 (중동,,2,3)","경기도 부천시 중동 1138-1 ,2,3 ","1,669.09",032-217-7000,2019-11-25
유흥주점영업,2001-08-21,풀코스노래바,"경기도 부천시 석천로184번길 26, 지하1층 (중동)",경기도 부천시 중동 1158-5 지하1층 ,255.79,032-325-3989,2019-10-30
유흥주점영업,2001-09-25,올인노래바,"경기도 부천시 부일로 494, 지하 1층 (심곡동)",경기도 부천시 심곡동 170-1 지하 1층 ,0,032-664-3300,2018-01-19
유흥주점영업,2001-10-04,샾노래바,"경기도 부천시 부일로496번길 19, 지하1층 (심곡동)",경기도 부천시 심곡동 144-7 지하1층 ,62.72,032-611-7743,2016-06-03
유흥주점영업,2001-10-30,포썸노래클럽(for썸노래club),"경기도 부천시 부일로199번길 21 (상동,지하1층)",경기도 부천시 상동 414-1 지하1층 ,103.29,032-323-7153,2020-06-22
유흥주점영업,2001-03-05,777룸클럽,경기도 부천시 원종로51번길 11 (원종동),경기도 부천시 원종동 277-8 ,53.07,032-682-2399,2014-10-21
유흥주점영업,2001-04-28,비노래클럽,"경기도 부천시 원종로 65 (원종동,,22)","경기도 부천시 원종동 272-12 ,22 ",92.52,032-683-4288,2017-03-15
유흥주점영업,2001-08-11,명월관,"경기도 부천시 원종로 47 (원종동,,13)","경기도 부천시 원종동 277-12 ,13 ",189.44,032-679-4086,2019-08-08
유흥주점영업,2001-09-22,블루노래클럽,"경기도 부천시 원종로71번길 6, 지하 1층 (원종동)",경기도 부천시 원종동 271-9 ,111.75,032-678-5533,2019-09-27
유흥주점영업,2002-01-07,폭스노래바,"경기도 부천시 석천로184번길 12 (중동,(지하1층))",경기도 부천시 중동 1158-1 (지하1층) ,265.85,032-326-5557,2020-09-29
유흥주점영업,2002-01-25,카카오노래바,경기도 부천시 부천로9번길 50 (심곡동),경기도 부천시 심곡동 383-9 ,74.6,032-611-9953,2020-07-20
유흥주점영업,2002-03-14,자유,경기도 부천시 신흥로40번길 56 (심곡동),경기도 부천시 심곡동 399-2 ,58.45,,2009-09-21
유흥주점영업,2002-03-20,스타노래클럽,"경기도 부천시 역곡로2번길 25 (역곡동, (지하1))",경기도 부천시 역곡동 81-12  (지하1) ,58.56,032-345-6886,2009-07-01
유흥주점영업,2002-05-16,에스(S)노래크럽,"경기도 부천시 소향로 251 (중동,,지하1층)","경기도 부천시 중동 1136-3 ,지하1층 ",111.5,032-321-7629,2019-05-15
유흥주점영업,2002-05-16,용노래클럽,"경기도 부천시 조마루로291번길 24, 3층 (중동, 신영프라자)",경기도 부천시 중동 1130-3 신영프라자 3층 ,118.35,032-323-2049,2015-11-11
유흥주점영업,2002-05-23,키스노래클럽,"경기도 부천시 중동로254번길 23 (중동,지하 1층)",경기도 부천시 중동 1150-10 지하 1층 ,86.97,032-327-6540,2018-02-12
유흥주점영업,2002-05-28,수노래클럽,"경기도 부천시 조마루로291번길 30 (중동,중동유림프라자빌딩 B 01호)",경기도 부천시 중동 1130-1 중동유림프라자빌딩 B 01호 ,69.5,032-327-5579,2014-08-13
유흥주점영업,2002-07-10,향란,"경기도 부천시 신흥로26번길 33 (심곡동, 지하1층)","경기도 부천시 심곡동 396-12 ,지하1층 ",77.18,032-661-2306,2019-09-02
유흥주점영업,2002-07-16,용가리,"경기도 부천시 중동로254번길 23 (중동, (지상3))",경기도 부천시 중동 1150-10  (지상3) ,113.75,032-321-7155,2018-03-27
유흥주점영업,2002-07-23,테마파티,경기도 부천시 부일로 446 (심곡동),경기도 부천시 심곡동 394-3 ,61.23,032-651-7922,2004-07-08
유흥주점영업,2002-08-28,도우미클럽,"경기도 부천시 부일로 465, 지하1층 (심곡동)",경기도 부천시 심곡동 176-7 지하1층 일부 ,91.34,032-661-7712,2008-09-09
유흥주점영업,2002-09-10,에쿠스,"경기도 부천시 소향로 248 (중동, 외1필지 금강5차프라자 지하102호)",경기도 부천시 중동 1133-13 외1필지 금강5차프라자 지하102호 ,124.49,032-325-8890,2019-09-03
유흥주점영업,2002-09-23,상상,"경기도 부천시 조마루로291번길 52 (중동,우신프라자4차빌딩 지하101호)",경기도 부천시 중동 1133-11 우신프라자4차빌딩 지하101호 ,105.63,032-328-1844,2020-02-12
유흥주점영업,2002-09-27,초이스노래클럽,"경기도 부천시 조마루로291번길 10, 303호 (중동, 해중프라자)",경기도 부천시 중동 1130-6 해중프라자 303호 ,37.1,032-326-8754,2020-06-23
유흥주점영업,2002-10-16,황진이,"경기도 부천시 소향로37번길 31-21, 6층 (상동, 라라플러스)",경기도 부천시 상동 545-7 라라플러스 6층 ,242.75,032-327-1357,2015-04-21
유흥주점영업,2002-11-06,에이원뮤직클럽,"경기도 부천시 소향로37번길 13-22 (상동,(5층, 501호))","경기도 부천시 상동 545-15 (5층, 501호) ",89.4,032-328-6112,2018-05-01
유흥주점영업,2002-11-07,광장노래클럽,"경기도 부천시 조마루로291번길 8 (중동,부천시약사회 지하)",경기도 부천시 중동 1130-7 부천시약사회 지하 ,77.6,032-323-4565,2018-05-04
유흥주점영업,2002-11-11,킹노래광장,"경기도 부천시 역곡로1번길 10, 지하1층 (역곡동)",경기도 부천시 역곡동 80-8 .지하1층 ,111.08,032-343-4149,2017-11-30
유흥주점영업,2002-11-13,위너스,"경기도 부천시 소향로13번길 14-23 (상동,삼성프라자 501호)",경기도 부천시 상동 545-16 삼성프라자 501호 ,44.23,032-231-7130,2020-08-24
유흥주점영업,2002-11-20,젠틀맨,"경기도 부천시 소향로37번길 31-21, 5층 (상동, 라라프러스)",경기도 부천시 상동 545-7 라라프러스 5층 ,298.6,032-328-5882,2017-06-26
유흥주점영업,2002-11-22,달맞이노래크럽,"경기도 부천시 길주로77번길 55-9 (상동,,10 태평양프라자 601호)","경기도 부천시 상동 532-9 ,10 태평양프라자 601호 ",285.59,032-214-2500,2007-06-13
유흥주점영업,2002-11-22,앵콜스탠드빠,"경기도 부천시 부흥로315번길 63 (중동,지하1층)",경기도 부천시 중동 1127-2 지하1층 ,249.8,032-325-1112,2019-07-08
유흥주점영업,2002-11-26,궁전,"경기도 부천시 상동로 81 (상동,센타프라자 205호)",경기도 부천시 상동 544-6 센타프라자 205호 ,65.74,032-328-7622,2021-01-12
유흥주점영업,2002-12-07,크크,"경기도 부천시 소향로37번길 31-15 (상동,,10 한림프라자 303호)","경기도 부천시 상동 545-9 ,10 한림프라자 303호 ",336.72,032-328-9006,2019-08-23
유흥주점영업,2002-12-07,10억노래바,"경기도 부천시 소향로37번길 31-15, 302호 (상동, 한림프라자)",경기도 부천시 상동 545-9 한림프라자 302호,288.31,,2020-12-10
유흥주점영업,2002-12-12,티파니노래클럽,"경기도 부천시 부일로 747 (역곡동,지하)",경기도 부천시 역곡동 82-6 지하 ,105.33,032-346-1946,2014-12-18
유흥주점영업,2002-12-16,쌍코피노래클럽,"경기도 부천시 소향로37번길 31-17, 3층 (상동, 유원프라자)",경기도 부천시 상동 545-8 유원프라자 3층 ,216.01,032-329-1129,2016-07-01
유흥주점영업,2002-12-18,일공팔(108),"경기도 부천시 상동로 108 (상동,(303호))",경기도 부천시 상동 535-4 (303호) ,153.51,032-325-0580,2020-04-27
유흥주점영업,2002-12-20,썸노래바,"경기도 부천시 부흥로315번길 49 (중동, 은성프라자 지01호)",경기도 부천시 중동 1124-14 은성프라자 지01호 ,152.6,032-326-4320,2020-05-11
유흥주점영업,2002-08-22,에이스노래마당,경기도 부천시 원종로51번길 13 (원종동),경기도 부천시 원종동 277-4 ,97.1,032-682-0348,2009-11-06
유흥주점영업,2003-01-04,디엔8788(DN8788),"경기도 부천시 소향로13번길 28-6 (상동,(5층))",경기도 부천시 상동 545-1 (5층) ,255.05,032-328-1108,2020-08-12
유흥주점영업,2003-01-30,워킹,"경기도 부천시 상동로 112 (상동, 썬프라자303호)","경기도 부천시 상동 535-3 ,썬프라자 303호 ",82.61,032-321-1642,2011-11-16
유흥주점영업,2003-02-10,뉴경복궁,"경기도 부천시 소향로37번길 31-17, 유원프라자 501호,502호 5층 501,502호 (상동)","경기도 부천시 상동 545-8 유원프라자 501호,502호 ",230,032-325-5460,2018-11-23
유흥주점영업,2003-02-21,별노래바,"경기도 부천시 부일로449번길 11 (심곡동,,지하1층)","경기도 부천시 심곡동 399-1 ,지하1층 ",88.08,032-657-6383,2021-02-16
유흥주점영업,2003-03-07,버킹검멤버쉽,"경기도 부천시 길주로77번길 55-9 (상동,,10 태평양프라자 701호)","경기도 부천시 상동 532-9 ,10 태평양프라자 701호 ",191.03,032-326-0236,2019-02-12
유흥주점영업,2003-03-20,태양유흥주점,"경기도 부천시 부일로432번길 9, 지하1층 (심곡동)",경기도 부천시 심곡동 398-3 지하1층 ,57.67,032-612-8303,2014-09-03
유흥주점영업,2003-04-17,웰컴노래클럽,"경기도 부천시 조마루로297번길 43, 지층 103호 (중동, 서진빌딩)",경기도 부천시 중동 1133-5 서진빌딩 지하 103호 ,143.19,032-323-2063,2019-10-11
유흥주점영업,2003-04-25,홍시노래바,경기도 부천시 장말로372번길 31 (심곡동),경기도 부천시 심곡동 350-3 ,40.9,032-612-2653,2019-10-31
유흥주점영업,2003-05-12,비너스룸크럽,"경기도 부천시 길주로77번길 55-13 (상동,(8층))",경기도 부천시 상동 532-8 (8층) ,219.19,032-328-5474,2007-12-24
유흥주점영업,2003-05-14,메리트나이트크럽,"경기도 부천시 길주로 125, 7,8층 (상동)","경기도 부천시 상동 538-7 7,8층 ","3,518.47",032-625-7392,2019-07-17
유흥주점영업,2003-05-27,팔레스,"경기도 부천시 부흥로315번길 67, 지하1층 (중동, 고산프라자)",경기도 부천시 중동 1127-1 고산프라자 지하1층 ,314.8,032-321-4500,2019-12-23
유흥주점영업,2003-05-28,벤츠,"경기도 부천시 소향로13번길 14-23 (상동, 삼성프라자 7층)",경기도 부천시 상동 545-16 삼성프라자 7층 ,127.53,032-326-3312,2021-02-08
유흥주점영업,2003-06-12,소풍노래바,"경기도 부천시 부흥로315번길 41 (중동,지하1층)",경기도 부천시 중동 1124-12 지하1층 ,96.4,032-322-2221,2018-12-11
유흥주점영업,2003-07-09,올인노래클럽,"경기도 부천시 중동로254번길 61 (중동,지상3층)",경기도 부천시 중동 1142-20 지상3층 ,100.17,032-323-0088,2020-04-23
유흥주점영업,2003-07-18,넝쿨노래바,"경기도 부천시 부일로 759, 지하1층 (역곡동)",경기도 부천시 역곡동 111-12 지하1층 ,83.28,032-344-9315,2012-03-29
유흥주점영업,2003-08-09,부킹음악홀,"경기도 부천시 송내대로73번길 21 (상동,201호)",경기도 부천시 상동 411 201호 ,88.9,032-328-8609,2013-06-28
유흥주점영업,2003-09-02,대월요정,"경기도 부천시 길주로 70, 강산타운 601호 일부호 (상동)",경기도 부천시 상동 548-6 강산타운 601호 일부 ,424.49,032-325-8639,2019-09-24
유흥주점영업,2003-09-05,홍콩노래바,"경기도 부천시 석천로184번길 16 (중동,지하1층)",경기도 부천시 중동 1158-2 지하1층 ,104.58,032-328-0909,2020-01-31
유흥주점영업,2003-09-18,킹노래클럽,"경기도 부천시 중동로254번길 51 (중동,지상3층)",경기도 부천시 중동 1147-8 지상3층 ,75.46,032-326-1065,2003-09-18
유흥주점영업,2003-09-18,무공해,"경기도 부천시 부흥로315번길 55 (중동,지하1층)",경기도 부천시 중동 1127-4 지하1층 ,227.52,032-328-6498,2011-07-27
