업종구분,상호명,소재지도로명주소,소재지지번주소,위도,경도,연락처,데이터기준일
노래연습장업,북한강노래연습장,경기도 양평군 서종면 북한강로 1061,경기도 양평군 서종면 문호리 572-1 ,37.6309507390,127.3579143739,031-774-6689,2021-06-22
노래연습장업,불빛노래연습장,경기도 양평군 양서면 북한강로 8,경기도 양평군 양서면 양수리 1086 ,37.5446221846,127.3204047004,031-775-0207,2021-06-22
노래연습장업,레스몰노래연습장,경기도 양평군 개군면 신내길7번길 48,경기도 양평군 개군면 공세리 295-6 ,37.4683546620,127.5320376250,031-774-3838,2021-06-22
노래연습장업,칠읍산장노래연습장,경기도 양평군 용문면 용문삼성로 344,경기도 양평군 용문면 화전리 1223 ,37.4598860000,127.5924496608,031-774-8269,2021-06-22
노래연습장업,명성노래연습장,경기도 양평군 양평읍 양평시장길27번길 9,경기도 양평군 양평읍 양근리 414-3 ,37.4902348383,127.4901246420,031-775-5288,2021-06-22
노래연습장업,흥날터,경기도 양평군 양평읍 양근로 170-3,경기도 양평군 양평읍 양근리 443-1 ,37.4907935501,127.4886087472,,2021-06-22
노래연습장업,LA노래연습장,경기도 양평군 용문면 용문로 804,경기도 양평군 용문면 광탄리 74-16 ,37.5068201236,127.6307731852,,2021-06-22
노래연습장업,용목노래연습장,경기도 양평군 단월면 석산로 396,경기도 양평군 단월면 향소리 915 ,37.5805564977,127.6418992600,,2021-06-22
노래연습장업,미스트롯 Live 노래연습장,경기도 양평군 서종면 북한강로 641,경기도 양평군 서종면 문호리 952-5 ,37.5955633234,127.3502447103,,2021-06-22
노래연습장업,열린음악회노래연습장,경기도 양평군 양평읍 마유산로 34,경기도 양평군 양평읍 양근리 100-8 ,37.4964270690,127.4883137549,,2021-06-22
노래연습장업,그린노래연습장,경기도 양평군 양평읍 삼산길 130-13,경기도 양평군 양평읍 백안리 17-2 ,37.5092329503,127.5271104851,,2021-06-22
노래연습장업,광탄패밀리노래연습장,경기도 양평군 용문면 용문로 826,경기도 양평군 용문면 광탄리 175-8 ,37.5081698451,127.6328574468,,2021-06-22
노래연습장업,강물노래연습장,경기도 양평군 양평읍 시민로 60,경기도 양평군 양평읍 공흥리 456-67 ,37.4906498667,127.4982014105,,2021-06-22
노래연습장업,스카이노래연습장,경기도 양평군 양평읍 양평시장길 23,경기도 양평군 양평읍 양근리 410-15 ,37.4907577065,127.4910634769,,2021-06-22
노래연습장업,화이트노래연습장,경기도 양평군 옥천면 경강로 1433,경기도 양평군 옥천면 아신리 422-7 ,37.5119179595,127.4441930416,,2021-06-22
노래연습장업,호텔 노래연습장,경기도 양평군 양평읍 해오름길 37,경기도 양평군 양평읍 양근리 443-3 ,37.4904240118,127.4888463562,,2021-06-22
노래연습장업,최신문호노래방,경기도 양평군 서종면 중미산로 8,경기도 양평군 서종면 문호리 394-8 ,37.6037602247,127.3531285483,031-771-3663,2021-06-22
노래연습장업,우짜짜노래방,경기도 양평군 양서면 양수로 159,경기도 양평군 양서면 양수리 559-9 ,37.5445291761,127.3185257705,031-772-9988,2021-06-22
노래연습장업,보진노래방,경기도 양평군 용문면 용문역길 16,경기도 양평군 용문면 다문리 736-5 ,37.4829058534,127.5939145018,031-775-4725,2021-06-22
노래연습장업,용문 노래방,경기도 양평군 용문면 다문북길 115,경기도 양평군 용문면 다문리 353-4 ,37.4881774108,127.5957196612,,2021-06-22
노래연습장업,에이스노래방,경기도 양평군 양평읍 남북로 62,경기도 양평군 양평읍 창대리 649-6 ,37.4882702481,127.5021718807,,2021-06-22
노래연습장업,한강,경기도 양평군 청운면 청운로 1,경기도 양평군 청운면 용두리 633-4 ,37.5547489648,127.7096562425,031-771-0090,2021-06-22
노래연습장업,스타 노래연습장,경기도 양평군 양동면 쌍학새마을1길 5,경기도 양평군 양동면 쌍학리 198-3 ,37.4176680976,127.7559130131,,2021-06-22
노래연습장업,팡팡노래연습장,경기도 양평군 양서면 목왕로 10,경기도 양평군 양서면 용담리 534-9 ,37.5422574437,127.3242817635,,2021-06-22
노래연습장업,차차차 노래연습장,경기도 양평군 개군면 개군로 455,경기도 양평군 개군면 부리 453-47 ,37.4290529684,127.5380000510,,2021-06-22
노래연습장업,즐겨찾기 코인 노래연습장,경기도 양평군 양평읍 양평시장길 22-1,경기도 양평군 양평읍 양근리 409-3 ,37.4908839232,127.4914028253,031-772-6789,2021-06-22
노래연습장업,국수청계산노래연습장,경기도 양평군 양서면 경강로 1027,경기도 양평군 양서면 국수리 328-4 ,37.5118170728,127.4004369747,031-775-1133,2021-06-22
노래연습장업,맘마미아 노래연습장,경기도 양평군 양평읍 시민로 47 지하1층,경기도 양평군 양평읍 양근리 175-1 ,37.4908120868,127.4969344512,,2021-06-22
노래연습장업,최고노래연습장,경기도 양평군 양평읍 양평대교길 3 2층,경기도 양평군 양평읍 양근리 263-3 ,37.4874948182,127.4919687937,,2021-06-22
노래연습장업,불름노래연습장,경기도 양평군 강하면 강남로 316-5,경기도 양평군 강하면 전수리 566-9 ,37.5001950923,127.4196740671,,2021-06-22
노래연습장업,비상노래연습장,경기도 양평군 개군면 하자포길 10 2층,경기도 양평군 개군면 상자포리 404-12 2층 ,37.4240771436,127.5386756595,,2021-06-22
노래연습장업,킹동전노래연습장,경기도 양평군 양평읍 양평시장길27번길 10 1층,경기도 양평군 양평읍 양근리 420-21 1층 ,37.4904150937,127.4899096895,,2021-06-22
노래연습장업,대박동전노래연습장,경기도 양평군 양평읍 양평대교길 10 지하1층,경기도 양평군 양평읍 양근리 269-2 지하1층 ,37.4873054835,127.4913014312,,2021-06-22
노래연습장업,JUNE코인노래연습장,경기도 양평군 양평읍 양평시장길 26-1 2층,경기도 양평군 양평읍 양근리 404-6 ,37.4910551389,127.4908145745,,2021-06-22
노래연습장업,YP코인 노래연습장,경기도 양평군 양평읍 양평시장길17번길 12-2,경기도 양평군 양평읍 양근리 349-3 ,37.4895408595,127.4910636219,,2021-06-22
노래연습장업,백운봉 노래연습장,경기도 양평군 용문면 연수로590번길 11,경기도 양평군 용문면 연수리 336-8 ,37.5259148118,127.5585449381,,2021-06-22
노래연습장업,singer song writer 코인노래연습장,경기도 양평군 양서면 양수로 163-1 2층 202호,경기도 양평군 양서면 양수리 563-8 202호,37.5447084537,127.3178800831,,2021-06-22
