시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
파주시,아눔아트센터,경기도 파주시 문발로 435,031-955-9449,2021-03-05,37.7314385569,126.6913051123
안성시,안성 서일농원,경기도 안성시 일죽면 금일로 332-17,031-673-3171,2021-03-05,37.0813761293,127.4762154612
안성시,안성 서일농원,경기도 안성시 일죽면 금일로 332-17,031-673-3171,2021-03-05,37.0813761293,127.4762154612
광명시,광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902,2021-03-05,37.4246681011,126.8634441855
광명시,광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902,2021-03-05,37.4246681011,126.8634441855
안성시,안성미리내마을,경기도 안성시 양성면 미산1길 2,***-****-****,2021-03-05,37.1385806435,127.2586202624
안성시,인처골마을,경기도 안성시 서운면 인처동길 38-7,031-677-0286,2021-03-05,36.9448445589,127.2724178374
양주시,맹골마을,경기도 양주시 남면 휴암로 443번길 29-6,031-867-6978,2021-03-05,37.8933372945,126.9582066698
양주시,허브힐,경기도 양주시 남면 양연로 305,031-866-7672,2021-03-05,37.9352898917,127.0003909002
안산시,선감어촌체험마을,경기도 안산시 단원구 개건너길 78,032-886-6133,2021-03-05,37.2205707490,126.6299076994
김포시,수안산생태원,경기도 김포시 대곶면 종생로 136번길 145,031-989-4547,2021-03-05,37.6405673276,126.5956310680
광주시,산두른마을,경기도 광주시 도척면 추곡길 38,031-762-0166,2021-03-05,37.2792623532,127.2911780300
광주시,퇴촌식물원,경기도 광주시 퇴촌면 정영로 315,031-766-6517,2021-03-05,37.4672935827,127.3260744945
가평군,물미연꽃마을,경기도 가평군 설악면 미사리로645번길 185-90,031-584-6926,2021-03-05,37.7183469063,127.5226819036
용인시,한터조랑말농장,경기도 용인시 처인구 양지면 대대로 110,031-332-3695,2021-03-05,37.2712094361,127.2652920854
용인시,용인 학일마을,경기도 용인시 처인구 원삼면 학일로 117,031-334-7991,2021-03-05,37.1473766803,127.2858207406
용인시,호박등불마을,경기도 용인시 처인구 모현면 능곡로56번길 7,***-****-****,2021-03-05,37.3364103506,127.1784021314
안성시,구메농사마을,경기도 안성시 죽산면 임꺽정길 51-7,070-7098-3096,2021-03-05,37.0243633355,127.4082382222
여주시,그린투어마을,경기도 여주시 능서면 광대1길 10-1,031-881-5454,2021-03-05,37.2634861108,127.5748296341
안성시,과채류마을,경기도 안성시 미양면 신계 4길 20,031-672-1951,2021-03-05,36.9645891437,127.1765353352
여주시,여주 팜스테이마을,경기도 여주시 금사면 윗범실길 8-3,031-886-5552,2021-03-05,37.4087482769,127.4745981903
양평군,산수유꽃마을,경기도 양평군 개군면 산수유꽃길 88,031-771-5010,2021-03-05,37.4350455588,127.5779503625
양평군,쌍겨리마을,경기도 양평군 단월면 섬이길 274-12,031-771-9382,2021-03-05,37.6293300290,127.5837966902
양평군,그린토피아과수마을,경기도 양평군 양서면 골용진길19번길 2-6,***-****-****,2021-03-05,37.5573074964,127.3286280940
포천시,축석자연농원,경기도 포천시 소흘읍 이동교리 수목원로 1108,031-853-8444,2021-03-05,,
화성시,반석산 에코스쿨,경기도 화성시 남양읍 시청로 159,031-1577-4200,2021-03-05,37.1974905059,126.8302682068
여주시,목아박물관,경기도 여주시 강천면 이문안길 21,031-885-9952,2021-03-05,37.2885092955,127.6881568938
파주시,볼거리나라,경기도 파주시 문산읍 반구정로 36-13,031-945-9119,2021-03-05,37.8671850711,126.7586979516
이천시,세라피아,경기도 이천시 경충대로 2697번길 167-29,031-631-6501,2021-03-05,37.2740690436,127.4259269650
연천군,나룻배마을,경기도 연천군 왕징면 북삼로 98,031-833-5005,2021-03-05,38.0955783769,127.0036924018
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021-03-05,37.9602478421,126.9579203685
양주시,조명박물관,경기도 양주시 광적면 광적로 235-48,070-7780-8911,2021-03-05,37.8361021260,126.9675239549
양주시,송암스페이스센터,경기도 양주시 장흥면 권율로 185번길 103,031-894-6000,2021-03-05,37.7358517438,126.9427525848
안산시,유리섬박물관,경기도 안산시 단원구 부흥로 254,032-885-6262,2021-03-05,37.2197885275,126.6023925616
시흥시,창조자연사박물관,경기도 시흥시 두문로71번길 4,031-435-1009,2021-03-05,37.4337288692,126.7864711205
김포시,다도박물관,경기도 김포시 월곶면 애기봉로 275번길 187-49,031-998-1000,2021-03-05,37.7375369409,126.5744440771
수원시,전통식생활체험관,경기도 수원시 팔달구 정조로 893,031-247-3761,2021-03-05,37.2876448441,127.0144295311
파주시,오두산통일전망대,경기도 파주시 탄현면 필승로 369,031-956-9600,2021-03-05,37.7730255944,126.6771018353
파주시,파주장단콩마을,경기도 파주시 군내면 통일촌길 64,031-953-7600,2021-03-05,37.9107168327,126.7333027437
연천군,선사체험마을,경기도 연천군 전곡읍 양연로 1510,031-839-2206,2021-03-05,38.0156487420,127.0614548913
양주시,청암민속박물관,경기도 양주시 장흥면 권율로 83-5,031-855-5100,2021-03-05,37.7220577433,126.9457721292
용인시,용인시박물관,경기도 용인시 기흥구 동백 3로 79,031-324-4796,2021-03-05,37.2739202462,127.1571468227
수원시,화성행궁,경기도 수원시 팔달구 정조로 825,031-228-4480,2021-03-05,37.2818848306,127.0143988553
여주시,이조도예 체험학습장,경기도 여주시 평장길 55 이조도예,031-885-2108,2021-03-05,37.3206985488,127.6427184839
파주시,파주평화통일체험학습장,경기도 파주시 적성면 달빛길 54,031-959-4215,2021-03-05,37.9784531171,126.9181618044
여주시,농업회사법인 l주l 은아목장,경기도 여주시 가남읍 금당5길 139,031-882-5868,2021-03-05,37.2125461768,127.6203568813
포천시,포천아트밸리 천문과학관,경기도 포천시 신북면 아트밸리로 234,031-538-3488,2021-03-05,37.9234463151,127.2364959881
평택시,웃다리문화촌,경기도 평택시 서탄면 금각리 용소금각로 438-14,031-667-0011,2021-03-05,37.0687394915,127.0081905285
이천시,도립서당,경기도 이천시 백사면 원적로775번길 38-92,031-634-3357,2021-03-05,37.3433945028,127.4621786944
의왕시,참나무와도토리 청계학습장,경기도 의왕시 원터아랫길 11-16 청계천연염색장,031-426-8009,2021-03-05,37.3947986841,127.0160212420
양평군,환경재생조형박물관,경기도 양평군 강상면 강남로 981,031-772-7978,2021-03-05,37.4836000140,127.4834180839
안성시,풍산개마을,경기도 안성시 삼죽면 계곡길 89,031-674-4348,2021-03-05,37.0870703205,127.3813833644
김포시,김포함상공원,경기도 김포시 대곶면 대명항1로110-36,031-980-8300,2021-03-05,37.6406716404,126.5392751662
군포시,누리천문대,경기도 군포시 대야2로 139,031-390-8674,2021-03-05,37.3303101530,126.9153637169
고양시,쥬라리움 일산점,경기도 고양시 덕양구 원당로 458번길 7-42,031-962-4500,2021-03-05,37.6885985946,126.8549796575
용인시,용인농촌테마파크,경기도 용인시 처인구 원삼면 농촌파크로 80-1 농촌테마파크,031-324-4081,2021-03-05,37.1710136889,127.2971196591
수원시,kbs수원센터,경기도 수원시 팔달구 인계로 123,031-219-8081,2021-03-05,37.2700626052,127.0333330914
양평군,양평레일바이크,경기도 양평군 용문면 용문로 277,031-775-9911,2021-03-05,37.4797116187,127.5865474178
화성시,제부리마을,경기도 화성시 서신면 제부리 224,031-357-3808,2021-03-05,37.1717936166,126.6208746916
성남시,국가기록원 나라기록관,경기도 성남시 수정구 대왕판교로 851번길 30,031-750-2000,2021-03-05,37.4175509488,127.0954332891
고양시,증권박물관,경기도 고양시 일산동구 호수로 358-8 한국예탁결제원,031-900-7070,2021-03-05,37.6385382569,126.7860130482
파주시,나라사랑DMZ병영체험장,경기도 파주시 적성면 감악산로 1377-12,031-959-9477,2021-03-05,37.9669850534,126.9221063415
파주시,파주치즈스쿨,경기도 파주시 적성면 윗배우니길 68,031-959-0773,2021-03-05,37.9738745506,126.9480740077
파주시,카트랜드,경기도 파주시 탄현면 필승로 398-30,031-944-1580,2021-03-05,37.7774211594,126.6844795029
용인시,이영미술관,경기도 용인시 기흥구 흥덕4로 63,031-213-8223,2021-03-05,37.2773126413,127.0900943448
용인시,삼성화재교통박물관,경기도 용인시 처인구 포곡읍 애버랜드로 376번길 171,031-320-9900,2021-03-05,37.3003720757,127.2169533071
군포시,비숲,경기도 군포시 둔대로 28,031-438-2191,2021-03-05,37.3257882667,126.8892012725
포천시,낙농체험 밀크스쿨 아트팜,경기도 포천시 영북면 소회산리 119-3,031-536-5216,2021-03-05,38.0825912798,127.2461821124
광주시,지월농원,경기도 광주시 초월읍 현산안길 7-69,031-797-0050,2021-03-05,37.4027575318,127.2888246237
광주시,곤지암베리팜,경기도 광주시 곤지암읍 연곡리 135,031-762-1474,2021-03-05,37.3718439902,127.3915798761
광주시,물환경전시관/전망대,경기도 광주시 남종면 산수로 1692,031-8008-6937,2021-03-05,37.4995894490,127.3030107656
오산시,서랑동 문화마을,경기도 오산시 서랑로105번길 29-5 일대,031-8036-7582,2021-03-05,37.1737741507,127.0064404314
수원시,예절교육관,경기도 수원시 팔달구 정조로 893,031-247-5611,2021-03-05,37.2876448441,127.0144295311
안성시,용설호문화마을,경기도 안성시 죽산면 용설호수길 187,031-676-5518,2021-03-05,37.0533226699,127.4460377135
안성시,안성맞춤천문과학관,경기도 안성시 보개면 남사당로 198-9,031-675-6975,2021-03-05,37.0329225641,127.3125317964
안성시,안성천문대,경기도 안성시 미양면 천문대길 60,031-677-2245,2021-03-05,36.9555638558,127.2339036916
군포시,물누리체험관,경기도 군포시 호수로 170-85,,2021-03-05,37.3213619063,126.8996545242
화성시,진주목장,경기도 화성시 비봉면 일묵동길 24,031-356-0073,2021-03-05,37.2412770773,126.8793309596
화성시,전곡리마을,경기도 화성시 서신면 전곡항로14번길 1-16,031-356-8862,2021-03-05,,
화성시,국화리마을,경기도 화성시 우정읍 국화길 8,031-356-9940,2021-03-05,37.0610867474,126.5589943094
화성시,상두리마을,경기도 화성시 향남읍 솔태상두길 141,***-****-****,2021-03-05,37.1076881476,126.9464541506
화성시,금당 엄나무마을,경기도 화성시 마도면 금당복길 70,031-356-5470,2021-03-05,37.1917500470,126.7422327557
화성시,장전 노루마을,경기도 화성시 남양읍 장전길 58,031-357-7630,2021-03-05,37.2647560179,126.8229964026
연천군,드라마미술전시장(3월오픈예정),경기도 연천군 군남면 옥계안길 24-41,031-834-7310,2021-03-05,38.1208994786,127.0472157173
광주시,경기도자박물관,경기도 광주시 곤지암읍 경충대로 727,031-799-1500,2021-03-05,37.3502799730,127.3347904394
양평군,광이원,경기도 양평군 용문면 용문산로 120-11,031-774-4700,2021-03-05,37.5074402621,127.6055427000
이천시,꾸메숲버섯나라,경기도 이천시 모가면 서경리 150-1,507-1452-3427,2021-03-05,37.1573950701,127.4861003998
파주시,DMZ해마루촌,경기도 파주시 진동면 해마루길 111,***-****-****,2021-03-05,37.9259174697,126.7871458509
파주시,모산목장,경기도 파주시 탄현면 검산로519번길 6-36,031-946-8026,2021-03-05,37.8015656665,126.7243229041
이천시,노성산정거장마을,경기도 이천시 설성면 수산리 383-1,031-641-5600,2021-03-05,37.1403969136,127.4981250926
포천시,교동장독대마을,경기도 포천시 관인면 신교동로 148-11,031-534-5211,2021-03-05,38.1033659522,127.2191985374
연천군,연천푸르내마을,경기도 연천군 청산면 청연로 30-62,031-833-5299,2021-03-05,38.0347537966,127.1067279806
양평군,유기농마을,경기도 양평군 옥천면 하사천길 14,070-8839-6250,2021-03-05,37.5273436129,127.4858416935
양평군,양평보릿고개마을,경기도 양평군 용문면 연안길 32-1,031-774-7786,2021-03-05,37.5267808397,127.5570743361
여주시,여주서화마을,경기도 여주시 북내면 서원2길 38,070-7722-0330,2021-03-05,37.3993199114,127.6974722319
양주시,행원도예,경기도 양주시 장흥면 가마골로 80,031-826-0421,2021-03-05,37.7251830892,126.9768410590
고양시,중남미문화원,경기도 고양시 덕양구 대양로285번길 33-15,031-962-7171,2021-03-05,37.7039998399,126.8953565313
이천시,신둔초전통도예체험학습장,경기도 이천시 신둔면 경충대로 3150번길 82-3,031-632-7006,2021-03-05,37.3102891098,127.4035245845
파주시,파주장단콩마을,경기도 파주시 군내면 통일촌길 64,031-953-7600,2021-03-05,37.9107168327,126.7333027437
파주시,이시대의좋은소리,경기도 파주시 광탄면 쇠장이길 21,031-948-2072,2021-03-05,37.7764664847,126.9079276159
파주시,쇠꼴마을,경기도 파주시 법원읍 금곡리 420-3,031-959-0123,2021-03-05,37.8825784752,126.8731953130
파주시,파주나비나라박물관,경기도 파주시 광인사길 161,031-955-3727,2021-03-05,37.7148512105,126.6869017454
화성시,발리오스 승마클럽,경기도 화성시 팔탄면 3.1만세로 641-28,031-373-8254,2021-03-05,37.1165487427,126.8604049669
화성시,말달리자 승마클럽,경기도 화성시 매송면 원평리 48-5번지,031-298-2588,2021-03-05,37.2477707296,126.9283938006
안성시,서일농원,경기도 안성시 일죽면 금일로 332-17,031-673-3171,2021-03-05,37.0813761293,127.4762154612
화성시,전곡항 요트,경기도 화성시 서신면 전곡항로 5,031-357-5249,2021-03-05,37.1856153932,126.6510722718
포천시,허브아일랜드,경기도 포천시 신북면 청신로947번길 35,031-535-6494,2021-03-05,37.9659224212,127.1317087763
평택시,바람새마을,경기도 평택시 고덕면 새악길 43-62,***-****-****,2021-03-05,37.0133236514,127.0201596260
