시군명,업체명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
가평군,산울림한옥펜션,경기도 가평군 가평읍 태봉두밀로406번길 153-72,***-****-****,2021-03-05,37.8235471067,127.4432547280
안성시,안성한옥펜션,경기도 안성시 금광면 석하양지편길 69,***-****-****,2021-03-05,36.9583094447,127.3120633515
성남시,천상,경기도 성남시 분당구 석운로204번길 10,031-713-8475,2021-03-05,37.3810011518,127.0462123977
고양시,북한산 한옥펜션,경기도 고양시 덕양구 중고개길 75,02-386-5397,2021-03-05,37.6584460861,126.9333321118
양평군,장수마을한옥민박,경기도 양평군 강하면 강하1로 194,***-****-****,2021-03-05,37.4708379314,127.3969742271
양평군,뜰과 한옥농장,경기도 양평군 강하면 강하2로 269-42,031-772-1709,2021-03-05,37.4771925993,127.4202981261
가평군,장락원,경기도 가평군 설악면 미사리로 914,031-584-7279,2021-03-05,37.7273233291,127.5532901384
남양주시,수안채,경기도 남양주시 수동면 비룡로 1438-109,***-****-****,2021-03-05,37.7482410061,127.2761664084
파주시,우연심,경기도 파주시 광탄면 소령원길 92,070-4307-1754,2021-03-05,37.7755783507,126.9051753861
양평군,처가집펜션,경기도 양평군 강하면 전의1길 43-9,031-774-3708,2021-03-05,37.5014927835,127.4337582463
양평군,황토기와펜션,경기도 양평군 서종면 화서로 955,***-****-****,2021-03-05,37.6238415822,127.4491183219
수원시,미가 게스트하우스,경기도 수원시 팔달구 중부대로87번길 20,***-****-****,2021-03-05,37.2774256193,127.0261812469
이천시,에덴파라다이스호텔,경기도 이천시 마장면 서이천로 449-79,031-645-9100,2021-03-05,37.2617680332,127.3944064186
화성시,스타즈호텔,경기도 화성시 석우동 34-8,031-613-3319,2021-03-05,37.2182224268,127.0788162397
가평군,포시즌밸리,경기도 가평군 북면 백둔로 389,***-****-****,2021-03-05,37.9015642932,127.4658304909
가평군,청평힐리조트,경기도 가평군 청평면 북한강로 1841-12,031-584-8777,2021-03-05,37.6817353397,127.3855236865
가평군,가평 더스포랜드(The Sopland),경기도 가평군 청평면 고재길 325,031-584-3121,2021-03-05,37.7080730639,127.5138750188
파주시,파주감악산펜션,경기도 파주시 적성면 구읍리 615-8 파주시 적성면 청송로 1066번길 29,031-958-9092,2021-03-05,37.9553580315,126.9246387401
가평군,오버 더 마운틴(OVER THE MOUNTAIN),경기도 가평군 상면 수목원로386번길,031-585-7575,2021-03-05,,
안산시,한양대학교게스트하우스,경기도 안산시 상록구 한양대학로 55,031-436-8014,2021-03-05,37.2969548605,126.8327721827
수원시,뉴욕호텔,경기도 수원시 권선구 서부로1934번길 48,031-296-0021,2021-03-05,37.2819192605,126.9719157318
이천시,이즈호텔,경기도 이천시 이섭대천로 1229,031-637-8611,2021-03-05,37.2801285355,127.4465192071
파주시,팔레스오브드림호텔,경기도 파주시 광탄면 보광로600번길 44,031-949-5120,2021-03-05,37.7600213645,126.9086944780
수원시,테마모텔,경기도 수원시 장안구 파장천로 15,031-271-6926,2021-03-05,37.3071745074,126.9942402746
용인시,Q호텔,경기도 용인시 처인구 포곡읍 전대로110번길 10-3,031-339-8881,2021-03-05,37.2869660436,127.2159994772
연천군,초성모텔,경기도 연천군 청산면 청신로 97,031-835-2610,2021-03-05,37.9833936640,127.0692763692
김포시,라인호텔,경기도 김포시 통진읍 김포대로 2337,031-996-8056,2021-03-05,37.6946523020,126.5882483286
가평군,아이리스 호텔,경기도 가평군 가평읍 북한강변로 1027-11,031-581-0058,2021-03-05,37.8041528545,127.5244234387
부천시,로잔 호텔,경기도 부천시 원미구 석천로170번길 15,032-327-1484,2021-03-05,37.5027045850,126.7636517460
수원시,에이플러스호텔,경기도 수원시 팔달구 인계로108번길 27-14,031-237-0159,2021-03-05,37.2662533244,127.0296911443
수원시,필드호텔,경기도 수원시 팔달구 인계로108번길 27-18,031-223-3370,2021-03-05,37.2661734102,127.0299961556
화성시,SS라르고,경기도 화성시 큰재봉길 31-13,031-613-1758,2021-03-05,37.2181942225,127.0784895322
고양시,아바타호텔,경기도 고양시 일산서구 산현로17번길 7-30,031-919-6761,2021-03-05,37.6899509351,126.7627682492
가평군,두메산골 펜션,경기도 가평군 상면 수목원로 417-32,***-****-****,2021-03-05,37.7438743596,127.3538850152
시흥시,연호텔,경기도 시흥시 월곶중앙로 58,031-432-1000,2021-03-05,37.3889417408,126.7390098298
수원시,수원호텔꼬모,경기도 수원시 팔달구 효원로219번길 46-14,031-233-8966,2021-03-05,37.2649288348,127.0275678157
파주시,호텔위즈,경기도 파주시 탄현면 성동로 20-45,031-1577-0312,2021-03-05,37.7764788795,126.6876806658
가평군,카사블랑카,경기도 가평군 청평면 북한강로 1857,031-584-6109,2021-03-05,37.6837454859,127.3856907172
화성시,루나호텔,경기도 화성시 동탄중심상가1길 31,031-8015-0864,2021-03-05,37.2011354005,127.0722739676
여주시,하이텔모텔,경기도 여주시 강변북로 69,031-884-3677,2021-03-05,37.3026711984,127.6422669082
파주시,위너스호텔,경기도 파주시 지목로 57,031-943-6630,2021-03-05,37.7263701571,126.6974538634
수원시,굿세븐호텔,경기도 수원시 팔달구 경수대로466번길 54,031-225-2761,2021-03-05,37.2667326190,127.0300829072
포천시,물꼬방펜션,경기도 포천시 소흘읍 고모루성길 256,031-544-1695,2021-03-05,37.7958283631,127.1586336953
안성시,산삼꽃피는마을펜션,경기도 안성시 죽산면 겨티길 104,***-****-****,2021-03-05,37.0502368544,127.4617510904
양주시,수경당펜션,경기도 양주시 백석읍 권율로 883-1,031-871-3320,2021-03-05,37.7770669248,126.9577732004
가평군,사랑채펜션,경기도 가평군 북면 화악산로 1182,***-****-****,2021-03-05,37.9560674269,127.5286740121
양평군,행복한흙집펜션,경기도 양평군 서종면 삼태봉길 57,031-774-1515,2021-03-05,37.6190751994,127.4533482217
수원시,한옥 신풍재,경기도 수원시 팔달구 화서문로42번길 34,031-242-5897,2021-03-05,37.2839274606,127.0135396593
포천시,춘화원한옥펜션,경기도 포천시 일동면 기산리 1-65,031-534-3833,2021-03-05,37.9361886728,127.3486789980
양평군,천년초한옥펜션,경기도 양평군 서종면 서차남3길 34-10,***-****-****,2021-03-05,37.5669750205,127.4168847471
용인시,예직한옥펜션,경기도 용인시 처인구 예직로 24-28,***-****-****,2021-03-05,37.1889859721,127.2577163074
양평군,한옥펜션연가,경기도 양평군 서종면 수대울길 180,***-****-****,2021-03-05,37.5815207937,127.3579743879
수원시,한옥노아재,경기도 수원시 팔달구 화서문로42번길 36,031-245-2456,2021-03-05,37.2838467548,127.0136417073
가평군,담담담 한옥펜션,경기도 가평군 조종면 운악청계로368번길 188-40,031-584-4661,2021-03-05,,
양주시,펜션 아트시티2,경기도 양주시 장흥면 권율로309번길 33 펜션 아트시티2,031-855-0282,2021-03-05,37.7403995983,126.9534894928
가평군,어반힐스 펜션,경기도 가평군 상면 수목원로 424-43 어반힐스 펜션,***-****-****,2021-03-05,37.7443572226,127.3508080616
가평군,가평 하이랜드,경기도 가평군 북면 가화로 2369-19,031-581-2256,2021-03-05,37.9525444767,127.4763698847
고양시,리치호텔(DESIGNERS HOTEL THE RICH),경기도 고양시 일산서구 강성로 249(대화동),031-917-0803,2021-03-05,37.6762103818,126.7492055803
안산시,힐하우스호텔,경기도 안산시 상록구 석호로3안길 52,031-417-6800,2021-03-05,37.2937885186,126.8718483293
부천시,쥴리엣,경기도 부천시 원미구 원미로13번길 42,032-613-5442,2021-03-05,37.4843591472,126.7866685303
화성시,호텔코지,경기도 화성시 동탄중심상가1길 27,031-613-6818,2021-03-05,37.2011454311,127.0725556271
고양시,사이버호텔,경기도 고양시 덕양구 무원로6번길 35,031-974-0008,2021-03-05,37.6140280343,126.8332465000
시흥시,문모텔,경기도 시흥시 월곶중앙로 58번길 23,031-318-1030,2021-03-05,37.3906535583,126.7402916543
안성시,안성 호텔 수,경기도 안성시 금광면 삼흥로 102,031-671-0147,2021-03-05,36.9999819825,127.3355064591
양평군,양평밸리,경기도 양평군 양평읍 백안길60번길 14,031-774-3000,2021-03-05,37.4961646313,127.5195600502
파주시,칼튼호텔,경기도 파주시 탄현면 성동로 34,031-942-3955,2021-03-05,37.7774433558,126.6876928223
수원시,엠모텔,경기도 수원시 팔달구 효원로291번길 22,031-225-2347,2021-03-05,37.2622961497,127.0342381230
의정부시,S모텔,경기도 의정부시 시민로122번길 9-25,031-826-2077,2021-03-05,37.7377499558,127.0494459666
오산시,스티플모텔,경기도 오산시 대원로38번길 15,031-377-5904,2021-03-05,37.1449526867,127.0728720525
시흥시,G모텔,경기도 시흥시 월곶중앙로58번길 30,031-318-5250,2021-03-05,37.3910183599,126.7409544855
수원시,그랜드모텔,경기도 수원시 권선구 권선로683번길 22,031-234-7131,2021-03-05,37.2603010118,127.0266494174
시흥시,체스모텔,경기도 시흥시 월곶중앙로14번길 42,031-318-3741,2021-03-05,37.3903395592,126.7433336421

