구별,동별,업종구분,사업장명,소재지지번주소,소재지도로명주소,소재지전화번호,소재지면적,놀이기구(시설) 종류,데이터기준일자
분당구,구미동,기타유원시설업,(주)퐁퐁플라워에이치앤엠컴퍼니,"경기도 성남시 분당구 구미동 30, B101호","경기도 성남시 분당구 미금일로90번길 32, B101호 (구미동)",031-718-4488,,,2021-05-31
분당구,서현동,기타유원시설업,고고씽,"경기도 성남시 분당구 서현동 99-3, 4층","경기도 성남시 분당구 새마을로 10, 4층 (서현동, 그린골프프라자)",031-703-2022,,,2021-05-31
분당구,수내동,기타유원시설업,꼬물상,"경기도 성남시 분당구 수내동 83-1, 동한프라자 3층","경기도 성남시 분당구 돌마로366번길 42, 동한프라자 3층 (수내동)",031-716-5709,,,2021-05-31
분당구,야탑동,기타유원시설업,노리파크 분당야탑점,"경기도 성남시 분당구 야탑동 175-4, 다주빌딩 4층","경기도 성남시 분당구 야탑로 251, 다주빌딩 4층 (야탑동)",,,,2021-05-31
분당구,정자동,기타유원시설업,다온(뽀로로미디어파크 분당정자점),"경기도 성남시 분당구 정자동 16-1, B01호","경기도 성남시 분당구 느티로 2, 지하1층 B01호 (정자동, AK와이즈플레이스)",031-711-0808,,,2021-05-31
분당구,분당동,기타유원시설업,도담도담 키즈카페,"경기도 성남시 분당구 분당동 90-1, 201호","경기도 성남시 분당구 장안로 39, 201호 (분당동, 한일빌딩)",031-8016-4481,,,2021-05-31
분당구,수내동,기타유원시설업,벙커 키즈,"경기도 성남시 분당구 수내동 63-2, 동신코아빌딩 3층","경기도 성남시 분당구 돌마로 361, 동신코아빌딩 3층 (수내동)",,,,2021-05-31
분당구,정자동,기타유원시설업,봄날의 곰,"경기도 성남시 분당구 정자동 130-2, 대명빌딩 5층","경기도 성남시 분당구 정자로76번길 7, 대명빌딩 5층 (정자동)",,,,2021-05-31
분당구,야탑동,기타유원시설업,브레인핑거,"경기도 성남시 분당구 야탑동 291-5, 성우오피스빌딩 지하1층 ","경기도 성남시 분당구 매화로 38, 지하1층 (야탑동, 성우오피스빌딩)",031-708-8333,,,2021-05-31
분당구,야탑동,기타유원시설업,유후점핑클럽,"경기도 성남시 분당구 야탑동 272-4, 성산빌딩 301호","경기도 성남시 분당구 벌말로40번길 3, 301호 (야탑동, 성산빌딩)",031-703-8588,,,2021-05-31
분당구,구미동,기타유원시설업,유후점핑클럽 분당구미점,"경기도 성남시 분당구 구미동 204-1, 5층","경기도 성남시 분당구 미금로 43, 5층 (구미동)",,,,2021-05-31
분당구,서현동,기타유원시설업,점프앤플레이,"경기도 성남시 분당구 서현동 90, 207호","경기도 성남시 분당구 중앙공원로 35, 2층 207호 (서현동, 올림픽스포츠센터)",,,,2021-05-31
분당구,백현동,기타유원시설업,크레빌 플러스,"경기도 성남시 분당구 백현동 541, 현대백화점 판교점 7층","경기도 성남시 분당구 판교역로146번길 20, 현대백화점 판교점 7층 (백현동)",,,,2021-05-31
분당구,야탑동,기타유원시설업,키즈파크(키즈정글인)1호점,"경기도 성남시 분당구 야탑동 357-1, NC백화점 5층","경기도 성남시 분당구 야탑로81번길 11, 5층 (야탑동)",,,,2021-05-31
분당구,구미동,기타유원시설업,키즈파크(키즈정글인)2호점,"경기도 성남시 분당구 구미동 11-4, 2001아울렛 5층","경기도 성남시 분당구 미금일로154번길 20, 5층 (구미동)",,,,2021-05-31
분당구,야탑동,기타유원시설업,킹콩 점프,경기도 성남시 분당구 야탑동 513-1 ,경기도 성남시 분당구 야탑로 94 (야탑동),,,,2021-05-31
분당구,수내동,기타유원시설업,플라잉파크,"경기도 성남시 분당구 수내동 58-5 한올빌딩, 지하1층 ","경기도 성남시 분당구 내정로174번길 6, 지하1층 (수내동, 한올빌딩)",031-712-7121,,,2021-05-31
분당구,이매동,기타유원시설업,플레이영,"경기도 성남시 분당구 이매동 131-6, 우일프라자빌딩 501,502,503호","경기도 성남시 분당구 판교로 442, 우일프라자 501,502,503호 (이매동)",031-705-2585,,,2021-05-31
