,name,소개,상세 정보,이용 시간,요금 정보,장소 특성,주요목적,주요목적 기타,평균 소요 시간,경사도(난이도),편의시설,기타 상세,장애인 시설정보,장애인 활동 보조 필요성,부대시설,숙박 업종,대표 메뉴 상세,금연여부,등급,룸개수,셔틀버스 운행 여부,애완동물동반허용여부,조식제공 여부,예약 가능 여부,노키즈존,대표 메뉴,방 보유,유아 서비스,유아 서비스 상세,부대시설 기타,Late체크인여부,공항교통편,장애인전용객실여부,유아 서비스 기타,취급품목,취급품목 기타,택배배송여부
10,오설록티뮤지엄,"제주녹차문화의 중심, 차박물관과 카페테리아, 2016 KOREAT JEJU TOP 30 선정",연중무류,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",무료,실외,포토스팟,,1시간 미만,중,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터",,,,,,,,,,,,,,,,,,,,,,,,,,
11,한라산국립공원,"한반도 3대 영산 중 하나, 유네스코가 지정한 · 세계생물권보존지역 · 세계자연유산 · 세계지질공원",계절과 기후변화에 따른 입산 통제구간은 홈페이지 참고,,"무료,주차료 있음",,,,,,"공용주차장,화장실,편의점,음료대","UNESCO 생물권보전지역,UNESCO 세계자연유산,UNESCO 세계지질공원",,,,,,,,,,,,,,,,,,,,,,,,,
12,제주4.3평화공원,반드시 기억해야 할 우리 제주의 역사가 담긴 제주 4.3 평화공원,"매월 첫째, 셋째 월요일 휴관 / 입장마감 17시","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,"공용주차장,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,엘리베이터",,,,,,,,,,,,,,,,,,,,,,,,,,
13,에코랜드 테마파크,"기차를 타고 감상하는 곶자왈, 원시림 테마공원",동절기 8시 40분~17시,"평일 : 08:40 ~ 17:00 , 주말 : 08:40 ~ 17:00","유료,성인 14.000원 / 청소년 12.000원 / 어린이 10.000원 / 경로, 장애인 외 10.000원",실외,"체험,포토스팟,공연/전시,기타",,1~2시간,상,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설",,,,,,,,,,,,,,,,,,,,,,,,,,
14,용눈이오름,"능선의 아름다움을 뽐내는 오름, 김영갑 작가가 사랑한 오름 2021년 2월 1일 ~ 2023년 1월 31일까지 2년간 자연휴식년제 도입, 전면출입통제 추진 예정임",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,비자림,천년의 세월이 녹아든 신비로움 가득한 비자림은 500~800년생 비자나무들이 자생하는 세계적으로도 희귀한 장소다. 벼락 맞은 나무부터 긴 세월이 느껴지는 아름드리 나무까지 다양한 비자나무를 만날 수 있다.,"17:00 입장마감, 연중무휴, 애완동물 또는 음식물 일체 반입 금지","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,일반 입장료 : 3.000원 / 장애인 할인 입장료 : 무료",실외,기타,산책로,2~3시간,중,"공용주차장,현금결제,카드결제,화장실,무료 WIFI",,,,,,,,,,,,,,,,,,,,,,,,,,
16,천지연폭포,"하늘과 땅이 만나서 이룬 연못, · 천연기념물 제163호 · 천연기념물 제27호 · 올레6코스",9:00 ~ 22:00(매표마감 21:20) '18년 7월부터 시행,"평일 : 09:00 ~ 21:20 , 주말 : 09:00 ~ 21:20","유료,성인 2.000원 / 어린이,청소년 1.000원 / 장애인 무료",실외,,,1시간 미만,중,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",UNESCO 세계지질공원,,,,,,,,,,,,,,,,,,,,,,,,,
17,세화해변,인생 사진을 남길 수 있는 인생 바다,,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
18,우도산호해변 홍조단괴 서빈백사,"세계적으로 드문 홍조단괴로 이뤄진 해변, 천연기념물 438호, 우도8경",,,,,,,,,"공용주차장,화장실,편의점,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
19,광치기해변,성산일출봉과 독특한 해안지형이 어우러져 이색적인 풍광을 간직한 곳,,,,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
20,김녕해수욕장,너럭바위 위에 생긴 김녕해수욕장,김녕 종합상황실: 064-728-3987~8(해수욕장 개장기간 2018.06.23~09.02 동안 운영),,,,,,,,"공용주차장,화장실,흡연구역,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
21,아쿠아플라넷 제주,450여종의 바다생명체가 있는 아시아 최대 수족관,"연중무휴(09:30~19:00), 매표마감 : 17:50, 입장마감 : 18:30","평일 : 09:30 ~ 19:00 , 주말 : 09:30 ~ 19:00","유료,요금(풀패키지권 기준), 성인(만 19세 이상) 38,400원, 청소년(중고생), 경로(만 65세 이상) 36,700원, 어린이(초등학생 이하) 34,900원",실내,공연/전시,,2~3시간,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터",,,,,,,,,,,,,,,,,,,,,,,,,,
22,송악산,서남부의 절경을 선사하는 산방산의 이웃산,,"평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00",무료,실외,등산,,1~2시간,상,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
23,쇠소깍,제주 올레 5코스의 끝이자 6코스의 시작인 바닷물과 민물이 만나는 비밀스런 계곡,,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",UNESCO 생물권보전지역,,,,,,,,,,,,,,,,,,,,,,,,,
24,금능해수욕장,"제주시 한림읍에 위치한 금능해수욕장은 서쪽의 인기 명소인 협재해수욕장과 바로 이어져 있다. 파란 물감을 풀어놓은 것 같은 바다부터 생김새가 귀여운 비양도, 촉감이 보슬거리는 모래사장까지 이웃한 해변과 비슷한 풍경을 품고 있지만 그보다 사람이 붐비지 않아 여유로운 것이 매력이다.",금능 종합상황실: 064-728-3983(해수욕장 개장기간 2018.06.23~09.02 동안 운영),,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
25,마라도(마라해양도립공원),"난대성 해양 동식물이 풍부하고 경관이 아름다운 유인도 중에 국토 최남단인 섬, 천연기념물 제423호",,,,,,,,,"화장실,편의점",,,,,,,,,,,,,,,,,,,,,,,,,,
26,애월해안도로,"도보, 자전거, 자동차 뭐든 좋은 서부해안도로",,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
27,곽지해수욕장,시원한 용천수를 뿜어내는 노천탕이 있는 곳,곽지 종합상황실: 064-728-3985~6(해수욕장 개장기간 2018.06.23~09.02 동안 운영),,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
28,용머리해안,시간이 보여주는 위대함 속으로 · 천연기념물 제526호 · 올레10코스,연중무휴/이용시간은 일출·일몰시간에 따라 변경될 수 있음 (만조 및 기상악화 시 통제) 관람당일 입장통제 시간 미리 확인필요(064-794-2940),"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,"공용주차장,화장실,유도 및 안내시설",UNESCO 세계지질공원,,,,,,,,,,,,,,,,,,,,,,,,,
29,한라산영실코스,"가장 짧지만 가장 아름다운, 한라산 등산코스",기상상황에 따라 입산통제될 수 있으니 확인 필요,"평일 : 06:00 ~ 18:00 , 주말 : ~",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,정방폭포,높은곳에서 바다로 떨어지는 물줄기의 시원함 · 명승 제43호 · 올레6코스,연중무휴/이용시간은 일출·일몰시간에 따라 변경될 수 있음,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,어른 2.000원 / 청소년 1.000원 / 장애인 경로인 경우 무료",실외,"포토스팟,기타",전망 관람,1시간 미만,상,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
31,용두암,용이 승천하려다 뜻을 이루지 못했다는 전설을 담고 있는 곳 · 제주도기념물 제57호 · 올레17코스,,"평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00","무료,주차요금 별도",실외,"기타,포토스팟",전망 관람,1시간 미만,상,"공용주차장,화장실,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
32,제주절물자연휴양림,삼나무 숲에서 즐기는 산림욕,"연중무휴, 입장시간 하절기 : 3월-10월 07시~18시까지 입장가능 / 동절기 : 11월-2월 07시~17시까지 입장가능","평일 : 07:00 ~ 17:00 , 주말 : 07:00 ~ 17:00","유료,장애인 입장료 및 주차무료",실외,"기타,등산","산책로, 휴양림",1~2시간,상,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
33,산방산,설문대할망이 한라산 꼭대기를 뽑아 던져놓았다는 산방산 · 명승 제77호 · 천연기념물 제376호 · 올레10코스,연중무휴/이용시간은 일출·일몰시간에 따라 변경될 수 있음,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
34,다랑쉬오름(월랑봉),4계절 색채가 뚜렷한 오름의 여왕,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,한림공원,10만 평 대지 위에 펼쳐지는 환상적인 10가지 테마파크.,"3월~8월 8:30~5:30, 9월~10월 8:30~5:00, 11월~2월 9:00~4:30","평일 : 08:30 ~ 17:30 , 주말 : 08:30 ~ 17:30","유료,개인: 일반 12,000원 경로 10,000원 청소년 8,000원 어린이 7,000원 / 단체: 일반 10,000원 경로 9,000원 청소년 6,000원 어린이 5,500원",실외,"포토스팟,기타",,1~2시간,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
36,"더럭초등학교(구, 더럭분교)","알록달록 조용한 애월의 작은 초등학교(구, 분교)",평일 18시 이후/토요일 13시 이후/공휴일 9시 이후,"평일 : 18:00 ~ , 주말 : 09:00 ~",,,,,,,화장실,,,,,,,,,,,,,,,,,,,,,,,,,,
37,외돌개,"바다위에 홀로 우뚝, 우직한 외돌개 · 명승 제79호 · 올레7코스",연중무휴,,,,,,,,"공용주차장,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
38,천제연폭포,칠선녀가 목욕을 하다 간다는 전설이 있는 폭포 · 서귀포시 중문동 · 천연기념물 제378호 · 올레8코스,폐장시간은 일몰시간에 따라 변경될수 있음,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,"공용주차장,현금결제,카드결제,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
39,방주교회,건축가 이타미 준이 설계한 노아의 방주를 본 따 만든 성전 건축물,외부 개방시간 9:00~18:00,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,"공용주차장,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
40,가파도,돌담과 바다가 어우러지면서 아름다운 풍경을 자아내는 가파도 청보리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,이호테우말등대,"이호테우해변의 랜드마크, 말등대",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,중문색달해수욕장,"제주올레 8코스, 여유롭고 이국적인 해수욕장",요금입장료 무료 / 주차가능대수: 152대 / 샤워실 탈의실 화장실 급수대 매점 야영장,"평일 : 10:00 ~ 19:00 , 주말 : 10:00 ~ 19:00",,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
43,신창~차귀해안도로,붉은 낙조에 물든 해안을 볼수 있는 제주 일몰명소,,,,,,,,,"화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
44,제주김녕미로공원,사계절 푸르른 랠란디나무로 이루어진 우리나라 최초의 미로공원,봄(3~6월) 9시~18시 30분 여름(7~8월) 9시~19시(야간개장시 22시) 가을(9~11월) 9시~18시 겨울(12~2월) 9시~ 17시 30분 입장마감시간 18시까지(계절에 따라 마감시간이 다르니 전화문의바랍니다.),"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,장애인 할인 입장료 3.800원",실외,"포토스팟,기타",산책로,1시간 미만,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
45,비양도,천 년의 시간을 간직한 섬 · 천연기념물 제439호 · 제주도기념물 제48호 · 올레15코스,연중무휴,,,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설",UNESCO 세계지질공원,,,,,,,,,,,,,,,,,,,,,,,,,
46,성이시돌목장,아름다운 풍경이 있는 목장,,,,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
47,휴애리 자연생활공원,자연속 동·식물들과 교감이 있는 체험형 자연생활공원,"연중무휴 / 입장마감 : 하절기(4월~10월) 17:30, 동절기(11월~3월) 16:30 / 감귤체험 이용시 17:00까지 입장해야 체험가능","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,장애인 할인 입장료 : 6.500원",실내+실외,"체험,공연/전시,포토스팟",,1~2시간,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
48,주상절리대(중문대포해안),자연의 신비가 주는 웅장함에 압도되다,연중무휴/이용시간은 일출·일몰시간에 따라 변경될 수 있음/주상절리 2매표소 출입구 폐쇄,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,성인 2.000원 / 어린이, 청소년 1.000원 / 장애인 무료",실외,"공연/전시,기타",전망 관람,1시간 미만,중,"공용주차장,현금결제,카드결제,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
49,검멀레해변,검은모래가 매력적인 우도에서 빠질 수 없는 명소,,,,,,,,,편의점,,,,,,,,,,,,,,,,,,,,,,,,,,
50,애월한담해안산책로,해안선을 따라 걷는 구불구불 해안길.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,황우지해안,선녀가 물놀이 했다는 전설이 있는 자연형성 풀장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,만장굴,"세계적인 규모의 용암동굴, 유네스코 지정 세계자연유산","매월 첫째주 수요일 휴무, 17:00 입장마감, 반려동물반입불가","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대",UNESCO 세계지질공원,,,,,,,,,,,,,,,,,,,,,,,,,
53,노리매공원,"자연속에서 현대적 감성을 즐길수 있는, 매화 테마공원",,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,일반 9.000원 / 장애인 6.000원 (동반할인 1급 1명)",실내+실외,포토스팟,,1~2시간,하,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
54,백약이오름,"하늘로 향하는 길, 백약이오름",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,보롬왓,아름다운 꽃을 배경으로 사진 찍을 수 있는 곳이다.,,"평일 : 08:30 ~ 18:30 , 주말 : 08:30 ~ 18:30","유료,Kokedama making: 10,000 won, kite flying: 5,000 won, can train: 5,000 won",,,,,,"공용주차장,무료 WIFI",,,,,,,,,,,,,,,,,,,,,,,,,,
56,관덕정,국가지정 보물 제 322호로 제주에 현존하는 건물 중 가장 오래된 건물 · 제주시 삼도2동 · 보물 제322호 · 올레17코스 · 4·3 유적지,연중무휴,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,"공용주차장,화장실,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
57,메이즈랜드,"돌, 바람, 여자, 제주의 삼다를 녹인 미로공원",공원 사정과 계절마다 변경 (홈페이지 및 전화로 문의),"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,성인 (대학생이상) : 11,000원, 청소년(중고생) : 9,000원, 어린이(36개월 ~ 초등학생) : 8,000원, 장애인(1-6급) : 5,000원",실내+실외,공연/전시,,2~3시간,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
58,새연교,"새섬으로 가는 통로, '새'로운 인'연'을 만들어가는 다리",연중무휴,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
59,표선해수욕장,너른 백사장이 매력적인 서귀포 동남부 해수욕장,,,,,,,,,"화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
60,김영갑갤러리 두모악,제주도를 사랑하고 열망했던 김영갑의 발자취,"매주 수요일 / 신정 (1월1일) / 설날, 추석 당일 이용시간: 3~6월 18시까지, 7~8월 19시까지, 9~10월 18시까지, 11~2월 17시까지","평일 : 09:30 ~ 18:00 , 주말 : 09:30 ~ 18:00","유료,일반입장료 ; 4500원 / 장애인입장료 : 무료 (1-3급 본인만)",실내,공연/전시,,1시간 미만,하,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
61,따라비오름,"표선면 가시리에 위치한 따라비오름은 3개의 분화구(굼부리)와 6개의 봉우리로 이루어져 있다. 화산이 폭발할 때 분출된 용암은 부드러운 산세를 만들어냈고, 가을이면 오름을 뒤덮은 억새 군락이 장관을 이룬다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,중문관광단지,볼거리와 체험이 가득한 중문관광단지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,윗세오름(웃세오름),"한라산을 제외하고 가장 높은 오름, 어리목, 영실, 돈내코 탐방로와 연결",,,,,,,,,"공용주차장,화장실,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
64,제주동백수목원(위미리 애기동백나무군락),붉은 아기동백이 올망종망 피어있는 동백숲,입장료는 현금또는 계좌이체로만 가능,"평일 : 09:30 ~ 17:00 , 주말 : 09:30 ~ 17:00","유료,입장료 3000원",,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
65,하고수동해변,"우도 동북쪽, 바다빛이 아름다운 해수욕장",,,,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
66,백록담,순상화산의 원지형이 잘 보존된 국내 가장 높은 산정화구호 · 세계생물권보존지역 · 세계자연유산 · 세계지질공원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,삼양해수욕장,반짝이는 검은 모래가 특색인 해수욕장,삼양 종합상황실: 064-728-3991(해수욕장 개장기간 2018.06.23~09.02 동안 운영),,,,,,,,"화장실,편의점,음료대,유도 및 안내시설",,,,,,,,,,,,,,,,,,,,,,,,,,
68,선녀와나무꾼,그리운 옛날 그 시절로 돌아가는 추억여행,"입장마감 17:00 , 날씨 등의 영향으로 폐장시간 변동가능.","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,성인-13,000원 / 청소년-11,000원 / 소인-10,000원",실내+실외,,,1~2시간,하,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",우수관광사업체,,,,,,,,,,,,,,,,,,,,,,,,,
69,제주돌문화공원,제주의 바람과 신화를 머금은 아름다운 돌을 감상하다,"관람시간: 오전 9시부터 오후 6시까지(입장권 17:00까지 발매), 매월 첫째주 월요일 휴무","평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,일반 5.000원 / 청소년 군인 3.500원 / 장애인 노인 등 무료",실내+실외,"기타,포토스팟,공연/전시",,2~3시간,중,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,임산부 휴게시설",,,,,,,,,,,,,,,,,,,,,,,,,,
70,마방목지,제주혈통 조랑말이 뛰어노는 초원지대,,,,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
71,아끈다랑쉬,낮고 평탄해. 산책하기 좋은 가을억새오름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,아침미소목장,"제주시 근교에 자리한 아침미소목장은 건강한 젖소들이 자라는 친환경 목장이다. 넓은 초원에 소들을 방목해 키우며 들판 너머 한라산이 보이는 풍경이 평화롭다. 목장 안에 경치 좋은 카페가 있어 목가적인 분위기를 즐기며 느긋하게 쉬어가기도 좋다. 이곳에서 직접 짠 우유와 요구르트, 치즈 제품들을 맛볼 수 있다.",매주 화요일 휴무,"평일 : 10:00 ~ 17:00 , 주말 : 10:00 ~ 17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,용담/용두암 해안도로,"용두암 인근 해변에 위치, 호텔, 횟집거리등 밀집되어있음",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,쇠소깍해변,효돈천과 검은모래 해변이 만나는 곳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,이중섭거리,이중섭 미술관과 이중섭 거주지를 중심으로 조성된 문화거리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,차귀도,"해안절벽과 기암괴석이 절경을 이루는 섬, 제주 최대의 무인도· 천연기념물 제422호· 올레12코스","계절별로 일몰 시간 체크 필수 / 차귀도 일몰 명소 : 수월봉 일대, 고상기대, 차귀도포구",,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
