,타입,장소,위치,해시태그,좋아요,찜하기,리뷰,일정 등록,방문했어요,조회,SNS 공유,관광지,음식점,숙박,쇼핑,소개,상세 정보,이용 시간,요금 정보,장소 특성,주요목적,주요목적 기타,평균 소요 시간,경사도(난이도),편의시설,기타 상세
836,관광지,신풍리 밭담길,제주특별자치도 서귀포시 성산읍 신풍하동로 39,"['밭담 ', '성산 ', '신풍리', '농촌체험마을']",0,3,0,0,0,1059,1,"['일출랜드', '김영갑갤러리 두모악', '세계술박물관', '신천리 벽화마을', '고흐의 정원', '제주참숯가마찜질방', '제주인디', '신천리(용궁올레)', '일출랜드 아트센터']","['고래라면', '카페오름', '아줄레주', '늘예솔', '두가시가든', '뉴자연으로']","['초', '건축학개론펜션', '제주통나무휴양펜션', '고망난돌민박가든', '숨비아일랜드', '해마지펜션', 'ZeZuZip', '포지타노인제주', '물고기나무게스트하우스', '폴리폴리', '제주산내들', '마리아주펜션', '패밀리아팬션', '제주야자원', '솔로게스트하우스 앤 두루두루펜션']",[''],"성산읍 신풍리는 '새롭고 풍요로운 마을을 지향한다'는 뜻을 가지고 있는는 반농반어촌 마을로, 전통문화와 생활풍속이 오늘날까지 살아있는 '어멍아방(어머니, 아버지)잔치마을'로 알려져 있다.",,,,,,,,,,
50,관광지,애월한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,"['해변 ', '걷기/등산 ', '친구', '맑음 ', '유채꽃']",39,851,60,0,1,101409,175,"['곽지해수욕장', '한담해변', '애월 한담 카약', '(주)제주해양레저 투명카약', '제주올레 16코스', '보통청춘기록실 청춘사진관', '해피맘하우스', '곽지해수욕장야영장', '문서프', '제주기독교순례길', '애월 하물', '핸즈웍스', '고내봉(고내오름,고니오름,망오름)', '곽지레저 & 서프나우', '애월환해장성', '고내리포구', '기독교순례길 1코스(순종의길)', '곽지패총', '갑자기 히어로즈 벽화길', '귀덕연대', '애월연대', '중엄리새물', '금성포구', '애월스쿠버다이빙스쿨']","['봄날카페', '몽상드애월(몽상)', '리치망고', '애월더선셋', '붉은제주', '고불락', '카페콜라', '호박다방', 'ROAD129(로드129)', '지금이순간', '숙이네보리빵', 'jival 지발', '곽지박사장&김사장네', '은혜전복', '무인카페 산책', '제주샘주 영농협동조합', '카페태희', '곽지식당', '해품', '라스또르따스', '꽁순이네', '탐라면', '몬스터살롱', '파리바게트 애월', '카페하물', '카페 소바니', '백번가든', '달에', '미인계 카페', '마레벤또', '수타명가', '마틸다', '귤따고 레드향갈고', '하우스레서피', '곽지BAR다', '애월리안', '메리앤폴', '반딧불한담', '쿡이야', '산책하우스', '로맨틱하드보일드', '맛있는 여가생활', '안트레', '귀덕간식', '인디언키친', '애월 고깃간']","['위더스펜션', '해변산책펜션', '애월포구풍경', '씨스테이호텔', '조이랜드펜션', '하쿠나마타타게스트하우스', '아이랑키즈펜션', '고불락하우스', '탱자탱자게스트하우스', '오누게스트하우스', '토리코티지카레클린트', '마눌펜션', '발로바쉬', '모물펜션', '제주토비스콘도', '한담풍경하우스', '오후여섯시펜션', '바다와자전거']","['샘스제주캔들', '베리제주', '한마음한라봉']",해안선을 따라 걷는 구불구불 해안길.,,,,,,,,,,
326,관광지,엉알해안산책로,제주특별자치도 제주시 한경면 고락로,"['일몰 ', '해변 ', '걷기/등산', '커플 ', '맑음 ', '가을']",1,44,4,0,0,5849,3,"['당산봉(당오름,차귀오름)', '순례자의교회', '엉알해안', '당오름(한경면)', '천주교 순례길 - 김대건길', '차귀도유람선', '제주고산리유적']","['아찌국밥', '제주본초협동조합', '수월봉 가마솥순대국', '에피소드', '안녕구움']","['단빌리지게스트하우스', '단추스테이 단추숲', '뿌리게스트하우스']",[''],화산재가 쌓여 이루어진 웅장한 지층과 낙조가 아름다운 산책로,,,,,,,,,,
686,관광지,돈대산산림휴양산책로,제주특별자치도 제주시 추자면 예초리 산 67-1,"['산 ', '걷기/등산 ', '흐림', '맑음']",0,5,0,0,0,2191,0,"['추자도', '최영장군사당', '모진이몽돌해변', '눈물의십자가', '추자도등대', '제주올레 18-1코스', '추자도 숭어체험장', '나바론절벽', '돈대산', '추자등대', '섬생이', '묵리마을', '신대산전망대', '상추자항', '엄바위장승', '참굴비조형물', '예초리기정길', '묵리처녀당', '용둠범목제계단길', '묵리해안쉼터', '신대해안', '묵리해안포구', '예초리포구', '신양항(하추자항)', '추자연도교', '상추자마을길', '예초리', '예초리해변']","['추자도중앙식당', '제일식당', '커피앤빵', '오동여식당', '고향향토장터', '마마식당', '보라네', '유심이감성찜닭', '오누이밥상', '봉이네식당', '해적선', '신등대수산회센타', '황금섬숯불갈비', '카페힐스', '이맛', '추자북경']","['나바론민박', '아이콘펜션', '추자도민박', '유심이감성하우스민박', '에코하우스민박펜션', '여정여관', '추자피싱랜드', '아름다운펜션민박', '물돌이민박', '추자바다25시', '태흥여관', '추자도휴양펜션', '내사랑추자야펜션민박', '황재여관', '나바론 민박', '봉골레 하우스 민박', '신등대민박', '이레민박', '갤러리민박', '김선장네 민박', '등대민박', '추사랑민박', '아이콘민박', '대물민박', '사계절민박', '태성민박', '고려민박', '뉴아일랜드민박', '밀물민박']",[''],추자도 돈대산에 위치한 산림휴양산책로,,,,,,,,,,
43,관광지,신창~차귀해안도로,제주특별자치도 제주시 한경면 한경해안로 470,"['일몰 ', '드라이브 ', '커플', '맑음 ', '가을']",20,386,80,0,2,25170,22,"['차귀도', '신창풍차해안도로', '싱게물(싱계물)공원', '순례자의교회', '차귀도요트', '생이기정', '절부암', '자구네포구', '성김대건신부표착기념관', '용수항', '차귀도유람선', '신창리포구']","['차귀놀', '세가름', '쓰쓰카페', '차차신창']","['하바나블루스', '노을과원담', '더 프라이빗 시로', '배배게스트하우스', '바사팬스파', '뿌리게스트하우스']",['차귀도 오징어'],붉은 낙조에 물든 해안을 볼수 있는 제주 일몰명소,,,,,,,,,"화장실,편의점,음료대,유도 및 안내시설",
241,관광지,신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1,"['커플 ', '경관/포토 ', '해안도로', '커플스냅']",6,151,8,0,8,18951,28,"['신창~차귀해안도로', '싱게물(싱계물)공원', '순례자의교회', '차귀도요트', '절부암', '성김대건신부표착기념관', '용수항', '신창리포구']","['차귀놀', '세가름', '늘푸른농원 연리지가든', '쓰쓰카페', '차차신창']","['IGH펜션', '하바나블루스', '노을과원담', '더 프라이빗 시로', '배배게스트하우스', '바사팬스파', '뿌리게스트하우스']",[''],해상풍력단지가 조성되어 있어 해안도로를 따라 줄지어 서 있는 풍차를 만날 수 있는 신창풍차해안도로,,,무료,실외,포토스팟,,1시간 미만,하,,
256,관광지,신창리포구,제주특별자치도 제주시 한경면 신창리,"['포구 ', '해변 ', '문화유적지', '커플']",1,1,7,0,1,1439,0,"['신창~차귀해안도로', '신창풍차해안도로', '싱게물(싱계물)공원', '판포포구']","['바다를본돼지(판포점)', '판포분식', '세가름', '늘푸른농원 연리지가든', '쓰쓰카페', '차차신창']","['IGH펜션', '구름비낭', '하바나블루스', '노을과원담', '더 프라이빗 시로', '배배게스트하우스', '꽃향기바다소리', '바사팬스파', '제주프렌즈펜션', '또올레펜션&게스트하우스', '메종드판포', '사면초가펜션']",['디자인에이비'],바다마을의 매력을 느낄 수 있는 포구,연중무휴,,,,,,,,,
43,관광지,신창~차귀해안도로,제주특별자치도 제주시 한경면 한경해안로 470,"['일몰 ', '드라이브 ', '커플', '맑음 ', '가을']",20,386,80,0,2,25170,22,"['차귀도', '신창풍차해안도로', '싱게물(싱계물)공원', '순례자의교회', '차귀도요트', '생이기정', '절부암', '자구네포구', '성김대건신부표착기념관', '용수항', '차귀도유람선', '신창리포구']","['차귀놀', '세가름', '쓰쓰카페', '차차신창']","['하바나블루스', '노을과원담', '더 프라이빗 시로', '배배게스트하우스', '바사팬스파', '뿌리게스트하우스']",['차귀도 오징어'],붉은 낙조에 물든 해안을 볼수 있는 제주 일몰명소,,,,,,,,,"화장실,편의점,음료대,유도 및 안내시설",
241,관광지,신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1,"['커플 ', '경관/포토 ', '해안도로', '커플스냅']",6,151,8,0,8,18951,28,"['신창~차귀해안도로', '싱게물(싱계물)공원', '순례자의교회', '차귀도요트', '절부암', '성김대건신부표착기념관', '용수항', '신창리포구']","['차귀놀', '세가름', '늘푸른농원 연리지가든', '쓰쓰카페', '차차신창']","['IGH펜션', '하바나블루스', '노을과원담', '더 프라이빗 시로', '배배게스트하우스', '바사팬스파', '뿌리게스트하우스']",[''],해상풍력단지가 조성되어 있어 해안도로를 따라 줄지어 서 있는 풍차를 만날 수 있는 신창풍차해안도로,,,무료,실외,포토스팟,,1시간 미만,하,,
256,관광지,신창리포구,제주특별자치도 제주시 한경면 신창리,"['포구 ', '해변 ', '문화유적지', '커플']",1,1,7,0,1,1439,0,"['신창~차귀해안도로', '신창풍차해안도로', '싱게물(싱계물)공원', '판포포구']","['바다를본돼지(판포점)', '판포분식', '세가름', '늘푸른농원 연리지가든', '쓰쓰카페', '차차신창']","['IGH펜션', '구름비낭', '하바나블루스', '노을과원담', '더 프라이빗 시로', '배배게스트하우스', '꽃향기바다소리', '바사팬스파', '제주프렌즈펜션', '또올레펜션&게스트하우스', '메종드판포', '사면초가펜션']",['디자인에이비'],바다마을의 매력을 느낄 수 있는 포구,연중무휴,,,,,,,,,
