장소,타입,위치,해시태그,좋아요,찜하기,리뷰,일정 등록,방문했어요,조회,SNS 공유,관광지,음식점,숙박,쇼핑,소개,상세 정보,이용 시간,요금 정보,장소 특성,주요목적,주요목적 기타,평균 소요 시간,경사도(난이도),편의시설,기타 상세,장애인 시설정보,장애인 활동 보조 필요성,부대시설,숙박 업종,대표 메뉴 상세,금연여부,등급,룸개수,셔틀버스 운행 여부,애완동물동반허용여부,조식제공 여부,예약 가능 여부,노키즈존,대표 메뉴,방 보유,유아 서비스,유아 서비스 상세,부대시설 기타,Late체크인여부,공항교통편,장애인전용객실여부,유아 서비스 기타,취급품목,취급품목 기타,택배배송여부,main_category
하노이안브라더스,음식점,제주특별자치도 제주시 천수동로 1,"['분짜 ', '쌀국수 ', '베트남요리']",1,8,2,0,0,4062,0,"['제주하늘을날다(패러글라이딩)', '용연', '관덕정', '제주목관아', '국립제주박물관', '탑동', '민속자연사박물관', '삼성혈', '두맹이골목', '사라봉', '전농로 서사라문화거리', '용담/용두암 해안도로', '제주문예회관', '제주월드21', '제주 패러글라이딩 스쿨', '김만덕객주', '산지등대', '산지천', '흑돼지거리', '사라봉공원', '탑동해변공연장', '용연카누클럽', '김만덕기념관', '별도봉', '오현단', '제주성지', '아라리오뮤지엄탑동시네마', '아라리오뮤지엄동문모텔1', '제주향교', '제주교육박물관', '제주스쿠터여행', '비블리아성서식물원', '아홉굿마을 낙천리 농어촌체험마을', '돛오름', '아라리오뮤지엄동문모텔2', '미요캔들', '남수각 하늘길 벽화거리']","['미친부엌', '고집돌우럭(제주공항점)', '우진해장국', '만선식당', '쉬림프박스', '산지물식당(건입동본점)', '명품진전복해물탕', '신설오름', '살롱드라방 SALON de LAVANT', '국수마당', '일통이반', '서문수산', '넉둥베기 고사리육개장', '골막식당', '은희네해장국 (일도점)', '탑동산호전복', '화로향', '현옥식당', '바다위에코끼리', '제주토속몸국', '제주침시술소바 (오로라식품)', '성미식당', '태광식당', '초밥군커피씨', '다가미(도남)', '해금강횟집', '명성식당', '그린정', '자자손손국수회관', '모시란', '옛날동문시장칼국수', '부지깽이', '만세국수 삼성혈점', '흑소랑']","['라마다프라자제주호텔', '오션스위츠호텔 제주', '호텔 리젠트마린', '봉쟈 게스트하우스', '제주KAL호텔', '예하게스트하우스', '호스텔린든(Hostel lyndon)', '슴게스트하우스 제주공항점', '미소게스트하우스', '제주오리엔탈호텔', '갤럭시호텔 제주', '아스타호텔']","['제주동문시장(동문재래시장)', '제주동문수산시장', '제주중앙지하상가', '제주칠성로상가', '더아일랜더', '지소울', '서문공설시장', '보성시장', '다나한한복 앤 러블리베베', '바당의물질', '삼다닷컴', '용연낚시', '제주시농협농산물직거래센터', '제일토산품', '이제주숍', '명품수산']",베트남 하노이에서 오랫동안 거주했던 주인 부부가 제주에 정착하며 오픈한 베트남 요리 전문 레스토랑,"첫째주, 셋째주 수요일 휴무 / Break time 15:00~17:00","평일 : 11:00 ~ 21:00 , 주말 : 11:00 ~ 21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동남아식
하도리1091,음식점,제주특별자치도 제주시 구좌읍 하도13길 6,"['새우떡볶이 ', '갈릭새우플레이트 ', '갈릭새우샌드위치']",0,9,2,0,0,1495,0,"['해녀박물관', '종달리수국길', '지미봉', '하도해변', '토끼섬', '별방진', '전망대(종달리)', '제주올레 21코스', '구좌 하도어촌계', '종달리해변', '세화해안도로', '맬튼개 갯담', '이로이로공방', '하도리 철새도래지', '굴동포구', '금붕사']","['해월정', '비어라운드(Be around)', '카페동네', '바다는안보여요', 'COOK FATHER(쿡파더)', '수다뜰', '술도가제주바당', '종달리엔 엄마식당', '벨롱', '석다원', '달리다방', '춘희', '아톰스낵', '종달해녀의집', '풍미독서', '가비오타카페', '알마니']","['제주도푸른바다', '수상한소금밭게스트하우스', '비젠빌리지', '제주도푸른산푸른바다', 'Oh! 세화! (오세화게스트하우스)', '이디하우스n카페', '제주바다펜션', '구름밭하우스', '이안재', '발리인제주', '하도리보통날', '다락마마', '뚜르드제주게스트하우스', '가비오타 펜션', '드헤브펜션', '언니네여인숙', '하도리일번지', '별똥별채집소', '하도하도 3200', '두베하우스', '수필하우스', '더하도스파빌라', '동촌하우스', '달집게스트하우스', '배목수집', '탐탐56', '다올제민박', '세화리움', '제주의시간은느리다', '비비엔다', '제주파도소리', '레프트핸더 게스트하우스', '제주도 레인보우', '종달스토리', '스테이지게스트하우스', '아모르하우스', '더하우스펜션', '하늘을달리다', '디스이즈핫', '바우하우스', '하도하도1929', '밭담사이', '레드우드하우스', '벼리게스트하우스']","['소심한책방', '달리센트', '도예시선', '승희상회', '인연의숲', '언제라도 북스&리틀갤러리']",조용하고 아늑한 분위기에서 즐기는 새우요리,"휴무 sns 공지, 브레이크 타임 15시~16:30","평일 : 11:00 ~ 20:00 , 주말 : 11:00 ~ 20:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대",,,,,,,,,,,,,불가능,어린이 출입불가,,,,,,,,,,,,,양식
한라앤탐,음식점,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 8,"['정식 ', '보말죽 ', '보말라면', '보말정식']",2,14,2,0,0,3827,0,"['제주동백수목원(위미리 애기동백나무군락)', '위미리 동백나무군락', '최남단 체험 감귤농장(가뫼물 농촌생태공원)', '코코몽 에코파크', '남원큰엉해변', '제주올레 5코스', '위미항', '그랑블루호(선상낚시)', '공천포', '자배봉(자배오름,망오름)', '남원 위미2리 어촌계', '가뫼물', '이음새']","['서연의집(영화 건축학개론)', '와랑와랑카페', '우드노트', '마므레', '시즌박스', '카페이피엘', '모노클제주', '키아스마', '털보네 고양이', '위미항활어회센터', '로드3.7 (road3.7)', '네이쳐캔바스', '시스베이글']","['금호리조트제주', '소랑호젠', 'be Lazy B&B', '넙빌레하우스', '제주목화휴양펜션', '제주도통나무펜션', '뜨리바다펜션', '방울풍뎅이 하우스', '미소가펜션', '리치웨이 펜션', '한라앤탐 펜션', '힐링캠프펜션', '두리안펜션']",['라바북스'],위미 동백 군락지에 자리잡은 소박한 보말음식 전문점,토요일,"평일 : 8:30 ~ 16:00 , 주말 : ~",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,,한식
한성식당,음식점,제주특별자치도 서귀포시 성산읍 일출로 287,"['갈치조림 ', '해산물 ', '한식']",0,17,2,0,0,4913,2,"['성산일출봉(UNESCO 세계자연유산)', '광치기해변', '우도잠수함(제주씨월드)', '제주올레 1코스', '성산항', '성산 유채꽃재배단지', '오조포구', '성산포항', '쇠와꽃 승마장', '아일랜드에프', '성산~세화 해안도로', '터진목 & 성산면 4·3희생자 위령비', '취다선리조트', '성산초등학교 서청특별중대 주둔지']","['맛나식당', '성산회관', '바다의집', '경미네집(경미휴게소)', '그리운바다성산포', '복자씨연탄구이', '제주뚝배기', '성산해오름식당', '만조이천쌀밥', '일출봉쑥빵보리빵', '성산진미식당', '돌섬', '명품한라봉아이스크림', '오조해녀의 집', '코코마마', '등경돌식당', '돌하르방 뚝배기', '카페코지', '시흥해녀의집', '인더오조', '파리바게뜨 성산일출봉점', '둥지식당', '남양수산', '성산흑돼지두루치기', '파파야 수제버거', '어머니닭집', '해뜰', '고가네', '어멍횟집', '제주칼국수 제주해물탕', '백기해녀의 집', '고등어쌈밥', '장승포식당', '문화통닭', '청운식당', '윌라라', '일출왕뚝배기', '선미식당', '착한마녀김밥', '새벽숯불가든', '해마루', '복댕이', '호랑이해장국', '해월향', '일탈흑돼지', '끌림', '해뜨는식당', '망고홀릭 성산일출봉점', '꽃담팥집카페', '오조파스타앤피자', '탐라흑돼지', '모퉁이스낵', '삼수정', '망고봉봉', '짱아저씨', '윌라라', '성산일출봉 해송갈치전문점']","['아름다운리조트', '플레이스 캠프 제주', '골든튤립 제주 성산호텔', '봄그리고가을호텔&리조트', '더클라우드호텔', '더포그레이스호텔앤리조트', '코델리아리조트', '성산우리집 펜션', '미도모텔', '1915 지오하우스', '보물섬', '썬레이크빌제주', '블루마운틴호텔', '브리즈베이호텔', '볕들이펜션', '성산아침노을펜션', '쏠레 민박', '코시롱게스트하우스', '푸르미르 펜션', '펠리스타운', '토마토하우스', '도시락게스트하우스', '마주보기펜션', '해돋는마을', '호텔아로하', '오조리비앤비(Ojoribnb)']","['B일상잡화점', '제주i']",성산일출봉 인근에 위치한 향토음식점,명절 전날. 당일 휴무,"평일 : 07:30 ~ 22:00 , 주말 : 07:30 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,,향토음식
해금강횟집,음식점,제주특별자치도 제주시 서부두길 28 (건입동),"['횟집 ', '옥돔구이 ', '전복구이', '고등어회']",0,6,2,0,0,3102,0,"['용두암', '제주하늘을날다(패러글라이딩)', '용연', '관덕정', '제주목관아', '국립제주박물관', '탑동', '민속자연사박물관', '삼성혈', '두맹이골목', '사라봉', '전농로 서사라문화거리', '용담/용두암 해안도로', '제주문예회관', '제주월드21', '보물섬하이킹', '용담레포츠공원', '제주 패러글라이딩 스쿨', '김만덕객주', '산지등대', '산지천', '흑돼지거리', '사라봉공원', '탑동해변공연장', '용연카누클럽', '김만덕기념관', '별도봉', '오현단', '제주성지', '아라리오뮤지엄탑동시네마', '아라리오뮤지엄동문모텔1', '제주향교', '제주교육박물관', '제주스쿠터여행', '비블리아성서식물원', '아홉굿마을 낙천리 농어촌체험마을', '돛오름', '아라리오뮤지엄동문모텔2', '남수각 하늘길 벽화거리']","['미친부엌', '고집돌우럭(제주공항점)', '우진해장국', '만선식당', '삼다도횟집', '바다풍경횟집', '쉬림프박스', '산지물식당(건입동본점)', '신설오름', '살롱드라방 SALON de LAVANT', '국수마당', '일통이반', '서문수산', '넉둥베기 고사리육개장', '골막식당', '은희네해장국 (일도점)', '하노이안브라더스', '탑동산호전복', '화로향', '현옥식당', '바다위에코끼리', '제주토속몸국', '제주침시술소바 (오로라식품)', '성미식당', '태광식당', '초밥군커피씨', '명성식당', '그린정', '자자손손국수회관', '모시란', '옛날동문시장칼국수', '부지깽이', '만세국수 삼성혈점']","['라마다프라자제주호텔', '오션스위츠호텔 제주', '호텔 리젠트마린', '제주KAL호텔', '예하게스트하우스', '호스텔린든(Hostel lyndon)', '슴게스트하우스 제주공항점', '미소게스트하우스', '제주오리엔탈호텔', '게스트하우스7', '갤럭시호텔 제주']","['제주동문시장(동문재래시장)', '제주동문수산시장', '제주중앙지하상가', '제주칠성로상가', '더아일랜더', '뷰티풀제주', '서문공설시장', '보성시장', '다나한한복 앤 러블리베베', '바당의물질', '선물고팡', '삼다닷컴', '용연낚시', '제주시농협농산물직거래센터', '제일토산품', '이제주숍']",서부두 방파제 끝 탑동에 위치한 해금강횟집,,"평일 : 11:30 ~ 23:00 , 주말 : 11:30 ~ 23:00",,,,,,,"공용주차장,현금결제,카드결제,화장실",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,,한식
허벅식당,음식점,제주특별자치도 제주시 구좌읍 월정중길 64,"['해물뚝배기 ', '갈치조림 ', '한식']",0,12,2,0,0,1901,3,"['만장굴', '월정리해변', '월정리 카약체험장', '타보카 월정리투명카약', '해맞이해안로', '제주올레 20코스', '행원육상양식단지', '월정리해안도로', '진빌레 밭담길', '공방:하루_반']","['구좌상회', '슬슬슬로우', '민경이네어등포해녀촌', '카페콧수염', '곱들락', '월정리에서브런치', '월정리갈비밥', '모래비카페', '제주이야기', '월정리로와', '우드스탁', '소곱에', '떡하니', '바당지기', '머문카페', '월리월리', '그초록', '배롱개', '타코마씸', '수카사', '이찌마루', '너는파라다이스길리', '방긋스낵', '빌리네월정스낵', '봉쉡망고']","['동박생이', '소풍(월정리)', '맑은바람 펜션', '여울목게스트하우스(월정리)', '뒹글하우스', '소낭게스트하우스', '비오하우스', '달콤한아침', '레디메이드', '월정소랑', '제주올레하우스팬션', '바람돌이하우스', '오션스카이', '월정플레이스', '한모살', '달빛고운펜션', '이찌마루&잠비', '포비네오두막게스트하우스']","['팰롱팰롱 빛나는', '큰손상회', '그꽃', '윌로우씨 제주캔들공방']","푸른 제주 바다도 보고, 맛있는 제주 향토 음식도 먹고",브레이크 타임 16:00 – 18:00 연중무휴,"평일 : 10:30 ~ 20:30 , 주말 : 10:30 ~ 20:30",,,,,,,"현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,,한식
허브팜카페,음식점,제주특별자치도 제주시 애월읍 애월해안로 454-9,"['카페 ', '버거 ', '파스타', '리조또 ', '수제버거']",0,4,2,0,0,1225,0,"['애월해안도로', '더럭초등학교(구, 더럭분교)', '구엄리돌염전', '제주올레 16코스', 'SM 디지털아트 뮤지엄', '물메 (물미, 수산봉)', '고내봉(고내오름,고니오름,망오름)', '고내리포구', '구엄포구', '남두연대', '제주불교성지 순례길 절로 가는길 - 보시의 길', '고내리 다락쉼터', '신엄포구', '육시우영']","['리치망고', '요리하는 목수', '고불락', '전설의마녀', '노라바', '달자카페', 'jival 지발', '무인카페 산책', '남또리', '고내촌한정식', '라스또르따스', '까미노', '제주와이너리', '오르다키친', '구름물고기', '달에', '카페소금', '홍요깃거리카페', '마틸다', '귤따고 레드향갈고', '쿡이야', '산책하우스', '사이카레', '노리터스낵', '잇칸시타', '꽃향유', '면사무소']","['마레보 리조트', '루스톤빌라앤호텔', '애월애휴양펜션', '수앤수가족호텔', '흰수염고래리조트', '베니키아호텔제주', '유니호텔제주', '다인오세아노 호텔', '다인리조트', '몽마르뜨펜션', '제주 리치호텔', '제주란펜션', '스테이달하', '씨스테이호텔', '하쿠나마타타게스트하우스', '아이랑키즈펜션', '달자펜션', '천상의노을', '혼디', '고불락하우스', '파더하우스', '노을과 포도향기', '제주비치펜션', '토리코티지카레클린트', '동양콘도', '인더 하우스', '슬로우리제주 민박', 'CS빌리지', '엠버하우스', '오비두스', '애월해안누리펜션(구 하얀둥지펜션)', '잇츠힐', '산토리니 펜션', '시땅', '김군아미고게스트하우스', '엔젤하우스', '바다와자전거']","['베리제주', '현승이네농장']",시그니처 메뉴는 거대한 타워버거,쉬는시간: 16:00 ~ 17:00,"평일 : 10:00 ~ 21:00 , 주말 : 10:00 ~ 21:00",,,,,,,"현금결제,카드결제,화장실,무료 WIFI,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,,양식
호돌이식당,음식점,제주특별자치도 제주시 한림읍 비양도길 284,"['보말죽 ', '한치물회 ', '회덮밥', '매운탕 ', '전복물회']",0,2,2,0,0,2037,0,"['협재해수욕장', '한림공원', '금능해수욕장', '비양도', '협재굴(한림공원)', '금능석물원', '쌍용굴(한림공원)', '한라산소주공장', '황금굴(한림공원)', '명월성지', '비양도등대', '협재포구', '기독교순례길 2코스(순교의길)', '배령연대', '옹포포구', '옹포천', '바릇스파']","['명랑스낵', '피어22', '협재해녀의집', '앤트러사이트', '수우동', '독개물항', '제갈양', '돌하르방식당', '카페쉼표', '한치앞도모를바다', '야자수 식당', '우무(umu)', '면뽑는선생 만두빚는아내', '도나토스', '성아시', '흑돼지촌', '테이크파이브재즈클럽', '비올레제주', '협재국수가게(구 청산식당)', '하몽인제주', '더꽃돈', '카페헤밍웨이', '문쏘', '보말이야기', '알라스카인제주 협재점', '옹포별장가든', '비양도 올레카페', '제주틈', '홍돈깡통연탄구이', '어애랑', '재게재게옵서 카페', '협재칼치', '봉끄랑횟집', '협재삼춘네횟집', 'And유Café', '달리북카페']","['객의하우스', '나무처럼 게스트하우스', '하늘고래', '홍익제주호텔', '달달하우스', '쫄깃센터', '제주스웨덴리조트펜션', '민박바당집', '카이리조트', '해바라기', '비파민박', '민박하얀집', '오시록헌펜션', '이쁜새이쁘게노래하고펜션', '협재해오름펜션', '단추스테이', '알로하민박', '라파로마휴양펜션', '에너벨리민박', '거드락지민박', 'For 安(포안)', '쉼게스트하우스', '제주마로펜션', '민박집섶낭', '해피데이 민박', '해피데이', '우연히 행복해지다', '마레카펜션', '머무름민박']","['서쪽가게', '기영상회']",인기메뉴는 호돌이덮밥과 보말죽,,"평일 : 09:00 ~ 15:00 , 주말 : 09:00 ~ 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,향토음식
화진전복,음식점,제주특별자치도 제주시 무근성길 2,"['전복구이 ', '뚝배기 ', '전복어']",0,2,2,0,0,839,1,"['용두암', '제주하늘을날다(패러글라이딩)', '용연', '관덕정', '제주목관아', '국립제주박물관', '탑동', '민속자연사박물관', '삼성혈', '두맹이골목', '사라봉', '전농로 서사라문화거리', '용담/용두암 해안도로', '제주문예회관', '제주월드21', '보물섬하이킹', '용담레포츠공원', '제주 패러글라이딩 스쿨', '김만덕객주', '제주국제공항', '산지등대', '산지천', '용두암해안도로카페거리', '사라봉공원', '탑동해변공연장', '용연카누클럽', '김만덕기념관', '오현단', '제주성지', '아라리오뮤지엄탑동시네마', '아라리오뮤지엄동문모텔1', '제주향교', '제주스쿠터여행', '비블리아성서식물원', '아홉굿마을 낙천리 농어촌체험마을', '돛오름', '아라리오뮤지엄동문모텔2']","['제주김만복(만복이네김밥집)', '미친부엌', '고집돌우럭(제주공항점)', '우진해장국', '김희선몸국', '오라숲소리', '만선식당', '삼다도횟집', '바다풍경횟집', '쉬림프박스', '산지물식당(건입동본점)', '닐모리동동', '신설오름', '살롱드라방 SALON de LAVANT', '국수마당', '일통이반', '덤장', '서문수산', '넉둥베기 고사리육개장', '골막식당', '은희네해장국 (일도점)', '하노이안브라더스', '탑동산호전복', '화로향', '현옥식당', '바다위에코끼리', '제주토속몸국', '제주침시술소바 (오로라식품)', '성미식당', '태광식당', '초밥군커피씨', '해금강횟집', '명성식당', '그린정', '자자손손국수회관', '섬채', '옛날동문시장칼국수', '부지깽이', '만세국수 삼성혈점']","['라마다프라자제주호텔', '오션스위츠호텔 제주', '호텔 리젠트마린', '제주KAL호텔', '예하게스트하우스', '호스텔린든(Hostel lyndon)', '슴게스트하우스 제주공항점', '미소게스트하우스', '제주오리엔탈호텔']","['제주동문시장(동문재래시장)', '제주동문수산시장', '제주중앙지하상가', '제주칠성로상가', '더아일랜더', '뷰티풀제주', '서문공설시장', '보성시장', '다나한한복 앤 러블리베베', '바당의물질', '선물고팡', '삼다닷컴', '용연낚시', '제일토산품', '이제주숍']",제주공항 근처에 위치한 전복요리 맛집,* 연중 무휴,"평일 : 08:00 ~ 22:00 , 주말 : ~",,,,,,,"현금결제,카드결제,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,,한식
73st,음식점,제주특별자치도 제주시 해안마을길 73,[],1,8,1,0,1,2064,2,"['아날로그감귤밭', '신비의도로카트체험장', '브릭캠퍼스', '제주공룡랜드', '페인터즈:히어로 제주', '무수천', '광령귤나무', '손방둥이', '고사리숲', '솔담한방병원']","['돈사돈', '생돈우리', '늘봄흑돼지', '제주901', '마마롱(애월)', '주르레식당', '제주기정떡', '쁠랑뜨', '숲속의작은집', '착한집', '오메오메', '탭룸3029', '마농']","['헤리티지', '에코힐글램핑', '나인스파빌', '옛살라비']",['그림책방 & 카페노란우산'],엔티크하고 분위기있는 인테리어를 갖춘 브런치 카페,"라스트오더 21시, 브런치 라스트오더 17시30분","평일 : 09:00 ~ 22:00 , 주말 : 09:00 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,장애인 시설정보 >,쉬움,,,,,,,,,,,,,,,,,,,,,,,,양식
73st,음식점,제주특별자치도 제주시 해안마을길 73,[],1,8,1,0,1,2064,2,"['아날로그감귤밭', '신비의도로카트체험장', '브릭캠퍼스', '제주공룡랜드', '페인터즈:히어로 제주', '무수천', '광령귤나무', '손방둥이', '고사리숲', '솔담한방병원']","['돈사돈', '생돈우리', '늘봄흑돼지', '제주901', '마마롱(애월)', '주르레식당', '제주기정떡', '쁠랑뜨', '숲속의작은집', '착한집', '오메오메', '탭룸3029', '마농']","['헤리티지', '에코힐글램핑', '나인스파빌', '옛살라비']",['그림책방 & 카페노란우산'],엔티크하고 분위기있는 인테리어를 갖춘 브런치 카페,"라스트오더 21시, 브런치 라스트오더 17시30분","평일 : 09:00 ~ 22:00 , 주말 : 09:00 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,장애인 시설정보 >,쉬움,,,,,,,,,,,,,,,,,,,,,,,,카페
COOK FATHER(쿡파더),음식점,제주특별자치도 제주시 구좌읍 종달로1길 117,"['딱새우리조또 ', '한치덮밥 ', '돌문어파스타', '새우장덮밥 ', '퓨전음식음식']",0,5,1,0,0,2011,1,"['종달리수국길', '지미봉', '제주올레 1코스', '하도해변', '종달리해안도로', '전망대(종달리)', '구좌 하도어촌계', '종달리해변', '두산봉(말미오름)', '이로이로공방', '알오름(성산읍)', '성산~세화 해안도로', '하도리 철새도래지', '취다선리조트', '금붕사']","['해월정', '비어라운드(Be around)', '시흥해녀의집', '카페동네', '바다는안보여요', '제주칼국수 제주해물탕', '수다뜰', '술도가제주바당', '하도리1091', '종달리엔 엄마식당', '달리다방', '종달해녀의집', '묘한상점 묘한카페', '가비오타카페']","['수상한소금밭게스트하우스', '비젠빌리지', '아름다운리조트', '봄그리고가을호텔&리조트', '더포그레이스호텔앤리조트', '제주바다펜션', '이안재', '발리인제주', '뚜르드제주게스트하우스', '가비오타 펜션', '언니네여인숙', '하도리일번지', '별똥별채집소', '수필하우스', '더하도스파빌라', '클로버비앤비', '동촌하우스', '달집게스트하우스', '펠리스타운', '제주파도소리', '제주도 레인보우', '종달스토리', '스테이지게스트하우스', '아모르하우스', '더하우스펜션', '디스이즈핫', '도로시게스트하우스', '마주보기펜션', '밭담사이', '레드우드하우스']","['소심한책방', '달리센트', '도예시선', '승희상회', '인연의숲', '책약방']","종달리에 위치한 딱새우리조또, 한치덮밥, 돌문어 파스타, 새우장 덮밥 등 제주도의 신선한 해산물을 이용한 퓨전요리전문점",,"평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,양식
ROAD129(로드129),음식점,제주특별자치도 제주시 애월읍 애월로 129,"['함박스테이크 ', '돈가스 ', '파스타', '양식']",0,22,1,0,0,3802,0,"['애월한담해안산책로', '곽지해수욕장', '더럭초등학교(구, 더럭분교)', '한담해변', '애월 한담 카약', '(주)제주해양레저 투명카약', '제주올레 16코스', '해피맘하우스', '곽지해수욕장야영장', '문서프', '제주기독교순례길', '애월 하물', '고내봉(고내오름,고니오름,망오름)', '곽지레저 & 서프나우', '애월환해장성', '고내리포구', '기독교순례길 1코스(순종의길)', '곽지패총', '갑자기 히어로즈 벽화길', '애월연대', '중엄리새물', '고내리 다락쉼터', '금성포구', '신엄포구', '애월스쿠버다이빙스쿨', '육시우영']","['봄날카페', '몽상드애월(몽상)', '리치망고', '애월더선셋', '붉은제주', '고불락', '호박다방', '연화키친', '지금이순간', '숙이네보리빵', 'jival 지발', '곽지박사장&김사장네', '은혜전복', '무인카페 산책', '제주샘주 영농협동조합', '카페태희', '남또리', '곽지식당', '고내촌한정식', '해품', '라스또르따스', '까미노', '꽁순이네', '탐라면', '몬스터살롱', '파리바게트 애월', '카페하물', '오데뜨', '카페 소바니', '구름물고기', '백번가든', '달에', '미인계 카페', '마레벤또', '홍요깃거리카페', '마틸다', '귤따고 레드향갈고', '곽지BAR다', '애월리안', '반딧불한담', '쿡이야', '산책하우스', '로맨틱하드보일드', '노리터스낵', '안트레', '꽃향유', '인디언키친']","['위더스펜션', '해변산책펜션', '애월포구풍경', '다인오세아노 호텔', '다인리조트', '몽마르뜨펜션', '제주 리치호텔', '씨스테이호텔', '조이랜드펜션', '하쿠나마타타게스트하우스', '아이랑키즈펜션', '고불락하우스', '탱자탱자게스트하우스', '오누게스트하우스', '파더하우스', '제주비치펜션', '토리코티지카레클린트', '마눌펜션', '발로바쉬', '엠버하우스', '모물펜션', '애월해안누리펜션(구 하얀둥지펜션)', '시땅']","['샘스제주캔들', '베리제주', '한마음한라봉']",애월읍에 위치한 전국맛집 TOP 1000에 선정된 수제함박스테이크 전문점,마감30분전 마지막주문,"평일 : 11:00 ~ 20:30 , 주말 : 11:00 ~ 20:30",,,,,,,"현금결제,카드결제,화장실,무료 WIFI,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,,양식
강해일횟집,음식점,제주특별자치도 서귀포시 표선면 표선당포로 14,"['회 ', '횟집 ', '해산물', '매운탕']",0,6,1,0,0,1871,0,"['제주민속촌', '제주허브동산', '표선해수욕장', '아이리스촬영지(하얀등대)', '대장금촬영지(제주민속촌)', '허브동산 미디어 파사드 (media facade)', '제주올레 3코스', '신천리 벽화마을', '매오름', '당케산물(당케포구)', '민속해안로', '신천리(용궁올레)', '한모살 (표선백사장)']","['돌토고리족욕카페', '성신흑돼지', '골목집갈치와고등어', '탐라 뚝배기', '제주광어씨푸드레스토랑 표선점', '아모르키친', '해오름정육식당', '카페희상', '밀리우', '까떼커피', '다미진', '황금무지개', '커피가게쉬고가게', '두가시가든', '백사장횟집(백사장회센터)', '돈돼지흑돼지', '홍삼흑돼지']","['해비치호텔앤드리조트', '초', '빠담빠담게스트하우스', '남촌풀하우스', '표선이레하우스', '숨비아일랜드', '솔민박', '허브펜션 오즈', '선스토리', '하얀언덕', '포지타노인제주', '블루마린', '로그빌리지 펜션', '해비치 바람의집 펜션&카페', '콤마게스트하우스', '엘마르게스트하우스', '뉴그린펜션', '블랑게스트하우스', '카사마리나', '뉴그린모텔', '블루팜파크', '솔로게스트하우스 앤 두루두루펜션', '가원비치펜션']",['표선오일시장'],제주 표선 가성비 최고 횟집,연중무휴,"평일 : 10:00 ~ 21:30 , 주말 : 10:00 ~ 21:30",,,,,,,"공용주차장,현금결제,카드결제,화장실",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,,일식
